lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_763_translation,english_translation
θεός,84,unigram,masculine,accusative,singular,ŵaLesa,3.761385072462728,ŵaLesa,God
θεός,139,unigram,masculine,nominative,singular,ŵaLesa,3.7584503085337784,ŵaLesa,God
κύριος,85,unigram,masculine,nominative,singular,ŵaSikulu,1.3931269748987507,ŵaSikulu,"Lord, lord, master"
γραφή,81,unigram,feminine,accusative,plural,amalembo,1.937023928064548,amalembo,Scripture
γραφή,221,unigram,feminine,nominative,singular,amalembo,1.7565914166465886,amalembo,Scripture
ἄγγελος,58,unigram,masculine,accusative,plural,iŋkalamba,1.487126115304709,iŋkalamba,angel
ἄγγελος,28,unigram,masculine,nominative,plural,niŋkalamba,1.341289180507388,niŋkalamba,angel
ἄγγελος,67,unigram,masculine,nominative,singular,iŋkalamba,1.654807158278584,iŋkalamba,angel
ἐξουσία,133,unigram,feminine,accusative,singular,uŵukulu,1.0071933659153154,uŵukulu,authority
ἀποθήκη,46,unigram,feminine,accusative,singular,muŵutala,1.5323096753179035,muŵutala,barn
πλοῖον,65,unigram,neuter,accusative,plural,amato,2.872878738388054,amato,boat
πλοῖον,212,unigram,neuter,accusative,singular,mubwato,3.8492720447589672,mubwato,boat
πλοῖον,165,unigram,neuter,nominative,plural,pakulituma,1.096239847813496,pakulituma,boat
πλοῖον,154,unigram,neuter,nominative,singular,ubwato,1.4675180934345389,ubwato,boat
σῶμα,37,unigram,neuter,nominative,singular,nemuŵili,1.0754688057427968,nemuŵili,body
ἄρτος,234,unigram,masculine,accusative,singular,siŋkwa,2.5817700195634856,siŋkwa,bread
ἄρτος,101,unigram,masculine,nominative,plural,aŵa,1.0680533508229275,aŵa,bread
ἀδελφός,206,unigram,masculine,accusative,plural,neŵakwaŵo,1.2052692993286998,neŵakwaŵo,brother
ἀδελφός,75,unigram,masculine,accusative,singular,umukwaŵo,2.01920026583068,umukwaŵo,brother
ἀδελφός,69,unigram,masculine,nominative,plural,neŵakwasu,1.101249292326218,neŵakwasu,brother
ἀδελφός,159,unigram,masculine,nominative,singular,umukwaŵo,2.138872302584125,umukwaŵo,brother
στῆθος,193,unigram,neuter,accusative,singular,muntiŵi,1.3116399103876144,muntiŵi,"chest, breast"
ἀρχιερεύς,169,unigram,masculine,accusative,plural,aŵakulu,1.4517543623246967,aŵakulu,chief priest
ἀρχιερεύς,38,unigram,masculine,accusative,singular,umukulu,1.4170272095364658,umukulu,chief priest
ἀρχιερεύς,74,unigram,masculine,nominative,plural,aŵakulu,1.3609248839664174,aŵakulu,chief priest
ἀρχιερεύς,173,unigram,masculine,nominative,singular,umukulu,1.5413315591857517,umukulu,chief priest
παῖς,162,unigram,masculine,accusative,plural,aŵalalume,1.1586047289451047,aŵalalume,child
τέκνον,228,unigram,neuter,accusative,plural,aŵana,1.7430071028112275,aŵana,child
τέκνον,126,unigram,neuter,nominative,singular,Wemwana,1.7815540301929067,Wemwana,child
παιδίον,8,unigram,neuter,accusative,plural,ŵuli,1.3852353388901812,ŵuli,child
παιδίον,55,unigram,neuter,accusative,singular,naŵanyina,1.1124957415119108,naŵanyina,child
παιδίον,113,unigram,neuter,nominative,plural,ŵanji,1.139973534387339,ŵanji,child
πόλις,42,unigram,feminine,accusative,singular,kumusi,2.013862801993037,kumusi,city
χιτών,72,unigram,masculine,accusative,plural,iŵili,1.7897765980408182,iŵili,"clothing, undergarments"
χιτών,19,unigram,masculine,accusative,singular,nemwinjila,1.376335071086841,nemwinjila,"clothing, undergarments"
ἱμάτιον,83,unigram,neuter,accusative,plural,ifyakufwala,1.4097427805179623,ifyakufwala,coat
ἱμάτιον,82,unigram,neuter,accusative,singular,nemwinjila,1.4029273687948838,nemwinjila,coat
ἐντολή,52,unigram,feminine,accusative,plural,amafunde,1.782453250714909,amafunde,commandment
ἐντολή,51,unigram,feminine,accusative,singular,ifyakutantaka,1.132820569086172,ifyakutantaka,commandment
συνέδριον,218,unigram,neuter,accusative,plural,kumawuŋgano,1.0595480639608463,kumawuŋgano,council
συνέδριον,31,unigram,neuter,accusative,singular,aŵapapatilisi,1.1281457757508906,aŵapapatilisi,council
χώρα,197,unigram,feminine,accusative,singular,kucalo,1.495079160865164,kucalo,"country, countryside"
ὄχλος,34,unigram,masculine,accusative,plural,amaŵumba,5.526332019701539,amaŵumba,crowd
ὄχλος,5,unigram,masculine,accusative,singular,iŵumba,1.7048835686693111,iŵumba,crowd
ὄχλος,60,unigram,masculine,nominative,plural,amaŵumba,2.857049675636952,amaŵumba,crowd
ὄχλος,189,unigram,masculine,nominative,singular,iŵumba,1.4348873379812763,iŵumba,crowd
θυγάτηρ,215,unigram,feminine,nominative,singular,umwanakasi,2.0689870543127538,umwanakasi,daughter
ἡμέρα,49,unigram,feminine,accusative,plural,insiku,3.2062454949401125,insiku,day
ἡμέρα,53,unigram,feminine,accusative,singular,insiku,1.3385503384779065,insiku,day
ἡμέρα,2,unigram,feminine,nominative,plural,insiku,2.1929935395281785,insiku,day
ἡμέρα,44,unigram,feminine,nominative,singular,nekasuŵa,1.2099058750189942,nekasuŵa,day
ὀφειλέτης,76,unigram,masculine,nominative,singular,pakutatiko'kupenda,1.2125176900525536,pakutatiko'kupenda,debtor
δαιμόνιον,20,unigram,neuter,accusative,plural,ifiŵanda,3.8168343680411447,ifiŵanda,demon
δαιμόνιον,224,unigram,neuter,accusative,singular,neciŵanda,3.477312669500517,neciŵanda,demon
δαιμόνιον,128,unigram,neuter,nominative,plural,ifiŵanda,1.978851797493785,ifiŵanda,demon
δαιμόνιον,112,unigram,neuter,nominative,singular,iciŵanda,4.999406811545887,iciŵanda,demon
δηνάριον,209,unigram,neuter,accusative,plural,indalama,1.366215152864925,indalama,denarius (about a day's wages)
δηνάριον,103,unigram,neuter,accusative,singular,ikobili,2.5965986505344905,ikobili,denarius (about a day's wages)
μαθητής,116,unigram,masculine,accusative,plural,ŵaŵo,1.0864055700232922,ŵaŵo,disciple
μαθητής,229,unigram,masculine,accusative,singular,ŵatemenwe,2.6869042117170454,ŵatemenwe,disciple
μαθητής,185,unigram,masculine,nominative,plural,aŵasambile,3.135683941002735,aŵasambile,disciple
μαθητής,227,unigram,masculine,nominative,singular,musambile,1.085227520301513,musambile,disciple
περιστερά,59,unigram,feminine,accusative,plural,aŵalukuulisya,1.3699141926133136,aŵalukuulisya,dove
περιστερά,32,unigram,feminine,accusative,singular,niciŵa,1.5066706876651008,niciŵa,dove
οὖς,96,unigram,neuter,accusative,plural,ŋgaomfwe,1.026662780422797,ŋgaomfwe,ear
σεισμός,134,unigram,masculine,nominative,plural,nefitulika,1.0810922260060456,nefitulika,"earthquakes, storm"
σεισμός,40,unigram,masculine,nominative,singular,icitulika,1.2378293523500483,icitulika,"earthquakes, storm"
τέλος,184,unigram,neuter,accusative,singular,eukapuluka,1.478043164693012,eukapuluka,end
