lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1077_translation,english_translation
θεός,333,unigram,masculine,accusative,plural,असत्य,1.097258004808277,असत्य,God
θεός,139,unigram,masculine,accusative,singular,परमेश्वर,6.724020614424928,परमेश्वर,God
θεός,29,unigram,masculine,nominative,plural,ईश्वर,1.4119786909370087,ईश्वर,God
θεός,214,unigram,masculine,nominative,singular,परमेश्वर,9.031638041633224,परमेश्वर,God
κύριος,335,unigram,masculine,nominative,plural,खोलय,1.0970894485985805,खोलय,"Lord, lord, master"
κύριος,140,unigram,masculine,nominative,singular,प्रभु,1.5909526829408212,प्रभु,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,शास्त्र,2.9347962172429054,शास्त्र,Scripture
γραφή,53,unigram,feminine,accusative,singular,शास्त्र,1.4409641862365798,शास्त्र,Scripture
γραφή,267,unigram,feminine,nominative,plural,होय।,1.2361481310351712,होय।,Scripture
γραφή,328,unigram,feminine,nominative,singular,शास्त्र,3.204945284198892,शास्त्र,Scripture
ἄγγελος,103,unigram,masculine,accusative,plural,स्वर्गदूतों,1.4133817576507286,स्वर्गदूतों,angel
ἄγγελος,89,unigram,masculine,accusative,singular,दूत,1.3637051686559336,दूत,angel
ἄγγελος,49,unigram,masculine,nominative,plural,स्वर्गदूत,4.47103048799023,स्वर्गदूत,angel
ἄγγελος,114,unigram,masculine,nominative,singular,स्वर्गदूत,2.3228754140284447,स्वर्गदूत,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,प्रेरितों,5.077529756753859,प्रेरितों,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,भेजन,1.4292081538750854,भेजन,apostle
ἐξουσία,72,unigram,feminine,accusative,plural,देबो,1.0596420238117508,देबो,authority
ἐξουσία,204,unigram,feminine,accusative,singular,अधिकार,9.004766078471157,अधिकार,authority
βρέφος,15,unigram,neuter,accusative,plural,लान,1.235783485556943,लान,babies
βρέφος,326,unigram,neuter,accusative,singular,चरनी,1.6233244133658535,चरनी,babies
ἀποθήκη,71,unigram,feminine,accusative,singular,ढोला,1.1682581154670333,ढोला,barn
φραγμός,239,unigram,masculine,accusative,plural,सड़को,1.161311312321613,सड़को,"barrier, wall"
ἀρχή,74,unigram,feminine,accusative,plural,देबो,1.0595673971889907,देबो,beginning
ἀρχή,188,unigram,feminine,accusative,singular,काना,1.0747132830586283,काना,beginning
ζώνη,179,unigram,feminine,accusative,plural,खीसा,1.0960524252565438,खीसा,belt
βλασφημία,33,unigram,feminine,accusative,plural,निन्दा,1.1742289445818541,निन्दा,blasphemy
βλασφημία,101,unigram,feminine,accusative,singular,फाड़्यो,1.1613461516800319,फाड़्यो,blasphemy
βλασφημία,212,unigram,feminine,nominative,plural,निन्दा,1.5538158589255004,निन्दा,blasphemy
πλοῖον,112,unigram,neuter,accusative,plural,डोंगा,1.9769438846218215,डोंगा,boat
πλοῖον,313,unigram,neuter,accusative,singular,डोंगा,3.165277081007413,डोंगा,boat
πλοῖον,246,unigram,neuter,nominative,plural,पहिलेच,1.1423131146034529,पहिलेच,boat
πλοῖον,231,unigram,neuter,nominative,singular,डोंगा,1.9964195343569584,डोंगा,boat
σῶμα,62,unigram,neuter,nominative,singular,शरीर,3.582626044023074,शरीर,body
κλῆμα,154,unigram,neuter,nominative,singular,डगाली,1.0993685625896408,डगाली,branch
ἄρτος,317,unigram,masculine,accusative,plural,रोटी,4.415433848411356,रोटी,bread
