lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1916_translation,english_translation
θεός,366,unigram,masculine,accusative,plural,god,1.4175710948338989,god,God
θεός,150,unigram,masculine,accusative,singular,God,3.4046284502698034,God,God
θεός,34,unigram,masculine,nominative,plural,god,1.6697876591987637,god,God
θεός,234,unigram,masculine,nominative,singular,God,16.07861699441267,God,God
κύριος,368,unigram,masculine,nominative,plural,milongpo,1.0358763536039233,milongpo,"Lord, lord, master"
κύριος,151,unigram,masculine,nominative,singular,Volava,5.4433271607737845,Volava,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,salsalik,2.3615303045323905,salsalik,Scripture
γραφή,59,unigram,feminine,accusative,singular,salsalik,1.6152035020907531,salsalik,Scripture
γραφή,292,unigram,feminine,nominative,plural,salsalik,1.7873018092324684,salsalik,Scripture
γραφή,361,unigram,feminine,nominative,singular,salsalik,2.8785994032570965,salsalik,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,angelo,1.964137622086459,angelo,angel
ἄγγελος,96,unigram,masculine,accusative,singular,itoiton,1.1181731447026626,itoiton,angel
ἄγγελος,55,unigram,masculine,nominative,plural,angelo,5.103442838145227,angelo,angel
ἄγγελος,123,unigram,masculine,nominative,singular,angelo,5.926982423015349,angelo,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,aposel,4.47504944924362,aposel,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,tavirimok,1.2341415444283288,tavirimok,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,asasanan,1.2384200711374531,asasanan,authority
ἐξουσία,223,unigram,feminine,accusative,singular,kitmat,2.334731065947388,kitmat,authority
βρέφος,19,unigram,neuter,accusative,plural,suak,1.0729990620778436,suak,babies
βρέφος,359,unigram,neuter,accusative,singular,vulvul,1.214871392301083,vulvul,babies
ἀποθήκη,300,unigram,feminine,accusative,plural,asinong,1.533001428453278,asinong,barn
ἀποθήκη,78,unigram,feminine,accusative,singular,kon,1.3682521606097957,kon,barn
φραγμός,263,unigram,masculine,accusative,plural,aisul,1.3694447042987072,aisul,"barrier, wall"
φραγμός,128,unigram,masculine,accusative,singular,kokomeng,1.1455097387262396,kokomeng,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,asasanan,1.238070313372465,asasanan,beginning
ἀρχή,203,unigram,feminine,accusative,singular,akalitai,1.202594606189799,akalitai,beginning
ζώνη,195,unigram,feminine,accusative,plural,Ago,1.0188010755671515,Ago,belt
βλασφημία,38,unigram,feminine,accusative,plural,koi,1.056466501426479,koi,blasphemy
βλασφημία,111,unigram,feminine,accusative,singular,Mitala,1.0595738538997284,Mitala,blasphemy
βλασφημία,232,unigram,feminine,nominative,plural,Daung,1.2882783010537333,Daung,blasphemy
βλασφημία,97,unigram,feminine,nominative,singular,Kapau,1.1062965217172096,Kapau,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,vul,1.6943720200086525,vul,boat
πλοῖον,343,unigram,neuter,accusative,singular,vul,1.0874457724834612,vul,boat
πλοῖον,254,unigram,neuter,nominative,singular,vul,1.2846141272947151,vul,boat
σῶμα,242,unigram,neuter,nominative,plural,Ri,1.2674691694619695,Ri,body
σῶμα,70,unigram,neuter,nominative,singular,pukun,1.5641952901655058,pukun,body
κλῆμα,66,unigram,neuter,nominative,plural,ngakan,1.2952066535060651,ngakan,branch
κλῆμα,169,unigram,neuter,nominative,singular,singig,1.1130565323965569,singig,branch
ἄρτος,348,unigram,masculine,accusative,plural,saui,3.0084521821053576,saui,bread
ἄρτος,378,unigram,masculine,accusative,singular,angan,1.41518312247628,angan,bread
ἄρτος,179,unigram,masculine,nominative,plural,pok,1.3898445699913409,pok,bread
ἄρτος,46,unigram,masculine,nominative,singular,pok,1.5304561268933612,pok,bread
ἀδελφός,333,unigram,masculine,accusative,plural,tasina,2.6328831660082126,tasina,brother
ἀδελφός,138,unigram,masculine,accusative,singular,tasina,2.1157687763479127,tasina,brother
ἀδελφός,127,unigram,masculine,nominative,plural,tasina,1.7564332184604536,tasina,brother
ἀδελφός,261,unigram,masculine,nominative,singular,tasina,2.082080693612695,tasina,brother
στῆθος,175,unigram,neuter,accusative,plural,kangiria,1.0961014216060068,kangiria,"chest, breast"
στῆθος,318,unigram,neuter,accusative,singular,atava,1.1544599987421813,atava,"chest, breast"
ἀρχιερεύς,271,unigram,masculine,accusative,plural,sula,1.4736499809307466,sula,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,sula,1.0530498604208791,sula,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,sula,1.2716708246427155,sula,chief priest
ἀρχιερεύς,276,unigram,masculine,nominative,singular,sula,1.043475698097785,sula,chief priest
παῖς,265,unigram,masculine,accusative,plural,marala,1.3288332957070523,marala,child
παῖς,57,unigram,masculine,accusative,singular,kolek,1.1456292992667958,kolek,child
τέκνον,370,unigram,neuter,accusative,plural,inatus,3.7474446602545095,inatus,child
τέκνον,200,unigram,neuter,accusative,singular,inatus,1.104637458289481,inatus,child
τέκνον,20,unigram,neuter,nominative,plural,inatus,1.5382863591382283,inatus,child
τέκνον,215,unigram,neuter,nominative,singular,Kag,2.081472050726118,Kag,child
παιδίον,18,unigram,neuter,accusative,plural,Ago,1.0398299179705917,Ago,child
παιδίον,106,unigram,neuter,accusative,singular,nat,1.3302166331251386,nat,child
παιδίον,193,unigram,neuter,nominative,plural,inatus,1.0353879855314974,inatus,child
παιδίον,48,unigram,neuter,nominative,singular,polok,1.1010167956164445,polok,child
πόλις,204,unigram,feminine,accusative,plural,rina,1.6292268648047976,rina,city
πόλις,74,unigram,feminine,accusative,singular,rina,4.9374661777322615,rina,city
πύλη,296,unigram,feminine,nominative,plural,dual,1.0160510834356995,dual,city gate
πύλη,231,unigram,feminine,nominative,singular,ngingimai,1.4269579919023003,ngingimai,city gate
χιτών,133,unigram,masculine,accusative,plural,siot,1.8553618235115232,siot,"clothing, undergarments"
χιτών,35,unigram,masculine,accusative,singular,siot,1.0838129765766713,siot,"clothing, undergarments"
ἱμάτιον,148,unigram,neuter,accusative,plural,maus,1.0517242756388392,maus,coat
ἱμάτιον,147,unigram,neuter,accusative,singular,vakup,2.600372813893571,vakup,coat
ἐντολή,93,unigram,feminine,accusative,plural,tapai,1.3188960354443346,tapai,commandment
ἐντολή,91,unigram,feminine,accusative,singular,asok,1.32223532530222,asok,commandment
συνέδριον,353,unigram,neuter,accusative,plural,kivung,1.2061874380389777,kivung,council
συνέδριον,61,unigram,neuter,accusative,singular,ainoinoai,1.033193487569158,ainoinoai,council
χώρα,86,unigram,feminine,accusative,plural,kaming,1.0354670744872199,kaming,"country, countryside"
χώρα,322,unigram,feminine,accusative,singular,palpal,1.3082111007041617,palpal,"country, countryside"
ὄχλος,67,unigram,masculine,accusative,plural,petau,4.6697702865587685,petau,crowd
ὄχλος,12,unigram,masculine,accusative,singular,petau,4.5409044631929865,petau,crowd
ὄχλος,114,unigram,masculine,nominative,plural,petau,3.941371762924314,petau,crowd
ὄχλος,313,unigram,masculine,nominative,singular,petau,2.961601011255686,petau,crowd
θυγάτηρ,131,unigram,feminine,nominative,plural,talang,1.018825914079691,talang,daughter
θυγάτηρ,347,unigram,feminine,nominative,singular,kavulik,2.374023740200668,kavulik,daughter
ἡμέρα,84,unigram,feminine,accusative,plural,taun,1.12471500919368,taun,day
ἡμέρα,98,unigram,feminine,accusative,singular,taun,2.2922880271855446,taun,day
ἡμέρα,1,unigram,feminine,nominative,plural,taun,2.9977504145805542,taun,day
ἡμέρα,76,unigram,feminine,nominative,singular,ngelik,1.121352658442574,ngelik,day
ὀφειλέτης,139,unigram,masculine,nominative,singular,nona,1.0994157566373002,nona,debtor
δαιμόνιον,36,unigram,neuter,accusative,plural,ingua,1.7203549698641978,ingua,demon
δαιμόνιον,363,unigram,neuter,accusative,singular,ingua,4.136889937859766,ingua,demon
δαιμόνιον,217,unigram,neuter,nominative,plural,ingua,2.6206860929987514,ingua,demon
δαιμόνιον,191,unigram,neuter,nominative,singular,ingua,2.044027226482389,ingua,demon
δηνάριον,338,unigram,neuter,accusative,plural,kope,1.2489651551827043,kope,denarius (about a day's wages)
δηνάριον,181,unigram,neuter,accusative,singular,samui,1.296555990241077,samui,denarius (about a day's wages)
μαθητής,197,unigram,masculine,accusative,plural,nat,1.226107441006571,nat,disciple
μαθητής,371,unigram,masculine,accusative,singular,akalit,1.2118773383738721,akalit,disciple
μαθητής,305,unigram,masculine,nominative,plural,nat,1.145520638168539,nat,disciple
μαθητής,369,unigram,masculine,nominative,singular,nat,1.6807276693790272,nat,disciple
νόσος,2,unigram,feminine,accusative,plural,malepen,1.6553529198570007,malepen,disease
νόσος,83,unigram,feminine,accusative,singular,anglok,1.493289894044079,anglok,disease
περιστερά,113,unigram,feminine,accusative,plural,uk,1.0939142735966922,uk,dove
περιστερά,63,unigram,feminine,accusative,singular,uk,1.4684515717374385,uk,dove
οὖς,168,unigram,neuter,accusative,plural,talinga,1.8807259781998584,talinga,ear
οὖς,312,unigram,neuter,accusative,singular,Saka,1.348356797670397,Saka,ear
σεισμός,224,unigram,masculine,nominative,plural,mimo,1.7375891322143142,mimo,"earthquakes, storm"
τέλος,39,unigram,neuter,accusative,plural,E.,1.0961506491767987,E.,end
τέλος,302,unigram,neuter,accusative,singular,akamusai,1.0786438360236952,akamusai,end
αἰών,266,unigram,masculine,accusative,plural,Iakov,1.1549233107184107,Iakov,eternity
αἰών,334,unigram,masculine,accusative,singular,asikei,3.1930466123512136,asikei,eternity
ὀφθαλμός,27,unigram,masculine,accusative,plural,vil,1.5730352459851082,vil,eye
ὀφθαλμός,73,unigram,masculine,nominative,plural,arai,1.3009025305685378,arai,eye
ὀφθαλμός,331,unigram,masculine,nominative,singular,matam,1.8117642356650117,matam,eye
πρόσωπον,212,unigram,neuter,accusative,singular,tarakai,1.0054250068165735,tarakai,face
λιμός,8,unigram,feminine,nominative,plural,mimo,1.0806734673159943,mimo,famine
λιμός,152,unigram,masculine,nominative,singular,langit,1.2359253839257431,langit,famine
γεωργός,278,unigram,masculine,nominative,plural,matang,1.0908711452903637,matang,"farmer, tenant"
γεωργός,58,unigram,masculine,nominative,singular,vaen,1.0514247594250594,vaen,"farmer, tenant"
πατήρ,218,unigram,masculine,accusative,plural,tivura,1.060299086603778,tivura,father
πατήρ,337,unigram,masculine,accusative,singular,mamai,1.4409001143220024,mamai,father
