lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1058_translation,english_translation
θεός,249,unigram,masculine,accusative,plural,mbalesa,1.097258004808277,mbalesa,God
θεός,97,unigram,masculine,accusative,singular,Lesa,4.499462565289119,Lesa,God
θεός,22,unigram,masculine,nominative,plural,tamulembetweewo,1.2154724280609577,tamulembetweewo,God
θεός,154,unigram,masculine,nominative,singular,Lesa,3.301273687664457,Lesa,God
κύριος,251,unigram,masculine,nominative,plural,mutoomwaangulwitanshi,1.2150588415383703,mutoomwaangulwitanshi,"Lord, lord, master"
κύριος,98,unigram,masculine,nominative,singular,Mwaami,3.1803634129451077,Mwaami,"Lord, lord, master"
γραφή,94,unigram,feminine,accusative,plural,Malembo,1.5203769772598337,Malembo,Scripture
γραφή,39,unigram,feminine,accusative,singular,Malembo,1.5978107200942433,Malembo,Scripture
γραφή,195,unigram,feminine,nominative,plural,shacitika,1.8547351743365008,shacitika,Scripture
γραφή,245,unigram,feminine,nominative,singular,Malembo,1.077660144626862,Malembo,Scripture
ἄγγελος,71,unigram,masculine,accusative,plural,baanjelo,1.3410723502436783,baanjelo,angel
ἄγγελος,36,unigram,masculine,nominative,plural,baanjelo,1.979248956307152,baanjelo,angel
ἄγγελος,80,unigram,masculine,nominative,singular,munjelo,2.711398890720685,munjelo,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,batumwi,1.3056533982380372,batumwi,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mutumwi,1.0595512823290478,mutumwi,apostle
ἐξουσία,147,unigram,feminine,accusative,singular,nkusu,1.5617166944585112,nkusu,authority
βρέφος,244,unigram,neuter,accusative,singular,mulita,1.0595384180401852,mulita,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,mubutala,1.2147585393228764,mubutala,barn
ζώνη,126,unigram,feminine,accusative,plural,Mutabwesi,1.0960524252565438,Mutabwesi,belt
βλασφημία,25,unigram,feminine,accusative,plural,utoocobola,1.0960768946513286,utoocobola,blasphemy
πλοῖον,78,unigram,neuter,accusative,plural,maato,2.073407232787424,maato,boat
πλοῖον,231,unigram,neuter,accusative,singular,mubwaato,2.5895115408922096,mubwaato,boat
πλοῖον,166,unigram,neuter,nominative,singular,bwaato,1.3761144406235488,bwaato,boat
σῶμα,46,unigram,neuter,nominative,singular,mubili,2.115492883513186,mubili,body
ἄρτος,236,unigram,masculine,accusative,plural,shinkwa,1.964085949862312,shinkwa,bread
ἄρτος,259,unigram,masculine,accusative,singular,shinkwa,1.0700180708286358,shinkwa,bread
ἄρτος,114,unigram,masculine,nominative,plural,shinkwa,1.4162233958078805,shinkwa,bread
ἄρτος,29,unigram,masculine,nominative,singular,cakulya,1.9375370042112507,cakulya,bread
ἀδελφός,223,unigram,masculine,accusative,plural,banandumi,2.4019598522426318,banandumi,brother
ἀδελφός,88,unigram,masculine,accusative,singular,aJoni,1.0937769294356583,aJoni,brother
ἀδελφός,81,unigram,masculine,nominative,plural,pansengwe,1.0069701767487544,pansengwe,brother
ἀδελφός,171,unigram,masculine,nominative,singular,mukwabo,2.464127777734274,mukwabo,brother
στῆθος,112,unigram,neuter,accusative,plural,mubuumba,1.0960622061228922,mubuumba,"chest, breast"
στῆθος,209,unigram,neuter,accusative,singular,shikwiiya,1.2972888235549984,shikwiiya,"chest, breast"
ἀρχιερεύς,181,unigram,masculine,accusative,plural,bapailishi,1.4132582703901568,bapailishi,chief priest
ἀρχιερεύς,47,unigram,masculine,accusative,singular,munene,1.1526504042391206,munene,chief priest
ἀρχιερεύς,87,unigram,masculine,nominative,plural,bapailishi,1.4786047556030015,bapailishi,chief priest
ἀρχιερεύς,184,unigram,masculine,nominative,singular,munene,1.1056383559587974,munene,chief priest
παῖς,175,unigram,masculine,accusative,plural,basankwa,1.253869119256665,basankwa,child
τέκνον,253,unigram,neuter,accusative,plural,baana,1.365607837361666,baana,child
τέκνον,131,unigram,neuter,accusative,singular,mukwabo,1.0761999009997707,mukwabo,child
τέκνον,12,unigram,neuter,nominative,plural,bana,1.094636185491631,bana,child
τέκνον,141,unigram,neuter,nominative,singular,Omwanaangu,1.7707263869575658,Omwanaangu,child
παιδίον,11,unigram,neuter,accusative,plural,baniini,1.2522012355136518,baniini,child
παιδίον,68,unigram,neuter,accusative,singular,mwaana,1.8189013575745103,mwaana,child
πόλις,134,unigram,feminine,accusative,plural,mumandabala,1.9444706181073708,mumandabala,city
πόλις,50,unigram,feminine,accusative,singular,mundabala,2.5189817849758485,mundabala,city
πύλη,152,unigram,feminine,nominative,singular,utola,1.1062648286089038,utola,city gate
χιτών,84,unigram,masculine,accusative,plural,acimwi,1.1414173447818994,acimwi,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,acakufwala,1.593586240380252,acakufwala,"clothing, undergarments"
ἱμάτιον,96,unigram,neuter,accusative,plural,shakufwala,2.1527307476864355,shakufwala,coat
ἱμάτιον,95,unigram,neuter,accusative,singular,cakufwala,1.2377491179897564,cakufwala,coat
ἐντολή,64,unigram,feminine,accusative,plural,milawo,1.9965986821035149,milawo,commandment
ἐντολή,62,unigram,feminine,accusative,singular,mulawo,1.2878217529362173,mulawo,commandment
συνέδριον,241,unigram,neuter,accusative,plural,balaakumutola,1.0811064294632369,balaakumutola,council
συνέδριον,40,unigram,neuter,accusative,singular,bakabungana,1.2459482440805427,bakabungana,council
χώρα,213,unigram,feminine,accusative,singular,mucishi,1.2064816218444991,mucishi,"country, countryside"
ὄχλος,43,unigram,masculine,accusative,plural,bantu,1.555421698016183,bantu,crowd
ὄχλος,6,unigram,masculine,accusative,singular,bantu,1.7918808363274301,bantu,crowd
ὄχλος,72,unigram,masculine,nominative,plural,baanji,1.3322589236258564,baanji,crowd
ὄχλος,205,unigram,masculine,nominative,singular,baanji,1.6181139007896523,baanji,crowd
θυγάτηρ,235,unigram,feminine,nominative,singular,mwanakashi,1.2456949508853494,mwanakashi,daughter
ἡμέρα,58,unigram,feminine,accusative,plural,nshiku,3.987792592186112,nshiku,day
ἡμέρα,65,unigram,feminine,accusative,singular,lyoonse,2.1954866093124354,lyoonse,day
ἡμέρα,2,unigram,feminine,nominative,plural,nshiku,1.3668433339957682,nshiku,day
ἡμέρα,52,unigram,feminine,nominative,singular,bushiku,1.1956214129658722,bushiku,day
δαιμόνιον,24,unigram,neuter,accusative,plural,bashikaswa,3.845104912871267,bashikaswa,demon
δαιμόνιον,247,unigram,neuter,accusative,singular,shikaswa,3.1875631383867566,shikaswa,demon
δαιμόνιον,142,unigram,neuter,nominative,plural,bashikaswa,1.4314802133678663,bashikaswa,demon
δαιμόνιον,124,unigram,neuter,nominative,singular,shikaswa,1.651846488472844,shikaswa,demon
δηνάριον,227,unigram,neuter,accusative,plural,maali,1.8163409461785802,maali,denarius (about a day's wages)
δηνάριον,116,unigram,neuter,accusative,singular,lyaali,2.3542261612947724,lyaali,denarius (about a day's wages)
μαθητής,129,unigram,masculine,accusative,plural,bakwe,1.0993477337682451,bakwe,disciple
μαθητής,254,unigram,masculine,accusative,singular,kusunishi,1.1440369209409638,kusunishi,disciple
