lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1086_translation,english_translation
θεός,275,unigram,masculine,accusative,plural,Itatga,1.097258004808277,Itatga,God
θεός,104,unigram,masculine,accusative,singular,Uplerlawna,1.8522793344896016,Uplerlawna,God
θεός,22,unigram,masculine,nominative,plural,deulu-tatarmi,1.362234405535402,deulu-tatarmi,God
θεός,167,unigram,masculine,nominative,singular,Uplerlawna,3.569884683730331,Uplerlawna,God
κύριος,105,unigram,masculine,nominative,singular,Itmatromni,1.0047779590265948,Itmatromni,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,Puka,2.0360487016893787,Puka,Scripture
γραφή,39,unigram,feminine,accusative,singular,Puka,1.2575071954277977,Puka,Scripture
γραφή,217,unigram,feminine,nominative,plural,Puka,1.2329465903828765,Puka,Scripture
γραφή,272,unigram,feminine,nominative,singular,Puka,3.7590777219792657,Puka,Scripture
ἄγγελος,64,unigram,masculine,accusative,singular,Omliola,1.0500981916898025,Omliola,angel
ἄγγελος,35,unigram,masculine,nominative,plural,hopopanni,1.8257129406480297,hopopanni,angel
ἄγγελος,86,unigram,masculine,nominative,singular,hopopanni,2.8730930098886547,hopopanni,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,Nhopan,1.093232336802137,Nhopan,apostle
ἐξουσία,158,unigram,feminine,accusative,singular,plolli,1.9833571577089493,plolli,authority
βρέφος,10,unigram,neuter,accusative,plural,Doma,1.1454672352426896,Doma,babies
βρέφος,271,unigram,neuter,accusative,singular,radud,1.1062708150644622,radud,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,dudnu,1.5323096753179035,dudnu,barn
ἀρχή,143,unigram,feminine,accusative,singular,preheni-mkaini,1.0662807816552895,preheni-mkaini,beginning
πλοῖον,84,unigram,neuter,accusative,plural,ramoga,1.8409410405334208,ramoga,boat
πλοῖον,256,unigram,neuter,accusative,singular,puou,2.9953013594232805,puou,boat
πλοῖον,198,unigram,neuter,nominative,plural,Puou,1.096239847813496,Puou,boat
πλοῖον,184,unigram,neuter,nominative,singular,puounu,1.1372552643948628,puounu,boat
σῶμα,47,unigram,neuter,nominative,singular,inonmi,1.7064061961473622,inonmi,body
κλῆμα,44,unigram,neuter,nominative,plural,tutu-aki,1.0960622061228922,tutu-aki,branch
ἄρτος,261,unigram,masculine,accusative,plural,roti,2.081439936172613,roti,bread
ἄρτος,283,unigram,masculine,accusative,singular,roti,1.5921209815843511,roti,bread
ἄρτος,124,unigram,masculine,nominative,plural,roti,1.0271417218461556,roti,bread
ἄρτος,29,unigram,masculine,nominative,singular,Yamanan,1.7377617493168516,Yamanan,bread
ἀδελφός,248,unigram,masculine,accusative,plural,hawni-a'nani,1.1154711783412266,hawni-a'nani,brother
ἀδελφός,94,unigram,masculine,accusative,singular,hyalli,1.9036018749034604,hyalli,brother
ἀδελφός,88,unigram,masculine,nominative,plural,inni,1.0804193681970289,inni,brother
ἀδελφός,190,unigram,masculine,nominative,singular,hyalli,1.9346680330642811,hyalli,brother
