lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1032_translation,english_translation
θεός,383,unigram,masculine,accusative,plural,(,1.3581557232485724,(,God
θεός,161,unigram,masculine,accusative,singular,Ghig,1.090343010505645,Ghig,God
θεός,35,unigram,masculine,nominative,plural,lid,1.017796686339001,lid,God
θεός,245,unigram,masculine,nominative,singular,Ghig,1.2914479515192696,Ghig,God
κύριος,385,unigram,masculine,nominative,plural,na-ag,1.3553518430318272,na-ag,"Lord, lord, master"
κύριος,162,unigram,masculine,nominative,singular,Jawd,1.3159280988632749,Jawd,"Lord, lord, master"
γραφή,156,unigram,feminine,accusative,plural,Liq,1.8177915334189536,Liq,Scripture
γραφή,61,unigram,feminine,accusative,singular,Liq,1.308902682044241,Liq,Scripture
γραφή,308,unigram,feminine,nominative,plural,phehaq,1.200806700811517,phehaq,Scripture
γραφή,377,unigram,feminine,nominative,singular,Liq,1.7814221615422168,Liq,Scripture
ἄγγελος,120,unigram,masculine,accusative,plural,nuh,1.0051421398262144,nuh,angel
ἄγγελος,101,unigram,masculine,accusative,singular,cuh,1.0406587831590093,cuh,angel
ἄγγελος,57,unigram,masculine,nominative,plural,nuh,1.0044444378844617,nuh,angel
ἄγγελος,131,unigram,masculine,nominative,singular,nuh,1.004336763292036,nuh,angel
ἀπόστολος,54,unigram,masculine,nominative,plural,cuh,1.681443190550323,cuh,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,Cuh,1.5152128309869446,Cuh,apostle
ἐξουσία,83,unigram,feminine,accusative,plural,Su,1.005902589385358,Su,authority
ἐξουσία,234,unigram,feminine,accusative,singular,kand,1.1716121196637093,kand,authority
βρέφος,20,unigram,neuter,accusative,plural,vad,1.0093133793484028,vad,babies
βρέφος,375,unigram,neuter,accusative,singular,lawz,1.009312662143204,lawz,babies
ἀποθήκη,315,unigram,feminine,accusative,plural,cag,1.3229695338723544,cag,barn
ἀποθήκη,82,unigram,feminine,accusative,singular,tox,1.085709309456698,tox,barn
φραγμός,273,unigram,masculine,accusative,plural,lawq,1.0275137210430692,lawq,"barrier, wall"
ἀρχή,86,unigram,feminine,accusative,plural,Su,1.0058905965715892,Su,beginning
ἀρχή,215,unigram,feminine,accusative,singular,ped,1.0198116748640322,ped,beginning
ζώνη,263,unigram,feminine,accusative,singular,sehx,1.044101405315964,sehx,belt
βλασφημία,39,unigram,feminine,accusative,plural,suawg,1.1295306315586509,suawg,blasphemy
βλασφημία,117,unigram,feminine,accusative,singular,juhq,1.4471149434311124,juhq,blasphemy
βλασφημία,243,unigram,feminine,nominative,plural,sawnr,1.0215544440301587,sawnr,blasphemy
βλασφημία,102,unigram,feminine,nominative,singular,gid,1.1911954170164254,gid,blasphemy
πλοῖον,129,unigram,neuter,accusative,plural,lawd,1.2278794626480858,lawd,boat
πλοῖον,361,unigram,neuter,accusative,singular,lawd,1.2068996353308197,lawd,boat
πλοῖον,280,unigram,neuter,nominative,plural,phaz,1.021142532443,phaz,boat
πλοῖον,265,unigram,neuter,nominative,singular,lawd,1.2572358851318337,lawd,boat
σῶμα,253,unigram,neuter,nominative,plural,ton,1.168068258347171,ton,body
σῶμα,72,unigram,neuter,nominative,singular,ton,2.5197968605540573,ton,body
κλῆμα,68,unigram,neuter,nominative,plural,nuhaq,1.108920855557774,nuhaq,branch
κλῆμα,180,unigram,neuter,nominative,singular,kax,1.5691284977497482,kax,branch
ἄρτος,366,unigram,masculine,accusative,plural,mod,1.075725302529312,mod,bread
ἄρτος,396,unigram,masculine,accusative,singular,khaor,1.026196591975922,khaor,bread
ἄρτος,190,unigram,masculine,nominative,plural,khaor,1.109058245929125,khaor,bread
ἄρτος,47,unigram,masculine,nominative,singular,cad,1.7025120071229882,cad,bread
ἀδελφός,350,unigram,masculine,accusative,plural,nax,1.3460361544320492,nax,brother
ἀδελφός,145,unigram,masculine,accusative,singular,nax,1.7415822692309348,nax,brother
ἀδελφός,135,unigram,masculine,nominative,plural,nax,2.0824405530972294,nax,brother
ἀδελφός,271,unigram,masculine,nominative,singular,nax,3.1177990755980662,nax,brother
στῆθος,186,unigram,neuter,accusative,plural,tha,1.1446890058788488,tha,"chest, breast"
στῆθος,333,unigram,neuter,accusative,singular,pi,1.4328771171572807,pi,"chest, breast"
ἀρχιερεύς,285,unigram,masculine,accusative,plural,khod,1.0731050909854536,khod,chief priest
ἀρχιερεύς,73,unigram,masculine,accusative,singular,khod,1.070127674894663,khod,chief priest
ἀρχιερεύς,144,unigram,masculine,nominative,plural,khod,1.5849632711134765,khod,chief priest
ἀρχιερεύς,291,unigram,masculine,nominative,singular,khod,1.499021485075782,khod,chief priest
παῖς,276,unigram,masculine,accusative,plural,nez,1.2283758798241902,nez,child
παῖς,59,unigram,masculine,accusative,singular,miaq,1.049388384922307,miaq,child
τέκνον,387,unigram,neuter,accusative,plural,dug,1.499634566301252,dug,child
τέκνον,212,unigram,neuter,accusative,singular,vix,1.1035266213014745,vix,child
τέκνον,21,unigram,neuter,nominative,plural,yad,1.0572912419731553,yad,child
τέκνον,226,unigram,neuter,nominative,singular,par-og,2.5083937591149867,par-og,child
παιδίον,19,unigram,neuter,accusative,plural,tawr,1.3677045556098757,tawr,child
παιδίον,111,unigram,neuter,accusative,singular,nehax,1.3902011455282506,nehax,child
παιδίον,205,unigram,neuter,nominative,plural,Ghaz,1.0842796477834116,Ghaz,child
παιδίον,49,unigram,neuter,nominative,singular,nehax,3.068392415264247,nehax,child
πόλις,216,unigram,feminine,accusative,plural,med,2.064641136526667,med,city
πόλις,77,unigram,feminine,accusative,singular,med,3.281460908472988,med,city
πύλη,242,unigram,feminine,nominative,singular,kuhg,1.1634325640104934,kuhg,city gate
χιτών,140,unigram,masculine,accusative,plural,poq,1.3332198266960775,poq,"clothing, undergarments"
χιτών,36,unigram,masculine,accusative,singular,poq,1.971004445483494,poq,"clothing, undergarments"
ἱμάτιον,159,unigram,neuter,accusative,plural,poq,2.8388592329517253,poq,coat
ἱμάτιον,158,unigram,neuter,accusative,singular,poq,2.1755575787709094,poq,coat
ἐντολή,98,unigram,feminine,accusative,plural,tawd,2.15608239568826,tawd,commandment
ἐντολή,96,unigram,feminine,accusative,singular,tawd,1.3118909162955108,tawd,commandment
συνέδριον,370,unigram,neuter,accusative,plural,jawq,1.3639291550411037,jawq,council
συνέδριον,63,unigram,neuter,accusative,singular,jehg,1.182413540499458,jehg,council
χώρα,92,unigram,feminine,accusative,plural,six-i,1.2126978031066695,six-i,"country, countryside"
χώρα,338,unigram,feminine,accusative,singular,mig,1.3586307460911795,mig,"country, countryside"
ὄχλος,69,unigram,masculine,accusative,plural,nux,1.0021497636349557,nux,crowd
ὄχλος,13,unigram,masculine,accusative,singular,mor,1.5869547415566516,mor,crowd
ὄχλος,122,unigram,masculine,nominative,plural,mor,1.8251063481849945,mor,crowd
ὄχλος,328,unigram,masculine,nominative,singular,mor,1.4609101247232819,mor,crowd
θυγάτηρ,138,unigram,feminine,nominative,plural,dug,1.1045447070370027,dug,daughter
θυγάτηρ,365,unigram,feminine,nominative,singular,mid,1.388478358336002,mid,daughter
ἡμέρα,90,unigram,feminine,accusative,plural,ni,1.7693409732069136,ni,day
ἡμέρα,103,unigram,feminine,accusative,singular,ni,1.96028940018462,ni,day
ἡμέρα,2,unigram,feminine,nominative,plural,ni,1.2622592021501884,ni,day
ἡμέρα,79,unigram,feminine,nominative,singular,ni,1.3419136808109742,ni,day
ὀφειλέτης,294,unigram,masculine,nominative,plural,ter,1.1420787435810489,ter,debtor
ὀφειλέτης,148,unigram,masculine,nominative,singular,lang,1.2125176900525536,lang,debtor
δαιμόνιον,37,unigram,neuter,accusative,plural,kog,1.1079897922902402,kog,demon
δαιμόνιον,380,unigram,neuter,accusative,singular,ned,2.90856092387526,ned,demon
δαιμόνιον,228,unigram,neuter,nominative,plural,ned,3.086389549443441,ned,demon
δαιμόνιον,204,unigram,neuter,nominative,singular,ned,1.5947272856206762,ned,demon
δηνάριον,355,unigram,neuter,accusative,plural,thehq,2.1985889907126337,thehq,denarius (about a day's wages)
δηνάριον,192,unigram,neuter,accusative,singular,thehq,2.274657284908043,thehq,denarius (about a day's wages)
μαθητής,209,unigram,masculine,accusative,plural,ghuhd,1.7871248453198652,ghuhd,disciple
μαθητής,388,unigram,masculine,accusative,singular,ghuhd,1.6084344742263146,ghuhd,disciple
μαθητής,320,unigram,masculine,nominative,plural,ghuhd,1.6196086505669511,ghuhd,disciple
μαθητής,386,unigram,masculine,nominative,singular,ghuhd,1.931328382558631,ghuhd,disciple
νόσος,3,unigram,feminine,accusative,plural,nag,1.3194159362399838,nag,disease
