lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1068_translation,english_translation
θεός,116,unigram,masculine,accusative,singular,Kunzi,5.679310121085088,Kunzi,God
θεός,19,unigram,masculine,nominative,plural,‹Iɓunu,1.097258004808277,‹Iɓunu,God
θεός,185,unigram,masculine,nominative,singular,Kunzi,7.955368615980746,Kunzi,God
κύριος,286,unigram,masculine,nominative,plural,ɓamombukwana-dakɨ,1.1631489665259134,ɓamombukwana-dakɨ,"Lord, lord, master"
κύριος,117,unigram,masculine,nominative,singular,Mombukwono-dosu,4.004107073498046,Mombukwono-dosu,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,Moɓiso,1.6518769220149432,Moɓiso,Scripture
γραφή,41,unigram,feminine,accusative,singular,Moɓiso,1.4409641862365798,Moɓiso,Scripture
γραφή,230,unigram,feminine,nominative,plural,Motu,1.1105555738111579,Motu,Scripture
γραφή,280,unigram,feminine,nominative,singular,Moɓiso,1.2253923804679223,Moɓiso,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,ɓamalaika,2.389816001197203,ɓamalaika,angel
ἄγγελος,72,unigram,masculine,accusative,singular,atʉtʉmbwa,1.5448295788664463,atʉtʉmbwa,angel
ἄγγελος,37,unigram,masculine,nominative,plural,ɓamalaika,3.8269561157031156,ɓamalaika,angel
ἄγγελος,93,unigram,masculine,nominative,singular,malaika,1.8723062485331965,malaika,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,ɓatʉtʉmbwa,1.1412898761355559,ɓatʉtʉmbwa,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,atiki,1.2555537226329223,atiki,apostle
ἐξουσία,177,unigram,feminine,accusative,singular,ngu,2.2017220774810813,ngu,authority
βρέφος,9,unigram,neuter,accusative,plural,ɓawɛsɛ,1.0960670999999007,ɓawɛsɛ,babies
ἀποθήκη,234,unigram,feminine,accusative,plural,masɔlɔ,1.2684445886504858,masɔlɔ,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,basa,1.1133149773729267,basa,barn
ἀρχή,162,unigram,feminine,accusative,singular,owoniso,1.1062845238338443,owoniso,beginning
ζώνη,154,unigram,feminine,accusative,plural,makovonitɔgʉ,1.0960524252565438,makovonitɔgʉ,belt
βλασφημία,22,unigram,feminine,accusative,plural,akatʉmbwa,1.161346151680032,akatʉmbwa,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,mangbɔlɔ,1.9389727880776817,mangbɔlɔ,boat
πλοῖον,268,unigram,neuter,accusative,singular,ɨngbɔlɔ,3.094784633452357,ɨngbɔlɔ,boat
πλοῖον,209,unigram,neuter,nominative,plural,Ɓɛngbɔlɔ,1.096239847813496,Ɓɛngbɔlɔ,boat
πλοῖον,199,unigram,neuter,nominative,singular,kubi,1.157318093770792,kubi,boat
σῶμα,50,unigram,neuter,nominative,singular,nzʉyɨ,2.129843735688268,nzʉyɨ,body
κλῆμα,132,unigram,neuter,nominative,singular,kʉsɔ,1.1023306752064734,kʉsɔ,branch
ἄρτος,273,unigram,masculine,accusative,plural,mukati,3.745534394507563,mukati,bread
ἄρτος,293,unigram,masculine,accusative,singular,mukati,4.898414912694408,mukati,bread
ἄρτος,138,unigram,masculine,nominative,plural,mukati,2.4036582418457866,mukati,bread
ἄρτος,28,unigram,masculine,nominative,singular,mukati,2.9658736111098336,mukati,bread
ἀδελφός,258,unigram,masculine,accusative,plural,ɓamamakɨ,2.2228581959914813,ɓamamakɨ,brother
ἀδελφός,102,unigram,masculine,accusative,singular,mamakɨ,2.538333794094809,mamakɨ,brother
ἀδελφός,95,unigram,masculine,nominative,plural,ɓamamakɨ,1.4556959239253482,ɓamamakɨ,brother
ἀδελφός,203,unigram,masculine,nominative,singular,mamakɨ,1.7918315313699398,mamakɨ,brother
