lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1074_translation,english_translation
θεός,328,unigram,masculine,accusative,plural,banzambe,1.1634492944761523,banzambe,God
θεός,133,unigram,masculine,accusative,singular,Nzambe,3.393530134961889,Nzambe,God
θεός,29,unigram,masculine,nominative,plural,banzambe,1.2154724280609577,banzambe,God
θεός,208,unigram,masculine,nominative,singular,Nzambe,10.420896266099756,Nzambe,God
κύριος,330,unigram,masculine,nominative,plural,bankolo,1.2966169264520342,bankolo,"Lord, lord, master"
κύριος,134,unigram,masculine,nominative,singular,Nkolo,3.1300384358703353,Nkolo,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,Makomi,2.5228012790819534,Makomi,Scripture
γραφή,52,unigram,feminine,accusative,singular,Makomi,1.6951661518768368,Makomi,Scripture
γραφή,263,unigram,feminine,nominative,plural,Makomi,1.6063656373476247,Makomi,Scripture
γραφή,323,unigram,feminine,nominative,singular,Makomi,2.4391134294053267,Makomi,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,ba-anjelu,2.7855145272109194,ba-anjelu,angel
ἄγγελος,49,unigram,masculine,nominative,plural,ba-anjelu,4.721216330815323,ba-anjelu,angel
ἄγγελος,109,unigram,masculine,nominative,singular,anjelu,2.3037306573068936,anjelu,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,bantoma,1.7055031243077805,bantoma,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,motindi,1.2125895793310684,motindi,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,bakokumba,1.1616007369569912,bakokumba,authority
ἐξουσία,197,unigram,feminine,accusative,singular,bokonzi,4.0976544538880955,bokonzi,authority
βρέφος,16,unigram,neuter,accusative,plural,bapamelaki,1.1454672352426896,bapamelaki,babies
βρέφος,322,unigram,neuter,accusative,singular,elielo,1.0662850125332282,elielo,babies
ἀποθήκη,269,unigram,feminine,accusative,plural,bibombelo,1.999949042375989,bibombelo,barn
ἀρχή,72,unigram,feminine,accusative,plural,bakokumba,1.1613985352799874,bakokumba,beginning
ἀρχή,180,unigram,feminine,accusative,singular,amonisaki,1.2378094987613537,amonisaki,beginning
βλασφημία,33,unigram,feminine,accusative,plural,abimisa,1.0960768946513286,abimisa,blasphemy
βλασφημία,206,unigram,feminine,nominative,plural,mafinga,1.1062485993005018,mafinga,blasphemy
πλοῖον,107,unigram,neuter,accusative,plural,babwato,2.77440322901558,babwato,boat
πλοῖον,310,unigram,neuter,accusative,singular,bwato,2.7798096571332978,bwato,boat
πλοῖον,225,unigram,neuter,nominative,singular,bwato,2.0504313335706863,bwato,boat
σῶμα,214,unigram,neuter,nominative,plural,banzoto,1.887456721027004,banzoto,body
σῶμα,61,unigram,neuter,nominative,singular,nzoto,2.9438083656854723,nzoto,body
ἄρτος,314,unigram,masculine,accusative,plural,mapa,3.94526202588009,mapa,bread
ἄρτος,339,unigram,masculine,accusative,singular,lipa,2.5280312846740363,lipa,bread
ἄρτος,157,unigram,masculine,nominative,plural,mapa,1.5699201158701899,mapa,bread
ἄρτος,41,unigram,masculine,nominative,singular,lipa,2.940083047015832,lipa,bread
