lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1457_translation,english_translation
θεός,313,unigram,masculine,accusative,plural,ajiohin,1.1634492944761523,ajiohin,God
θεός,127,unigram,masculine,accusative,singular,Hollum,3.1065163927099824,Hollum,God
θεός,27,unigram,masculine,nominative,plural,ajiohin,1.2154724280609577,ajiohin,God
θεός,196,unigram,masculine,nominative,singular,Hollum,6.852723435609246,Hollum,God
κύριος,128,unigram,masculine,nominative,singular,Lamonye,3.0857374232707726,Lamonye,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,buk,1.1285828921529164,buk,Scripture
γραφή,47,unigram,feminine,accusative,singular,ihianata,1.1063446289765493,ihianata,Scripture
γραφή,252,unigram,feminine,nominative,plural,Buk,1.1034081958162951,Buk,Scripture
γραφή,309,unigram,feminine,nominative,singular,Buk,1.5422111507071463,Buk,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,ajilohien,2.389816001197203,ajilohien,angel
ἄγγελος,81,unigram,masculine,accusative,singular,eyani,1.1372109704226447,eyani,angel
ἄγγελος,43,unigram,masculine,nominative,plural,ajilohien,2.621031321556161,ajilohien,angel
ἄγγελος,102,unigram,masculine,nominative,singular,ajilo,4.535023918906111,ajilo,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,lefahat,1.8446466655455604,lefahat,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,elefahata,1.7927193590079757,elefahata,apostle
ἐξουσία,188,unigram,feminine,accusative,singular,elohittok,2.527458232710999,elohittok,authority
βρέφος,14,unigram,neuter,accusative,plural,olodolioo,1.2125536087908515,olodolioo,babies
βρέφος,308,unigram,neuter,accusative,singular,ofer,1.0354234526482031,ofer,babies
ἀποθήκη,66,unigram,feminine,accusative,singular,imugu,1.044106373330679,imugu,barn
φραγμός,223,unigram,masculine,accusative,plural,ikidimihien,1.161311312321613,ikidimihien,"barrier, wall"
ζώνη,164,unigram,feminine,accusative,plural,Hèlutotti,1.0960524252565438,Hèlutotti,belt
βλασφημία,30,unigram,feminine,accusative,plural,abalari,1.3847741282133226,abalari,blasphemy
βλασφημία,91,unigram,feminine,accusative,singular,Ittarrohojio,1.0960768946513286,Ittarrohojio,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,atogoli,1.971367067787112,atogoli,boat
πλοῖον,294,unigram,neuter,accusative,singular,itogol,1.162003911285103,itogol,boat
πλοῖον,229,unigram,neuter,nominative,plural,atogoli,1.0441966219365324,atogoli,boat
πλοῖον,214,unigram,neuter,nominative,singular,atogol,2.0501068808312453,atogol,boat
σῶμα,57,unigram,neuter,nominative,singular,ahuan,1.3734585253919227,ahuan,body
κλῆμα,54,unigram,neuter,nominative,plural,enoso,1.0595384180401852,enoso,branch
κλῆμα,141,unigram,neuter,nominative,singular,atanai,1.0595352057902494,atanai,branch
ἄρτος,298,unigram,masculine,accusative,plural,emunio,2.974052280656499,emunio,bread
ἄρτος,322,unigram,masculine,accusative,singular,emune,2.779195366332736,emune,bread
ἄρτος,149,unigram,masculine,nominative,plural,emunio,2.403319896219797,emunio,bread
ἄρτος,34,unigram,masculine,nominative,singular,emune,2.029896402715504,emune,bread
ἀδελφός,286,unigram,masculine,accusative,plural,illarak,2.9161461675842064,illarak,brother
ἀδελφός,115,unigram,masculine,accusative,singular,illanyi,1.1737689997720815,illanyi,brother
ἀδελφός,106,unigram,masculine,nominative,plural,illarak,4.1285130948159265,illarak,brother
ἀδελφός,221,unigram,masculine,nominative,singular,illahoi,1.195735020106283,illahoi,brother
στῆθος,272,unigram,neuter,accusative,singular,ros,1.3054332056603262,ros,"chest, breast"
ἀρχιερεύς,233,unigram,masculine,accusative,plural,ehumak,1.1776912602259608,ehumak,chief priest
ἀρχιερεύς,58,unigram,masculine,accusative,singular,ehumani,1.3960717365812978,ehumani,chief priest
ἀρχιερεύς,114,unigram,masculine,nominative,plural,ehumak,1.0855757324690365,ehumak,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,ehumani,1.1184199047271721,ehumani,chief priest
παῖς,45,unigram,masculine,accusative,singular,hottu,1.0595770845675438,hottu,child
τέκνον,316,unigram,neuter,accusative,plural,aduri,2.9962985397130706,aduri,child
τέκνον,169,unigram,neuter,accusative,singular,aduri,1.1285590679012931,aduri,child
τέκνον,15,unigram,neuter,nominative,plural,aduri,1.081070523853524,aduri,child
τέκνον,181,unigram,neuter,nominative,singular,Lonyi,1.243558804006417,Lonyi,child
παιδίον,13,unigram,neuter,accusative,plural,Aŋatana,1.6101335392518614,Aŋatana,child
παιδίον,86,unigram,neuter,accusative,singular,leto,1.1280385040587777,leto,child
παιδίον,162,unigram,neuter,nominative,plural,aduri,1.1181724256959422,aduri,child
παιδίον,36,unigram,neuter,nominative,singular,leto,1.0222387760752878,leto,child
πόλις,172,unigram,feminine,accusative,plural,gala,1.201966999775791,gala,city
πόλις,62,unigram,feminine,accusative,singular,gala,2.2449302781901546,gala,city
πύλη,254,unigram,feminine,nominative,plural,oduhonierek,1.1613200159490844,oduhonierek,city gate
πύλη,194,unigram,feminine,nominative,singular,ojiŋarik,1.0595352057902494,ojiŋarik,city gate
χιτών,110,unigram,masculine,accusative,plural,agamisi,1.2208456631699132,agamisi,"clothing, undergarments"
ἱμάτιον,125,unigram,neuter,accusative,plural,aboŋojin,3.2187713891852185,aboŋojin,coat
ἱμάτιον,124,unigram,neuter,accusative,singular,aboŋo,3.3194062581232493,aboŋo,coat
ἐντολή,78,unigram,feminine,accusative,plural,efahita,1.9568641465847152,efahita,commandment
ἐντολή,76,unigram,feminine,accusative,singular,efahita,1.4783365346969282,efahita,commandment
συνέδριον,303,unigram,neuter,accusative,plural,ilokikoi,1.1278221984622174,ilokikoi,council
συνέδριον,49,unigram,neuter,accusative,singular,ehumak,1.0782723847382725,ehumak,council
χώρα,72,unigram,feminine,accusative,plural,adori,1.09612600636564,adori,"country, countryside"
χώρα,276,unigram,feminine,accusative,singular,Gerasa,1.443312644037545,Gerasa,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,waati,1.1396356252227622,waati,crowd
ὄχλος,10,unigram,masculine,accusative,singular,eluluŋ,1.394310140586575,eluluŋ,crowd
ὄχλος,94,unigram,masculine,nominative,plural,waati,1.1755187524775683,waati,crowd
ὄχλος,268,unigram,masculine,nominative,singular,eluluŋ,1.7769765332411824,eluluŋ,crowd
θυγάτηρ,297,unigram,feminine,nominative,singular,ŋarri,4.036087867299623,ŋarri,daughter
ἡμέρα,70,unigram,feminine,accusative,plural,oŋitek,4.610384640389446,oŋitek,day
ἡμέρα,82,unigram,feminine,accusative,singular,oŋitek,1.297315961121752,oŋitek,day
ἡμέρα,2,unigram,feminine,nominative,plural,oŋitek,4.7274005019778045,oŋitek,day
