lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1618_translation,version_1619_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Nasaae,79.09423687165517,Nasaae,Nasaae,God
θεός,21,unigram,masculine,nominative,plural,banasaae,1.2039931838517444,banasaae,banasaae,God
θεός,173,unigram,masculine,nominative,singular,Nasaae,192.377965835019,Nasaae,Nasaae,God
κύριος,110,unigram,masculine,nominative,singular,Omwaami,27.631966252069983,Omwaami,Omwaami,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,byoolerefu,1.226774993760256,byoolerefu,byoolerefu,Scripture
γραφή,40,unigram,feminine,accusative,singular,ebyandiiko,1.5968683740442056,ebyandiiko,ebyandiiko,Scripture
γραφή,220,unigram,feminine,nominative,plural,byoolerefu,1.590540123546685,byoolerefu,byoolerefu,Scripture
γραφή,269,unigram,feminine,nominative,singular,byoolerefu,1.9616308242828149,byoolerefu,byoolerefu,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,bamalaika,3.678897215608985,bamalaika,bamalaika,angel
ἄγγελος,71,unigram,masculine,accusative,singular,nduma,1.1027164549234836,nduma,nduma,angel
ἄγγελος,38,unigram,masculine,nominative,plural,bamalaika,6.43903271316251,bamalaika,bamalaika,angel
ἄγγελος,88,unigram,masculine,nominative,singular,malaika,3.566909460115364,malaika,malaika,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,nibaholere,1.1417303048210623,nibaholere,nibaholere,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,siyahahira,1.3487755491656248,siyahahira,siyahahira,apostle
ἐξουσία,165,unigram,feminine,accusative,singular,obunyala,41.71173896217208,obunyala,obunyala,authority
ἀποθήκη,58,unigram,feminine,accusative,singular,syaaki,2.153783218112742,syaaki,syaaki,barn
βλασφημία,25,unigram,feminine,accusative,plural,n'afwoola,1.3487552800257419,n'afwoola,n'afwoola,blasphemy
βλασφημία,72,unigram,feminine,nominative,singular,bubi,2.133075118462718,bubi,bubi,blasphemy
πλοῖον,86,unigram,neuter,accusative,plural,amaato,1.4717796816143318,amaato,amaato,boat
πλοῖον,257,unigram,neuter,accusative,singular,lyaato,7.557118434298993,lyaato,lyaato,boat
πλοῖον,187,unigram,neuter,nominative,singular,elyaato,2.1473329512660855,elyaato,elyaato,boat
σῶμα,49,unigram,neuter,nominative,singular,omubiri,5.765445481292449,omubiri,omubiri,body
κλῆμα,122,unigram,neuter,nominative,singular,mweese,2.6104872000241097,mweese,mweese,branch
ἄρτος,262,unigram,masculine,accusative,plural,emigaati,6.721832372732004,emigaati,emigaati,bread
ἄρτος,281,unigram,masculine,accusative,singular,omugaati,18.2772470352905,omugaati,omugaati,bread
ἄρτος,128,unigram,masculine,nominative,plural,emigaati,1.708738003303587,emigaati,emigaati,bread
ἄρτος,30,unigram,masculine,nominative,singular,omugaati,8.081090824559675,omugaati,omugaati,bread
ἀδελφός,247,unigram,masculine,accusative,plural,bamwaanang'ina,2.460959723137635,bamwaanang'ina,bamwaanang'ina,brother
ἀδελφός,98,unigram,masculine,accusative,singular,Yakobbo,1.2761040262938113,Yakobbo,Yakobbo,brother
ἀδελφός,91,unigram,masculine,nominative,plural,bamwaanang'ina,1.7084240948992915,bamwaanang'ina,bamwaanang'ina,brother
ἀδελφός,192,unigram,masculine,nominative,singular,mwaanang'ina,1.3085304882700908,mwaanang'ina,mwaanang'ina,brother
στῆθος,233,unigram,neuter,accusative,singular,sirifu,1.6861181185037633,sirifu,sirifu,"chest, breast"
