lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1904_translation,version_1905_translation,english_translation
θεός,131,unigram,masculine,accusative,singular,,,Mukulu,Nzambi,God
θεός,28,unigram,masculine,nominative,plural,nwidie,1.3312679263925702,nwidie,,God
θεός,203,unigram,masculine,nominative,singular,,,Mukulu,Nzambi,God
κύριος,132,unigram,masculine,nominative,singular,,,Mfumu,Mukelenge,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,,,tshijila,Mukanda,Scripture
γραφή,52,unigram,feminine,accusative,singular,Mukanda,1.7161740225926112,Mukanda,Mukanda,Scripture
γραφή,257,unigram,feminine,nominative,plural,,,Mikanda,Mukanda,Scripture
γραφή,318,unigram,feminine,nominative,singular,,,tshijila,Mukanda,Scripture
ἄγγελος,97,unigram,masculine,accusative,plural,,,batumibue,banjelo,angel
ἄγγελος,84,unigram,masculine,accusative,singular,ntuma,1.0404223368358003,ntuma,,angel
ἄγγελος,48,unigram,masculine,nominative,plural,,,batumibue,banjelo,angel
ἄγγελος,107,unigram,masculine,nominative,singular,,,mutumibue,Muanjelo,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,,,Bapostolu,bapostolo,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mumutume,1.1029388070418886,mumutume,,apostle
ἐξουσία,195,unigram,feminine,accusative,singular,,,bumfumu,bukole,authority
βρέφος,16,unigram,neuter,accusative,plural,,,kubatandishabu,hakamona,babies
βρέφος,317,unigram,neuter,accusative,singular,,,muladika,tshidilu,babies
ἀποθήκη,264,unigram,feminine,accusative,plural,mayeba,2.853448190209411,mayeba,mayeba,barn
ἀποθήκη,71,unigram,feminine,accusative,singular,,,diyeba,mponda,barn
ἀρχή,179,unigram,feminine,accusative,singular,kulejaye,1.1796099268067013,kulejaye,,beginning
ζώνη,171,unigram,feminine,accusative,plural,bibombi,1.059531995066612,bibombi,,belt
ζώνη,218,unigram,feminine,accusative,singular,usuika,1.0960524252565438,usuika,,belt
βλασφημία,32,unigram,feminine,accusative,plural,,,Se,kukonkangana,blasphemy
βλασφημία,85,unigram,feminine,nominative,singular,,,bipendu,bihendu,blasphemy
πλοῖον,105,unigram,neuter,accusative,plural,matu,3.6921597670129134,matu,matu,boat
πλοῖον,304,unigram,neuter,accusative,singular,buatu,21.820767069194684,buatu,buatu,boat
πλοῖον,234,unigram,neuter,nominative,plural,Matu,1.096239847813496,Matu,,boat
πλοῖον,220,unigram,neuter,nominative,singular,buatu,1.9943643446786539,buatu,buatu,boat
σῶμα,62,unigram,neuter,nominative,singular,mubidi,2.1883180453764792,mubidi,mubidi,body
κλῆμα,58,unigram,neuter,nominative,plural,neakuame,1.1613200159490844,,neakuame,branch
κλῆμα,147,unigram,neuter,nominative,singular,,,nanyi,ditamba,branch
ἄρτος,309,unigram,masculine,accusative,plural,,,mampa,mitanda,bread
ἄρτος,331,unigram,masculine,accusative,singular,,,diampa,bidia,bread
ἄρτος,156,unigram,masculine,nominative,plural,,,mampa,mitanda,bread
ἄρτος,39,unigram,masculine,nominative,singular,,,diampa,bidia,bread
ἀδελφός,295,unigram,masculine,accusative,plural,bana,4.870756592401348,bana,bana,brother
ἀδελφός,119,unigram,masculine,accusative,singular,,,muanabu,muanʼabo,brother
ἀδελφός,111,unigram,masculine,nominative,plural,bana,1.9267682099384715,bana,bana,brother
ἀδελφός,226,unigram,masculine,nominative,singular,,,muanabu,muanʼabo,brother
στῆθος,279,unigram,neuter,accusative,singular,,,nnganyi,tshiadi,"chest, breast"
ἀρχιερεύς,239,unigram,masculine,accusative,plural,,,batuangaji,banene,chief priest
ἀρχιερεύς,63,unigram,masculine,accusative,singular,,,mutuangaji,muakuidi,chief priest
ἀρχιερεύς,118,unigram,masculine,nominative,plural,,,batuangaji,banene,chief priest
ἀρχιερεύς,243,unigram,masculine,nominative,singular,,,munene,Muakuidi,chief priest
παῖς,230,unigram,masculine,accusative,plural,tshishi,1.2238623898824803,,tshishi,child
παῖς,50,unigram,masculine,accusative,singular,kumunyukula,1.0961210847775034,kumunyukula,,child
τέκνον,325,unigram,neuter,accusative,plural,bana,13.061398023903479,bana,bana,child
τέκνον,177,unigram,neuter,accusative,singular,muanʼabo,1.0060465231551836,,muanʼabo,child
τέκνον,17,unigram,neuter,nominative,plural,Bana,1.1243459400375662,Bana,,child
τέκνον,188,unigram,neuter,nominative,singular,,,Muananyi,Muanʼanyi,child
παιδίον,15,unigram,neuter,accusative,plural,,,Lekelayi,bakese,child
παιδίον,92,unigram,neuter,accusative,singular,muana,4.598829421765907,muana,muana,child
παιδίον,169,unigram,neuter,nominative,plural,,,Bana,bakese,child
παιδίον,41,unigram,neuter,nominative,singular,muana,1.7809304248037772,muana,muana,child
πόλις,180,unigram,feminine,accusative,plural,,,bimenga,misoko,city
πόλις,67,unigram,feminine,accusative,singular,,,tshimenga,musoko,city
πύλη,261,unigram,feminine,nominative,plural,bimuhita,1.0960622061228922,,bimuhita,city gate
πύλη,201,unigram,feminine,nominative,singular,mubumbakane,1.325896141101945,,mubumbakane,city gate
χιτών,115,unigram,masculine,accusative,plural,bikowelu,1.1635805354746271,,bikowelu,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,,,tshinkutu,nshemise,"clothing, undergarments"
ἱμάτιον,129,unigram,neuter,accusative,plural,,,bilamba,bilulu,coat
ἱμάτιον,128,unigram,neuter,accusative,singular,,,tshinkutu,kazaku,coat
ἐντολή,82,unigram,feminine,accusative,plural,,,mikenji,mikenshi,commandment
ἐντολή,80,unigram,feminine,accusative,singular,,,mukenji,mukenshi,commandment
συνέδριον,313,unigram,neuter,accusative,plural,,,kutendelela,nebanukume,council
συνέδριον,54,unigram,neuter,accusative,singular,bakuidi,1.0296162710308787,,bakuidi,council
χώρα,284,unigram,feminine,accusative,singular,,,ditunga,luseke,"country, countryside"
ὄχλος,59,unigram,masculine,accusative,plural,,,bantu,bisumbu,crowd
ὄχλος,10,unigram,masculine,accusative,singular,bantu,4.935443922985976,bantu,bantu,crowd
ὄχλος,99,unigram,masculine,nominative,plural,,,Bantu,bantu,crowd
ὄχλος,275,unigram,masculine,nominative,singular,,,bavule,tshisumbu,crowd
θυγάτηρ,308,unigram,feminine,nominative,singular,,,bakaji,mukashi,daughter
ἡμέρα,75,unigram,feminine,accusative,plural,matuku,12.12740983199209,matuku,matuku,day
ἡμέρα,86,unigram,feminine,accusative,singular,dituku,3.5452267247478404,dituku,dituku,day
ἡμέρα,2,unigram,feminine,nominative,plural,matuku,10.099684750249606,matuku,matuku,day
ἡμέρα,69,unigram,feminine,nominative,singular,,,dituku,Dituku,day
ὀφειλέτης,120,unigram,masculine,nominative,singular,Hakabangeye,1.1613026128296644,,Hakabangeye,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,,,mikishi,bademon,demon
δαιμόνιον,321,unigram,neuter,accusative,singular,,,mukishi,demon,demon
δαιμόνιον,190,unigram,neuter,nominative,plural,,,mikishi,bademon,demon
δαιμόνιον,167,unigram,neuter,nominative,singular,,,mubi,demon,demon
δηνάριον,299,unigram,neuter,accusative,plural,,,tshitoke,ndenalio,denarius (about a day's wages)
δηνάριον,158,unigram,neuter,accusative,singular,,,Ndejayi,ndenalio,denarius (about a day's wages)
μαθητής,174,unigram,masculine,accusative,plural,,,balongi,bayidi,disciple
μαθητής,326,unigram,masculine,accusative,singular,,,mulongi,muyidi,disciple
μαθητής,268,unigram,masculine,nominative,plural,,,Balongi,bayidi,disciple
μαθητής,324,unigram,masculine,nominative,singular,,,mulongi,muyidi,disciple
νόσος,3,unigram,feminine,accusative,plural,,,masama,mabedi,disease
νόσος,74,unigram,feminine,accusative,singular,matekete,1.9315433330417497,matekete,matekete,disease
περιστερά,98,unigram,feminine,accusative,plural,,,nkudimba,nkutshi,dove
περιστερά,56,unigram,feminine,accusative,singular,,,nkudimba,nkutshi,dove
οὖς,146,unigram,neuter,accusative,plural,,,matshi,matshu,ear
οὖς,274,unigram,neuter,accusative,singular,,,ditshi,ditshu,ear
σεισμός,196,unigram,masculine,nominative,plural,,,Biyole,biole,"earthquakes, storm"
σεισμός,65,unigram,masculine,nominative,singular,Diakamue,1.2314318237814303,Diakamue,,"earthquakes, storm"
τέλος,265,unigram,neuter,accusative,singular,ndekelu,1.8224073174921789,ndekelu,,end
αἰών,231,unigram,masculine,accusative,plural,tshishikidilu,1.21284283489344,,tshishikidilu,eternity
αἰών,296,unigram,masculine,accusative,singular,tshiendelele,6.956801507307328,tshiendelele,tshiendelele,eternity
ὀφθαλμός,23,unigram,masculine,accusative,plural,mesu,23.931132338191908,mesu,mesu,eye
ὀφθαλμός,11,unigram,masculine,accusative,singular,Disu,1.0962997391267022,,Disu,eye
ὀφθαλμός,66,unigram,masculine,nominative,plural,,,Mesu,mesu,eye
ὀφθαλμός,293,unigram,masculine,nominative,singular,,,mesu,disu,eye
πρόσωπον,186,unigram,neuter,accusative,singular,mpala,4.199472261644137,mpala,mpala,face
λιμός,6,unigram,feminine,nominative,plural,Biyole,1.0595416318177244,Biyole,,famine
γεωργός,244,unigram,masculine,nominative,plural,,,bafutshidi,bidime,"farmer, tenant"
γεωργός,51,unigram,masculine,nominative,singular,,,menemene,muonshi,"farmer, tenant"
πατήρ,191,unigram,masculine,accusative,plural,mulaye,1.1148833694129363,mulaye,,father
πατήρ,298,unigram,masculine,accusative,singular,Tatu,5.939442744070091,Tatu,Tatu,father
πατήρ,307,unigram,masculine,nominative,plural,bankambua,1.3333006933570863,bankambua,bankambua,father
πατήρ,181,unigram,masculine,nominative,singular,Tatu,74.96451782024236,Tatu,Tatu,father
σύνδουλος,139,unigram,masculine,accusative,plural,mitutu,1.0960670999999007,,mitutu,"fellow-servant, colleague"
