lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2005_translation,version_2006_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Nyasaye,10.864548571491754,Nyasaye,Nyasaye,God
θεός,22,unigram,masculine,nominative,plural,abanyasaye,1.2039871594431424,abanyasaye,abanyasaye,God
θεός,171,unigram,masculine,nominative,singular,Nyasaye,40.35413694785197,Nyasaye,Nyasaye,God
κύριος,110,unigram,masculine,nominative,singular,Omwami,29.669000588550578,Omwami,Omwami,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Amahandiko,8.58858414259098,Amahandiko,Amahandiko,Scripture
γραφή,40,unigram,feminine,accusative,singular,Amahandiko,2.0250142625575505,Amahandiko,Amahandiko,Scripture
γραφή,214,unigram,feminine,nominative,plural,Amahandiko,4.995258798893858,Amahandiko,Amahandiko,Scripture
γραφή,264,unigram,feminine,nominative,singular,Amahandiko,12.1449921656687,Amahandiko,Amahandiko,Scripture
ἄγγελος,78,unigram,masculine,accusative,plural,abamalaikabe,2.2115415926586124,abamalaikabe,abamalaikabe,angel
ἄγγελος,69,unigram,masculine,accusative,singular,imbeliwo,1.1027130372579441,imbeliwo,imbeliwo,angel
ἄγγελος,37,unigram,masculine,nominative,plural,abamalaika,5.532423913598438,abamalaika,abamalaika,angel
ἄγγελος,89,unigram,masculine,nominative,singular,omumalaika,4.469465863271853,omumalaika,omumalaika,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,Abarume,2.5917807960444836,Abarume,Abarume,apostle
ἐξουσία,164,unigram,feminine,accusative,singular,obunyali,1.5018330475203014,obunyali,obunyali,authority
βρέφος,10,unigram,neuter,accusative,plural,babahalabila,1.2013738207999172,babahalabila,babahalabila,babies
βρέφος,263,unigram,neuter,accusative,singular,niyalisiibwe,1.1226284695549662,niyalisiibwe,niyalisiibwe,babies
βλασφημία,26,unigram,feminine,accusative,plural,ounyekanga,1.2013953022722905,ounyekanga,ounyekanga,blasphemy
πλοῖον,87,unigram,neuter,accusative,plural,amaaro,1.595193217337054,amaaro,amaaro,boat
πλοῖον,253,unigram,neuter,accusative,singular,muliaro,27.042322985460938,muliaro,muliaro,boat
πλοῖον,185,unigram,neuter,nominative,singular,khuluchinga,1.0462110522978598,khuluchinga,khuluchinga,boat
σῶμα,49,unigram,neuter,nominative,singular,omubilikwo,1.7136236151276003,omubilikwo,omubilikwo,body
κλῆμα,122,unigram,neuter,nominative,singular,mwisie,2.077860669940732,mwisie,mwisie,branch
ἄρτος,256,unigram,masculine,accusative,plural,emikaate,5.291590160822951,emikaate,emikaate,bread
ἄρτος,276,unigram,masculine,accusative,singular,omukaate,4.129126973205967,omukaate,omukaate,bread
ἄρτος,129,unigram,masculine,nominative,plural,emikaate,1.7708697538971727,emikaate,emikaate,bread
ἄρτος,29,unigram,masculine,nominative,singular,omukaate,4.376237117236022,omukaate,omukaate,bread
ἀδελφός,243,unigram,masculine,accusative,plural,abaana,1.2953557678478416,abaana,abaana,brother
ἀδελφός,100,unigram,masculine,accusative,singular,wabwe,1.777421775758186,wabwe,wabwe,brother
ἀδελφός,92,unigram,masculine,nominative,plural,abasiani,2.2373273427604583,abasiani,abasiani,brother
ἀδελφός,188,unigram,masculine,nominative,singular,omusiani,3.2802138371212695,omusiani,omusiani,brother
στῆθος,229,unigram,neuter,accusative,singular,omwechi,1.0467783906382033,omwechi,omwechi,"chest, breast"
ἀρχιερεύς,197,unigram,masculine,accusative,plural,abakhulundu,1.079237309485521,abakhulundu,abakhulundu,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,abakhulundu,4.313250754985403,abakhulundu,abakhulundu,chief priest
