lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1120_translation,english_translation
θεός,144,unigram,masculine,accusative,singular,Zhiklè,3.631838011904906,Zhiklè,God
θεός,34,unigram,masculine,nominative,plural,zhiklèhai,1.6995788693647669,zhiklèhai,God
θεός,223,unigram,masculine,nominative,singular,Zhiklè,9.2110817828481,Zhiklè,God
κύριος,352,unigram,masculine,nominative,plural,prokoƋi,1.2586284575906634,prokoƋi,"Lord, lord, master"
κύριος,145,unigram,masculine,nominative,singular,Bai,1.7574828742532702,Bai,"Lord, lord, master"
γραφή,139,unigram,feminine,accusative,plural,pèkèt,1.4422981456362531,pèkèt,Scripture
γραφή,57,unigram,feminine,accusative,singular,Ƌèlèwèr,1.2395711056654186,Ƌèlèwèr,Scripture
γραφή,280,unigram,feminine,nominative,plural,Ƌèlèwèr,1.1826307087265175,Ƌèlèwèr,Scripture
γραφή,345,unigram,feminine,nominative,singular,Ƌèlèwèr,1.7997217481755723,Ƌèlèwèr,Scripture
ἄγγελος,109,unigram,masculine,accusative,plural,golahi,1.7472511634892185,golahi,angel
ἄγγελος,92,unigram,masculine,accusative,singular,gol,1.222323370684463,gol,angel
ἄγγελος,53,unigram,masculine,nominative,plural,golahi,1.075878412679018,golahi,angel
ἄγγελος,118,unigram,masculine,nominative,singular,gol,2.3862167908521235,gol,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,sak,1.9536690788779636,sak,apostle
ἐξουσία,76,unigram,feminine,accusative,plural,tsoko,1.035490102867098,tsoko,authority
ἐξουσία,214,unigram,feminine,accusative,singular,mva,1.0105500610069524,mva,authority
βρέφος,19,unigram,neuter,accusative,plural,nhelka,1.0938562592316634,nhelka,babies
βρέφος,343,unigram,neuter,accusative,singular,torok,1.386141117471433,torok,babies
ἀποθήκη,287,unigram,feminine,accusative,plural,wov,1.3874562430747563,wov,barn
ἀποθήκη,75,unigram,feminine,accusative,singular,wov,1.5323096753179035,wov,barn
φραγμός,248,unigram,masculine,accusative,plural,vatétika,1.161311312321613,vatétika,"barrier, wall"
ἀρχή,79,unigram,feminine,accusative,plural,tsoko,1.0354420932147959,tsoko,beginning
ἀρχή,196,unigram,feminine,accusative,singular,Cana,1.1614494121813659,Cana,beginning
ζώνη,189,unigram,feminine,accusative,plural,verzhègenè,1.1613026128296644,verzhègenè,belt
βλασφημία,38,unigram,feminine,accusative,plural,hérèa.Nenga,1.161346151680032,hérèa.Nenga,blasphemy
βλασφημία,106,unigram,feminine,accusative,singular,derƋi,1.0960768946513286,derƋi,blasphemy
πλοῖον,117,unigram,neuter,accusative,plural,wuromhi,1.2622622571768172,wuromhi,boat
πλοῖον,328,unigram,neuter,accusative,singular,wurom,4.796404963073278,wurom,boat
πλοῖον,254,unigram,neuter,nominative,plural,njèke,1.01883842735644,njèke,boat
πλοῖον,241,unigram,neuter,nominative,singular,wurom,2.3880500077691957,wurom,boat
σῶμα,67,unigram,neuter,nominative,singular,va,1.3064704597984285,va,body
κλῆμα,63,unigram,neuter,nominative,plural,íe,1.3874288581371126,íe,branch
κλῆμα,162,unigram,neuter,nominative,singular,wof,1.032091060765586,wof,branch
