lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2248_translation,version_2249_translation,version_2250_translation,english_translation
θεός,309,unigram,masculine,accusative,plural,भंग,1.097258004808277,भंग,,,God
θεός,123,unigram,masculine,accusative,singular,देव,2.01631472532,देव,देवाचा,देव,God
θεός,26,unigram,masculine,nominative,plural,देव,1.3754799244253524,,देव,देव,God
θεός,193,unigram,masculine,nominative,singular,देव,15.228326550293938,देव,देव,देव,God
κύριος,311,unigram,masculine,nominative,plural,धनी,1.2036052582263375,,धनी,धनी,"Lord, lord, master"
κύριος,124,unigram,masculine,nominative,singular,धनी,1.2391970191891424,प्रभू,धनी,धनी,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,,,शास्त्रलेख,धर्मशास्त्र,शास्त्र,Scripture
γραφή,46,unigram,feminine,accusative,singular,,,शास्त्रलेख,धर्मशास्त्रलेख,,Scripture
γραφή,243,unigram,feminine,nominative,plural,पूर्ण,1.2181991155441516,पूर्ण,पूर्ण,व्हावेत,Scripture
γραφή,304,unigram,feminine,nominative,singular,शास्त्रलेख,2.792436888842604,शास्त्रलेख,धर्मशास्त्रलेख,शास्त्रलेख,Scripture
ἄγγελος,77,unigram,masculine,accusative,singular,तुझ्यापुढे,1.675838318362418,दूताला,तुझ्यापुढे,तुझ्यापुढे,angel
ἄγγελος,43,unigram,masculine,nominative,plural,देवदूत,3.1669905966130574,देवदूत,देवदूत,देवदूत,angel
ἄγγελος,99,unigram,masculine,nominative,singular,देवदूत,1.5632379486484542,देवदूत,,,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,प्रेषित,5.185343272826401,प्रेषित,प्रेषित,प्रेषित,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,पाठवणार्‍यापेक्षा,1.0960817954296525,,,पाठवणार्‍यापेक्षा,apostle
ἐξουσία,64,unigram,feminine,accusative,plural,सभास्थाने,1.0962199599997684,सभास्थाने,,,authority
ἐξουσία,185,unigram,feminine,accusative,singular,अधिकार,35.10251682428849,अधिकार,अधिकार,अधिकार,authority
βρέφος,302,unigram,neuter,accusative,singular,गव्हाणीत,2.0440530074964602,गव्हाणीत,गव्हाणीत,गव्हाणीत,babies
ἀποθήκη,248,unigram,feminine,accusative,plural,धान्य,1.999949042375989,,धान्य,,barn
φραγμός,217,unigram,masculine,accusative,plural,कुंपणाजवळ,1.096057314542422,कुंपणाजवळ,,,"barrier, wall"
ἀρχή,66,unigram,feminine,accusative,plural,सभास्थाने,1.0961063339256685,सभास्थाने,,,beginning
ἀρχή,167,unigram,feminine,accusative,singular,पहिल्यापासून,1.1062845238338443,,पहिल्यापासून,,beginning
βλασφημία,30,unigram,feminine,accusative,plural,,,स्वतःशी,परमेश्‍वराशिवाय,,blasphemy
βλασφημία,87,unigram,feminine,accusative,singular,,,देवाविरूद्ध,त्यांचीं,साक्षीदारांची,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,मचवे,2.153609354557744,होडीतील,मचवे,मचवे,boat
πλοῖον,288,unigram,neuter,accusative,singular,मचव्यात,4.800266576287505,तारवात,मचव्यात,मचव्यात,boat
πλοῖον,223,unigram,neuter,nominative,plural,दुसरेही,1.096239847813496,,दुसरेही,,boat
πλοῖον,210,unigram,neuter,nominative,singular,मचवा,3.554860367027724,तारू,मचवा,मचवा,boat
σῶμα,199,unigram,neuter,nominative,plural,शरीरे,1.999948655640119,,,शरीरे,body
σῶμα,55,unigram,neuter,nominative,singular,शरीर,56.528078010780334,शरीर,शरीर,शरीर,body
κλῆμα,138,unigram,neuter,nominative,singular,माझ्यामध्ये,4.324268731983622,माझ्यामध्ये,माझ्यामध्ये,माझ्यामध्ये,branch
ἄρτος,293,unigram,masculine,accusative,plural,भाकरी,68.97552264272657,भाकरी,भाकरी,भाकरी,bread
ἄρτος,318,unigram,masculine,accusative,singular,भाकर,132.82728655151203,भाकर,भाकर,भाकर,bread
ἄρτος,146,unigram,masculine,nominative,plural,भाकरी,20.045758461334106,भाकरी,भाकरी,भाकरी,bread
ἄρτος,36,unigram,masculine,nominative,singular,भाकर,8.466939294259289,भाकर,भाकर,भाकर,bread
ἀδελφός,278,unigram,masculine,accusative,plural,भाऊ,51.70314945304064,भाऊ,भाऊ,भाऊ,brother
ἀδελφός,111,unigram,masculine,accusative,singular,भाऊ,19.058365526494832,भाऊ,भाऊ,भाऊ,brother
ἀδελφός,102,unigram,masculine,nominative,plural,भाऊ,6.162502549049876,भाऊ,भाऊ,भाऊ,brother
ἀδελφός,215,unigram,masculine,nominative,singular,भाऊ,49.33184305139693,भाऊ,भाऊ,भाऊ,brother
στῆθος,263,unigram,neuter,accusative,singular,,,कोण,उराशी,लवून,"chest, breast"
ἀρχιερεύς,226,unigram,masculine,accusative,plural,मुख्य,8.170955867407597,मुख्य,मुख्य,मुख्य,chief priest
ἀρχιερεύς,56,unigram,masculine,accusative,singular,,,,याजक,प्रमुख,chief priest
ἀρχιερεύς,110,unigram,masculine,nominative,plural,मुख्य,6.767930836585432,मुख्य,मुख्य,मुख्य,chief priest
ἀρχιερεύς,230,unigram,masculine,nominative,singular,,,महायाजक,उच्च,प्रमुख,chief priest
παῖς,220,unigram,masculine,accusative,plural,पुरूष,1.3661468339491778,पुरूष,,,child
τέκνον,313,unigram,neuter,accusative,plural,मुले,9.283134795839862,मुले,मुले,मुले,child
τέκνον,165,unigram,neuter,accusative,singular,भाऊ,1.3235176405262992,भाऊ,भाऊ,आईबापांवर,child
τέκνον,14,unigram,neuter,nominative,plural,मुले,3.0037887124555933,मुले,मुले,मुले,child
τέκνον,177,unigram,neuter,nominative,singular,मुला,17.75360963560887,मुला,मुला,मुला,child
παιδίον,13,unigram,neuter,accusative,plural,,,येऊ,अडवू,बालकांना,child
παιδίον,83,unigram,neuter,accusative,singular,बालकाला,1.4068390089937828,बालकाला,घेऊन,बालकाला,child
παιδίον,159,unigram,neuter,nominative,plural,मुले,1.2813406187628702,मुले,,,child
παιδίον,38,unigram,neuter,nominative,singular,बालक,2.8011671417877473,वाढत,बालक,बालक,child
πόλις,168,unigram,feminine,accusative,plural,नगरांत,1.9251141978468425,,नगरांत,,city
πόλις,60,unigram,feminine,accusative,singular,नगरात,15.070277871065356,नगरात,नगरात,नगरात,city
πύλη,191,unigram,feminine,nominative,singular,,,अरुंद,,दरवाजा,city gate
χιτών,106,unigram,masculine,accusative,plural,,,काठी,वाटेसाठी,,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,,,बंडी,घेतो,अंगरखाही,"clothing, undergarments"
ἱμάτιον,121,unigram,neuter,accusative,plural,वस्त्रे,2.6176258795538803,कपडे,वस्त्रे,वस्त्रे,coat
ἱμάτιον,120,unigram,neuter,accusative,singular,,,झगा,,वस्त्र,coat
ἐντολή,75,unigram,feminine,accusative,plural,आज्ञा,13.69260257992628,आज्ञा,आज्ञा,आज्ञा,commandment
ἐντολή,73,unigram,feminine,accusative,singular,आज्ञा,17.026083847234712,आज्ञा,आज्ञा,आज्ञा,commandment
συνέδριον,297,unigram,neuter,accusative,plural,स्वाधीन,1.2580861062769924,स्वाधीन,स्वाधीन,न्यायसभांच्या,council
συνέδριον,48,unigram,neuter,accusative,singular,मुख्य,1.158534545995401,सभा,मुख्य,मुख्य,council
χώρα,267,unigram,feminine,accusative,singular,,,गरसेकरांच्या,,देशात,"country, countryside"
ὄχλος,52,unigram,masculine,accusative,plural,,,निरोप,लोकसमुदायाला,लोकसमुदायांना,crowd
ὄχλος,9,unigram,masculine,accusative,singular,लोकसमुदाय,1.8765239857656455,लोकसमुदाय,लोकसमुदाय,लोकसमुदाय,crowd
ὄχλος,91,unigram,masculine,nominative,plural,लोकसमुदाय,6.1439157301959115,लोकसमुदाय,लोकसमुदाय,लोकसमुदाय,crowd
ὄχλος,258,unigram,masculine,nominative,singular,लोकसमुदाय,1.9724003811655333,लोकसमुदाय,लोक,लोकसमुदाय,crowd
θυγάτηρ,292,unigram,feminine,nominative,singular,मुलगी,18.10238729935066,मुलगी,मुलगी,मुलगी,daughter
ἡμέρα,69,unigram,feminine,accusative,plural,दिवस,4.488352002708028,दिवस,दिवस,दिवस,day
ἡμέρα,78,unigram,feminine,accusative,singular,दररोज,7.409163061573609,दररोज,दररोज,दररोज,day
ἡμέρα,2,unigram,feminine,nominative,plural,दिवस,59.41053937247941,दिवस,दिवस,दिवस,day
ἡμέρα,62,unigram,feminine,nominative,singular,दिवस,74.17587920169646,दिवस,दिवस,दिवस,day
δαιμόνιον,28,unigram,neuter,accusative,plural,भुते,10.747412480547483,भूते,भुते,भुते,demon
δαιμόνιον,307,unigram,neuter,accusative,singular,भूत,17.336386972528242,भूत,भूत,भूत,demon
δαιμόνιον,179,unigram,neuter,nominative,plural,भुते,2.084233399171408,भूते,भुते,भुते,demon
δαιμόνιον,158,unigram,neuter,nominative,singular,,,भूत,निघून,भुताला,demon
δηνάριον,283,unigram,neuter,accusative,plural,,,चांदीचे,चांदीची,रुपये,denarius (about a day's wages)
δηνάριον,148,unigram,neuter,accusative,singular,नाणे,2.9240806314102157,नाणे,नाणे,नाणे,denarius (about a day's wages)
μαθητής,163,unigram,masculine,accusative,plural,शिष्यांना,32.38698949490764,शिष्यांना,शिष्यांना,शिष्यांना,disciple
μαθητής,314,unigram,masculine,accusative,singular,शिष्यावर,3.1131704161751457,शिष्यावर,शिष्यावर,शिष्यावर,disciple
μαθητής,251,unigram,masculine,nominative,plural,शिष्य,26.736656135392852,शिष्य,शिष्य,शिष्य,disciple
μαθητής,312,unigram,masculine,nominative,singular,शिष्य,43.09189160664732,शिष्य,शिष्य,शिष्य,disciple
νόσος,3,unigram,feminine,accusative,plural,रोग,3.71860431330017,रोग,रोग,रोग,disease
νόσος,68,unigram,feminine,accusative,singular,,,आजार,रोग,दुखणी,disease
περιστερά,90,unigram,feminine,accusative,plural,कबुतरे,8.443026602649708,कबुतरे,कबुतरे,कबुतरे,dove
περιστερά,50,unigram,feminine,accusative,singular,कबुतरासारखा,1.1935517988601305,,कबुतरासारखा,कबुतरासारखा,dove
οὖς,137,unigram,neuter,accusative,plural,कान,1.1923508946051138,कान,कान,कान,ear
οὖς,257,unigram,neuter,accusative,singular,,,कानात,उजेडात,,ear
σεισμός,186,unigram,masculine,nominative,plural,,,भूकंप,,भूमिकंप,"earthquakes, storm"
σεισμός,58,unigram,masculine,nominative,singular,पाहा,1.0184517907146298,पाहा,,,"earthquakes, storm"
τέλος,249,unigram,neuter,accusative,singular,शेवटपर्यंत,7.770112002369994,शेवटपर्यंत,शेवटपर्यंत,शेवटपर्यंत,end
αἰών,279,unigram,masculine,accusative,singular,कधीही,4.787575851011494,सर्वकाळ,कधीही,कधीही,eternity
