lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1191_translation,english_translation
θεός,102,unigram,masculine,accusative,singular,Nuquin,1.4639646011977834,Nuquin,God
θεός,22,unigram,masculine,nominative,plural,Ëbipadquid,1.2165997810191211,Ëbipadquid,God
θεός,163,unigram,masculine,nominative,singular,Nuquin,2.7363838207963105,Nuquin,God
κύριος,103,unigram,masculine,nominative,singular,icbon,1.2912337340394735,icbon,"Lord, lord, master"
γραφή,99,unigram,feminine,accusative,plural,uampid,1.1616655420030908,uampid,Scripture
γραφή,196,unigram,feminine,nominative,plural,uamiampicpadomboen,1.2141914106770468,uamiampicpadomboen,Scripture
γραφή,235,unigram,feminine,nominative,singular,tsusedpan,1.0025872867126362,tsusedpan,Scripture
ἄγγελος,74,unigram,masculine,accusative,plural,bëdabo,1.24504129159546,bëdabo,angel
ἄγγελος,37,unigram,masculine,nominative,plural,uaido,1.0285136623694222,uaido,angel
ἄγγελος,83,unigram,masculine,nominative,singular,mayan,1.4383989624485083,mayan,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,nidmeboedo,1.9375139678172888,nidmeboedo,apostle
ἀπόστολος,2,unigram,masculine,nominative,singular,chieshpadic,1.0965069895992616,chieshpadic,apostle
ἐξουσία,157,unigram,feminine,accusative,singular,Ëmbi,1.0662149116961421,Ëmbi,authority
ἀποθήκη,199,unigram,feminine,accusative,plural,ëshë,1.1748333951506165,ëshë,barn
ἀποθήκη,53,unigram,feminine,accusative,singular,chian,1.0340854160108557,chian,barn
φραγμός,87,unigram,masculine,accusative,singular,tiedën,1.0126417530666334,tiedën,"barrier, wall"
ἀρχή,142,unigram,feminine,accusative,singular,aden,1.082017188245333,aden,beginning
ζώνη,135,unigram,feminine,accusative,plural,chuibenec,1.0299574517893548,chuibenec,belt
πλοῖον,81,unigram,neuter,accusative,plural,cano,1.5935494979585572,cano,boat
πλοῖον,225,unigram,neuter,accusative,singular,cano,4.229797510265448,cano,boat
πλοῖον,175,unigram,neuter,nominative,singular,nënantanquio,1.3826786390694523,nënantanquio,boat
σῶμα,46,unigram,neuter,nominative,singular,mitsanauidi,1.0675112124544468,mitsanauidi,body
κλῆμα,116,unigram,neuter,nominative,singular,cuidi,1.066626560264534,cuidi,branch
ἄρτος,229,unigram,masculine,accusative,plural,panëmpi,1.9786056757533683,panëmpi,bread
ἄρτος,246,unigram,masculine,accusative,singular,pete,1.94898714891006,pete,bread
ἄρτος,29,unigram,masculine,nominative,singular,petebimboecquid,1.0560155101573503,petebimboecquid,bread
ἀδελφός,216,unigram,masculine,accusative,plural,aton,1.3776390877165012,aton,brother
ἀδελφός,92,unigram,masculine,accusative,singular,nëshaid,1.0527239064620342,nëshaid,brother
ἀδελφός,86,unigram,masculine,nominative,plural,utsibo,1.1493984073218309,utsibo,brother
ἀδελφός,178,unigram,masculine,nominative,singular,utsi,1.5224019844612646,utsi,brother
στῆθος,120,unigram,neuter,accusative,plural,nidanepanëdash,1.2159812212209753,nidanepanëdash,"chest, breast"
ἀρχιερεύς,47,unigram,masculine,accusative,singular,tsusio,1.3813756747577386,tsusio,chief priest
ἀρχιερεύς,91,unigram,masculine,nominative,plural,tsusiobo,1.015656956903812,tsusiobo,chief priest
παῖς,181,unigram,masculine,accusative,plural,bacuëbotsen,1.6140858904172908,bacuëbotsen,child
τέκνον,241,unigram,neuter,accusative,plural,bacuëbo,1.3064781997106758,bacuëbo,child
τέκνον,140,unigram,neuter,accusative,singular,cuesunemendac,1.9574542939124249,cuesunemendac,child
τέκνον,10,unigram,neuter,nominative,plural,cuesunemendac,1.7221055933486678,cuesunemendac,child
τέκνον,151,unigram,neuter,nominative,singular,mitsana,1.1036292870163422,mitsana,child
παιδίον,9,unigram,neuter,accusative,plural,bacuëbo,1.167789290220009,bacuëbo,child
παιδίον,70,unigram,neuter,accusative,singular,bacuëmpi,1.7565625342187572,bacuëmpi,child
παιδίον,31,unigram,neuter,nominative,singular,bacuëbon,1.1383239065182646,bacuëbon,child
πόλις,143,unigram,feminine,accusative,plural,shubu,1.098363037233491,shubu,city
πόλις,49,unigram,feminine,accusative,singular,yacno,1.1878400049527726,yacno,city
χιτών,23,unigram,masculine,accusative,singular,dashcute,1.801230726200579,dashcute,"clothing, undergarments"
ἱμάτιον,101,unigram,neuter,accusative,plural,dashcute,2.67582098411262,dashcute,coat
ἱμάτιον,100,unigram,neuter,accusative,singular,dashcute,3.591649442562208,dashcute,coat
ἐντολή,65,unigram,feminine,accusative,plural,cuesunianenda,1.1862198599892952,cuesunianenda,commandment
ἐντολή,63,unigram,feminine,accusative,singular,chuinëdacpadomboen,1.1875340845102078,chuinëdacpadomboen,commandment
συνέδριον,232,unigram,neuter,accusative,plural,buanendac,1.4692844516904795,buanendac,council
χώρα,209,unigram,feminine,accusative,singular,Cadada,1.243135607462446,Cadada,"country, countryside"
ὄχλος,43,unigram,masculine,accusative,plural,—Nidanec,1.2825550795424838,—Nidanec,crowd
ὄχλος,6,unigram,masculine,accusative,singular,tabadsho,1.1976014045486445,tabadsho,crowd
ὄχλος,75,unigram,masculine,nominative,plural,dadpenshun,1.2025150306177463,dadpenshun,crowd
ὄχλος,206,unigram,masculine,nominative,singular,matses,1.023568534700895,matses,crowd
θυγάτηρ,228,unigram,feminine,nominative,singular,champi,3.161500477652876,champi,daughter
ἡμέρα,58,unigram,feminine,accusative,plural,ushash,1.1876027160119478,ushash,day
ἡμέρα,1,unigram,feminine,nominative,plural,Yuecash,1.1859807306470085,Yuecash,day
ἡμέρα,51,unigram,feminine,nominative,singular,ushë,1.7817308296976058,ushë,day
ὀφειλέτης,189,unigram,masculine,nominative,plural,18ted,1.0964764034199022,18ted,debtor
ὀφειλέτης,93,unigram,masculine,nominative,singular,meniambo,1.1067779566411684,meniambo,debtor
δαιμόνιον,24,unigram,neuter,accusative,plural,icsa,1.7039191032762566,icsa,demon
δαιμόνιον,237,unigram,neuter,accusative,singular,icsa,2.182878056265443,icsa,demon
δαιμόνιον,153,unigram,neuter,nominative,plural,mayan,1.0069617082115696,mayan,demon
δαιμόνιον,133,unigram,neuter,nominative,singular,icsa,1.6162358464720983,icsa,demon
δηνάριον,221,unigram,neuter,accusative,plural,daëdpactsëc,1.1592212031683498,daëdpactsëc,denarius (about a day's wages)
δηνάριον,123,unigram,neuter,accusative,singular,piucquid,1.3327179244016996,piucquid,denarius (about a day's wages)
μαθητής,138,unigram,masculine,accusative,plural,abëd,1.052042298797213,abëd,disciple
