lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1184_translation,english_translation
θεός,316,unigram,masculine,accusative,plural,lawayna,1.1634492944761523,lawayna,God
θεός,129,unigram,masculine,accusative,singular,Lawna,2.744199868564502,Lawna,God
θεός,29,unigram,masculine,nominative,plural,lawayna,1.1634492944761523,lawayna,God
θεός,200,unigram,masculine,nominative,singular,Lawna,3.741586309075761,Lawna,God
κύριος,318,unigram,masculine,nominative,plural,sumiyamna,1.1631489665259134,sumiyamna,"Lord, lord, master"
κύριος,130,unigram,masculine,nominative,singular,Bum-Sumuna,2.5364198585082622,Bum-Sumuna,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,ɗotɗi,1.3294153740798902,ɗotɗi,Scripture
γραφή,50,unigram,feminine,accusative,singular,cawa'ɗi,1.1063446289765493,cawa'ɗi,Scripture
γραφή,254,unigram,feminine,nominative,plural,vuna,1.7265501618671448,vuna,Scripture
γραφή,311,unigram,feminine,nominative,singular,ɗota,1.5292785883061002,ɗota,Scripture
ἄγγελος,97,unigram,masculine,accusative,plural,sunda-wuralawna,2.2537172347857997,sunda-wuralawna,angel
ἄγγελος,81,unigram,masculine,accusative,singular,vokaŋu,1.163439875596632,vokaŋu,angel
ἄγγελος,47,unigram,masculine,nominative,plural,sunda-wuralawna,6.598641416206352,sunda-wuralawna,angel
ἄγγελος,108,unigram,masculine,nominative,singular,sunda-wuralawna,1.4621553201639306,sunda-wuralawna,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,apostolayna,2.7474207938631134,apostolayna,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,sunnaɗi,1.1613548718850133,sunnaɗi,apostle
ἐξουσία,191,unigram,feminine,accusative,singular,donota,1.2561117374333886,donota,authority
ἀποθήκη,261,unigram,feminine,accusative,plural,suw,1.0526099063049468,suw,barn
φραγμός,112,unigram,masculine,accusative,singular,kesl,1.0595319950666118,kesl,"barrier, wall"
ἀρχή,175,unigram,feminine,accusative,singular,Kayni,1.4069240059063512,Kayni,beginning
ζώνη,216,unigram,feminine,accusative,singular,yumda,1.0960524252565438,yumda,belt
βλασφημία,94,unigram,feminine,accusative,singular,ŋulda,1.0960768946513286,ŋulda,blasphemy
βλασφημία,198,unigram,feminine,nominative,plural,ŋulda,2.212440803192851,ŋulda,blasphemy
βλασφημία,82,unigram,feminine,nominative,singular,ŋulda,1.999949021035427,ŋulda,blasphemy
πλοῖον,106,unigram,neuter,accusative,plural,lumayna,1.0482392580207252,lumayna,boat
πλοῖον,299,unigram,neuter,accusative,singular,jik,1.015396428109097,jik,boat
πλοῖον,218,unigram,neuter,nominative,singular,lumda,1.520568423271174,lumda,boat
σῶμα,207,unigram,neuter,nominative,plural,tuwna,1.887456721027004,tuwna,body
σῶμα,61,unigram,neuter,nominative,singular,tuwaŋ,1.5172740445927055,tuwaŋ,body
κλῆμα,57,unigram,neuter,nominative,plural,ɓam-guna,1.0960622061228922,ɓam-guna,branch
ἄρτος,303,unigram,masculine,accusative,plural,fu,1.0641407731460102,fu,bread
ἄρτος,328,unigram,masculine,accusative,singular,funa,1.3594824999309378,funa,bread
ἄρτος,152,unigram,masculine,nominative,plural,fun,1.2450280878453734,fun,bread
ἄρτος,39,unigram,masculine,nominative,singular,funa,1.0880261952007877,funa,bread
ἀδελφός,290,unigram,masculine,accusative,plural,ɓosiyom,1.4767508290418114,ɓosiyom,brother
ἀδελφός,120,unigram,masculine,accusative,singular,ɓasulumna,1.9391744564044944,ɓasulumna,brother
ἀδελφός,111,unigram,masculine,nominative,plural,ɓosiyomna,1.9958160976440864,ɓosiyomna,brother
ἀδελφός,225,unigram,masculine,nominative,singular,ɓasulumna,1.9487371380090084,ɓasulumna,brother
στῆθος,276,unigram,neuter,accusative,singular,gah,1.1159789471246655,gah,"chest, breast"
ἀρχιερεύς,236,unigram,masculine,accusative,plural,sa-ɗifinna,1.0580611707197451,sa-ɗifinna,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,ma-ɗifinna,1.4547670969236424,ma-ɗifinna,chief priest
ἀρχιερεύς,119,unigram,masculine,nominative,plural,sa-ɗifinna,1.0296890441819362,sa-ɗifinna,chief priest
ἀρχιερεύς,240,unigram,masculine,nominative,singular,ma-ɗifinna,1.4397658911012563,ma-ɗifinna,chief priest
παῖς,229,unigram,masculine,accusative,plural,jufayna,1.5505926267469252,jufayna,child
τέκνον,320,unigram,neuter,accusative,plural,gurona,2.605771664115601,gurona,child
τέκνον,173,unigram,neuter,accusative,singular,ɓasulumna,1.3235804606968449,ɓasulumna,child
τέκνον,16,unigram,neuter,nominative,plural,gurona,1.1322218353375473,gurona,child
τέκνον,184,unigram,neuter,nominative,singular,Goora,1.0839800975696925,Goora,child
παιδίον,15,unigram,neuter,accusative,plural,gurosgurayn,1.3418951551651621,gurosgurayn,child
παιδίον,88,unigram,neuter,accusative,singular,sulum,1.0371588472277766,sulum,child
παιδίον,168,unigram,neuter,nominative,plural,gurosgurayn,1.5613863978316258,gurosgurayn,child
παιδίον,41,unigram,neuter,nominative,singular,goorgoor,1.1498621188521183,goorgoor,child
πόλις,176,unigram,feminine,accusative,plural,hoyok-ziy,1.307878081810212,hoyok-ziy,city
πόλις,66,unigram,feminine,accusative,singular,hoyok-ziyna,2.0772610136782914,hoyok-ziyna,city
πύλη,258,unigram,feminine,nominative,plural,ekklesiyata,1.255494041147772,ekklesiyata,city gate
πύλη,197,unigram,feminine,nominative,singular,vun-gala,1.7695706991932534,vun-gala,city gate
χιτών,115,unigram,masculine,accusative,plural,zugulɗi,1.1777110464735263,zugulɗi,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,sligar-tuwna,1.4055538572123074,sligar-tuwna,"clothing, undergarments"
ἱμάτιον,128,unigram,neuter,accusative,plural,sligara,2.8522348901951937,sligara,coat
ἱμάτιον,127,unigram,neuter,accusative,singular,sligar-tuwna,1.8221823775135475,sligar-tuwna,coat
ἐντολή,79,unigram,feminine,accusative,plural,vun-ma-gatna,1.9364337371205225,vun-ma-gatna,commandment
ἐντολή,77,unigram,feminine,accusative,singular,vun-ma-gatna,1.2487815491017995,vun-ma-gatna,commandment
συνέδριον,307,unigram,neuter,accusative,plural,kitana,1.4140544703581166,kitana,council
συνέδριον,52,unigram,neuter,accusative,singular,ɗiger-lawta*,1.5603346433991834,ɗiger-lawta*,council
χώρα,74,unigram,feminine,accusative,plural,feɗa,1.09612600636564,feɗa,"country, countryside"
χώρα,279,unigram,feminine,accusative,singular,nagata,2.199722113340472,nagata,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,sumuna,1.4229689482196872,sumuna,crowd
ὄχλος,10,unigram,masculine,accusative,singular,sumuna,1.2741712482648182,sumuna,crowd
ὄχλος,99,unigram,masculine,nominative,plural,Sumun,3.136090746157066,Sumun,crowd
ὄχλος,272,unigram,masculine,nominative,singular,sumun,1.3385690225499498,sumun,crowd
θυγάτηρ,302,unigram,feminine,nominative,singular,goota,1.302989164846657,goota,daughter
ἡμέρα,72,unigram,feminine,accusative,plural,buur,4.2410092350407815,buur,day
ἡμέρα,83,unigram,feminine,accusative,singular,buurta,1.1472160830646243,buurta,day
ἡμέρα,2,unigram,feminine,nominative,plural,buur,1.9176208626970817,buur,day
ὀφειλέτης,242,unigram,masculine,nominative,plural,glafandina,1.0960524252565438,glafandina,debtor
ὀφειλέτης,121,unigram,masculine,nominative,singular,talente*,1.059531995066612,talente*,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,fuliyan,1.1131936782021088,fuliyan,demon
δαιμόνιον,314,unigram,neuter,accusative,singular,ful,2.29999003812515,ful,demon
δαιμόνιον,186,unigram,neuter,nominative,plural,fuliyan,1.144988547815905,fuliyan,demon
δαιμόνιον,166,unigram,neuter,nominative,singular,fulla,1.6414273947098508,fulla,demon
δηνάριον,295,unigram,neuter,accusative,plural,denariyus*,1.1973091025198317,denariyus*,denarius (about a day's wages)
δηνάριον,154,unigram,neuter,accusative,singular,gurju,1.1970316759019008,gurju,denarius (about a day's wages)
μαθητής,171,unigram,masculine,accusative,plural,hatayna,3.506984140934399,hatayna,disciple
μαθητής,321,unigram,masculine,accusative,singular,minimna,1.3191087090465503,minimna,disciple
μαθητής,265,unigram,masculine,nominative,plural,hatayna,6.327388842086773,hatayna,disciple
μαθητής,319,unigram,masculine,nominative,singular,hatayna,6.049883523688173,hatayna,disciple
νόσος,3,unigram,feminine,accusative,plural,maŋga,1.3690928587792652,maŋga,disease
νόσος,71,unigram,feminine,accusative,singular,moyna,1.055143554134382,moyna,disease
περιστερά,98,unigram,feminine,accusative,plural,gukayn,1.3788397150236984,gukayn,dove
περιστερά,54,unigram,feminine,accusative,singular,gukka,1.8497024804142452,gukka,dove
οὖς,144,unigram,neuter,accusative,plural,huma,1.1440477696562352,huma,ear
οὖς,271,unigram,neuter,accusative,singular,yam-ziyna,1.3675161352398288,yam-ziyna,ear
σεισμός,192,unigram,masculine,nominative,plural,mayta,1.3683143540248346,mayta,"earthquakes, storm"
