lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1136_translation,version_1137_translation,english_translation
θεός,124,unigram,masculine,accusative,singular,,,Nlhuku,Nluku,God
θεός,193,unigram,masculine,nominative,singular,,,Nlhuku,Nluku,God
κύριος,312,unigram,masculine,nominative,plural,Nnontthukulelani,1.0970894485985805,,Nnontthukulelani,"Lord, lord, master"
κύριος,125,unigram,masculine,nominative,singular,,,Athithi,Apwiya,"Lord, lord, master"
γραφή,120,unigram,feminine,accusative,plural,,,Malhove,cowantikhiya,Scripture
γραφή,47,unigram,feminine,accusative,singular,,,Matakatifu,cineera,Scripture
γραφή,247,unigram,feminine,nominative,plural,,,Matakatifu,cowantikhiya,Scripture
γραφή,306,unigram,feminine,nominative,singular,,,Matakatifu,cowantikhiya,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,,,minepa,ancelo,angel
ἄγγελος,79,unigram,masculine,accusative,singular,Kinonruma,1.0404223368358003,Kinonruma,,angel
ἄγγελος,44,unigram,masculine,nominative,plural,,,minepa,ancelo,angel
ἄγγελος,100,unigram,masculine,nominative,singular,,,Nnepa,ncelo,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,,,Akarumiya,amitthenka,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,nrumile,1.1613548718850133,,nrumile,apostle
ἐξουσία,185,unigram,feminine,accusative,singular,,,ikuru,ulamuli,authority
βρέφος,305,unigram,neuter,accusative,singular,nhiilhini,1.7074803527564335,nhiilhini,,babies
ἀποθήκη,66,unigram,feminine,accusative,singular,nnikhupini,1.044106373330679,nnikhupini,,barn
ζώνη,160,unigram,feminine,accusative,plural,mmirupani,1.0960524252565438,mmirupani,,belt
ζώνη,211,unigram,feminine,accusative,singular,eetthukelaka,1.0960524252565438,,eetthukelaka,belt
βλασφημία,30,unigram,feminine,accusative,plural,makufuru,1.0960768946513286,,makufuru,blasphemy
πλοῖον,98,unigram,neuter,accusative,plural,,,ikalhava,ikalawa,boat
πλοῖον,290,unigram,neuter,accusative,singular,,,nkalhavani,nkalawani,boat
πλοῖον,213,unigram,neuter,nominative,singular,,,ikalhava,ikalawa,boat
σῶμα,200,unigram,neuter,nominative,plural,iruttu,1.0968926858716743,iruttu,,body
