lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1215_translation,english_translation
θεός,355,unigram,masculine,accusative,plural,mɨ̀ŋwìə̀,1.6536361537586075,mɨ̀ŋwìə̀,God
θεός,146,unigram,masculine,accusative,singular,Ŋwiə̀,2.790191233808335,Ŋwiə̀,God
θεός,31,unigram,masculine,nominative,plural,mɨ̀ŋwìə̀,1.1634492944761523,mɨ̀ŋwìə̀,God
θεός,223,unigram,masculine,nominative,singular,Ŋwìə̀,3.362104558535714,Ŋwìə̀,God
κύριος,357,unigram,masculine,nominative,plural,zàə̀,1.3899116091154717,zàə̀,"Lord, lord, master"
κύριος,147,unigram,masculine,nominative,singular,Ə̀nùŋɨ̀sɨg,4.1370124375484805,Ə̀nùŋɨ̀sɨg,"Lord, lord, master"
γραφή,141,unigram,feminine,accusative,plural,Ə̀ŋwàʼnɨ̀,2.2028662794088505,Ə̀ŋwàʼnɨ̀,Scripture
γραφή,55,unigram,feminine,accusative,singular,kɨrɨ,1.0058463970951628,kɨrɨ,Scripture
γραφή,281,unigram,feminine,nominative,plural,jwɨ,1.8250043057047869,jwɨ,Scripture
γραφή,349,unigram,feminine,nominative,singular,Ə̀ŋwàʼnɨ̀,1.9319075454067745,Ə̀ŋwàʼnɨ̀,Scripture
ἄγγελος,109,unigram,masculine,accusative,plural,mbɨ̀aŋgɨrə̀,2.9122846105193623,mbɨ̀aŋgɨrə̀,angel
ἄγγελος,94,unigram,masculine,accusative,singular,ne.Məd,1.601863014875741,ne.Məd,angel
ἄγγελος,51,unigram,masculine,nominative,plural,mbɨ̀aŋgɨrə̀,3.4245800580917836,mbɨ̀aŋgɨrə̀,angel
ἄγγελος,120,unigram,masculine,nominative,singular,aŋgɨrə̀,1.5021182259325876,aŋgɨrə̀,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,tom,2.147209528914346,tom,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,dabə,1.5435902344615928,dabə,apostle
ἐξουσία,77,unigram,feminine,accusative,plural,mə̀tùmbɨ̀,1.1422759452227509,mə̀tùmbɨ̀,authority
ἐξουσία,213,unigram,feminine,accusative,singular,ɨka,5.382394551066246,ɨka,authority
βρέφος,16,unigram,neuter,accusative,plural,nɨŋə,1.1446989591548906,nɨŋə,babies
ἀποθήκη,289,unigram,feminine,accusative,plural,ŋgə̌n,1.8078197377273493,ŋgə̌n,barn
ἀποθήκη,76,unigram,feminine,accusative,singular,tɔ̀n,1.0747559853180315,tɔ̀n,barn
φραγμός,250,unigram,masculine,accusative,plural,'Jwɨə,1.2554791388355584,'Jwɨə,"barrier, wall"
φραγμός,124,unigram,masculine,accusative,singular,mìn,1.0595319950666118,mìn,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,mə̀tùmbɨ̀,1.1420636612145167,mə̀tùmbɨ̀,beginning
ἀρχή,196,unigram,feminine,accusative,singular,ɨkɔ,1.2378094987613537,ɨkɔ,beginning
ζώνη,188,unigram,feminine,accusative,plural,kɔpà,1.0960524252565438,kɔpà,belt
βλασφημία,35,unigram,feminine,accusative,plural,zɔ̀m,1.082033595922469,zɔ̀m,blasphemy
βλασφημία,108,unigram,feminine,accusative,singular,sèèrɨ̀,1.1796323849615549,sèèrɨ̀,blasphemy
βλασφημία,221,unigram,feminine,nominative,plural,mɨzɔ̂m,1.1062485993005018,mɨzɔ̂m,blasphemy
πλοῖον,118,unigram,neuter,accusative,plural,ɨbaŋ,1.2705708010831671,ɨbaŋ,boat
πλοῖον,332,unigram,neuter,accusative,singular,əbaŋ,1.2856265519445855,əbaŋ,boat
πλοῖον,255,unigram,neuter,nominative,plural,Ɨbaŋ,1.331161583451831,Ɨbaŋ,boat
πλοῖον,243,unigram,neuter,nominative,singular,əbaŋ,1.6992489025710609,əbaŋ,boat
σῶμα,231,unigram,neuter,nominative,plural,Mɨsî,1.0240564012164854,Mɨsî,body
σῶμα,66,unigram,neuter,nominative,singular,nyamnyod,2.1535033493884943,nyamnyod,body
κλῆμα,62,unigram,neuter,nominative,plural,rɨtəb,1.3502751397803767,rɨtəb,branch
κλῆμα,164,unigram,neuter,nominative,singular,fɨtəb,2.0458688752119256,fɨtəb,branch
ἄρτος,337,unigram,masculine,accusative,plural,ŋgə̀ŋ,1.6458113352653632,ŋgə̀ŋ,bread
ἄρτος,366,unigram,masculine,accusative,singular,ŋgə̀ŋ,3.0210730150792084,ŋgə̀ŋ,bread
ἄρτος,171,unigram,masculine,nominative,plural,ŋgə̀ŋ,2.237588685802042,ŋgə̀ŋ,bread
ἄρτος,43,unigram,masculine,nominative,singular,ŋgə̀ŋ,1.7839130378240884,ŋgə̀ŋ,bread
ἀδελφός,322,unigram,masculine,accusative,plural,bɔŋgɔb,4.021537702812978,bɔŋgɔb,brother
ἀδελφός,133,unigram,masculine,accusative,singular,aŋgɔb,2.2311281893547874,aŋgɔb,brother
ἀδελφός,123,unigram,masculine,nominative,plural,bɔŋgɔb,8.38925469612888,bɔŋgɔb,brother
ἀδελφός,248,unigram,masculine,nominative,singular,aŋgɔb,3.817576909832808,aŋgɔb,brother
στῆθος,168,unigram,neuter,accusative,plural,əmbə̀ʼ,1.5207083350883288,əmbə̀ʼ,"chest, breast"
στῆθος,306,unigram,neuter,accusative,singular,ə̀mə̀ə̀nɨ̀-ɨnû,1.5760423008710631,ə̀mə̀ə̀nɨ̀-ɨnû,"chest, breast"
ἀρχιερεύς,260,unigram,masculine,accusative,plural,mbàn,1.2991780783123985,mbàn,chief priest
ἀρχιερεύς,67,unigram,masculine,accusative,singular,Kaifàs,1.062612557596489,Kaifàs,chief priest
ἀρχιερεύς,132,unigram,masculine,nominative,plural,mbàn,1.2406636937388809,mbàn,chief priest
ἀρχιερεύς,264,unigram,masculine,nominative,singular,mbàn,1.377347541354585,mbàn,chief priest
παῖς,53,unigram,masculine,accusative,singular,chiʼ,1.501219038002297,chiʼ,child
τέκνον,359,unigram,neuter,accusative,plural,bɔn,4.888708134111197,bɔn,child
τέκνον,17,unigram,neuter,nominative,plural,Bɔn,1.5370202836838638,Bɔn,child
τέκνον,206,unigram,neuter,nominative,singular,'Wân,2.0129378683719543,'Wân,child
παιδίον,15,unigram,neuter,accusative,plural,kwa,1.2128851236297915,kwa,child
παιδίον,103,unigram,neuter,accusative,singular,wan,1.7926617912899796,wan,child
παιδίον,186,unigram,neuter,nominative,plural,bɔn,1.9151112482191448,bɔn,child
παιδίον,45,unigram,neuter,nominative,singular,wan,2.2880529949566246,wan,child
πόλις,197,unigram,feminine,accusative,plural,ɨsɨ,1.6997372951266967,ɨsɨ,city
πόλις,71,unigram,feminine,accusative,singular,əsɨ,2.4815251371043217,əsɨ,city
πύλη,285,unigram,feminine,nominative,plural,ɨfetɨ,1.1446890058788488,ɨfetɨ,city gate
πύλη,220,unigram,feminine,nominative,singular,yen,1.2376740046885688,yen,city gate
χιτών,129,unigram,masculine,accusative,plural,ngywɨ̌,1.870870025507661,ngywɨ̌,"clothing, undergarments"
χιτών,32,unigram,masculine,accusative,singular,ngywɨ̌,1.0848129900322685,ngywɨ̌,"clothing, undergarments"
ἱμάτιον,144,unigram,neuter,accusative,plural,ngywɨ̌,2.212658675876185,ngywɨ̌,coat
ἱμάτιον,143,unigram,neuter,accusative,singular,ngywɨ̌,1.3643440103322144,ngywɨ̌,coat
ἐντολή,91,unigram,feminine,accusative,plural,tɨkə,1.1227486098599415,tɨkə,commandment
ἐντολή,89,unigram,feminine,accusative,singular,mɨchî,1.0630666196319225,mɨchî,commandment
συνέδριον,342,unigram,neuter,accusative,plural,mə̀saʼ,1.57275619082763,mə̀saʼ,council
συνέδριον,57,unigram,neuter,accusative,singular,mə̀saʼ,1.9984174854447745,mə̀saʼ,council
χώρα,86,unigram,feminine,accusative,plural,tənɨ,1.2126978031066695,tənɨ,"country, countryside"
χώρα,311,unigram,feminine,accusative,singular,əbeŋ,2.093841683615233,əbeŋ,"country, countryside"
ὄχλος,63,unigram,masculine,accusative,plural,mɨnɔ̂n,3.369648058536328,mɨnɔ̂n,crowd
ὄχλος,9,unigram,masculine,accusative,singular,ɨnɔ̂n,1.979278149272455,ɨnɔ̂n,crowd
ὄχλος,111,unigram,masculine,nominative,plural,mɨnɔ̂n,1.0875712725286804,mɨnɔ̂n,crowd
ὄχλος,302,unigram,masculine,nominative,singular,ɨnɔ̂n,1.3446147264887796,ɨnɔ̂n,crowd
θυγάτηρ,127,unigram,feminine,nominative,plural,Bɔn,1.0564910209100835,Bɔn,daughter
θυγάτηρ,336,unigram,feminine,nominative,singular,əyi,1.0440434368047242,əyi,daughter
ἡμέρα,84,unigram,feminine,accusative,plural,ɨni,5.312611038333612,ɨni,day
ἡμέρα,95,unigram,feminine,accusative,singular,ɨni,1.9994931745370559,ɨni,day
ἡμέρα,1,unigram,feminine,nominative,plural,ɨni,1.5960901707586284,ɨni,day
ἡμέρα,73,unigram,feminine,nominative,singular,Əni,1.5458294870243063,Əni,day
ὀφειλέτης,267,unigram,masculine,nominative,plural,Silòàm,1.059531995066612,Silòàm,debtor
ὀφειλέτης,134,unigram,masculine,nominative,singular,əkam,1.0960524252565438,əkam,debtor
