lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1493_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Ndiǒxí,2.83016560031277,Ndiǒxí,God
θεός,185,unigram,masculine,nominative,singular,Ndiǒxí,1.5149907185181777,Ndiǒxí,God
κύριος,116,unigram,masculine,nominative,singular,pàtróóⁿ‑dě,1.2547129160652926,pàtróóⁿ‑dě,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,càháⁿ‑xi,1.08103044275074,càháⁿ‑xi,Scripture
γραφή,40,unigram,feminine,accusative,singular,càchí‑xi,1.0298518282577245,càchí‑xi,Scripture
γραφή,232,unigram,feminine,nominative,plural,dàcuɨtɨ́í,1.4016445480171174,dàcuɨtɨ́í,Scripture
γραφή,291,unigram,feminine,nominative,singular,tùtú,1.3096730720005796,tùtú,Scripture
ἄγγελος,95,unigram,masculine,nominative,singular,espíritú‑áⁿ,1.0603175172595922,espíritú‑áⁿ,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,nácàni,1.1230909551257102,nácàni,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,nadànchocáva‑ndo,1.0962199599997684,nadànchocáva‑ndo,authority
ἐξουσία,179,unigram,feminine,accusative,singular,ndee,1.0796576507271036,ndee,authority
βρέφος,13,unigram,neuter,accusative,plural,landú‑áⁿ,1.106276804395426,landú‑áⁿ,babies
βρέφος,289,unigram,neuter,accusative,singular,cáá‑dě,1.18356499887585,cáá‑dě,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,triú,1.4173718379039892,triú,barn
ἀρχή,61,unigram,feminine,accusative,plural,nadànchocáva‑ndo,1.0961063339256685,nadànchocáva‑ndo,beginning
ἀρχή,160,unigram,feminine,accusative,singular,díhna,1.3109265146975737,díhna,beginning
ζώνη,151,unigram,feminine,accusative,plural,cánèhe‑ndo,1.0938389104413042,cánèhe‑ndo,belt
βλασφημία,84,unigram,feminine,accusative,singular,úhú‑dé,1.0960768946513286,úhú‑dé,blasphemy
βλασφημία,184,unigram,feminine,nominative,plural,dúhá,1.0686779505129904,dúhá,blasphemy
βλασφημία,73,unigram,feminine,nominative,singular,dúhá,1.0686779505129904,dúhá,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,bàrcú,1.5108807428676458,bàrcú,boat
πλοῖον,275,unigram,neuter,accusative,singular,bàrcú,3.005883457805853,bàrcú,boat
πλοῖον,201,unigram,neuter,nominative,singular,bàrcú,1.4771385432352206,bàrcú,boat
σῶμα,49,unigram,neuter,nominative,singular,yɨ̀quɨ,1.2680213024967728,yɨ̀quɨ,body
κλῆμα,45,unigram,neuter,nominative,plural,vǐdí‑áⁿ,1.0960622061228922,vǐdí‑áⁿ,branch
κλῆμα,130,unigram,neuter,nominative,singular,vǐdí,1.2633235923608288,vǐdí,branch
ἄρτος,279,unigram,masculine,accusative,plural,pàá,1.811337850195519,pàá,bread
ἄρτος,306,unigram,masculine,accusative,singular,pàá,2.069406317471844,pàá,bread
ἄρτος,135,unigram,masculine,nominative,plural,paá,1.937583156573095,paá,bread
ἄρτος,29,unigram,masculine,nominative,singular,cǎndeca‑xi,1.0213403732213753,cǎndeca‑xi,bread
ἀδελφός,264,unigram,masculine,accusative,plural,ñaní‑xi,1.0642051922532574,ñaní‑xi,brother
ἀδελφός,104,unigram,masculine,accusative,singular,ñaní‑dé,1.5047913016176049,ñaní‑dé,brother
ἀδελφός,98,unigram,masculine,nominative,plural,ñaní‑gá,1.1962516313010745,ñaní‑gá,brother
ἀδελφός,207,unigram,masculine,nominative,singular,ñaní‑dé,1.9434357746909063,ñaní‑dé,brother
ἀρχιερεύς,214,unigram,masculine,accusative,plural,dútú,1.0956913965151558,dútú,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,cúnùu‑gá,1.2035871367190545,cúnùu‑gá,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,dútú,1.102116207153499,dútú,chief priest
ἀρχιερεύς,218,unigram,masculine,nominative,singular,dútú,1.9107608697690088,dútú,chief priest
παῖς,210,unigram,masculine,accusative,plural,xiní‑güedé,1.0342671140819122,xiní‑güedé,child
παῖς,38,unigram,masculine,accusative,singular,nacuáha,1.0961210847775034,nacuáha,child
τέκνον,299,unigram,neuter,accusative,plural,ñaní‑xi,1.0151697600609595,ñaní‑xi,child
τέκνον,157,unigram,neuter,accusative,singular,déhe‑güedé,1.0889521393180035,déhe‑güedé,child
τέκνον,14,unigram,neuter,nominative,plural,déhe‑güedé,1.0946048729989395,déhe‑güedé,child
τέκνον,171,unigram,neuter,nominative,singular,déhe‑í,1.1365954408308123,déhe‑í,child
παιδίον,12,unigram,neuter,accusative,plural,landú,1.1063140208645617,landú,child
παιδίον,79,unigram,neuter,accusative,singular,nǎná‑gǎ,1.2221593507708253,nǎná‑gǎ,child
παιδίον,31,unigram,neuter,nominative,singular,lǐhli,1.2957081009629572,lǐhli,child
πόλις,161,unigram,feminine,accusative,plural,náhnú,1.1196567654296492,náhnú,city
πόλις,54,unigram,feminine,accusative,singular,ñuú,4.912656886963828,ñuú,city
χιτών,100,unigram,masculine,accusative,plural,dóó‑ndó,1.1288774150323668,dóó‑ndó,"clothing, undergarments"
ἱμάτιον,114,unigram,neuter,accusative,plural,dóó‑gǎ,1.547409110008944,dóó‑gǎ,coat
ἱμάτιον,113,unigram,neuter,accusative,singular,dóó,2.2939314956391157,dóó,coat
ἐντολή,70,unigram,feminine,accusative,singular,cada‑ndo,1.0518227034106202,cada‑ndo,commandment
συνέδριον,284,unigram,neuter,accusative,plural,veñúhu‑güedé,1.1923870641066614,veñúhu‑güedé,council
συνέδριον,42,unigram,neuter,accusative,singular,jùndá,1.5232136110009993,jùndá,council
χώρα,254,unigram,feminine,accusative,singular,Gàdará,1.0150297052705368,Gàdará,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,cuásaá‑gá,1.1690876855006842,cuásaá‑gá,crowd
ὄχλος,7,unigram,masculine,accusative,singular,cuéhé,1.0267172795613904,cuéhé,crowd
ὄχλος,86,unigram,masculine,nominative,plural,ñǎyiu,1.4171984876449917,ñǎyiu,crowd
ὄχλος,246,unigram,masculine,nominative,singular,vài,1.357330120511993,vài,crowd
θυγάτηρ,278,unigram,feminine,nominative,singular,dúcáⁿ‑ní,1.2209944223288454,dúcáⁿ‑ní,daughter
ἡμέρα,64,unigram,feminine,accusative,plural,nduu,1.842573932603412,nduu,day
ἡμέρα,74,unigram,feminine,accusative,singular,nduu,1.3155235401249423,nduu,day
ἡμέρα,2,unigram,feminine,nominative,plural,nduu,2.079353947578519,nduu,day
ἡμέρα,56,unigram,feminine,nominative,singular,nduu‑ǎⁿ,1.1390949376994597,nduu‑ǎⁿ,day
ὀφειλέτης,220,unigram,masculine,nominative,plural,ducúⁿ,1.0960524252565438,ducúⁿ,debtor
ὀφειλέτης,105,unigram,masculine,nominative,singular,tàlentú,1.044101405315964,tàlentú,debtor
δαιμόνιον,24,unigram,neuter,accusative,plural,espíritú,1.1307052198191299,espíritú,demon
δαιμόνιον,294,unigram,neuter,accusative,singular,ñávǎha,1.360244173990323,ñávǎha,demon
δαιμόνιον,173,unigram,neuter,nominative,plural,cúndɨ̀hɨ,1.2807814541099984,cúndɨ̀hɨ,demon
δαιμόνιον,148,unigram,neuter,nominative,singular,yucu,1.0291794631303433,yucu,demon
δηνάριον,269,unigram,neuter,accusative,plural,denàriú,1.6315710818517897,denàriú,denarius (about a day's wages)
δηνάριον,137,unigram,neuter,accusative,singular,díhúⁿ,1.2282223952473927,díhúⁿ,denarius (about a day's wages)
μαθητής,154,unigram,masculine,accusative,plural,ndɨhɨ‑gá,1.0072504477307087,ndɨhɨ‑gá,disciple
μαθητής,300,unigram,masculine,accusative,singular,iní‑gá,1.18847767189913,iní‑gá,disciple
μαθητής,240,unigram,masculine,nominative,plural,xìca,1.359001395981974,xìca,disciple
μαθητής,298,unigram,masculine,nominative,singular,Pèlú,1.2685814264330415,Pèlú,disciple
νόσος,63,unigram,feminine,accusative,singular,cuěhé,1.5553699205341338,cuěhé,disease
οὖς,129,unigram,neuter,accusative,plural,cáháⁿ‑í‑a,1.0976187554014012,cáháⁿ‑í‑a,ear
οὖς,245,unigram,neuter,accusative,singular,tàcá,1.0935162955781694,tàcá,ear
σεισμός,180,unigram,masculine,nominative,plural,tnáa,1.044106373330679,tnáa,"earthquakes, storm"
σεισμός,52,unigram,masculine,nominative,singular,vìhi,1.3150389805864442,vìhi,"earthquakes, storm"
τέλος,238,unigram,neuter,accusative,singular,ndee‑ni,1.478043164693012,ndee‑ni,end
αἰών,211,unigram,masculine,accusative,plural,cùnuu‑dé,1.202897475820882,cùnuu‑dé,eternity
αἰών,265,unigram,masculine,accusative,singular,caa,1.0198941917546025,caa,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,ndúha,1.8320007843735828,ndúha,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,ndèhe,1.1700585129682397,ndèhe,eye
ὀφθαλμός,262,unigram,masculine,nominative,singular,núú‑ndó,1.2086026420474,núú‑ndó,eye
πρόσωπον,168,unigram,neuter,accusative,singular,nuu,1.0900967281308749,nuu,face
λιμός,5,unigram,feminine,nominative,plural,tnamá,1.106276804395426,tnamá,famine
λιμός,274,unigram,masculine,nominative,plural,tnamá,1.1613374356247497,tnamá,famine
γεωργός,219,unigram,masculine,nominative,plural,yàha,1.0093169709952232,yàha,"farmer, tenant"
γεωργός,39,unigram,masculine,nominative,singular,yaha,1.2102246626698352,yaha,"farmer, tenant"
πατήρ,174,unigram,masculine,accusative,plural,ndǐi.Duha,1.390408047332378,ndǐi.Duha,father
πατήρ,268,unigram,masculine,accusative,singular,Tǎtà‑í,3.687801300369102,Tǎtà‑í,father
πατήρ,277,unigram,masculine,nominative,plural,sanaha,1.452912625708325,sanaha,father
πατήρ,163,unigram,masculine,nominative,singular,Tǎtà‑í,2.9171279212458403,Tǎtà‑í,father
σύνδουλος,123,unigram,masculine,accusative,plural,quɨhu,1.106276804395426,quɨhu,"fellow-servant, colleague"
σύνδουλος,281,unigram,masculine,nominative,plural,xítnǔhu‑güedé,1.0960670999999007,xítnǔhu‑güedé,"fellow-servant, colleague"
ἀγρός,293,unigram,masculine,accusative,plural,ñuú,1.1411214480166965,ñuú,field
ἀγρός,30,unigram,masculine,accusative,singular,Cuǎha,1.0766521848584762,Cuǎha,field
δάκτυλος,153,unigram,masculine,accusative,singular,nduyú,1.1454757276999707,nduyú,finger
ἰχθύς,132,unigram,masculine,accusative,plural,chácá‑ǎⁿ,1.1609790330462262,chácá‑ǎⁿ,fish
ἰχθύς,167,unigram,masculine,accusative,singular,chácá,1.2020636678807035,chácá,fish
δίκτυον,94,unigram,neuter,accusative,plural,ñunu‑güedé,1.6965439919998664,ñunu‑güedé,fishing net
δίκτυον,177,unigram,neuter,accusative,singular,chǎcá,1.5360066637209775,chǎcá,fishing net
δίκτυον,149,unigram,neuter,nominative,plural,ndǎtá‑nǎ,1.2126256018072978,ndǎtá‑nǎ,fishing net
τροφή,288,unigram,feminine,accusative,singular,pàtróóⁿ,1.0811016926834476,pàtróóⁿ,food
καρπός,159,unigram,masculine,accusative,plural,xitu‑í,1.1605316882255972,xitu‑í,"fruit, crop, harvest"
καρπός,204,unigram,masculine,accusative,singular,yutnu,1.3962462004817613,yutnu,"fruit, crop, harvest"
πλήρωμα,235,unigram,neuter,accusative,plural,tɨ́dihi,1.1607756040818036,tɨ́dihi,fullness
γενεά,236,unigram,feminine,accusative,plural,núú‑gǎ.Te,1.2932864391161742,núú‑gǎ.Te,generation
γενεά,205,unigram,feminine,accusative,singular,ndècu,1.1944389819869854,ndècu,generation
γενεά,128,unigram,feminine,nominative,singular,cuìní‑ndó,1.164907020135938,cuìní‑ndó,generation
δῶρον,267,unigram,neuter,accusative,plural,táhú,1.0026426664994708,táhú,gift
δῶρον,139,unigram,neuter,accusative,singular,ndúú,1.3433309799662072,ndúú,gift
ἡγεμών,146,unigram,masculine,accusative,plural,yɨndaha,1.0663089421602354,yɨndaha,"governor, ruler"
ἡγεμών,9,unigram,masculine,accusative,singular,gobiernú‑áⁿ,1.1613810574337249,gobiernú‑áⁿ,"governor, ruler"
σταφυλή,162,unigram,feminine,accusative,plural,ìñu,1.044101405315964,ìñu,grapes
σταφυλή,302,unigram,feminine,accusative,singular,cutexínu,1.0960524252565438,cutexínu,grapes
ἀσπασμός,280,unigram,masculine,accusative,plural,yɨñùhu,1.7719644199531337,yɨñùhu,greeting
ἀσπασμός,147,unigram,masculine,accusative,singular,xɨtɨ́‑aⁿ,1.161346151680032,xɨtɨ́‑aⁿ,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,canu,1.0938389104413042,canu,guide
θρίξ,80,unigram,feminine,nominative,plural,dɨ́quɨ́‑ndó,1.0595545022300916,dɨ́quɨ́‑ndó,hair
χείρ,271,unigram,feminine,accusative,plural,ndaha‑gá,1.3858865025260063,ndaha‑gá,hand
χείρ,193,unigram,feminine,accusative,singular,ndaha‑dé,1.1158759048651838,ndaha‑dé,hand
στάχυς,183,unigram,masculine,accusative,plural,sàhnú‑güedé,1.1420787435810489,sàhnú‑güedé,head of grain
καρδία,248,unigram,feminine,accusative,singular,tècú,1.1503046214204156,tècú,heart
καρδία,295,unigram,feminine,nominative,plural,nacuanaa‑ndo,1.0963047455737722,nacuanaa‑ndo,heart
καρδία,169,unigram,feminine,nominative,singular,Ñáyiu‑a,1.1053032271494532,Ñáyiu‑a,heart
οὐρανός,231,unigram,masculine,accusative,singular,andɨu,2.795955218438689,andɨu,"heaven, sky"
οὐρανός,175,unigram,masculine,nominative,singular,andɨu,1.7922784363003128,andɨu,"heaven, sky"
ὥρα,22,unigram,feminine,nominative,singular,sáá,1.274142275632279,sáá,hour
οἰκία,133,unigram,feminine,accusative,plural,ío‑gá,1.3944536175227615,ío‑gá,house
οἰκία,285,unigram,feminine,accusative,singular,vehe,4.535313176749988,vehe,house
οἶκος,243,unigram,masculine,accusative,plural,duuⁿ‑ná,1.0963047455737722,duuⁿ‑ná,"house, home"
