lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1173_translation,english_translation
θεός,297,unigram,masculine,accusative,plural,ŋasopune,1.0973460565533562,ŋasopune,God
θεός,117,unigram,masculine,accusative,singular,Anutu,1.7511337561789786,Anutu,God
θεός,27,unigram,masculine,nominative,plural,ŋasopu,1.292040650673861,ŋasopu,God
θεός,186,unigram,masculine,nominative,singular,Anutuji,1.4355434685523505,Anutuji,God
κύριος,118,unigram,masculine,nominative,singular,Ofonji,1.1524852694428491,Ofonji,"Lord, lord, master"
γραφή,112,unigram,feminine,accusative,plural,Biŋe,1.0705253762014622,Biŋe,Scripture
γραφή,237,unigram,feminine,nominative,plural,fukeiŋgo,1.0318435930072551,fukeiŋgo,Scripture
γραφή,292,unigram,feminine,nominative,singular,Qurande,1.0641129038531016,Qurande,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,mimerereŋpuine,1.313318666412459,mimerereŋpuine,angel
ἄγγελος,73,unigram,masculine,accusative,singular,bataniŋgame,1.1080899556696258,bataniŋgame,angel
ἄγγελος,41,unigram,masculine,nominative,plural,mimerereŋ,1.6448465268332877,mimerereŋ,angel
ἄγγελος,95,unigram,masculine,nominative,singular,mimerereŋ,1.2304572386651504,mimerereŋ,angel
ἀπόστολος,6,unigram,masculine,nominative,singular,ofoŋinere,1.0961802975276198,ofoŋinere,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,kiap,1.0963147656546597,kiap,authority
ἐξουσία,177,unigram,feminine,accusative,singular,usuŋ,2.302956594001249,usuŋ,authority
βρέφος,15,unigram,neuter,accusative,plural,Warebuŋyoŋ,1.1615037537355772,Warebuŋyoŋ,babies
βρέφος,291,unigram,neuter,accusative,singular,gorubeine,1.1456292992667958,gorubeine,babies
ἀποθήκη,243,unigram,feminine,accusative,plural,rouŋ,1.807622628383004,rouŋ,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,wit,1.0440581516887473,wit,barn
ἀρχή,64,unigram,feminine,accusative,plural,kiap,1.0962050689275662,kiap,beginning
ἀρχή,161,unigram,feminine,accusative,singular,barariŋga,1.2674314133431814,barariŋga,beginning
βλασφημία,184,unigram,feminine,nominative,plural,igosisi,1.4061187491048055,igosisi,blasphemy
βλασφημία,74,unigram,feminine,nominative,singular,igosisi,1.0435140291268767,igosisi,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,ogâ,1.5148592817939452,ogâ,boat
πλοῖον,279,unigram,neuter,accusative,singular,ogâo,2.315391570021092,ogâo,boat
πλοῖον,214,unigram,neuter,nominative,plural,Ogâ,1.0597207809890463,Ogâ,boat
πλοῖον,202,unigram,neuter,nominative,singular,ogâyaŋunji,2.259189108202404,ogâyaŋunji,boat
σῶμα,53,unigram,neuter,nominative,singular,gogogo,1.3377326485014378,gogogo,body
κλῆμα,132,unigram,neuter,nominative,singular,dimagobi,1.0246941499545563,dimagobi,branch
ἄρτος,282,unigram,masculine,accusative,plural,poroŋ,3.2788116719529583,poroŋ,bread
ἄρτος,304,unigram,masculine,accusative,singular,poroŋ,1.9600262421241543,poroŋ,bread
ἄρτος,139,unigram,masculine,nominative,plural,poroŋ,1.7890704441536296,poroŋ,bread
ἄρτος,33,unigram,masculine,nominative,singular,poroŋ,1.199708889363837,poroŋ,bread
ἀδελφός,106,unigram,masculine,accusative,singular,gboine,1.6606956887365965,gboine,brother
