lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1251_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,Allah,1.7702621455584904,Allah,God
θεός,27,unigram,masculine,nominative,plural,ilahbí,1.163645641222275,ilahbí,God
θεός,183,unigram,masculine,nominative,singular,Allah,6.194225624415743,Allah,God
κύριος,113,unigram,masculine,nominative,singular,Tuhan,1.1945761947681672,Tuhan,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,Motusi,1.0241196740006129,Motusi,Scripture
γραφή,46,unigram,feminine,accusative,singular,Motusi,1.0264487043786212,Motusi,Scripture
γραφή,233,unigram,feminine,nominative,plural,mustibí,1.1342128741585242,mustibí,Scripture
γραφή,286,unigram,feminine,nominative,singular,pinais,1.0292947877876648,pinais,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,malaekat-Nea,1.1712560334996551,malaekat-Nea,angel
ἄγγελος,43,unigram,masculine,nominative,plural,malaekat,2.9901023416073835,malaekat,angel
ἄγγελος,93,unigram,masculine,nominative,singular,malaekat,4.689007898776727,malaekat,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,rasuḷ,1.2555834008424278,rasuḷ,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,tosingogon-Ku,1.2128670888918642,tosingogon-Ku,apostle
ἐξουσία,173,unigram,feminine,accusative,singular,kawasa,2.605043188916074,kawasa,authority
βρέφος,16,unigram,neuter,accusative,plural,kadaian-Nea,1.0961802975276198,kadaian-Nea,babies
ἀποθήκη,61,unigram,feminine,accusative,singular,gandum,1.0336674897758984,gandum,barn
φραγμός,208,unigram,masculine,accusative,plural,pakisadon,1.0961704053894883,pakisadon,"barrier, wall"
ζώνη,150,unigram,feminine,accusative,plural,tambaga,1.1926111827632997,tambaga,belt
ζώνη,199,unigram,feminine,accusative,singular,dilú,1.0961654628313675,dilú,belt
βλασφημία,29,unigram,feminine,accusative,plural,mobaranibí,1.2933754503290678,mobaranibí,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,uangga,2.51439173845448,uangga,boat
πλοῖον,272,unigram,neuter,accusative,singular,uangga,2.6254783679333187,uangga,boat
πλοῖον,201,unigram,neuter,nominative,singular,sinakoian,1.1316857822040258,sinakoian,boat
σῶμα,52,unigram,neuter,nominative,singular,awakmu,1.6073379326139392,awakmu,body
κλῆμα,126,unigram,neuter,nominative,singular,Tanga,1.1798386614772434,Tanga,branch
