lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1223_translation,english_translation
θεός,107,unigram,masculine,accusative,singular,Wapong,4.235518665568201,Wapong,God
θεός,170,unigram,masculine,nominative,singular,Wapong,1.0116924941197898,Wapong,God
κύριος,108,unigram,masculine,nominative,singular,Sugucnedi,1.1291206335573645,Sugucnedi,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,lilogac,1.084610997114419,lilogac,Scripture
γραφή,40,unigram,feminine,accusative,singular,hibiwa,1.204731852516285,hibiwa,Scripture
γραφή,215,unigram,feminine,nominative,plural,hibiwa,1.4780164057128573,hibiwa,Scripture
γραφή,264,unigram,feminine,nominative,singular,hibiwa,1.6710393625391209,hibiwa,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,angelofocine,1.2755197854057847,angelofocine,angel
ἄγγελος,37,unigram,masculine,nominative,plural,angelo,3.7571972357270513,angelo,angel
ἄγγελος,89,unigram,masculine,nominative,singular,angelo,1.6806863639111767,angelo,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,Salecebaicne,1.5067073562450428,Salecebaicne,apostle
ἐξουσία,161,unigram,feminine,accusative,singular,bole-yowa,1.1279581809436934,bole-yowa,authority
ἀρχή,147,unigram,feminine,accusative,singular,funginene,1.1068800950791262,funginene,beginning
ζώνη,142,unigram,feminine,accusative,plural,sasacnedi,1.0965479101195084,sasacnedi,belt
βλασφημία,24,unigram,feminine,accusative,plural,fecnogac,1.4570121895693284,fecnogac,blasphemy
βλασφημία,168,unigram,feminine,nominative,plural,misulec,1.4784062399444813,misulec,blasphemy
βλασφημία,70,unigram,feminine,nominative,singular,misulec,1.4293948688805995,misulec,blasphemy
πλοῖον,87,unigram,neuter,accusative,plural,gombangineng,1.160669659685272,gombangineng,boat
πλοῖον,253,unigram,neuter,accusative,singular,gombawa,1.836445577231032,gombawa,boat
πλοῖον,196,unigram,neuter,nominative,plural,balaibecebaibong,1.0444531899185296,balaibecebaibong,boat
πλοῖον,184,unigram,neuter,nominative,singular,gombawa,1.1812203766968057,gombawa,boat
σῶμα,48,unigram,neuter,nominative,singular,socgone,1.8739538587291882,socgone,body
κλῆμα,44,unigram,neuter,nominative,plural,Naneuc,1.1068781203796745,Naneuc,branch
