lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_426_translation,english_translation
θεός,323,unigram,masculine,accusative,plural,god,1.9566554964063432,god,God
θεός,136,unigram,masculine,accusative,singular,God,2.2430514980723055,God,God
θεός,210,unigram,masculine,nominative,singular,God,3.0796664874842308,God,God
κύριος,137,unigram,masculine,nominative,singular,Genuai,2.9362508416065207,Genuai,"Lord, lord, master"
γραφή,131,unigram,feminine,accusative,plural,bukude,1.125429168305833,bukude,Scripture
γραφή,48,unigram,feminine,accusative,singular,bukude,1.057473600977195,bukude,Scripture
γραφή,262,unigram,feminine,nominative,plural,bukude,1.0213189288912852,bukude,Scripture
γραφή,318,unigram,feminine,nominative,singular,bukude,1.0594910291289033,bukude,Scripture
ἄγγελος,100,unigram,masculine,accusative,plural,ensel,1.2591833727814326,ensel,angel
ἄγγελος,83,unigram,masculine,accusative,singular,asęai,1.0686202704161183,asęai,angel
ἄγγελος,45,unigram,masculine,nominative,plural,ensel,1.390016197166018,ensel,angel
ἄγγελος,111,unigram,masculine,nominative,singular,ensel,1.817364568291841,ensel,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,deliba,1.147936809470945,deliba,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,elalugobeo,1.1767992731076014,elalugobeo,apostle
ἐξουσία,67,unigram,feminine,accusative,plural,pusubaso,1.324222797707851,pusubaso,authority
ἐξουσία,201,unigram,feminine,accusative,singular,bomo,2.7637659179677216,bomo,authority
βρέφος,18,unigram,neuter,accusative,plural,wao.,1.105476440126733,wao.,babies
βρέφος,317,unigram,neuter,accusative,singular,bulmakaugo,1.0804603210543138,bulmakaugo,babies
ἀποθήκη,66,unigram,feminine,accusative,singular,wit,1.2045723936137296,wit,barn
φραγμός,234,unigram,masculine,accusative,plural,pągąmainu,1.1601483900139276,pągąmainu,"barrier, wall"
φραγμός,116,unigram,masculine,accusative,singular,bagulali,1.0489298084494176,bagulali,"barrier, wall"
ἀρχή,69,unigram,feminine,accusative,plural,pusubaso,1.2084875881197978,pusubaso,beginning
ζώνη,175,unigram,feminine,accusative,plural,mouwadagede,1.1601402291408716,mouwadagede,belt
ζώνη,225,unigram,feminine,accusative,singular,mege,1.095398876121712,mege,belt
βλασφημία,97,unigram,feminine,accusative,singular,pusumainogo,1.095421848054621,pusumainogo,blasphemy
βλασφημία,208,unigram,feminine,nominative,plural,posobo,1.4421643889813658,posobo,blasphemy
