lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1220_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,dobtouleb,1.3634670209818087,dobtouleb,God
θεός,22,unigram,masculine,nominative,plural,binibbuei,1.1085338918681609,binibbuei,God
θεός,167,unigram,masculine,nominative,singular,Gode,1.088427237433957,Gode,God
κύριος,110,unigram,masculine,nominative,singular,Sume,4.714118710571256,Sume,"Lord, lord, master"
γραφή,104,unigram,feminine,accusative,plural,buk,1.7767670526686519,buk,Scripture
γραφή,41,unigram,feminine,accusative,singular,buk,1.1306105587893431,buk,Scripture
γραφή,263,unigram,feminine,nominative,singular,buk,2.4038301253812557,buk,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,abiseli,2.2537575995180603,abiseli,angel
ἄγγελος,37,unigram,masculine,nominative,plural,abiseli,2.8416086138658336,abiseli,angel
ἄγγελος,89,unigram,masculine,nominative,singular,abisake,4.508693257200618,abisake,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,dlasanin,2.345570320303457,dlasanin,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,Okok,1.0282960999033457,Okok,authority
βρέφος,262,unigram,neuter,accusative,singular,bokise,1.0945842228600384,bokise,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,toumin,1.3405555398570983,toumin,barn
φραγμός,190,unigram,masculine,accusative,plural,dinsibte,1.0966768220397096,dinsibte,"barrier, wall"
ἀρχή,147,unigram,feminine,accusative,singular,wankebte,1.1070382812371042,wankebte,beginning
ζώνη,140,unigram,feminine,accusative,plural,unaibe,1.3612102793055147,unaibe,belt
βλασφημία,26,unigram,feminine,accusative,plural,omketouyemin,1.059955837017074,omketouyemin,blasphemy
βλασφημία,79,unigram,feminine,accusative,singular,ibmal,1.0966975951107143,ibmal,blasphemy
βλασφημία,165,unigram,feminine,nominative,plural,deibenoba,1.107006484896171,deibenoba,blasphemy
πλοῖον,87,unigram,neuter,accusative,plural,weseme,1.287586909432516,weseme,boat
πλοῖον,248,unigram,neuter,accusative,singular,weseme,3.39803104707039,weseme,boat
πλοῖον,182,unigram,neuter,nominative,singular,weseme,1.1525582189827912,weseme,boat
σῶμα,49,unigram,neuter,nominative,singular,damo,1.313593293291338,damo,body
κλῆμα,119,unigram,neuter,nominative,singular,tamaim,1.4730869617785434,tamaim,branch
ἄρτος,252,unigram,masculine,accusative,plural,bleto,1.8936066052323652,bleto,bread
ἄρτος,275,unigram,masculine,accusative,singular,imeno,1.824160869269396,imeno,bread
ἄρτος,126,unigram,masculine,nominative,plural,anoa,1.118091228498608,anoa,bread
ἄρτος,29,unigram,masculine,nominative,singular,smike,1.0951390458460908,smike,bread
ἀδελφός,239,unigram,masculine,accusative,plural,meme,1.0006112560738938,meme,brother
ἀδελφός,99,unigram,masculine,accusative,singular,ninge,2.0352281626098483,ninge,brother
ἀδελφός,91,unigram,masculine,nominative,plural,ningwal,2.118553030575836,ningwal,brother
ἀδελφός,188,unigram,masculine,nominative,singular,ning,1.2613511488794331,ning,brother
ἀρχιερεύς,194,unigram,masculine,accusative,plural,komokwal,1.329643914800006,komokwal,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,debetniba,1.0372595400936224,debetniba,chief priest
ἀρχιερεύς,98,unigram,masculine,nominative,plural,kimanin,1.0004411535317657,kimanin,chief priest
ἀρχιερεύς,199,unigram,masculine,nominative,singular,komok,1.1501459459423145,komok,chief priest
παῖς,39,unigram,masculine,accusative,singular,blelasea,1.1071000438389251,blelasea,child
τέκνον,270,unigram,neuter,accusative,plural,meme,1.159205124903218,meme,child
τέκνον,144,unigram,neuter,accusative,singular,memei,1.0702954951803618,memei,child
τέκνον,11,unigram,neuter,nominative,plural,meme,1.4924135520293569,meme,child
τέκνον,155,unigram,neuter,nominative,singular,miino,1.3540169714447021,miino,child
παιδίον,10,unigram,neuter,accusative,plural,gwabi,1.1203722442196962,gwabi,child
παιδίον,75,unigram,neuter,accusative,singular,men,2.0404481591133408,men,child
παιδίον,138,unigram,neuter,nominative,plural,gwabi,1.4105192947960417,gwabi,child
παιδίον,31,unigram,neuter,nominative,singular,kimanale,1.0075853168802014,kimanale,child
πόλις,148,unigram,feminine,accusative,plural,gwab,1.5491365858975572,gwab,city
πόλις,53,unigram,feminine,accusative,singular,bib,2.8905393579635805,bib,city
χιτών,94,unigram,masculine,accusative,plural,unomabib,1.0988800067035678,unomabib,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,youm,1.2114335805346077,youm,"clothing, undergarments"
ἱμάτιον,107,unigram,neuter,accusative,plural,youmo,2.3577918759205456,youmo,coat
ἱμάτιον,106,unigram,neuter,accusative,singular,youme,1.1698216524243992,youme,coat
ἐντολή,68,unigram,feminine,accusative,plural,hekmel,1.1296076388231209,hekmel,commandment
ἐντολή,66,unigram,feminine,accusative,singular,hekmel,1.147202632376224,hekmel,commandment
συνέδριον,257,unigram,neuter,accusative,plural,keye,1.1939468273821947,keye,council
συνέδριον,43,unigram,neuter,accusative,singular,Glik,1.1696378716230391,Glik,council
χώρα,232,unigram,feminine,accusative,singular,betan,1.1302182869471726,betan,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,nakaia,1.1307224786867744,nakaia,crowd
ὄχλος,5,unigram,masculine,accusative,singular,nakaia,1.1617470658988984,nakaia,crowd
ὄχλος,82,unigram,masculine,nominative,plural,homoni,1.0652945351418592,homoni,crowd
ὄχλος,225,unigram,masculine,nominative,singular,homoni,1.6673536567388134,homoni,crowd
θυγάτηρ,251,unigram,feminine,nominative,singular,moono,4.243680003817864,moono,daughter
ἡμέρα,61,unigram,feminine,accusative,plural,amo,1.1890695856923854,amo,day
ἡμέρα,70,unigram,feminine,accusative,singular,bomanomo,1.2412543821765103,bomanomo,day
ἡμέρα,55,unigram,feminine,nominative,singular,dlasanin,1.0050520143830388,dlasanin,day
δαιμόνιον,24,unigram,neuter,accusative,plural,misiami,1.1401659178508727,misiami,demon
δαιμόνιον,266,unigram,neuter,accusative,singular,misiame,1.7614617580255776,misiame,demon
δαιμόνιον,157,unigram,neuter,nominative,plural,hob,1.1851986415540705,hob,demon
δαιμόνιον,137,unigram,neuter,nominative,singular,misiame,1.4484330912094578,misiame,demon
δηνάριον,243,unigram,neuter,accusative,plural,monio,1.5716721926363804,monio,denarius (about a day's wages)
δηνάριον,128,unigram,neuter,accusative,singular,watemite,1.4945415907946735,watemite,denarius (about a day's wages)
μαθητής,142,unigram,masculine,accusative,plural,aleyemin,1.4902093178167637,aleyemin,disciple
μαθητής,271,unigram,masculine,accusative,singular,gotne,1.728747957782903,gotne,disciple
μαθητής,219,unigram,masculine,nominative,plural,aleyemin,1.4801349999065438,aleyemin,disciple
μαθητής,269,unigram,masculine,nominative,singular,aleyemin,1.7898852653901725,aleyemin,disciple
νόσος,60,unigram,feminine,accusative,singular,klaye,1.2200847742142318,klaye,disease
περιστερά,81,unigram,feminine,accusative,plural,webib,1.0478185381755576,webib,dove
περιστερά,44,unigram,feminine,accusative,singular,kubiameie,1.059955837017074,kubiameie,dove
οὖς,118,unigram,neuter,accusative,plural,funaine,1.2132129498136046,funaine,ear
οὖς,224,unigram,neuter,accusative,singular,daang,1.3505080931150155,daang,ear
σεισμός,161,unigram,masculine,nominative,plural,blimana,1.5325308760324508,blimana,"earthquakes, storm"
τέλος,216,unigram,neuter,accusative,singular,tlamo,1.2346552738459442,tlamo,end
αἰών,191,unigram,masculine,accusative,plural,kimanino,1.2143669515921525,kimanino,eternity
αἰών,240,unigram,masculine,accusative,singular,amit,1.796744913670722,amit,eternity
ὀφθαλμός,17,unigram,masculine,accusative,plural,kino,2.7446910034190517,kino,eye
ὀφθαλμός,52,unigram,masculine,nominative,plural,kinadububebua,1.0087958744975178,kinadububebua,eye
λιμός,76,unigram,feminine,nominative,singular,namanoa,1.4842471202068914,namanoa,famine
γεωργός,200,unigram,masculine,nominative,plural,damibo,1.1587526082184536,damibo,"farmer, tenant"
γεωργός,40,unigram,masculine,nominative,singular,gosakobe,1.1466252207728669,gosakobe,"farmer, tenant"
πατήρ,242,unigram,masculine,accusative,singular,Aye,1.4268102574446946,Aye,father
πατήρ,250,unigram,masculine,nominative,plural,faninwali,2.5583428010542657,faninwali,father
πατήρ,149,unigram,masculine,nominative,singular,Aye,3.3481821527841307,Aye,father
σύνδουλος,254,unigram,masculine,nominative,plural,eko,1.1624325129261897,eko,"fellow-servant, colleague"
ἀγρός,265,unigram,masculine,accusative,plural,gwab,1.0072475393425655,gwab,field
ἀγρός,30,unigram,masculine,accusative,singular,damib,1.1433999268423471,damib,field
δάκτυλος,187,unigram,masculine,accusative,plural,mibmilibo,1.0966975951107143,mibmilibo,finger
ἰχθύς,121,unigram,masculine,accusative,plural,aningi,1.168298511606388,aningi,fish
δίκτυον,88,unigram,neuter,accusative,plural,aameno,3.445182002202609,aameno,fishing net
δίκτυον,159,unigram,neuter,accusative,singular,aningi,1.1514966301123564,aningi,fishing net
τροφή,261,unigram,feminine,accusative,singular,okayebebte,1.0599490075736764,okayebebte,food
πούς,189,unigram,masculine,accusative,plural,skilono,2.2905468816558616,skilono,foot
καρπός,146,unigram,masculine,accusative,plural,bali,1.1692222766653029,bali,"fruit, crop, harvest"
καρπός,185,unigram,masculine,accusative,singular,yamo,2.0895258754227832,yamo,"fruit, crop, harvest"
πλήρωμα,212,unigram,neuter,accusative,plural,meeno,1.030030946473165,meeno,fullness
γενεά,186,unigram,feminine,accusative,singular,baasebo,1.043961883962723,baasebo,generation
γενεά,117,unigram,feminine,nominative,singular,dabalim,1.158297483069176,dabalim,generation
δῶρον,241,unigram,neuter,accusative,plural,walonamino,1.0715295679714103,walonamino,gift
δῶρον,129,unigram,neuter,accusative,singular,heitdabanomo,1.2120520692282737,heitdabanomo,gift
ἡγεμών,136,unigram,masculine,accusative,plural,kiabwal,1.081722330453167,kiabwal,"governor, ruler"
ἡγεμών,7,unigram,masculine,accusative,singular,genene,1.0967184091762423,genene,"governor, ruler"
ἀσπασμός,253,unigram,masculine,accusative,plural,tliobo,1.0300328502008842,tliobo,greeting
ὁδηγός,2,unigram,masculine,nominative,plural,alebanang,1.0966768220397096,alebanang,guide
