lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1156_translation,version_1157_translation,english_translation
θεός,279,unigram,masculine,accusative,plural,dewata,1.09743484073902,dewata,,God
θεός,109,unigram,masculine,accusative,singular,Allata'alla,2.1893536598692607,Allata'alla,,God
θεός,171,unigram,masculine,nominative,singular,Allata'alla,2.8308033000992725,Allata'alla,,God
κύριος,110,unigram,masculine,nominative,singular,puangna,3.5479897366461275,puangna,,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Buku,1.275535015159576,Buku,,Scripture
γραφή,40,unigram,feminine,accusative,singular,Buku,1.2572765270040058,Buku,,Scripture
γραφή,217,unigram,feminine,nominative,plural,battakada,1.067735645322221,battakada,,Scripture
γραφή,274,unigram,feminine,nominative,singular,Buku,1.2612748164938352,Buku,,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,malaeka'na,1.913983129125826,malaeka'na,,angel
ἄγγελος,68,unigram,masculine,accusative,singular,pesuangkue,1.4945583270288108,pesuangkue,,angel
ἄγγελος,36,unigram,masculine,nominative,plural,malaeka,3.0041868724022742,malaeka,,angel
ἄγγελος,91,unigram,masculine,nominative,singular,malaeka,1.1516639193104494,malaeka,,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,rasul,1.0946632375452432,rasul,,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ussuai,1.1458015241214463,ussuai,,apostle
ἐξουσία,164,unigram,feminine,accusative,singular,kakuasaan,1.8189830062983852,kakuasaan,,authority
βρέφος,11,unigram,neuter,accusative,plural,nakeara,1.142432189539619,nakeara,,babies
βρέφος,273,unigram,neuter,accusative,singular,dilole,1.0596583563413178,dilole,,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,tappianna,1.1976895970883257,tappianna,,barn
φραγμός,195,unigram,masculine,accusative,plural,sua,1.1616361309642669,sua,,"barrier, wall"
ζώνη,144,unigram,feminine,accusative,plural,gallang,1.2105519994600993,gallang,,belt
βλασφημία,80,unigram,feminine,accusative,singular,Tarangngimia,1.0962547885329543,Tarangngimia,,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,lopi,1.3787750106425969,lopi,,boat
πλοῖον,260,unigram,neuter,accusative,singular,lopi,4.267313012187594,lopi,,boat
πλοῖον,200,unigram,neuter,nominative,plural,Langngammi,1.2110440024438336,Langngammi,,boat
