lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1164_translation,english_translation
θεός,321,unigram,masculine,accusative,plural,koarn,1.2591437047102771,koarn,God
θεός,133,unigram,masculine,accusative,singular,Keraéng,1.170924696779536,Keraéng,God
θεός,27,unigram,masculine,nominative,plural,Keraéngm,1.1475365859192672,Keraéngm,God
θεός,206,unigram,masculine,nominative,singular,Keraéng,2.4332439573845743,Keraéng,God
κύριος,323,unigram,masculine,nominative,plural,cacan,1.1631489665259134,cacan,"Lord, lord, master"
κύριος,134,unigram,masculine,nominative,singular,morin,1.0455080111524475,morin,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,Surak,1.874750015553036,Surak,Scripture
γραφή,258,unigram,feminine,nominative,plural,tulis,1.2904867757393963,tulis,Scripture
γραφή,316,unigram,feminine,nominative,singular,Surak,1.2844029974588878,Surak,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,malékat,1.356197354406693,malékat,angel
ἄγγελος,85,unigram,masculine,accusative,singular,bolo,1.1511672595465654,bolo,angel
ἄγγελος,46,unigram,masculine,nominative,plural,malékat-malékat,1.0868683069880036,malékat-malékat,angel
ἄγγελος,107,unigram,masculine,nominative,singular,malékat,5.271258535573553,malékat,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,gori,1.1305802280990087,gori,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,wuatn,1.2929854298915346,wuatn,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,riwok,1.0962199599997684,riwok,authority
ἐξουσία,197,unigram,feminine,accusative,singular,kuasa,1.9908533345480328,kuasa,authority
βρέφος,15,unigram,neuter,accusative,plural,omar,1.210107806930739,omar,babies
βρέφος,315,unigram,neuter,accusative,singular,galang,1.0662850125332282,galang,babies
ἀποθήκη,263,unigram,feminine,accusative,plural,mésén,1.0888311507983908,mésén,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,gandum,1.2851174540566834,gandum,barn
φραγμός,231,unigram,masculine,accusative,plural,penongy,1.096057314542422,penongy,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,riwok,1.0961063339256685,riwok,beginning
ἀρχή,180,unigram,feminine,accusative,singular,Tanda,1.0493379808291403,Tanda,beginning
ζώνη,222,unigram,feminine,accusative,singular,wani,1.0960524252565438,wani,belt
βλασφημία,30,unigram,feminine,accusative,plural,mbéis,1.123664399048184,mbéis,blasphemy
πλοῖον,105,unigram,neuter,accusative,plural,wangka,1.3463708763049926,wangka,boat
πλοῖον,301,unigram,neuter,accusative,singular,wangka,1.8464496998704347,wangka,boat
πλοῖον,236,unigram,neuter,nominative,plural,cebana,1.1686434295750918,cebana,boat
πλοῖον,224,unigram,neuter,nominative,singular,wangka,1.3463708763049926,wangka,boat
