lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1273_translation,english_translation
θεός,367,unigram,masculine,accusative,plural,wý,1.4039896032227237,wý,God
θεός,150,unigram,masculine,accusative,singular,Bua,1.0212260238666202,Bua,God
θεός,35,unigram,masculine,nominative,plural,chép,1.0478667635030887,chép,God
θεός,231,unigram,masculine,nominative,singular,Bua,1.0211941278820087,Bua,God
κύριος,369,unigram,masculine,nominative,plural,tanh,1.1656997452267372,tanh,"Lord, lord, master"
κύριος,151,unigram,masculine,nominative,singular,Chủa,2.4659510075324214,Chủa,"Lord, lord, master"
γραφή,145,unigram,feminine,accusative,plural,Chẩy,2.17538151421734,Chẩy,Scripture
γραφή,58,unigram,feminine,accusative,singular,Chẩy,1.1575295711326885,Chẩy,Scripture
γραφή,293,unigram,feminine,nominative,plural,Chẩy,1.7932062192153462,Chẩy,Scripture
γραφή,362,unigram,feminine,nominative,singular,Chẩy,2.327036576377342,Chẩy,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,thần,1.4841925831070302,thần,angel
ἄγγελος,96,unigram,masculine,accusative,singular,dõn,1.1159232400482602,dõn,angel
ἄγγελος,54,unigram,masculine,nominative,plural,thần,1.5842513129068594,thần,angel
ἄγγελος,123,unigram,masculine,nominative,singular,thần,1.2733403592721042,thần,angel
ἀπόστολος,7,unigram,masculine,nominative,singular,chẳn,1.011485624859145,chẳn,apostle
ἐξουσία,77,unigram,feminine,accusative,plural,pênh,1.3510522971327872,pênh,authority
ἐξουσία,222,unigram,feminine,accusative,singular,quyền,7.614062231139249,quyền,authority
βρέφος,20,unigram,neuter,accusative,plural,tlách,1.0648508173857405,tlách,babies
βρέφος,360,unigram,neuter,accusative,singular,wầl,1.0441063733306788,wầl,babies
ἀποθήκη,301,unigram,feminine,accusative,plural,kho,1.0564316199531925,kho,barn
ἀποθήκη,76,unigram,feminine,accusative,singular,kho,1.0493509377047592,kho,barn
ἀρχή,80,unigram,feminine,accusative,plural,pênh,1.3876758255978332,pênh,beginning
ἀρχή,203,unigram,feminine,accusative,singular,Ca-na,1.1061233247067317,Ca-na,beginning
ζώνη,194,unigram,feminine,accusative,plural,thủl,1.1446691143994523,thủl,belt
βλασφημία,39,unigram,feminine,accusative,plural,mắc,1.2929678013388015,mắc,blasphemy
βλασφημία,111,unigram,feminine,accusative,singular,chéch,1.0662969685843078,chéch,blasphemy
βλασφημία,229,unigram,feminine,nominative,plural,vu,1.1062485993005018,vu,blasphemy
βλασφημία,97,unigram,feminine,nominative,singular,dâm,1.1062485993005018,dâm,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,đốc,1.6618706201412408,đốc,boat
πλοῖον,345,unigram,neuter,accusative,singular,đốc,3.3142684549000507,đốc,boat
πλοῖον,266,unigram,neuter,nominative,plural,đốc,1.2749493102319542,đốc,boat
πλοῖον,251,unigram,neuter,nominative,singular,đốc,1.745558673584344,đốc,boat
σῶμα,239,unigram,neuter,nominative,plural,yêu,1.1063506554444371,yêu,body
σῶμα,67,unigram,neuter,nominative,singular,póc,2.5713730407935147,póc,body
κλῆμα,63,unigram,neuter,nominative,plural,cènh,1.2249771914978662,cènh,branch
κλῆμα,169,unigram,neuter,nominative,singular,cènh,1.2134384896727233,cènh,branch
ἄρτος,350,unigram,masculine,accusative,plural,pẻnh,4.187588224593322,pẻnh,bread
ἄρτος,380,unigram,masculine,accusative,singular,pẻnh,1.9413115798207103,pẻnh,bread
ἄρτος,177,unigram,masculine,nominative,plural,pẻnh,1.885623539189848,pẻnh,bread
ἄρτος,46,unigram,masculine,nominative,singular,pẻnh,4.041914793199672,pẻnh,bread
ἀδελφός,335,unigram,masculine,accusative,plural,ủn,1.2913844705382218,ủn,brother
ἀδελφός,136,unigram,masculine,accusative,singular,Gia-cơ,1.1480199965014564,Gia-cơ,brother
ἀδελφός,127,unigram,masculine,nominative,plural,ủn,1.7670114486421482,ủn,brother
ἀδελφός,258,unigram,masculine,nominative,singular,tửa,1.140610630727708,tửa,brother
στῆθος,318,unigram,neuter,accusative,singular,đương,1.4173809820439174,đương,"chest, breast"
ἀρχιερεύς,272,unigram,masculine,accusative,plural,tlưỡng,1.8303647358308264,tlưỡng,chief priest
ἀρχιερεύς,68,unigram,masculine,accusative,singular,Tlưỡng,1.2568983640009432,Tlưỡng,chief priest
