lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1270_translation,english_translation
θεός,364,unigram,masculine,accusative,plural,masǝŋ,1.7286845209802533,masǝŋ,God
θεός,154,unigram,masculine,accusative,singular,Masǝŋ,5.42634697611733,Masǝŋ,God
θεός,34,unigram,masculine,nominative,plural,masǝŋ,1.4174187534676457,masǝŋ,God
θεός,235,unigram,masculine,nominative,singular,Masǝŋ,8.02437999691632,Masǝŋ,God
κύριος,366,unigram,masculine,nominative,plural,wǝǝra,1.0719675935540436,wǝǝra,"Lord, lord, master"
κύριος,155,unigram,masculine,nominative,singular,Dǝɓlii,5.966256219943774,Dǝɓlii,"Lord, lord, master"
γραφή,149,unigram,feminine,accusative,plural,Ɗerewol,3.3952973475377544,Ɗerewol,Scripture
γραφή,60,unigram,feminine,accusative,singular,Ɗerewol,1.2579586214038092,Ɗerewol,Scripture
γραφή,294,unigram,feminine,nominative,plural,Ɗerewol,1.5167935500665737,Ɗerewol,Scripture
γραφή,359,unigram,feminine,nominative,singular,Ɗerewol,3.6738483042863423,Ɗerewol,Scripture
ἄγγελος,116,unigram,masculine,accusative,plural,angeloi,2.4557030517371885,angeloi,angel
ἄγγελος,99,unigram,masculine,accusative,singular,papee,1.6878357844513183,papee,angel
ἄγγελος,56,unigram,masculine,nominative,plural,angeloi,4.097764388427846,angeloi,angel
ἄγγελος,126,unigram,masculine,nominative,singular,Angelos,1.1612151230131815,Angelos,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,Zapee,2.3678801201304127,Zapee,apostle
ἐξουσία,81,unigram,feminine,accusative,plural,goŋe,1.192786897108873,goŋe,authority
ἐξουσία,227,unigram,feminine,accusative,singular,swah,2.8960771839112467,swah,authority
βρέφος,20,unigram,neuter,accusative,plural,cakra,1.4471367113830043,cakra,babies
βρέφος,357,unigram,neuter,accusative,singular,saŋne,1.220610272480471,saŋne,babies
ἀποθήκη,80,unigram,feminine,accusative,singular,sor,1.220341494922694,sor,barn
φραγμός,262,unigram,masculine,accusative,plural,kǝrkǝrri,1.5760411926761215,kǝrkǝrri,"barrier, wall"
φραγμός,131,unigram,masculine,accusative,singular,jul,1.1796107829896338,jul,"barrier, wall"
ἀρχή,84,unigram,feminine,accusative,plural,goŋe,1.192498872056829,goŋe,beginning
ἀρχή,207,unigram,feminine,accusative,singular,tǝtǝŋ,2.059464448976089,tǝtǝŋ,beginning
ζώνη,199,unigram,feminine,accusative,plural,jiibǝ,1.1796107829896338,jiibǝ,belt
βλασφημία,38,unigram,feminine,accusative,plural,haihai,1.1063067942681275,haihai,blasphemy
βλασφημία,114,unigram,feminine,accusative,singular,ŋgǝ̃ǝ,1.0994157566373002,ŋgǝ̃ǝ,blasphemy
βλασφημία,233,unigram,feminine,nominative,plural,berre,1.106266548626385,berre,blasphemy
βλασφημία,100,unigram,feminine,nominative,singular,ɓǝɓe,1.249167680936741,ɓǝɓe,blasphemy
πλοῖον,124,unigram,neuter,accusative,plural,dah,1.903040896595305,dah,boat
πλοῖον,344,unigram,neuter,accusative,singular,dah,1.7317267265511185,dah,boat
πλοῖον,269,unigram,neuter,nominative,plural,Nyi,1.0298762484566524,Nyi,boat
πλοῖον,254,unigram,neuter,nominative,singular,dah,1.1273110661395656,dah,boat
σῶμα,71,unigram,neuter,nominative,singular,suu,1.382506789250202,suu,body
κλῆμα,67,unigram,neuter,nominative,plural,mgbãa,1.2377793592486062,mgbãa,branch
κλῆμα,172,unigram,neuter,nominative,singular,mgbãa,1.7459549536254029,mgbãa,branch
ἄρτος,347,unigram,masculine,accusative,plural,zahtǝfah,1.8159367315717143,zahtǝfah,bread
ἄρτος,376,unigram,masculine,accusative,singular,farel,2.1470803856134633,farel,bread
ἄρτος,181,unigram,masculine,nominative,plural,farel,2.407546536958919,farel,bread
ἄρτος,46,unigram,masculine,nominative,singular,farel,1.4734434066137398,farel,bread
ἀδελφός,333,unigram,masculine,accusative,plural,wee,2.2346933891224725,wee,brother
ἀδελφός,141,unigram,masculine,accusative,singular,naa,1.5370239143452924,naa,brother
ἀδελφός,130,unigram,masculine,nominative,plural,wee,1.701801886889287,wee,brother
ἀδελφός,260,unigram,masculine,nominative,singular,naa,2.5227212049634,naa,brother
στῆθος,177,unigram,neuter,accusative,plural,kǝ̃ǝ,1.0915283105422895,kǝ̃ǝ,"chest, breast"
στῆθος,317,unigram,neuter,accusative,singular,ɗǝŋ,1.150848946903918,ɗǝŋ,"chest, breast"
ἀρχιερεύς,273,unigram,masculine,accusative,plural,joŋzahsyiŋ,1.0150807978231735,joŋzahsyiŋ,chief priest
ἀρχιερεύς,72,unigram,masculine,accusative,singular,joŋzahsyiŋ,1.2984679944702808,joŋzahsyiŋ,chief priest
ἀρχιερεύς,140,unigram,masculine,nominative,plural,joŋzahsyiŋ,1.3348535135024742,joŋzahsyiŋ,chief priest
ἀρχιερεύς,278,unigram,masculine,nominative,singular,joŋzahsyiŋ,1.4762842530179274,joŋzahsyiŋ,chief priest
παῖς,265,unigram,masculine,accusative,plural,tǝkine,1.0340039267455277,tǝkine,child
παῖς,58,unigram,masculine,accusative,singular,'nam,1.2413751837443454,'nam,child
τέκνον,368,unigram,neuter,accusative,plural,wee,2.706993503908772,wee,child
τέκνον,204,unigram,neuter,accusative,singular,ikra,1.2842563036793793,ikra,child
τέκνον,21,unigram,neuter,nominative,plural,ikra,1.039221199010101,ikra,child
τέκνον,219,unigram,neuter,nominative,singular,Na,1.7198265394093364,Na,child
παιδίον,19,unigram,neuter,accusative,plural,nyee,1.2168798468079185,nyee,child
παιδίον,108,unigram,neuter,accusative,singular,welaŋ,1.561201080126869,welaŋ,child
παιδίον,197,unigram,neuter,nominative,plural,wee,1.3120175741423428,wee,child
παιδίον,48,unigram,neuter,nominative,singular,dan,1.0643375669243875,dan,child
πόλις,208,unigram,feminine,accusative,plural,kyãh,1.2008110937005816,kyãh,city
πόλις,76,unigram,feminine,accusative,singular,yaŋ,3.3396067153670472,yaŋ,city
πύλη,298,unigram,feminine,nominative,plural,eklesia,1.5643526114012452,eklesia,city gate
πύλη,232,unigram,feminine,nominative,singular,manyiŋ,1.3418063707283592,manyiŋ,city gate
χιτών,136,unigram,masculine,accusative,plural,mbǝro,1.2975606246381368,mbǝro,"clothing, undergarments"
χιτών,35,unigram,masculine,accusative,singular,sol,1.376314531016377,sol,"clothing, undergarments"
