lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_272_translation,english_translation
θεός,263,unigram,masculine,accusative,plural,nilimúma,1.16212982949932,nilimúma,God
θεός,112,unigram,masculine,accusative,singular,Pulu,1.3621484660982892,Pulu,God
θεός,169,unigram,masculine,nominative,singular,Pulu,2.0609168807262663,Pulu,God
κύριος,265,unigram,masculine,nominative,plural,posikulu,1.096344883540667,posikulu,"Lord, lord, master"
κύριος,113,unigram,masculine,nominative,singular,Auliele,1.7028727656779181,Auliele,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,tengélendu,1.0710168661747141,tengélendu,Scripture
γραφή,212,unigram,feminine,nominative,plural,bukna,1.1526588972075924,bukna,Scripture
γραφή,258,unigram,feminine,nominative,singular,bukna,1.8494908273680413,bukna,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,angkellama,1.7788479691860806,angkellama,angel
ἄγγελος,70,unigram,masculine,accusative,singular,Mallakai,1.4946191552539645,Mallakai,angel
ἄγγελος,36,unigram,masculine,nominative,plural,angkellama,1.8911183612693323,angkellama,angel
ἄγγελος,92,unigram,masculine,nominative,singular,angkella,1.1277518216191862,angkella,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,tenji-pai.,1.5375279574431366,tenji-pai.,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,pelemále-ni,1.2014007091753225,pelemále-ni,authority
βρέφος,13,unigram,neuter,accusative,plural,ambulupili.,1.0437766779430342,ambulupili.,babies
βρέφος,257,unigram,neuter,accusative,singular,no-unji,1.105470825457771,no-unji,babies
φραγμός,187,unigram,masculine,accusative,plural,pakili-makilimanga,1.0954034664104502,pakili-makilimanga,"barrier, wall"
ἀρχή,145,unigram,feminine,accusative,singular,Kena,1.0902956630976663,Kena,beginning
βλασφημία,24,unigram,feminine,accusative,plural,marake,1.0351532312316778,marake,blasphemy
βλασφημία,167,unigram,feminine,nominative,plural,kis-silimele,1.0519981689670803,kis-silimele,blasphemy
βλασφημία,71,unigram,feminine,nominative,singular,uluma,1.03319051363592,uluma,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,sip,1.0882996086229235,sip,boat
πλοῖον,245,unigram,neuter,accusative,singular,nona,1.6614934796406915,nona,boat
πλοῖον,192,unigram,neuter,nominative,plural,puringko,1.0592153501965318,puringko,boat
πλοῖον,180,unigram,neuter,nominative,singular,sipele,1.5949460431985203,sipele,boat
σῶμα,47,unigram,neuter,nominative,singular,kangieliinga,1.3199143937235704,kangieliinga,body
κλῆμα,125,unigram,neuter,nominative,singular,na-kene,1.1084421773243431,na-kene,branch
ἄρτος,250,unigram,masculine,accusative,plural,kaluli,1.2197318130384531,kaluli,bread
ἄρτος,272,unigram,masculine,accusative,singular,langi,1.4509762729272322,langi,bread
ἄρτος,130,unigram,masculine,nominative,plural,kaluli,1.4409397715429428,kaluli,bread
ἄρτος,28,unigram,masculine,nominative,singular,gale,1.5168009445796946,gale,bread
ἀδελφός,238,unigram,masculine,accusative,plural,anginipilima,1.7469359921975542,anginipilima,brother
ἀδελφός,103,unigram,masculine,accusative,singular,angin,2.0767511378506143,angin,brother
ἀδελφός,95,unigram,masculine,nominative,plural,anginipili,2.1653048780149606,anginipili,brother
ἀδελφός,185,unigram,masculine,nominative,singular,angin,2.589166735538633,angin,brother
στῆθος,226,unigram,neuter,accusative,singular,nondupa,1.4709101469241013,nondupa,"chest, breast"
ἀρχιερεύς,195,unigram,masculine,accusative,plural,tunjuring,1.3517003323548422,tunjuring,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,tunjuring,1.1597462104081868,tunjuring,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,tunjuring,1.1308042980725794,tunjuring,chief priest
ἀρχιερεύς,199,unigram,masculine,nominative,singular,tunjuring,1.3357091383252233,tunjuring,chief priest
τέκνον,267,unigram,neuter,accusative,plural,kangambulama,2.2645234761215858,kangambulama,child
τέκνον,154,unigram,neuter,nominative,singular,Kangale,1.1876146093647293,Kangale,child
παιδίον,12,unigram,neuter,accusative,plural,wangi,1.024683560828688,wangi,child
παιδίον,77,unigram,neuter,accusative,singular,kangambula,1.3480631683809785,kangambula,child
παιδίον,30,unigram,neuter,nominative,singular,Kangambolama-ni,1.1883351493813274,Kangambolama-ni,child
πόλις,146,unigram,feminine,accusative,plural,kolea-aulimanga,1.4946142067151929,kolea-aulimanga,city
πόλις,52,unigram,feminine,accusative,singular,kolea-auli,1.286670383003914,kolea-auli,city
