lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1160_translation,english_translation
θεός,110,unigram,masculine,accusative,singular,Nanaranga,4.073683469325196,Nanaranga,God
θεός,26,unigram,masculine,nominative,plural,nanaranga,1.4174491883362674,nanaranga,God
θεός,180,unigram,masculine,nominative,singular,Nanaranga,8.966229595853473,Nanaranga,God
κύριος,111,unigram,masculine,nominative,singular,Tanepoa,3.849402308223013,Tanepoa,"Lord, lord, master"
γραφή,106,unigram,feminine,accusative,plural,Buku,1.3943153863250064,Buku,Scripture
γραφή,222,unigram,feminine,nominative,plural,Buku,1.337319736439364,Buku,Scripture
γραφή,277,unigram,feminine,nominative,singular,Buku,3.0708074670985903,Buku,Scripture
ἄγγελος,82,unigram,masculine,accusative,plural,enzel,2.2372967053606043,enzel,angel
ἄγγελος,43,unigram,masculine,nominative,plural,enzel,2.3237600328311343,enzel,angel
ἄγγελος,92,unigram,masculine,nominative,singular,enzel,3.0690553502331426,enzel,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,apostel,1.7408106342616334,apostel,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,nepia,1.2101986499951525,nepia,apostle
ἐξουσία,172,unigram,feminine,accusative,singular,kaiboang,2.6463575276221243,kaiboang,authority
βρέφος,15,unigram,neuter,accusative,plural,ngamaroudi,1.161363596243249,ngamaroudi,babies
βρέφος,276,unigram,neuter,accusative,singular,taramogida,1.1923994625088792,taramogida,babies
ζώνη,148,unigram,feminine,accusative,plural,kapa,1.096071996175396,kapa,belt
βλασφημία,29,unigram,feminine,accusative,plural,ngarokaki,1.04412379902838,ngarokaki,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,kati,1.6973801392031522,kati,boat
πλοῖον,262,unigram,neuter,accusative,singular,kati-o,1.0285482099578385,kati-o,boat
πλοῖον,195,unigram,neuter,nominative,singular,irebareba,1.1162661864619954,irebareba,boat
σῶμα,54,unigram,neuter,nominative,singular,tamoata-ming,1.7671230916595089,tamoata-ming,body
κλῆμα,125,unigram,neuter,nominative,singular,Kai-sapara,1.9999489996779396,Kai-sapara,branch
ἄρτος,266,unigram,masculine,accusative,plural,bereti,2.358154083880351,bereti,bread
ἄρτος,289,unigram,masculine,accusative,singular,bereti,1.3325730278359016,bereti,bread
ἄρτος,132,unigram,masculine,nominative,plural,dakang,1.1480199386335086,dakang,bread
ἄρτος,34,unigram,masculine,nominative,singular,kangkang,1.817049342953932,kangkang,bread
ἀδελφός,252,unigram,masculine,accusative,plural,taritoka,1.9065762068603491,taritoka,brother
ἀδελφός,100,unigram,masculine,accusative,singular,Zems,1.223776933917017,Zems,brother
ἀδελφός,94,unigram,masculine,nominative,plural,taritoka,1.3806389058097437,taritoka,brother
ἀδελφός,201,unigram,masculine,nominative,singular,tari,1.5609608478336618,tari,brother
στῆθος,130,unigram,neuter,accusative,plural,ditaongaki,1.2555537226329223,ditaongaki,"chest, breast"
στῆθος,238,unigram,neuter,accusative,singular,itegi,1.0581297435942407,itegi,"chest, breast"
ἀρχιερεύς,208,unigram,masculine,accusative,plural,ditabatabai,1.289327215078481,ditabatabai,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,ditabatabai,1.0276704111222768,ditabatabai,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,dimuamuadi,1.0546245404703511,dimuamuadi,chief priest
ἀρχιερεύς,212,unigram,masculine,nominative,singular,ditabatabai,1.0160114776908211,ditabatabai,chief priest
τέκνον,284,unigram,neuter,accusative,plural,natu,1.9929023168356783,natu,child
τέκνον,165,unigram,neuter,nominative,singular,Natugu,2.96245334166258,Natugu,child
παιδίον,14,unigram,neuter,accusative,plural,natu-muku,1.0111084694697878,natu-muku,child
παιδίον,79,unigram,neuter,accusative,singular,natu-muku,3.6705286811508446,natu-muku,child
παιδίον,146,unigram,neuter,nominative,plural,natu-muku,1.231465201160898,natu-muku,child
παιδίον,36,unigram,neuter,nominative,singular,natu-muku,2.3679545973289096,natu-muku,child
πόλις,155,unigram,feminine,accusative,plural,anua,1.5054169711887635,anua,city
πόλις,57,unigram,feminine,accusative,singular,anua,2.5647459982115106,anua,city
πύλη,178,unigram,feminine,nominative,singular,babaduadua,1.2384234805246113,babaduadua,city gate
χιτών,97,unigram,masculine,accusative,plural,kusi-sili,1.4595906282606088,kusi-sili,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,malo,1.1160359434925304,malo,"clothing, undergarments"
ἱμάτιον,108,unigram,neuter,accusative,plural,kusi,1.1755493835455766,kusi,coat
ἱμάτιον,107,unigram,neuter,accusative,singular,kusi-sili,2.5332264685343118,kusi-sili,coat
ἐντολή,72,unigram,feminine,accusative,plural,mata,1.0313258609600298,mata,commandment
ἐντολή,70,unigram,feminine,accusative,singular,katagatagadi,1.4619015384133125,katagatagadi,commandment
συνέδριον,271,unigram,neuter,accusative,plural,dauauri-kaming,1.478542065126321,dauauri-kaming,council
συνέδριον,47,unigram,neuter,accusative,singular,Kansolo,1.04412379902838,Kansolo,council
χώρα,243,unigram,feminine,accusative,singular,ngaradia-lo,1.0505457882954268,ngaradia-lo,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,aine,2.469750351139544,aine,crowd
ὄχλος,8,unigram,masculine,accusative,singular,aine,2.6346530656864435,aine,crowd
ὄχλος,84,unigram,masculine,nominative,plural,aine,2.188289318047254,aine,crowd
ὄχλος,234,unigram,masculine,nominative,singular,dum,1.3048572822113256,dum,crowd
θυγάτηρ,265,unigram,feminine,nominative,singular,aineka,1.9076735449173905,aineka,daughter
ἡμέρα,65,unigram,feminine,accusative,plural,amaridi,1.3828857821468648,amaridi,day
ἡμέρα,74,unigram,feminine,accusative,singular,Izamaizama,1.5506287778011345,Izamaizama,day
ἡμέρα,2,unigram,feminine,nominative,plural,bong,1.073273299467637,bong,day
ἡμέρα,59,unigram,feminine,nominative,singular,Amari,2.3615933985672326,Amari,day
δαιμόνιον,28,unigram,neuter,accusative,plural,mariaba,1.197269531982814,mariaba,demon
δαιμόνιον,280,unigram,neuter,accusative,singular,goalaka,1.9664706192406982,goalaka,demon
δαιμόνιον,167,unigram,neuter,nominative,plural,mariaba,1.1202241789719665,mariaba,demon
δαιμόνιον,144,unigram,neuter,nominative,singular,goalaka,1.4068222486330224,goalaka,demon
δηνάριον,257,unigram,neuter,accusative,plural,mone,1.408222282509911,mone,denarius (about a day's wages)
δηνάριον,134,unigram,neuter,accusative,singular,siliua,1.6717769102107525,siliua,denarius (about a day's wages)
μαθητής,151,unigram,masculine,accusative,plural,tagataga,2.9219795297968685,tagataga,disciple
μαθητής,285,unigram,masculine,accusative,singular,irereretaki,1.9605505694781848,irereretaki,disciple
μαθητής,229,unigram,masculine,nominative,plural,tagataga,2.173626526041849,tagataga,disciple
μαθητής,283,unigram,masculine,nominative,singular,tagataga,3.4818017240608734,tagataga,disciple
νόσος,63,unigram,feminine,accusative,singular,goala,1.2265927525857507,goala,disease
περιστερά,83,unigram,feminine,accusative,plural,bune,1.4349487647661852,bune,dove
περιστερά,48,unigram,feminine,accusative,singular,bune,1.4349487647661852,bune,dove
οὖς,124,unigram,neuter,accusative,plural,Kungi-ming,1.0587700068078991,Kungi-ming,ear
οὖς,233,unigram,neuter,accusative,singular,ariata,1.11386490406634,ariata,ear
σεισμός,173,unigram,masculine,nominative,plural,dapurapura,1.261358180480329,dapurapura,"earthquakes, storm"
τέλος,226,unigram,neuter,accusative,singular,nibe,1.2118041839038265,nibe,end
αἰών,253,unigram,masculine,accusative,singular,ngasukoaki,1.2461049217180404,ngasukoaki,eternity
πρόσωπον,162,unigram,neuter,accusative,singular,kateka-lo,1.1007102150585966,kateka-lo,face
λιμός,5,unigram,feminine,nominative,plural,dapurapura,1.0982571379540649,dapurapura,famine
λιμός,80,unigram,feminine,nominative,singular,irokaki-doi,1.096091603901298,irokaki-doi,famine
γεωργός,213,unigram,masculine,nominative,plural,dimalipilipitaki,1.30113608557937,dimalipilipitaki,"farmer, tenant"
γεωργός,45,unigram,masculine,nominative,singular,kaimana-tina,1.3850475728050755,kaimana-tina,"farmer, tenant"
πατήρ,168,unigram,masculine,accusative,plural,Ilo-taga,1.2153516622646183,Ilo-taga,father
πατήρ,256,unigram,masculine,accusative,singular,Tama-gu,2.122629164248986,Tama-gu,father
πατήρ,264,unigram,masculine,nominative,plural,tubu-ming,1.9785832002847332,tubu-ming,father
πατήρ,156,unigram,masculine,nominative,singular,Tama-gu,2.6083800324798467,Tama-gu,father
σύνδουλος,76,unigram,masculine,accusative,singular,malipilipi-budu,1.0595545022300916,malipilipi-budu,"fellow-servant, colleague"
σύνδουλος,268,unigram,masculine,nominative,plural,dirangakini,1.1447388226059994,dirangakini,"fellow-servant, colleague"
ἀγρός,279,unigram,masculine,accusative,plural,dieno-lo,1.2230927674911571,dieno-lo,field
ἀγρός,35,unigram,masculine,accusative,singular,mone,1.011776948112817,mone,field
δάκτυλος,150,unigram,masculine,accusative,singular,Tomas,1.6526145373993573,Tomas,finger
ἰχθύς,127,unigram,masculine,accusative,plural,ika,1.235948239723205,ika,fish
ἰχθύς,161,unigram,masculine,accusative,singular,Ika,1.2314985477229732,Ika,fish
δίκτυον,91,unigram,neuter,accusative,plural,raka,2.7366028593295093,raka,fishing net
δίκτυον,171,unigram,neuter,accusative,singular,ika,1.2030678942644484,ika,fishing net
δίκτυον,145,unigram,neuter,nominative,plural,dimasaresare,1.1063368563988296,dimasaresare,fishing net
τροφή,206,unigram,feminine,accusative,plural,dazaza,1.4397683077640469,dazaza,food
τροφή,275,unigram,feminine,accusative,singular,daga-tinao,1.096091603901298,daga-tinao,food
πούς,202,unigram,masculine,accusative,plural,ae,1.6063017995699045,ae,foot
καρπός,154,unigram,masculine,accusative,plural,dokinga-o,1.0307812420443812,dokinga-o,"fruit, crop, harvest"
καρπός,198,unigram,masculine,accusative,singular,kalingo,1.1247760874507118,kalingo,"fruit, crop, harvest"
πλήρωμα,224,unigram,neuter,accusative,plural,raba,1.2121483580151202,raba,fullness
γενεά,199,unigram,feminine,accusative,singular,ruangadi,1.688362097030406,ruangadi,generation
γενεά,123,unigram,feminine,nominative,singular,kaituka,1.1345716901129623,kaituka,generation
δῶρον,255,unigram,neuter,accusative,plural,lumaluma,2.6266509144734327,lumaluma,gift
δῶρον,136,unigram,neuter,accusative,singular,tabataba,2.157194833587468,tabataba,gift
ἡγεμών,142,unigram,masculine,accusative,plural,arodi,1.2590143550240973,arodi,"governor, ruler"
ἡγεμών,11,unigram,masculine,accusative,singular,ipitilaki-tina,1.1063368563988296,ipitilaki-tina,"governor, ruler"
ἀσπασμός,267,unigram,masculine,accusative,plural,damuamuakidi,1.1225457066187858,damuamuakidi,greeting
ἀσπασμός,143,unigram,masculine,accusative,singular,inaulaki,1.2126256018072978,inaulaki,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,kaititikingdi,1.3093846960750035,kaititikingdi,guide
θρίξ,186,unigram,feminine,nominative,singular,pangana-mingo,1.0961112485594913,pangana-mingo,hair
χείρ,259,unigram,feminine,accusative,plural,luma,2.4151961983536316,luma,hand
χείρ,188,unigram,feminine,accusative,singular,luma,1.5031125670818484,luma,hand
κεφαλή,116,unigram,feminine,accusative,plural,ditatatai,1.0648417925568157,ditatatai,head
κεφαλή,176,unigram,feminine,accusative,singular,pangana,1.3301400328376158,pangana,head
στάχυς,177,unigram,masculine,accusative,plural,uit,1.532313197894071,uit,head of grain
στάχυς,64,unigram,masculine,accusative,singular,dirauposa,1.0960817954296525,dirauposa,head of grain
καρδία,163,unigram,feminine,nominative,singular,makarana-la,1.0431383865310602,makarana-la,heart
οὐρανός,221,unigram,masculine,accusative,singular,lang,1.0146252044923016,lang,"heaven, sky"
οὐρανός,169,unigram,masculine,nominative,singular,Lang,2.4984154277349715,Lang,"heaven, sky"
ὥρα,242,unigram,feminine,nominative,plural,ngatamong,1.161823075755491,ngatamong,hour
ὥρα,23,unigram,feminine,nominative,singular,bong,1.158328076707512,bong,hour
οἰκία,129,unigram,feminine,accusative,plural,bibia-tina,1.64225774247572,bibia-tina,house
οἰκία,272,unigram,feminine,accusative,singular,pera,3.80415961236784,pera,house
οἶκος,20,unigram,masculine,accusative,singular,pera,2.5307136765495906,pera,"house, home"
κριτής,254,unigram,masculine,nominative,plural,ditaotaodi,1.145501229782955,ditaotaodi,judge
κριτής,138,unigram,masculine,nominative,singular,adoadoraki,1.4843039810420764,adoadoraki,judge
βασιλεύς,89,unigram,masculine,accusative,plural,arodi,1.0928510752527791,arodi,king
βασιλεύς,52,unigram,masculine,accusative,singular,anuatanepoa,2.703141009934358,anuatanepoa,king
βασιλεία,68,unigram,feminine,accusative,plural,itikini,1.4682633662404492,itikini,kingdom
βασιλεία,133,unigram,feminine,accusative,singular,ngatanepoa,3.535067520483734,ngatanepoa,kingdom
λύχνος,196,unigram,masculine,nominative,singular,malama,1.2167874919344603,malama,lamp
κλῆρος,1,unigram,masculine,accusative,singular,guzui,1.0811016926834474,guzui,"lots (casting of lots), inheritance"
ἄνθρωπος,245,unigram,masculine,accusative,plural,siresire,1.5193663442501506,siresire,man
ἄνθρωπος,149,unigram,masculine,nominative,singular,Tamoata,1.071003513245533,Tamoata,man
ἀνήρ,210,unigram,masculine,accusative,singular,roa,1.0028402061638169,roa,"man, husband"
ἀνήρ,121,unigram,masculine,nominative,plural,"5,000",1.4635501535995383,"5,000","man, husband"
ἀνήρ,203,unigram,masculine,nominative,singular,iakoroi,1.438357404255665,iakoroi,"man, husband"
μνᾶ,247,unigram,feminine,accusative,plural,kulemoa,1.5916996557047325,kulemoa,mina (about 100 days' wages)
