lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_492_translation,english_translation
θεός,103,unigram,masculine,accusative,singular,Allataala,2.005701360393473,Allataala,God
θεός,163,unigram,masculine,nominative,singular,Allataala,2.354044940807288,Allataala,God
κύριος,104,unigram,masculine,nominative,singular,puangna,1.3360372043226536,puangna,"Lord, lord, master"
γραφή,98,unigram,feminine,accusative,plural,Sura,1.8307911683658928,Sura,Scripture
γραφή,38,unigram,feminine,accusative,singular,Sura,1.3918622631703164,Sura,Scripture
γραφή,206,unigram,feminine,nominative,plural,diuki,1.2095393676331585,diuki,Scripture
γραφή,253,unigram,feminine,nominative,singular,Sura,1.06403175921429,Sura,Scripture
ἄγγελος,76,unigram,masculine,accusative,plural,malaeka'-Ku,1.597812305426972,malaeka'-Ku,angel
ἄγγελος,35,unigram,masculine,nominative,plural,malaeka,1.6462507969702198,malaeka,angel
ἄγγελος,85,unigram,masculine,nominative,singular,malaeka,1.9387354134794463,malaeka,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,rasulu,2.314959259221264,rasulu,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,tossuai,1.2125895793310684,tossuai,apostle
ἐξουσία,54,unigram,feminine,accusative,plural,ammidikara-kara,1.0962199599997684,ammidikara-kara,authority
ἐξουσία,155,unigram,feminine,accusative,singular,kuasa,3.5201269437453067,kuasa,authority
βρέφος,12,unigram,neuter,accusative,plural,nakagallii,1.0441088591276242,nakagallii,babies
βρέφος,252,unigram,neuter,accusative,singular,olok-olok,1.0662850125332282,olok-olok,babies
ἀποθήκη,53,unigram,feminine,accusative,singular,pa'pak,1.5323096753179035,pa'pak,barn
ἀρχή,56,unigram,feminine,accusative,plural,ammidikara-kara,1.0961063339256685,ammidikara-kara,beginning
ἀρχή,142,unigram,feminine,accusative,singular,Jiomo,1.1062845238338443,Jiomo,beginning
ζώνη,136,unigram,feminine,accusative,plural,salaka,1.0960524252565438,salaka,belt
βλασφημία,23,unigram,feminine,accusative,plural,lanni,1.0960768946513286,lanni,blasphemy
βλασφημία,161,unigram,feminine,nominative,plural,dapohna,1.1062485993005018,dapohna,blasphemy
πλοῖον,83,unigram,neuter,accusative,plural,lopi,1.2501481312628784,lopi,boat
πλοῖον,241,unigram,neuter,accusative,singular,lopi,1.7542878144542329,lopi,boat
πλοῖον,178,unigram,neuter,nominative,singular,tasik,1.0955936330508866,tasik,boat
σῶμα,168,unigram,neuter,nominative,plural,batang,1.4062103089423768,batang,body
σῶμα,46,unigram,neuter,nominative,singular,batang,1.7521908400532364,batang,body
κλῆμα,117,unigram,neuter,nominative,singular,anggoro,1.3909756224621992,anggoro,branch
ἄρτος,244,unigram,masculine,accusative,plural,roti,4.256477360049586,roti,bread
ἄρτος,264,unigram,masculine,accusative,singular,roti,1.6320367425015334,roti,bread
ἄρτος,124,unigram,masculine,nominative,plural,kande,1.1053085910335705,kande,bread
ἄρτος,27,unigram,masculine,nominative,singular,kande,1.459681245308352,kande,bread
ἀδελφός,232,unigram,masculine,accusative,plural,sile'tona,2.0821922633039973,sile'tona,brother
ἀδελφός,93,unigram,masculine,accusative,singular,Yakub,1.1691809080052695,Yakub,brother
ἀδελφός,88,unigram,masculine,nominative,plural,sile'to-Na,1.352274389970249,sile'to-Na,brother
στῆθος,121,unigram,neuter,accusative,plural,simenassanan,1.1613200159490844,simenassanan,"chest, breast"
ἀρχιερεύς,190,unigram,masculine,accusative,plural,kapala,1.0173080445113858,kapala,chief priest
ἀρχιερεύς,92,unigram,masculine,nominative,plural,kapala,1.009666560292919,kapala,chief priest
παῖς,185,unigram,masculine,accusative,plural,muane,1.013667119332153,muane,child
τέκνον,259,unigram,neuter,accusative,plural,anakkana,1.7029925821002585,anakkana,child
