lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1286_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Nnungu,2.4903203652674724,Nnungu,God
θεός,167,unigram,masculine,nominative,singular,Nnungu,3.502303159527113,Nnungu,God
κύριος,110,unigram,masculine,nominative,singular,Bhakulungwa,3.258179535146641,Bhakulungwa,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Majandiko,1.7507338201633529,Majandiko,Scripture
γραφή,41,unigram,feminine,accusative,singular,Ukonjelo,1.075511807033074,Ukonjelo,Scripture
γραφή,209,unigram,feminine,nominative,plural,Majandiko,1.0705297510186311,Majandiko,Scripture
γραφή,260,unigram,feminine,nominative,singular,Majandiko,1.7828735601889896,Majandiko,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,ashimalaika,2.911283578525775,ashimalaika,angel
ἄγγελος,69,unigram,masculine,accusative,singular,muntenga,1.354352208990449,muntenga,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ashimalaika,4.799852873953573,ashimalaika,angel
ἄγγελος,89,unigram,masculine,nominative,singular,malaika,1.1603688208136618,malaika,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,Mitume,1.5066699490997677,Mitume,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,ukulungwa,1.8392799029361868,ukulungwa,authority
βρέφος,13,unigram,neuter,accusative,plural,bhaajujilanje,1.161328723715616,bhaajujilanje,babies
ἀποθήκη,214,unigram,feminine,accusative,plural,nngokwe,1.999949042375989,nngokwe,barn
ἀποθήκη,56,unigram,feminine,accusative,singular,ngano,1.2614109106588662,ngano,barn
ζώνη,140,unigram,feminine,accusative,plural,mmiuko,1.0960524252565438,mmiuko,belt
βλασφημία,70,unigram,feminine,nominative,singular,matukano,1.999949021035427,matukano,blasphemy
πλοῖον,87,unigram,neuter,accusative,plural,mitumbwi,2.228090196862727,mitumbwi,boat
πλοῖον,249,unigram,neuter,accusative,singular,muntumbwi,1.94918186114886,muntumbwi,boat
πλοῖον,182,unigram,neuter,nominative,singular,pugwaliji,1.072935009330014,pugwaliji,boat
σῶμα,48,unigram,neuter,nominative,singular,shiilu,1.8148278454686475,shiilu,body
κλῆμα,122,unigram,neuter,nominative,singular,lujambi,1.5107860477625328,lujambi,branch
ἄρτος,254,unigram,masculine,accusative,plural,mikate,4.034017646993914,mikate,bread
ἄρτος,272,unigram,masculine,accusative,singular,nkate,1.0294633236909756,nkate,bread
ἄρτος,127,unigram,masculine,nominative,plural,mikate,2.5008889821749802,mikate,bread
ἄρτος,32,unigram,masculine,nominative,singular,shalya,1.4792256900685583,shalya,bread
ἀδελφός,240,unigram,masculine,accusative,plural,ashaapwakwe,1.6412438534718918,ashaapwakwe,brother
ἀδελφός,98,unigram,masculine,accusative,singular,apwabho,1.8357316786748297,apwabho,brother
ἀδελφός,92,unigram,masculine,nominative,plural,ashaapwabho,1.9514153945100117,ashaapwabho,brother
στῆθος,226,unigram,neuter,accusative,singular,nikwaabhuya,1.3665352354646192,nikwaabhuya,"chest, breast"
ἀρχιερεύς,194,unigram,masculine,accusative,plural,bhaabhishila,2.03391716141236,bhaabhishila,chief priest
ἀρχιερεύς,49,unigram,masculine,accusative,singular,Kayapa,1.0892132499117229,Kayapa,chief priest
ἀρχιερεύς,97,unigram,masculine,nominative,plural,bhaabhishila,1.9946691958961584,bhaabhishila,chief priest
ἀρχιερεύς,199,unigram,masculine,nominative,singular,Bhaabhishila,1.2089206810759714,Bhaabhishila,chief priest
τέκνον,266,unigram,neuter,accusative,plural,bhana,2.282959370250744,bhana,child
τέκνον,153,unigram,neuter,nominative,singular,Mwanangu,1.3174694792501296,Mwanangu,child
παιδίον,12,unigram,neuter,accusative,plural,nnaaibhililanje,1.1543207966455775,nnaaibhililanje,child
παιδίον,76,unigram,neuter,accusative,singular,mwana,1.761314721919928,mwana,child
πόλις,146,unigram,feminine,accusative,plural,ilwele,1.0946235220923708,ilwele,city
πόλις,52,unigram,feminine,accusative,singular,shilambo,1.7980101941883433,shilambo,city
πύλη,212,unigram,feminine,nominative,plural,gakalikombola,1.0960622061228922,gakalikombola,city gate
πύλη,165,unigram,feminine,nominative,singular,mpandago,1.0709860603402812,mpandago,city gate
