lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1227_translation,english_translation
θεός,123,unigram,masculine,accusative,singular,Dius,5.164228217886324,Dius,God
θεός,25,unigram,masculine,nominative,plural,diuses,1.2154724280609577,diuses,God
θεός,194,unigram,masculine,nominative,singular,Dius,16.57899064781581,Dius,God
κύριος,124,unigram,masculine,nominative,singular,Senhor,1.3531032077565113,Senhor,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,Scrituras,1.8250187888735805,Scrituras,Scripture
γραφή,46,unigram,feminine,accusative,singular,Scritura,1.9999486772711133,Scritura,Scripture
γραφή,248,unigram,feminine,nominative,plural,scrituras,1.638729295064742,scrituras,Scripture
γραφή,310,unigram,feminine,nominative,singular,Scritura,3.0599712564690917,Scritura,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,anjos,2.638489472274473,anjos,angel
ἄγγελος,77,unigram,masculine,accusative,singular,mando,1.0341488765000593,mando,angel
ἄγγελος,43,unigram,masculine,nominative,plural,anjos,5.031565077652219,anjos,angel
ἄγγελος,101,unigram,masculine,nominative,singular,anjo,4.087087525308338,anjo,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,apóstelos,2.49782408037004,apóstelos,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ambiado,1.25762379114676,ambiado,apostle
ἐξουσία,185,unigram,feminine,accusative,singular,poder,6.314555837981353,poder,authority
ἀποθήκη,251,unigram,feminine,accusative,plural,tulhas,1.999949042375989,tulhas,barn
ἀποθήκη,64,unigram,feminine,accusative,singular,trigo,1.4173718379039892,trigo,barn
ἀρχή,167,unigram,feminine,accusative,singular,amostrou,1.0662807816552895,amostrou,beginning
ζώνη,159,unigram,feminine,accusative,plural,bolsos,1.1613026128296644,bolsos,belt
ζώνη,211,unigram,feminine,accusative,singular,piel,1.0960524252565438,piel,belt
βλασφημία,29,unigram,feminine,accusative,plural,blasfémias,1.2929678013388015,blasfémias,blasphemy
βλασφημία,192,unigram,feminine,nominative,plural,malas,1.4951268269515354,malas,blasphemy
πλοῖον,99,unigram,neuter,accusative,plural,barcos,2.0077952760882183,barcos,boat
πλοῖον,293,unigram,neuter,accusative,singular,barca,1.028564290839259,barca,boat
πλοῖον,224,unigram,neuter,nominative,plural,barcas,1.096239847813496,barcas,boat
πλοῖον,213,unigram,neuter,nominative,singular,barco,1.7537889780774258,barco,boat
σῶμα,56,unigram,neuter,nominative,singular,cuorpo,4.7294336313981535,cuorpo,body
κλῆμα,52,unigram,neuter,nominative,plural,bides,1.212541630128925,bides,branch
κλῆμα,137,unigram,neuter,nominative,singular,stubir,1.4415070933380034,stubir,branch
ἄρτος,298,unigram,masculine,accusative,plural,fogaças,1.4605110582344758,fogaças,bread
ἄρτος,323,unigram,masculine,accusative,singular,pan,5.4225171848724045,pan,bread
ἄρτος,144,unigram,masculine,nominative,plural,pan,2.683598506937424,pan,bread
ἄρτος,34,unigram,masculine,nominative,singular,pan,2.5212083842376622,pan,bread
ἀδελφός,283,unigram,masculine,accusative,plural,armanos,4.465272763800829,armanos,brother
ἀδελφός,112,unigram,masculine,accusative,singular,armano,2.716677961411951,armano,brother
ἀδελφός,104,unigram,masculine,nominative,plural,armanos,2.260577555972603,armanos,brother
ἀδελφός,218,unigram,masculine,nominative,singular,armano,6.606619021122032,armano,brother
στῆθος,267,unigram,neuter,accusative,singular,peito,1.5900562246662555,peito,"chest, breast"
ἀρχιερεύς,230,unigram,masculine,accusative,plural,saçardotes,1.487782416943746,saçardotes,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,Caifás,1.1571964682860059,Caifás,chief priest
ἀρχιερεύς,111,unigram,masculine,nominative,plural,saçardotes,1.5617158437338143,saçardotes,chief priest
ἀρχιερεύς,234,unigram,masculine,nominative,singular,saçardotes,1.1195675563552785,saçardotes,chief priest
παῖς,45,unigram,masculine,accusative,singular,stepor,1.0961210847775034,stepor,child
τέκνον,317,unigram,neuter,accusative,plural,filhos,5.563048200724904,filhos,child
τέκνον,164,unigram,neuter,accusative,singular,filhos,1.0525116374911367,filhos,child
τέκνον,12,unigram,neuter,nominative,plural,filhos,1.1903007763548268,filhos,child
τέκνον,177,unigram,neuter,nominative,singular,Filho,1.08713712202477,Filho,child
παιδίον,11,unigram,neuter,accusative,plural,Deixai,1.6925677040700502,Deixai,child
παιδίον,84,unigram,neuter,accusative,singular,rapazico,1.1289468013648665,rapazico,child
παιδίον,36,unigram,neuter,nominative,singular,nino,1.272039265871982,nino,child
πόλις,168,unigram,feminine,accusative,plural,cidades,2.1961759918308275,cidades,city
πόλις,60,unigram,feminine,accusative,singular,cidade,6.64024904677258,cidade,city
πύλη,191,unigram,feminine,nominative,singular,streita,1.309443498949888,streita,city gate
χιτών,107,unigram,masculine,accusative,plural,capas,1.1251611534593111,capas,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,túnica,1.1033029960380103,túnica,"clothing, undergarments"
ἱμάτιον,121,unigram,neuter,accusative,plural,roupa,2.0473034817761127,roupa,coat
ἱμάτιον,120,unigram,neuter,accusative,singular,capa,1.3072705083359928,capa,coat
ἐντολή,76,unigram,feminine,accusative,plural,mandamentos,3.051881478744092,mandamentos,commandment
ἐντολή,74,unigram,feminine,accusative,singular,mandamento,1.1724039264725206,mandamento,commandment
συνέδριον,303,unigram,neuter,accusative,plural,cunceilhos,1.4217345955919531,cunceilhos,council
συνέδριον,48,unigram,neuter,accusative,singular,cunceilho,1.5802556048772003,cunceilho,council
χώρα,272,unigram,feminine,accusative,singular,gadarenos,1.0475410885333212,gadarenos,"country, countryside"
ὄχλος,53,unigram,masculine,accusative,plural,pessonas,1.085103977484798,pessonas,crowd
ὄχλος,7,unigram,masculine,accusative,singular,giente,1.2405628606492085,giente,crowd
ὄχλος,92,unigram,masculine,nominative,plural,giente,2.4574823187748445,giente,crowd
ὄχλος,262,unigram,masculine,nominative,singular,giente,1.4709224220512085,giente,crowd
θυγάτηρ,297,unigram,feminine,nominative,singular,filha,3.2481038752893623,filha,daughter
ἡμέρα,69,unigram,feminine,accusative,plural,dies,7.234278406569722,dies,day
ἡμέρα,78,unigram,feminine,accusative,singular,die,2.0391883699207454,die,day
ἡμέρα,2,unigram,feminine,nominative,plural,dies,4.48829778097497,dies,day
ἡμέρα,62,unigram,feminine,nominative,singular,die,4.295841615521246,die,day
ὀφειλέτης,235,unigram,masculine,nominative,plural,culpados,1.0960524252565438,culpados,debtor
ὀφειλέτης,113,unigram,masculine,nominative,singular,apersentou-se-le,1.0960524252565438,apersentou-se-le,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,demonhos,1.5373403274802984,demonhos,demon
δαιμόνιον,313,unigram,neuter,accusative,singular,demonho,2.9335550149564487,demonho,demon
δαιμόνιον,179,unigram,neuter,nominative,plural,demonhos,2.6107637108065016,demonhos,demon
δαιμόνιον,156,unigram,neuter,nominative,singular,demonho,2.2019912908206494,demonho,demon
δηνάριον,288,unigram,neuter,accusative,plural,denheiros,1.3056663332373866,denheiros,denarius (about a day's wages)
δηνάριον,146,unigram,neuter,accusative,singular,denheiro,1.5224357650966642,denheiro,denarius (about a day's wages)
μαθητής,162,unigram,masculine,accusative,plural,deciplos,2.677353096197233,deciplos,disciple
μαθητής,318,unigram,masculine,accusative,singular,deciplo,1.7607921807250402,deciplo,disciple
μαθητής,255,unigram,masculine,nominative,plural,deciplos,6.863577816089469,deciplos,disciple
μαθητής,316,unigram,masculine,nominative,singular,deciplo,7.132787131608473,deciplo,disciple
νόσος,3,unigram,feminine,accusative,plural,males,1.8077804644492617,males,disease
νόσος,67,unigram,feminine,accusative,singular,achaques,1.1160216734460893,achaques,disease
περιστερά,91,unigram,feminine,accusative,plural,palombas,1.4349303418097266,palombas,dove
περιστερά,50,unigram,feminine,accusative,singular,palomba,1.4349303418097266,palomba,dove
οὖς,136,unigram,neuter,accusative,plural,oubidos,1.2798345601994858,oubidos,ear
οὖς,261,unigram,neuter,accusative,singular,telhados,1.1973482077377116,telhados,ear
τέλος,30,unigram,neuter,accusative,plural,Claro,1.0961112485594913,Claro,end
τέλος,252,unigram,neuter,accusative,singular,aguantar,1.2645310243448902,aguantar,end
αἰών,284,unigram,masculine,accusative,singular,nunca,1.4318947546029148,nunca,eternity
ὀφθαλμός,18,unigram,masculine,accusative,plural,uolhos,4.7564652070717,uolhos,eye
ὀφθαλμός,59,unigram,masculine,nominative,plural,uolhos,4.5365810397829165,uolhos,eye
ὀφθαλμός,281,unigram,masculine,nominative,singular,uolho,1.701084010821786,uolho,eye
πρόσωπον,174,unigram,neuter,accusative,singular,cara,2.7985566588069712,cara,face
λιμός,86,unigram,feminine,nominative,singular,gastado,1.1613374356247497,gastado,famine
πατήρ,180,unigram,masculine,accusative,plural,decendientes,1.1044393215238155,decendientes,father
πατήρ,287,unigram,masculine,accusative,singular,Pai,1.227994668758791,Pai,father
πατήρ,296,unigram,masculine,nominative,plural,pais,2.4614303778323228,pais,father
πατήρ,169,unigram,masculine,nominative,singular,Pai,5.72600132466796,Pai,father
σύνδουλος,80,unigram,masculine,accusative,singular,cumpanheiro,1.0960670999999007,cumpanheiro,"fellow-servant, colleague"
σύνδουλος,300,unigram,masculine,nominative,plural,cumpanheiros,1.0354255198080204,cumpanheiros,"fellow-servant, colleague"
σύνδουλος,105,unigram,masculine,nominative,singular,cumpanheiro,1.0960670999999007,cumpanheiro,"fellow-servant, colleague"
ἀγρός,312,unigram,masculine,accusative,plural,tierras,1.815987570010324,tierras,field
ἀγρός,35,unigram,masculine,accusative,singular,tierra,1.3943579713861185,tierra,field
δάκτυλος,161,unigram,masculine,accusative,singular,peito,1.4363632289468728,peito,finger
ἰχθύς,139,unigram,masculine,accusative,plural,peixes,1.9601680562277373,peixes,fish
ἰχθύς,173,unigram,masculine,accusative,singular,peixe,1.3762733620658356,peixe,fish
δίκτυον,100,unigram,neuter,accusative,plural,redes,2.9249766698472124,redes,fishing net
δίκτυον,183,unigram,neuter,accusative,singular,rede,1.2026208959284728,rede,fishing net
δίκτυον,157,unigram,neuter,nominative,plural,rumpien,1.1613810574337249,rumpien,fishing net
δίκτυον,225,unigram,neuter,nominative,singular,puxou,1.0960965115985384,puxou,fishing net
τροφή,227,unigram,feminine,accusative,plural,mercar,1.1189221782913479,mercar,food
τροφή,308,unigram,feminine,accusative,singular,bibideiro,1.1613374356247497,bibideiro,food
πούς,219,unigram,masculine,accusative,plural,pies,5.000589375057992,pies,foot
πούς,103,unigram,masculine,accusative,singular,firas,1.4389676155150462,firas,foot
καρπός,166,unigram,masculine,accusative,plural,fruitos,3.051932571936295,fruitos,"fruit, crop, harvest"
καρπός,215,unigram,masculine,accusative,singular,fruito,3.11847705582663,fruito,"fruit, crop, harvest"
πλήρωμα,250,unigram,neuter,accusative,plural,carolos,1.7459938246101123,carolos,fullness
πλήρωμα,307,unigram,neuter,accusative,singular,rasgon,1.0595352057902494,rasgon,fullness
γενεά,216,unigram,feminine,accusative,singular,giraçon,2.9998367963125303,giraçon,generation
γενεά,294,unigram,feminine,nominative,plural,giraçones,1.9999486339918595,giraçones,generation
γενεά,135,unigram,feminine,nominative,singular,giraçon,3.5827142459321024,giraçon,generation
δῶρον,286,unigram,neuter,accusative,plural,smola,1.6887162255651555,smola,gift
δῶρον,148,unigram,neuter,accusative,singular,oufierta,1.4058098634392329,oufierta,gift
ἡγεμών,155,unigram,masculine,accusative,plural,gobernadores,1.0595577236652918,gobernadores,"governor, ruler"
ἡγεμών,9,unigram,masculine,accusative,singular,gobernador,1.1421576617205798,gobernador,"governor, ruler"
ἀσπασμός,299,unigram,masculine,accusative,plural,praça,1.3056646823080411,praça,greeting
