lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1655_translation,version_1656_translation,english_translation
θεός,339,unigram,masculine,accusative,plural,nə́ɓā,1.204035343326865,nə́ɓā,nə́ɓā,God
θεός,138,unigram,masculine,accusative,singular,Nə́ɓā,19.642591641236955,Nə́ɓā,Nə́ɓā,God
θεός,29,unigram,masculine,nominative,plural,nə́ɓā,2.0805329721736894,nə́ɓā,nə́ɓā,God
θεός,213,unigram,masculine,nominative,singular,Nə́ɓā,243.69051665065518,Nə́ɓā,Nə́ɓā,God
κύριος,341,unigram,masculine,nominative,plural,dəjen̄də́,1.1240826313831203,dəjen̄də́,dəjen̄də́,"Lord, lord, master"
κύριος,139,unigram,masculine,nominative,singular,Kɔ́ɔ̄ɓē,5.764705382991311,Kɔ́ɔ̄ɓē,Kɔ́ɔ̄ɓē,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,makətūbə̄,8.777729213512602,makətūbə̄,makətūbə̄,Scripture
γραφή,51,unigram,feminine,accusative,singular,ndangən̄,1.1299197589238097,ndangən̄,ndangən̄,Scripture
γραφή,271,unigram,feminine,nominative,plural,gírí,1.038543631805101,gírí,gírí,Scripture
γραφή,334,unigram,feminine,nominative,singular,gírí,1.2721913461295684,gírí,gírí,Scripture
ἄγγελος,101,unigram,masculine,accusative,plural,*de,1.5543944103461698,*de,*de,angel
ἄγγελος,86,unigram,masculine,accusative,singular,noí,1.2276044205101995,noí,noí,angel
ἄγγελος,48,unigram,masculine,nominative,plural,*de,1.150750988084923,*de,*de,angel
ἄγγελος,111,unigram,masculine,nominative,singular,*de,1.4909725067404813,*de,*de,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,ngámbang,1.1417620658904732,ngámbang,ngámbang,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,ngōmbang,2.3135634782396455,ngōmbang,ngōmbang,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,ī-nējīneé,1.9199544244967615,ī-nējīneé,ī-nējīneé,authority
ἐξουσία,204,unigram,feminine,accusative,singular,tɔ́gə,24.270212309776074,tɔ́gə,tɔ́gə,authority
βρέφος,17,unigram,neuter,accusative,plural,ni-əndā,1.090189301746293,ni-əndā,ni-əndā,babies
βρέφος,333,unigram,neuter,accusative,singular,kōr̄,1.4363509204665064,kōr̄,kōr̄,babies
ἀποθήκη,278,unigram,feminine,accusative,plural,kōō,1.214426419293299,kōō,kōō,barn
φραγμός,241,unigram,masculine,accusative,plural,mbo̰ō̰,1.3121535829512527,mbo̰ō̰,mbo̰ō̰,"barrier, wall"
