lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1155_translation,english_translation
θεός,349,unigram,masculine,accusative,plural,kilɛlɛɛ,1.6995788693647669,kilɛlɛɛ,God
θεός,140,unigram,masculine,accusative,singular,Kilɛ,4.259017703878575,Kilɛ,God
θεός,30,unigram,masculine,nominative,plural,kilɛlɛɛ,1.097258004808277,kilɛlɛɛ,God
θεός,217,unigram,masculine,nominative,singular,Kilɛ,7.168538546297522,Kilɛ,God
κύριος,141,unigram,masculine,nominative,singular,Kafɔɔ,2.165246308335109,Kafɔɔ,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,Kafila,1.771776997227711,Kafila,Scripture
γραφή,54,unigram,feminine,accusative,singular,Kafila,1.3476183725584896,Kafila,Scripture
γραφή,279,unigram,feminine,nominative,plural,Kafila,1.8546427265801944,Kafila,Scripture
γραφή,343,unigram,feminine,nominative,singular,Kafila,1.1484704726566013,Kafila,Scripture
ἄγγελος,101,unigram,masculine,accusative,plural,mɛlɛkɛɛ,2.465811564396915,mɛlɛkɛɛ,angel
ἄγγελος,87,unigram,masculine,accusative,singular,nawu,1.5112695344011553,nawu,angel
ἄγγελος,50,unigram,masculine,nominative,plural,mɛlɛkɛɛ,4.332699580143165,mɛlɛkɛɛ,angel
ἄγγελος,112,unigram,masculine,nominative,singular,mɛlɛkɛ,5.830144004358378,mɛlɛkɛ,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,Tudunmɔɔ,1.2291368240017235,Tudunmɔɔ,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,tunvɔɔ,1.4131821515640284,tunvɔɔ,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,ɲɔshɔɔrɔ,1.0812448033018731,ɲɔshɔɔrɔ,authority
ἐξουσία,206,unigram,feminine,accusative,singular,fanha,1.17804353573552,fanha,authority
βρέφος,17,unigram,neuter,accusative,plural,yogo,1.269927719732729,yogo,babies
ἀποθήκη,285,unigram,feminine,accusative,plural,kpɔngɔɔ,1.3303707768634656,kpɔngɔɔ,barn
ἀποθήκη,72,unigram,feminine,accusative,singular,sòrogo,1.1446890058788493,sòrogo,barn
φραγμός,246,unigram,masculine,accusative,plural,kobiire,1.096057314542422,kobiire,"barrier, wall"
φραγμός,117,unigram,masculine,accusative,singular,shazhɔn,1.0595319950666118,shazhɔn,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,ɲɔshɔɔrɔ,1.0811348984426945,ɲɔshɔɔrɔ,beginning
ἀρχή,188,unigram,feminine,accusative,singular,nizhiinɛ,1.2870553315122644,nizhiinɛ,beginning
ζώνη,181,unigram,feminine,accusative,plural,waripyaa,1.059531995066612,waripyaa,belt
ζώνη,236,unigram,feminine,accusative,singular,Fàya,1.0960524252565438,Fàya,belt
βλασφημία,33,unigram,feminine,accusative,plural,We,1.0197878169075512,We,blasphemy
