lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1296_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,Kawawaŋgat,1.1834289261728312,Kawawaŋgat,God
θεός,175,unigram,masculine,nominative,singular,Kawawaŋ,1.1036872405963924,Kawawaŋ,God
κύριος,113,unigram,masculine,nominative,singular,Amobotnaŋaŋ,1.8141829448453368,Amobotnaŋaŋ,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,Kawawaŋgalen,1.048390544352342,Kawawaŋgalen,Scripture
γραφή,216,unigram,feminine,nominative,plural,Itnaŋanen,1.0338463725217395,Itnaŋanen,Scripture
γραφή,269,unigram,feminine,nominative,singular,Itnaŋanen,1.667625531929282,Itnaŋanen,Scripture
ἄγγελος,83,unigram,masculine,accusative,plural,ensel,1.7884797006865591,ensel,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ensel,3.4465501535460765,ensel,angel
ἄγγελος,93,unigram,masculine,nominative,singular,ensel,1.4307665486256071,ensel,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,nembaŋane,1.6586438053552992,nembaŋane,apostle
ἐξουσία,167,unigram,feminine,accusative,singular,winde,2.6756660494762583,winde,authority
βρέφος,268,unigram,neuter,accusative,singular,bulmakau,1.185486676414583,bulmakau,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,time,1.1509955115645791,time,barn
φραγμός,196,unigram,masculine,accusative,plural,wiaŋme,1.0968230995690529,wiaŋme,"barrier, wall"
φραγμός,95,unigram,masculine,accusative,singular,ekdamuŋ,1.1148329651296234,ekdamuŋ,"barrier, wall"
ζώνη,148,unigram,feminine,accusative,plural,timebep,1.1698994752017322,timebep,belt
βλασφημία,24,unigram,feminine,accusative,plural,ben,1.0968336258900309,ben,blasphemy
βλασφημία,71,unigram,feminine,nominative,singular,gawepum,1.060045245224082,gawepum,blasphemy
πλοῖον,91,unigram,neuter,accusative,plural,waŋga,1.3668447298314301,waŋga,boat
πλοῖον,256,unigram,neuter,accusative,singular,waŋgaen,1.6120633230702437,waŋgaen,boat
πλοῖον,190,unigram,neuter,nominative,singular,waŋgayaŋ,1.9999448834420328,waŋgayaŋ,boat
κλῆμα,47,unigram,neuter,nominative,plural,elikmâbe,1.0968283614194991,elikmâbe,branch
κλῆμα,127,unigram,neuter,nominative,singular,wain,1.0387338947923557,wain,branch
ἄρτος,260,unigram,masculine,accusative,plural,nupmamaŋ,3.800278058393774,nupmamaŋ,bread
ἄρτος,282,unigram,masculine,accusative,singular,meu,2.3206934471661773,meu,bread
ἄρτος,134,unigram,masculine,nominative,plural,meu,1.0749973974968,meu,bread
ἄρτος,30,unigram,masculine,nominative,singular,meu,1.9257877394999432,meu,bread
ἀδελφός,102,unigram,masculine,accusative,singular,meniŋaŋ,2.2741474152738568,meniŋaŋ,brother
ἀδελφός,94,unigram,masculine,nominative,plural,mamnotnane,1.200758365106594,mamnotnane,brother
ἀδελφός,194,unigram,masculine,nominative,singular,gakinak,1.324534561408412,gakinak,brother
στῆθος,132,unigram,neuter,accusative,plural,mebekobien,1.312581823625232,mebekobien,"chest, breast"
στῆθος,234,unigram,neuter,accusative,singular,yaŋkwesiwan,1.7937858168025955,yaŋkwesiwan,"chest, breast"
ἀρχιερεύς,201,unigram,masculine,accusative,plural,sâpe,1.1716817691177135,sâpe,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,ŋeŋaŋin,1.262088497920432,ŋeŋaŋin,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,sâpe,1.1915784314770803,sâpe,chief priest
ἀρχιερεύς,204,unigram,masculine,nominative,singular,bumbu,1.049170344793284,bumbu,chief priest
παῖς,41,unigram,masculine,accusative,singular,takopmaŋgeen,1.0968811244185397,takopmaŋgeen,child
τέκνον,276,unigram,neuter,accusative,plural,ekŋen,1.434752860144366,ekŋen,child
τέκνον,152,unigram,neuter,accusative,singular,datnaŋaŋ,1.147056508347527,datnaŋaŋ,child
τέκνον,11,unigram,neuter,nominative,plural,datnaŋaŋ,1.1715359868027393,datnaŋaŋ,child
τέκνον,161,unigram,neuter,nominative,singular,Nemun,2.576090806150785,Nemun,child
παιδίον,10,unigram,neuter,accusative,plural,kolit,1.2163399017895054,kolit,child
παιδίον,77,unigram,neuter,accusative,singular,nemba,2.1394166387525315,nemba,child
παιδίον,32,unigram,neuter,nominative,singular,nemba,2.0002414685580536,nemba,child
πόλις,153,unigram,feminine,accusative,plural,mka,1.074973586772876,mka,city
πόλις,53,unigram,feminine,accusative,singular,mka,1.4760454994729757,mka,city
χιτών,98,unigram,masculine,accusative,plural,toŋge,1.423612014507391,toŋge,"clothing, undergarments"
ἱμάτιον,110,unigram,neuter,accusative,plural,gulumti,1.2012924299180583,gulumti,coat
ἱμάτιον,109,unigram,neuter,accusative,singular,kâlâp,1.3899910017549684,kâlâp,coat
ἐντολή,68,unigram,feminine,accusative,singular,zii,1.4156011831026365,zii,commandment
συνέδριον,264,unigram,neuter,accusative,plural,indewep,1.0498491592932782,indewep,council
χώρα,64,unigram,feminine,accusative,plural,masokbein.,1.0968864152200473,masokbein.,"country, countryside"
χώρα,238,unigram,feminine,accusative,singular,pataŋ,1.2863380323267446,pataŋ,"country, countryside"
ὄχλος,48,unigram,masculine,accusative,plural,am,1.3931321590898598,am,crowd
ὄχλος,4,unigram,masculine,accusative,singular,am,1.2111235539960623,am,crowd
ὄχλος,85,unigram,masculine,nominative,plural,maŋge,1.2834160699253596,maŋge,crowd
ὄχλος,229,unigram,masculine,nominative,singular,am,1.0310556238398771,am,crowd
θυγάτηρ,259,unigram,feminine,nominative,singular,nembaŋaŋ,1.0586157801702414,nembaŋaŋ,daughter
ἡμέρα,62,unigram,feminine,accusative,plural,kasup,3.7451880694401214,kasup,day
ἡμέρα,72,unigram,feminine,accusative,singular,kasup,1.1573981853002793,kasup,day
ἡμέρα,1,unigram,feminine,nominative,plural,kasup,1.0041818096515358,kasup,day
ἡμέρα,55,unigram,feminine,nominative,singular,kan,1.1119652639364548,kan,day
δαιμόνιον,23,unigram,neuter,accusative,plural,we,1.4820324492473882,we,demon
δαιμόνιον,272,unigram,neuter,accusative,singular,we,1.4335534689795046,we,demon
δαιμόνιον,163,unigram,neuter,nominative,plural,we,1.5498099187653356,we,demon
δαιμόνιον,146,unigram,neuter,nominative,singular,we,1.6240960987847344,we,demon
δηνάριον,250,unigram,neuter,accusative,plural,dopmaŋ,1.0555918851236163,dopmaŋ,denarius (about a day's wages)
δηνάριον,136,unigram,neuter,accusative,singular,mânep,1.4606709120452923,mânep,denarius (about a day's wages)
μαθητής,150,unigram,masculine,accusative,plural,nembaŋane,2.9048819672017205,nembaŋane,disciple
μαθητής,277,unigram,masculine,accusative,singular,mamtan,1.017079096366169,mamtan,disciple
μαθητής,222,unigram,masculine,nominative,plural,nembaŋane,1.2538200552377343,nembaŋane,disciple
μαθητής,275,unigram,masculine,nominative,singular,nâwe,1.0878700262875174,nâwe,disciple
νόσος,60,unigram,feminine,accusative,singular,liŋgit,1.0352067690472802,liŋgit,disease
περιστερά,84,unigram,feminine,accusative,plural,kwiti,1.4278500100365557,kwiti,dove
περιστερά,45,unigram,feminine,accusative,singular,sasakandenombe,1.4943021266553755,sasakandenombe,dove
οὖς,126,unigram,neuter,accusative,plural,opeimti,1.0253681141503035,opeimti,ear
σεισμός,168,unigram,masculine,nominative,plural,mâkinaŋ,1.0357474479564197,mâkinaŋ,"earthquakes, storm"
σεισμός,52,unigram,masculine,nominative,singular,mge,1.040506121841213,mge,"earthquakes, storm"
τέλος,220,unigram,neuter,accusative,singular,nâmkiŋpepeŋaŋ,1.2206981386178772,nâmkiŋpepeŋaŋ,end
