lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1295_translation,english_translation
θεός,88,unigram,masculine,accusative,singular,Kumponing,5.411675256546099,Kumponing,God
θεός,140,unigram,masculine,nominative,singular,Kumponing,1.1412768907986328,Kumponing,God
κύριος,89,unigram,masculine,nominative,singular,Ovoring,1.4121643340506256,Ovoring,"Lord, lord, master"
γραφή,85,unigram,feminine,accusative,plural,Daari,1.2686425478664862,Daari,Scripture
γραφή,34,unigram,feminine,accusative,singular,Daari,1.1222105476747062,Daari,Scripture
γραφή,181,unigram,feminine,nominative,plural,Meekung-koong,1.6188083612204789,Meekung-koong,Scripture
γραφή,228,unigram,feminine,nominative,singular,Daari,2.491004958375869,Daari,Scripture
ἄγγελος,62,unigram,masculine,accusative,plural,koosinunanka,2.033404608271808,koosinunanka,angel
ἄγγελος,32,unigram,masculine,nominative,plural,koosinunanka,1.265547377464623,koosinunanka,angel
ἄγγελος,70,unigram,masculine,nominative,singular,koosinunge,1.3220833099962317,koosinunge,angel
ἀπόστολος,29,unigram,masculine,nominative,plural,okovuri,1.6926694350092233,okovuri,apostle
ἐξουσία,133,unigram,feminine,accusative,singular,taura,1.6900070850826208,taura,authority
βρέφος,9,unigram,neuter,accusative,plural,nerakau'nanka,1.0962797372460371,nerakau'nanka,babies
βρέφος,227,unigram,neuter,accusative,singular,nako'bo-koo,1.180068905728938,nako'bo-koo,babies
ἀποθήκη,185,unigram,feminine,accusative,plural,Enang,1.0285959528369872,Enang,barn
ζώνη,152,unigram,feminine,accusative,singular,ntaa'nanka,1.0962597735187187,ntaa'nanka,belt
βλασφημία,21,unigram,feminine,accusative,plural,bauvaupaa'umaang,1.096284734134186,bauvaupaa'umaang,blasphemy
βλασφημία,138,unigram,feminine,nominative,plural,minku,1.526373536567358,minku,blasphemy
πλοῖον,68,unigram,neuter,accusative,plural,bakaasining,1.1095733484589914,bakaasining,boat
πλοῖον,215,unigram,neuter,accusative,singular,bakaasi-koo,1.409842988293279,bakaasi-koo,boat
πλοῖον,162,unigram,neuter,nominative,plural,sipaarira,1.096456061997494,sipaarira,boat
πλοῖον,153,unigram,neuter,nominative,singular,basiaru,1.2841867745676534,basiaru,boat
σῶμα,42,unigram,neuter,nominative,singular,mono,3.8642798076057785,mono,body
κλῆμα,39,unigram,neuter,nominative,plural,nkoveriarupeu,1.0962747427424695,nkoveriarupeu,branch
κλῆμα,101,unigram,neuter,nominative,singular,ning-koo,1.069450042675816,ning-koo,branch
ἄρτος,219,unigram,masculine,accusative,plural,berete,1.4675242368346617,berete,bread
ἄρτος,239,unigram,masculine,accusative,singular,taamang,1.9380179404121192,taamang,bread
