lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_974_translation,english_translation
θεός,314,unigram,masculine,accusative,plural,kahwanglan,1.1634492944761523,kahwanglan,God
θεός,128,unigram,masculine,accusative,singular,Kahwang,7.162674144636277,Kahwang,God
θεός,26,unigram,masculine,nominative,plural,kahwanglan,1.097258004808277,kahwanglan,God
θεός,198,unigram,masculine,nominative,singular,Kahwang,1.1475426911038331,Kahwang,God
κύριος,316,unigram,masculine,nominative,plural,lannangki,1.1631489665259134,lannangki,"Lord, lord, master"
κύριος,129,unigram,masculine,nominative,singular,Youngwanpawe,1.2719007753322262,Youngwanpawe,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,laingao,4.626069875347021,laingao,Scripture
γραφή,47,unigram,feminine,accusative,singular,Nokwepalan-e,1.1063446289765493,Nokwepalan-e,Scripture
γραφή,249,unigram,feminine,nominative,plural,ngailak,1.1351497667831956,ngailak,Scripture
γραφή,309,unigram,feminine,nominative,singular,Ngaolai,1.409368418232865,Ngaolai,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,shongmokpalan,2.4557118416530095,shongmokpalan,angel
ἄγγελος,79,unigram,masculine,accusative,singular,lam,1.0289765894552447,lam,angel
ἄγγελος,43,unigram,masculine,nominative,plural,shongmokpalan,2.0757400770810315,shongmokpalan,angel
ἄγγελος,102,unigram,masculine,nominative,singular,shongmokpa,1.4193261416813947,shongmokpa,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,leihye,1.1733546833496888,leihye,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,tampupa,1.1634861766761764,tampupa,apostle
ἐξουσία,188,unigram,feminine,accusative,singular,wong,5.253150194240352,wong,authority
βρέφος,308,unigram,neuter,accusative,singular,mahu-sheng,2.0880950700664576,mahu-sheng,babies
ἀποθήκη,254,unigram,feminine,accusative,plural,bung,1.999949042375989,bung,barn
ἀποθήκη,66,unigram,feminine,accusative,singular,jaklak,1.3763487480727807,jaklak,barn
φραγμός,223,unigram,masculine,accusative,plural,Chingkeng,1.096057314542422,Chingkeng,"barrier, wall"
φραγμός,107,unigram,masculine,accusative,singular,we,1.176160997083811,we,"barrier, wall"
ἀρχή,171,unigram,feminine,accusative,singular,Kana,1.0910855379086428,Kana,beginning
ζώνη,214,unigram,feminine,accusative,singular,udhmin,1.0960524252565438,udhmin,belt
βλασφημία,30,unigram,feminine,accusative,plural,tokteiye,1.3847741282133226,tokteiye,blasphemy
βλασφημία,89,unigram,feminine,accusative,singular,phoiwüm-e,1.0595480639608463,phoiwüm-e,blasphemy
βλασφημία,196,unigram,feminine,nominative,plural,ümeng,1.0349558161902122,ümeng,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,lisheng,2.4264490097559883,lisheng,boat
πλοῖον,293,unigram,neuter,accusative,singular,lisheng,2.05344575753719,lisheng,boat
πλοῖον,228,unigram,neuter,nominative,plural,lishenglano,1.3855989909254487,lishenglano,boat
πλοῖον,216,unigram,neuter,nominative,singular,lishenga,1.6705042904460814,lishenga,boat
