lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1609_translation,english_translation
θεός,327,unigram,masculine,accusative,plural,rav,1.0604149726281804,rav,God
θεός,131,unigram,masculine,accusative,singular,Ravguangc,1.8997346796547716,Ravguangc,God
θεός,29,unigram,masculine,nominative,plural,rav,1.0604149726281804,rav,God
θεός,204,unigram,masculine,nominative,singular,Ravguangc,5.61889515066084,Ravguangc,God
κύριος,329,unigram,masculine,nominative,plural,ric,1.1076892248952372,ric,"Lord, lord, master"
κύριος,132,unigram,masculine,nominative,singular,Poubauhmei,3.265214280716977,Poubauhmei,"Lord, lord, master"
γραφή,127,unigram,feminine,accusative,plural,Latrik,1.4599072072607764,Latrik,Scripture
γραφή,51,unigram,feminine,accusative,singular,he,1.1778488980756443,he,Scripture
γραφή,259,unigram,feminine,nominative,plural,hyloumei,1.2577277435764262,hyloumei,Scripture
γραφή,322,unigram,feminine,nominative,singular,Latrik,1.3001771927540413,Latrik,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,baanchara,2.2856957481956934,baanchara,angel
ἄγγελος,85,unigram,masculine,accusative,singular,baanchara,1.2409017344892912,baanchara,angel
ἄγγελος,48,unigram,masculine,nominative,plural,baanchara,3.0035540920257504,baanchara,angel
ἄγγελος,108,unigram,masculine,nominative,singular,baanchara,5.82897508997175,baanchara,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,latdiutatmei,2.277918054366513,latdiutatmei,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,latdiutatmeipu,1.0962149939516397,latdiutatmeipu,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,sinmei,1.0299129380317946,sinmei,authority
ἐξουσία,193,unigram,feminine,accusative,singular,ngamv,2.7068949693834075,ngamv,authority
βρέφος,14,unigram,neuter,accusative,plural,kahilou,1.121110780644648,kahilou,babies
βρέφος,320,unigram,neuter,accusative,singular,nzilou,1.1423342935634715,nzilou,babies
ἀποθήκη,264,unigram,feminine,accusative,plural,nap,1.2104868140913647,nap,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,ntei,1.417247527502567,ntei,barn
