lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1325_translation,english_translation
θεός,134,unigram,masculine,accusative,singular,Pem,1.2130110759939303,Pem,God
θεός,30,unigram,masculine,nominative,plural,nggal-net,1.4296298188848546,nggal-net,God
θεός,211,unigram,masculine,nominative,singular,Pem,1.2717279957384928,Pem,God
κύριος,135,unigram,masculine,nominative,singular,Indo-nen,1.2919359810273645,Indo-nen,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,engga,2.195597019783634,engga,Scripture
γραφή,51,unigram,feminine,accusative,singular,engga,1.0395488291798132,engga,Scripture
γραφή,265,unigram,feminine,nominative,plural,engga,1.2002341655548128,engga,Scripture
γραφή,325,unigram,feminine,nominative,singular,engga,2.6931516703052973,engga,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,aid,1.25391891339099,aid,angel
ἄγγελος,48,unigram,masculine,nominative,plural,aid,2.9591988906497235,aid,angel
ἄγγελος,109,unigram,masculine,nominative,singular,aid,2.2992129174134295,aid,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,inpidnak,1.478422804311656,inpidnak,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,nggok-nen,1.066361031287965,nggok-nen,apostle
ἐξουσία,71,unigram,feminine,accusative,plural,nene-nen,1.2562027006966148,nene-nen,authority
ἐξουσία,201,unigram,feminine,accusative,singular,amawi,1.8686072697286231,amawi,authority
βρέφος,16,unigram,neuter,accusative,plural,inggi-ne,1.1614598393197606,inggi-ne,babies
βρέφος,323,unigram,neuter,accusative,singular,mbet-nen,1.0595867858366843,mbet-nen,babies
ἀποθήκη,273,unigram,feminine,accusative,plural,poso,1.2140250988835128,poso,barn
ἀποθήκη,70,unigram,feminine,accusative,singular,mbato,1.2021306473048587,mbato,barn
ἀρχή,73,unigram,feminine,accusative,plural,nene-nen,1.2558538763325895,nene-nen,beginning
ἀρχή,183,unigram,feminine,accusative,singular,amanggim-nen,1.1797725055588821,amanggim-nen,beginning
βλασφημία,97,unigram,feminine,accusative,singular,unpul-o,1.0961506491767987,unpul-o,blasphemy
βλασφημία,209,unigram,feminine,nominative,plural,pugwi,1.0856480254126857,pugwi,blasphemy
βλασφημία,84,unigram,feminine,nominative,singular,mbona,1.106338605416846,mbona,blasphemy
πλοῖον,107,unigram,neuter,accusative,plural,koma,1.5038829736032742,koma,boat
πλοῖον,310,unigram,neuter,accusative,singular,koma,1.1690160298205927,koma,boat
πλοῖον,242,unigram,neuter,nominative,plural,Nggurug-e,1.2562637696257954,Nggurug-e,boat
πλοῖον,229,unigram,neuter,nominative,singular,koma,1.20731020158809,koma,boat
σῶμα,218,unigram,neuter,nominative,plural,lud,1.0011415462768816,lud,body
σῶμα,61,unigram,neuter,nominative,singular,kenpe,1.1636764181607937,kenpe,body
κλῆμα,152,unigram,neuter,nominative,singular,puksa,1.0710548012909409,puksa,branch
ἄρτος,313,unigram,masculine,accusative,plural,oroti,2.215693508313114,oroti,bread
ἄρτος,338,unigram,masculine,accusative,singular,mburu,3.4625104513852296,mburu,bread
ἄρτος,160,unigram,masculine,nominative,plural,mburu,1.299695813197815,mburu,bread
ἄρτος,39,unigram,masculine,nominative,singular,mbuwaidnak,1.0658047590016897,mbuwaidnak,bread
ἀδελφός,301,unigram,masculine,accusative,plural,owe,1.0400207744734002,owe,brother
ἀδελφός,122,unigram,masculine,accusative,singular,owot,1.498350792590163,owot,brother
ἀδελφός,112,unigram,masculine,nominative,plural,niya,1.0320424741113199,niya,brother
ἀδελφός,235,unigram,masculine,nominative,singular,owot,1.2236625027675396,owot,brother
στῆθος,287,unigram,neuter,accusative,singular,worasolat-nen,1.267977080414192,worasolat-nen,"chest, breast"
ἀρχιερεύς,245,unigram,masculine,accusative,plural,omborak,1.5034221006792952,omborak,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,ombo,1.047487004393059,ombo,chief priest
ἀρχιερεύς,121,unigram,masculine,nominative,plural,omborak,1.251829788709128,omborak,chief priest
ἀρχιερεύς,250,unigram,masculine,nominative,singular,ombo,1.2840073498248583,ombo,chief priest
παῖς,50,unigram,masculine,accusative,singular,mborosoma-ge,1.0258951770579416,mborosoma-ge,child
τέκνον,332,unigram,neuter,accusative,plural,ilirak,1.3507654933687512,ilirak,child
τέκνον,193,unigram,neuter,nominative,singular,Nambara,2.3259974984847607,Nambara,child
παιδίον,15,unigram,neuter,accusative,plural,li,1.061191768895166,li,child
παιδίον,91,unigram,neuter,accusative,singular,la,1.6715542740573162,la,child
παιδίον,41,unigram,neuter,nominative,singular,la,1.6690140927946535,la,child
πόλις,184,unigram,feminine,accusative,plural,siri,1.7914045581332634,siri,city
πόλις,66,unigram,feminine,accusative,singular,siri,1.0181496176806493,siri,city
πύλη,269,unigram,feminine,nominative,plural,amawi-nen,1.0961358565100614,amawi-nen,city gate
πύλη,208,unigram,feminine,nominative,singular,mboronggo,1.326247118444268,mboronggo,city gate
χιτών,117,unigram,masculine,accusative,plural,sum,1.4327410141552792,sum,"clothing, undergarments"
χιτών,31,unigram,masculine,accusative,singular,ti-o,1.2624718041636378,ti-o,"clothing, undergarments"
ἱμάτιον,132,unigram,neuter,accusative,plural,usum,1.3321412615497978,usum,coat
ἱμάτιον,131,unigram,neuter,accusative,singular,sum,1.6352489357619224,sum,coat
ἐντολή,82,unigram,feminine,accusative,plural,yeburak,1.003495657526275,yeburak,commandment
ἐντολή,80,unigram,feminine,accusative,singular,kwarurag-o,1.3653005419849409,kwarurag-o,commandment
συνέδριον,318,unigram,neuter,accusative,plural,kunpuruk,1.1912123484745067,kunpuruk,council
συνέδριον,53,unigram,neuter,accusative,singular,omborak,1.0907867662799198,omborak,council
χώρα,291,unigram,feminine,accusative,singular,enma,1.0329193634159095,enma,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,kwarat,1.0369394558061116,kwarat,crowd
ὄχλος,11,unigram,masculine,accusative,singular,kwarat,1.4052649704024522,kwarat,crowd
ὄχλος,100,unigram,masculine,nominative,plural,kwarat,1.283030860923126,kwarat,crowd
ὄχλος,283,unigram,masculine,nominative,singular,ap,1.2055267617268168,ap,crowd
θυγάτηρ,115,unigram,feminine,nominative,plural,nubud,1.161609579067689,nubud,daughter
θυγάτηρ,312,unigram,feminine,nominative,singular,ara,1.7817147385501335,ara,daughter
ἡμέρα,76,unigram,feminine,accusative,plural,nene,3.3610848991373596,nene,day
ἡμέρα,85,unigram,feminine,accusative,singular,pempa,1.1901928933160808,pempa,day
ἡμέρα,2,unigram,feminine,nominative,plural,tarem,1.7131159114593302,tarem,day
ἡμέρα,68,unigram,feminine,nominative,singular,O,1.2967031186812956,O,day
ὀφειλέτης,252,unigram,masculine,nominative,plural,Siloam-nen,1.09612600636564,Siloam-nen,debtor
δαιμόνιον,32,unigram,neuter,accusative,plural,kugi,1.3168723588519529,kugi,demon
δαιμόνιον,327,unigram,neuter,accusative,singular,kugi,2.3086125336497383,kugi,demon
δαιμόνιον,195,unigram,neuter,nominative,plural,kugi,2.230784171445271,kugi,demon
δαιμόνιον,174,unigram,neuter,nominative,singular,mbiri-o,1.1684954736579651,mbiri-o,demon
δηνάριον,305,unigram,neuter,accusative,plural,uwi,1.4805759502899218,uwi,denarius (about a day's wages)
δηνάριον,162,unigram,neuter,accusative,singular,tol,1.0248806145334473,tol,denarius (about a day's wages)
μαθητής,179,unigram,masculine,accusative,plural,owosirak,4.275452148446042,owosirak,disciple
μαθητής,333,unigram,masculine,accusative,singular,noso,1.040431455869829,noso,disciple
μαθητής,276,unigram,masculine,nominative,plural,owosirak,1.1827076958220657,owosirak,disciple
μαθητής,331,unigram,masculine,nominative,singular,noso,3.1839357656098524,noso,disciple
νόσος,3,unigram,feminine,accusative,plural,ki,1.034088560959252,ki,disease
νόσος,75,unigram,feminine,accusative,singular,mbidnak,1.2299385558614797,mbidnak,disease
περιστερά,99,unigram,feminine,accusative,plural,nggwende,1.3280292563614873,nggwende,dove
περιστερά,55,unigram,feminine,accusative,singular,nggwende,1.1421464382647255,nggwende,dove
οὖς,151,unigram,neuter,accusative,plural,kuluwag-o,1.4841821578593026,kuluwag-o,ear
οὖς,282,unigram,neuter,accusative,singular,silmu,1.2405144123991243,silmu,ear
σεισμός,64,unigram,masculine,nominative,singular,mimo,1.527057472324996,mimo,"earthquakes, storm"
τέλος,274,unigram,neuter,accusative,singular,momak,1.561023573578143,momak,end
αἰών,239,unigram,masculine,accusative,plural,Yakup-nen,1.168686670620113,Yakup-nen,eternity
ὀφθαλμός,23,unigram,masculine,accusative,plural,kuwarak,1.0671021103472431,kuwarak,eye
ὀφθαλμός,65,unigram,masculine,nominative,plural,kuwak,1.17879152516336,kuwak,eye
ὀφθαλμός,300,unigram,masculine,nominative,singular,kerengen,1.2266693492969942,kerengen,eye
πρόσωπον,124,unigram,neuter,accusative,plural,entare,1.7455632027925012,entare,face
πρόσωπον,190,unigram,neuter,accusative,singular,erare,1.2040066751155356,erare,face
λιμός,8,unigram,feminine,nominative,plural,nogoro,1.179773313835852,nogoro,famine
λιμός,93,unigram,feminine,nominative,singular,nogoro,1.0961457159585586,nogoro,famine
γεωργός,251,unigram,masculine,nominative,plural,parugu,1.2575775747689149,parugu,"farmer, tenant"
πατήρ,196,unigram,masculine,accusative,plural,unpud,1.0572803734891312,unpud,father
πατήρ,304,unigram,masculine,accusative,singular,Neid,3.036517652719574,Neid,father
πατήρ,185,unigram,masculine,nominative,singular,Neid,1.5177360801377973,Neid,father
σύνδουλος,144,unigram,masculine,accusative,plural,ndonggosa,1.0298345019317934,ndonggosa,"fellow-servant, colleague"
σύνδουλος,88,unigram,masculine,accusative,singular,kagi,1.0354566478772904,kagi,"fellow-servant, colleague"
σύνδουλος,315,unigram,masculine,nominative,plural,obosola,1.4540342710718228,obosola,"fellow-servant, colleague"
σύνδουλος,113,unigram,masculine,nominative,singular,Karengge,1.0961407850703089,Karengge,"fellow-servant, colleague"
ἀγρός,326,unigram,masculine,accusative,plural,iridtak,1.036484764610642,iridtak,field
ἀγρός,40,unigram,masculine,accusative,singular,onggo,1.1191268966034082,onggo,field
