lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1299_translation,english_translation
θεός,311,unigram,masculine,accusative,plural,देवता,1.097258004808277,देवता,God
θεός,124,unigram,masculine,accusative,singular,बोगवानान,1.584756308290956,बोगवानान,God
θεός,26,unigram,masculine,nominative,plural,देवता,1.568139757364081,देवता,God
θεός,194,unigram,masculine,nominative,singular,बोगवान,6.794565965257464,बोगवान,God
κύριος,313,unigram,masculine,nominative,plural,सोड़तेह,1.0970894485985805,सोड़तेह,"Lord, lord, master"
κύριος,125,unigram,masculine,nominative,singular,मालीक,7.649950253940319,मालीक,"Lord, lord, master"
γραφή,47,unigram,feminine,accusative,singular,पुस्तेक,1.3476183725584896,पुस्तेक,Scripture
γραφή,248,unigram,feminine,nominative,plural,पुरी,1.0290849812098333,पुरी,Scripture
γραφή,308,unigram,feminine,nominative,singular,पुस्तेक,1.735576419789633,पुस्तेक,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,हेरोगदुताह,1.7941210933124863,हेरोगदुताह,angel
ἄγγελος,79,unigram,masculine,accusative,singular,खोबर्‍याह,1.423268329582114,खोबर्‍याह,angel
ἄγγελος,44,unigram,masculine,nominative,plural,हेरोगदुत,3.3828317403769796,हेरोगदुत,angel
ἄγγελος,102,unigram,masculine,nominative,singular,हेरोगदुत,4.74748744606487,हेरोगदुत,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,प्रेरित,2.210218271423633,प्रेरित,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,मोकलायेल,1.1062947896655342,मोकलायेल,apostle
ἐξουσία,65,unigram,feminine,accusative,plural,उबा,1.0596420238117508,उबा,authority
ἐξουσία,186,unigram,feminine,accusative,singular,आदिकार,5.240703504065503,आदिकार,authority
βρέφος,307,unigram,neuter,accusative,singular,खेड़ा,1.118907177762274,खेड़ा,babies
ἀρχή,67,unigram,feminine,accusative,plural,उबा,1.0595673971889907,उबा,beginning
ἀρχή,166,unigram,feminine,accusative,singular,किते,1.0662807816552895,किते,beginning
βλασφημία,30,unigram,feminine,accusative,plural,माफी,1.0258566529985271,माफी,blasphemy
βλασφημία,192,unigram,feminine,nominative,plural,चिहटा,1.6156708316356225,चिहटा,blasphemy
βλασφημία,80,unigram,feminine,nominative,singular,चिहटा,1.6156708316356225,चिहटा,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,डोंडह्याह,1.238449216667337,डोंडह्याह,boat
πλοῖον,293,unigram,neuter,accusative,singular,डोंडह्या,4.259967231922316,डोंडह्या,boat
πλοῖον,224,unigram,neuter,nominative,plural,डोंडह्या,1.068985217355547,डोंडह्या,boat
πλοῖον,211,unigram,neuter,nominative,singular,डोंडह्यो,1.738020257947026,डोंडह्यो,boat
σῶμα,200,unigram,neuter,nominative,plural,देड़े,1.1797290343772884,देड़े,body
σῶμα,56,unigram,neuter,nominative,singular,सेरीर,3.2229378758350458,सेरीर,body
κλῆμα,139,unigram,neuter,nominative,singular,रेत,1.161400064573275,रेत,branch
ἄρτος,296,unigram,masculine,accusative,plural,रोटा,3.480036031093122,रोटा,bread
ἄρτος,321,unigram,masculine,accusative,singular,रूटो,5.282434406949769,रूटो,bread
ἄρτος,147,unigram,masculine,nominative,plural,रोटा,2.0964462883944797,रोटा,bread
ἄρτος,36,unigram,masculine,nominative,singular,रूटो,1.9657353708344132,रूटो,bread
ἀδελφός,283,unigram,masculine,accusative,plural,बाहख,1.094162852929367,बाहख,brother
ἀδελφός,114,unigram,masculine,accusative,singular,बाहख,1.780406776262806,बाहख,brother
ἀδελφός,106,unigram,masculine,nominative,plural,बाहख,2.16941293722385,बाहख,brother
ἀδελφός,217,unigram,masculine,nominative,singular,बाहख,3.6142590879211025,बाहख,brother
στῆθος,144,unigram,neuter,accusative,plural,ठोकते,1.0960622061228922,ठोकते,"chest, breast"
στῆθος,268,unigram,neuter,accusative,singular,साती,1.4173809820439174,साती,"chest, breast"
ἀρχιερεύς,228,unigram,masculine,accusative,plural,मुखी,1.806606671894343,मुखी,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,चाकऱ्या,1.3156219693112858,चाकऱ्या,chief priest
ἀρχιερεύς,113,unigram,masculine,nominative,plural,मुखी,1.0966215332192077,मुखी,chief priest
ἀρχιερεύς,232,unigram,masculine,nominative,singular,मुखी,1.3489591033146622,मुखी,chief priest
τέκνον,315,unigram,neuter,accusative,plural,सोरा,1.6489367156574097,सोरा,child
τέκνον,164,unigram,neuter,accusative,singular,बायाख,1.235435959839391,बायाख,child
τέκνον,15,unigram,neuter,nominative,plural,सोरा,1.7404484948360897,सोरा,child
τέκνον,178,unigram,neuter,nominative,singular,बेटा,4.138584871089843,बेटा,child
παιδίον,14,unigram,neuter,accusative,plural,सोराह,1.2892322546103232,सोराह,child
παιδίον,87,unigram,neuter,accusative,singular,सोराह,2.9611056618509637,सोराह,child
παιδίον,38,unigram,neuter,nominative,singular,सोरो,1.4371797470771093,सोरो,child
πόλις,167,unigram,feminine,accusative,plural,गाव,1.5254709392482673,गाव,city
πόλις,61,unigram,feminine,accusative,singular,हेयराम,1.703108789804006,हेयराम,city
πύλη,251,unigram,feminine,nominative,plural,मोंडली,1.1613200159490844,मोंडली,city gate
πύλη,191,unigram,feminine,nominative,singular,बायणो,1.3360768556948759,बायणो,city gate
χιτών,109,unigram,masculine,accusative,plural,डेगला,1.412909986632124,डेगला,"clothing, undergarments"
