lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1253_translation,english_translation
θεός,94,unigram,masculine,accusative,singular,Thangnhangchuw,2.6098938350826315,Thangnhangchuw,God
θεός,152,unigram,masculine,nominative,singular,Thangnhang,4.7634725398520885,Thangnhang,God
κύριος,95,unigram,masculine,nominative,singular,aapuwching,1.1845846883752935,aapuwching,"Lord, lord, master"
γραφή,192,unigram,feminine,nominative,plural,thiimjii,1.3676826004442677,thiimjii,Scripture
γραφή,239,unigram,feminine,nominative,singular,thiimjii,1.9136165516635069,thiimjii,Scripture
ἄγγελος,70,unigram,masculine,accusative,plural,minven,1.2056653409876772,minven,angel
ἄγγελος,34,unigram,masculine,nominative,plural,thangven,2.08883488277621,thangven,angel
ἄγγελος,77,unigram,masculine,nominative,singular,michier,2.7533650196148844,michier,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,Ttongjiirpaheching,2.9196529758422547,Ttongjiirpaheching,apostle
ἐξουσία,143,unigram,feminine,accusative,singular,natuga,1.0605665864457066,natuga,authority
βρέφος,12,unigram,neuter,accusative,plural,atunamaaing,1.0960670999999007,atunamaaing,babies
βρέφος,238,unigram,neuter,accusative,singular,sah,1.8078295445072452,sah,babies
ἀποθήκη,51,unigram,feminine,accusative,singular,aetumte,1.9577231358603828,aetumte,barn
φραγμός,79,unigram,masculine,accusative,singular,saarge,1.1923251643526398,saarge,"barrier, wall"
ζώνη,124,unigram,feminine,accusative,plural,kori,1.0960524252565438,kori,belt
βλασφημία,150,unigram,feminine,nominative,plural,amamaa,1.6526854825098665,amamaa,blasphemy
βλασφημία,62,unigram,feminine,nominative,singular,itthamaa,1.4414216936035464,itthamaa,blasphemy
πλοῖον,226,unigram,neuter,accusative,singular,ruwkuwng,1.7239651915702263,ruwkuwng,boat
πλοῖον,165,unigram,neuter,nominative,singular,ruwkuwngchuw,1.8383904571048064,ruwkuwngchuw,boat
κλῆμα,107,unigram,neuter,nominative,singular,kenhingna,1.0063745165337383,kenhingna,branch
ἄρτος,229,unigram,masculine,accusative,plural,tal,1.5319273991407107,tal,bread
ἄρτος,250,unigram,masculine,accusative,singular,tal,1.0344747497505082,tal,bread
ἄρτος,112,unigram,masculine,nominative,plural,heve,1.141548772319017,heve,bread
ἄρτος,26,unigram,masculine,nominative,singular,tal,1.319143902996644,tal,bread
ἀδελφός,218,unigram,masculine,accusative,plural,aeen,1.0120833142732493,aeen,brother
ἀδελφός,86,unigram,masculine,accusative,singular,anepa,2.6881899514702843,anepa,brother
ἀδελφός,78,unigram,masculine,nominative,plural,auw,1.8227024976257784,auw,brother
ἀδελφός,171,unigram,masculine,nominative,singular,asiti,1.5029330993730068,asiti,brother
στῆθος,205,unigram,neuter,accusative,singular,achuwga,1.3298760325153842,achuwga,"chest, breast"
ἀρχιερεύς,179,unigram,masculine,accusative,plural,khorpuw,3.1685931470175186,khorpuw,chief priest
ἀρχιερεύς,44,unigram,masculine,accusative,singular,khorpuw,1.3410052461854076,khorpuw,chief priest
ἀρχιερεύς,85,unigram,masculine,nominative,plural,khorpuw,2.1561813798289964,khorpuw,chief priest
ἀρχιερεύς,183,unigram,masculine,nominative,singular,elhuwngching,1.2441761295248668,elhuwngching,chief priest
τέκνον,245,unigram,neuter,accusative,plural,asitihe,1.3139222480882755,asitihe,child
τέκνον,128,unigram,neuter,accusative,singular,asiti,2.00388692158352,asiti,child
τέκνον,13,unigram,neuter,nominative,plural,asiti,1.2608815640635294,asiti,child
τέκνον,137,unigram,neuter,nominative,singular,Kesapa,1.5139454032721975,Kesapa,child
παιδίον,11,unigram,neuter,accusative,plural,vaheresie,1.0686611363227598,vaheresie,child
παιδίον,66,unigram,neuter,accusative,singular,mengongge,1.2973495948295592,mengongge,child
παιδίον,28,unigram,neuter,nominative,singular,lhuwchemaanie,1.2080519099557074,lhuwchemaanie,child
πόλις,130,unigram,feminine,accusative,plural,khuwna,1.1920666248177116,khuwna,city
πόλις,47,unigram,feminine,accusative,singular,khuwpuw,2.4896026760300844,khuwpuw,city
