lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1343_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Nnoongo,5.2505327977417835,Nnoongo,God
θεός,172,unigram,masculine,nominative,singular,Nnoongo,6.4226667608330725,Nnoongo,God
κύριος,110,unigram,masculine,nominative,singular,Angwana,4.697302696368613,Angwana,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,Majandiko,2.3926556135284014,Majandiko,Scripture
γραφή,42,unigram,feminine,accusative,singular,Majandiko,1.460104534312869,Majandiko,Scripture
γραφή,219,unigram,feminine,nominative,plural,Majandiko,1.7002812387464743,Majandiko,Scripture
γραφή,271,unigram,feminine,nominative,singular,Majandiko,1.2035372062526275,Majandiko,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,akapakachi,1.7680786547781666,akapakachi,angel
ἄγγελος,72,unigram,masculine,accusative,singular,annongolele,1.0500981916898025,annongolele,angel
ἄγγελος,39,unigram,masculine,nominative,plural,akapakachi,3.2164499243373665,akapakachi,angel
ἄγγελος,91,unigram,masculine,nominative,singular,Mpakachi,1.025552879250211,Mpakachi,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,Achandundame,2.787379901010319,Achandundame,apostle
ἐξουσία,58,unigram,feminine,accusative,plural,Pabampeleka,1.0962199599997684,Pabampeleka,authority
ἐξουσία,163,unigram,feminine,accusative,singular,kinala,4.2012608117380426,kinala,authority
βρέφος,12,unigram,neuter,accusative,plural,ilumikigwe,1.0960670999999007,ilumikigwe,babies
βρέφος,270,unigram,neuter,accusative,singular,kulele,1.0441063733306788,kulele,babies
ἀποθήκη,224,unigram,feminine,accusative,plural,ikokwe,1.999949042375989,ikokwe,barn
ἀποθήκη,57,unigram,feminine,accusative,singular,mwoto,1.1556581875986325,mwoto,barn
ἀρχή,60,unigram,feminine,accusative,plural,Pabampeleka,1.0961063339256685,Pabampeleka,beginning
βλασφημία,170,unigram,feminine,nominative,plural,matukano,1.999949021035427,matukano,blasphemy
βλασφημία,73,unigram,feminine,nominative,singular,matukano,1.999949021035427,matukano,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,mitumbwi,1.7104884272480567,mitumbwi,boat
πλοῖον,261,unigram,neuter,accusative,singular,muntumbwi,2.98104795932468,muntumbwi,boat
πλοῖον,188,unigram,neuter,nominative,singular,ntumbwi,1.5386338461657727,ntumbwi,boat
σῶμα,50,unigram,neuter,nominative,singular,mmele,2.279125121454233,mmele,body
ἄρτος,264,unigram,masculine,accusative,plural,mikate,4.0737826289220465,mikate,bread
ἄρτος,283,unigram,masculine,accusative,singular,nkate,1.7805543554194332,nkate,bread
ἄρτος,128,unigram,masculine,nominative,plural,mikate,1.1317008262107529,mikate,bread
ἄρτος,31,unigram,masculine,nominative,singular,chakulya,1.173921800496096,chakulya,bread
ἀδελφός,251,unigram,masculine,accusative,plural,migonda,1.0523486942565297,migonda,brother
ἀδελφός,99,unigram,masculine,accusative,singular,Yakobo,1.1814931790436454,Yakobo,brother
ἀδελφός,94,unigram,masculine,nominative,plural,inuna,2.7590009766456385,inuna,brother
ἀδελφός,192,unigram,masculine,nominative,singular,nnung'una,1.6297399551246687,nnung'una,brother
στῆθος,237,unigram,neuter,accusative,singular,papipi,1.1102496371111534,papipi,"chest, breast"
παῖς,196,unigram,masculine,accusative,plural,kubuja,1.5897909673348871,kubuja,child
τέκνον,277,unigram,neuter,accusative,plural,ingota,5.115980694316801,ingota,child
τέκνον,158,unigram,neuter,nominative,singular,Manango,1.6235559087904172,Manango,child
παιδίον,11,unigram,neuter,accusative,plural,Mileke,1.0475556606704368,Mileke,child
παιδίον,77,unigram,neuter,accusative,singular,mwana,2.4239031537834568,mwana,child
παιδίον,140,unigram,neuter,nominative,plural,ingota,1.598238406221762,ingota,child
παιδίον,33,unigram,neuter,nominative,singular,mwana,1.0690362418997728,mwana,child
