lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1372_translation,version_1373_translation,version_1374_translation,version_1375_translation,version_1376_translation,version_1377_translation,version_1378_translation,english_translation
θεός,369,unigram,masculine,accusative,plural,guder,1.362234405535402,,,,,guder,,,God
θεός,153,unigram,masculine,accusative,singular,Gud,17381.692088001113,Gud,Gud,Gud,Gud,Gud,Gud,Gud,God
θεός,33,unigram,masculine,nominative,plural,guder,1.4495561115295053,,guder,guder,guder,,guder,,God
θεός,236,unigram,masculine,nominative,singular,Gud,6624567.240738744,,Gud,Gud,Gud,Gud,Gud,Gud,God
κύριος,371,unigram,masculine,nominative,plural,løste,1.57378571894325,,løste,,,eierne,løste,løste,"Lord, lord, master"
κύριος,154,unigram,masculine,nominative,singular,Herren,16.284096272844163,løftet,Herren,Herren,Herren,Herren,Herren,Herren,"Lord, lord, master"
γραφή,148,unigram,feminine,accusative,plural,skriftene,28.875848379300965,,skriftene,Skriftene,skriftene,Skriften,Skriftene,skriftene,Scripture
γραφή,58,unigram,feminine,accusative,singular,Skriften,19.832491252123354,,Skriften,,Skriften,Skriften,Skriften,Skriften,Scripture
γραφή,297,unigram,feminine,nominative,plural,skriftene,1.6978695303476425,,skriftene,Skriftene,opfylles,forutsagt,oppfylt,skriftene,Scripture
γραφή,364,unigram,feminine,nominative,singular,Skriften,35.43677165082795,,Skriften,Skriften,Skriften,Skriften,Skriften,Skriften,Scripture
ἄγγελος,114,unigram,masculine,accusative,plural,engler,39.005805401139106,,engler,engler,engler,engler,engler,engler,angel
ἄγγελος,95,unigram,masculine,accusative,singular,budbærer,1.826798439875687,,budbærer,budbærer,rydde,budbærer,budbærer,budbærer,angel
ἄγγελος,54,unigram,masculine,nominative,plural,englene,61.50016457604488,,englene,englene,englene,englene,engler,englene,angel
ἄγγελος,125,unigram,masculine,nominative,singular,engel,4.94374727637672,,engel,engel,engel,engel,engel,engel,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,Apostlene,8.337584035457448,,Apostlene,Apostlene,apostlene,tolv,Apostlene,Apostlene,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,utsending,2.4942561227555857,,utsendingen,Heller,utsending,utsending,utsending,utsendingen,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,forsvare,1.0962199599997684,,,,,forsvare,,,authority
ἐξουσία,225,unigram,feminine,accusative,singular,makt,38.82570717240025,autoritet,makt,myndighet,makt,makt,makt,makt,authority
βρέφος,19,unigram,neuter,accusative,plural,røre,1.1886476118126217,,spedbarna,røre,røre,jaget,røre,spedbarna,babies
βρέφος,362,unigram,neuter,accusative,singular,svøpt,1.2237595201147984,,,krybbe,svøpt,,svøpt,,babies
ἀποθήκη,304,unigram,feminine,accusative,plural,samler,2.8741968238043905,,samler,større,lader,,,samler,barn
ἀποθήκη,78,unigram,feminine,accusative,singular,låven,1.1382709206392858,,,låven,brenne,hveten,låven,låven,barn
