lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1511_translation,english_translation
θεός,118,unigram,masculine,accusative,singular,Saküüwuowa,3.8155633317245945,Saküüwuowa,God
θεός,182,unigram,masculine,nominative,singular,Saküüwuowa,19.034499544471103,Saküüwuowa,God
κύριος,119,unigram,masculine,nominative,singular,Vüwa,1.1815767407470072,Vüwa,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,zhütsazhü,1.7053283895819649,zhütsazhü,Scripture
γραφή,229,unigram,feminine,nominative,plural,Zhütsazhüri,1.9576839833051118,Zhütsazhüri,Scripture
γραφή,284,unigram,feminine,nominative,singular,zhütsazhüwa,1.1496260099939926,zhütsazhüwa,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,zhüleri,1.445723941339638,zhüleri,angel
ἄγγελος,76,unigram,masculine,accusative,singular,küche,1.0376950369935805,küche,angel
ἄγγελος,42,unigram,masculine,nominative,plural,zhüleri,2.542903462886017,zhüleri,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,povüküsari,1.5517461433512405,povüküsari,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,küzaküüzewa,1.0960817954296525,küzaküüzewa,apostle
ἐξουσία,173,unigram,feminine,accusative,singular,kükhra,5.860998954188923,kükhra,authority
βρέφος,15,unigram,neuter,accusative,plural,küüpa,1.2744182908410857,küüpa,babies
βρέφος,283,unigram,neuter,accusative,singular,seshuh,1.1420962508140535,seshuh,babies
ἀποθήκη,63,unigram,feminine,accusative,singular,aguri,1.1592736669618424,aguri,barn
φραγμός,101,unigram,masculine,accusative,singular,jüke,1.1062588450262767,jüke,"barrier, wall"
ζώνη,197,unigram,feminine,accusative,singular,asahu,1.0960524252565438,asahu,belt
βλασφημία,85,unigram,feminine,accusative,singular,phrahtemüthuoh,1.161346151680032,phrahtemüthuoh,blasphemy
βλασφημία,180,unigram,feminine,nominative,plural,küüjo,1.8078099263355247,küüjo,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,juhie,2.5669858668543357,juhie,boat
πλοῖον,270,unigram,neuter,accusative,singular,juhie,1.4852233761813411,juhie,boat
πλοῖον,210,unigram,neuter,nominative,plural,anyiriekhuowa,1.096239847813496,anyiriekhuowa,boat
σῶμα,55,unigram,neuter,nominative,singular,satsa,2.334841134458157,satsa,body
κλῆμα,51,unigram,neuter,nominative,plural,müküpeh,1.0595384180401852,müküpeh,branch
ἄρτος,274,unigram,masculine,accusative,plural,alohse,2.280569782547918,alohse,bread
ἄρτος,296,unigram,masculine,accusative,singular,lohse,1.8592183942215637,lohse,bread
ἄρτος,140,unigram,masculine,nominative,plural,alohse,2.406534121528166,alohse,bread
ἄρτος,34,unigram,masculine,nominative,singular,lohsewa,1.5112980631088515,lohsewa,bread
ἀδελφός,261,unigram,masculine,accusative,plural,atsari,1.3077151030291407,atsari,brother
ἀδελφός,108,unigram,masculine,accusative,singular,Jems,1.5023892993376793,Jems,brother
ἀδελφός,100,unigram,masculine,nominative,plural,nüri,3.056394267608447,nüri,brother
ἀδελφός,203,unigram,masculine,nominative,singular,nüri,1.0902573498203114,nüri,brother
στῆθος,137,unigram,neuter,accusative,plural,küso,1.0810922260060456,küso,"chest, breast"
ἀρχιερεύς,213,unigram,masculine,accusative,plural,levü,1.3673185810968556,levü,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,küjiri,1.1350719564030431,küjiri,chief priest
παῖς,207,unigram,masculine,accusative,plural,nyimpari,1.3126854720290069,nyimpari,child
παῖς,44,unigram,masculine,accusative,singular,vishele,1.0961210847775034,vishele,child
τέκνον,290,unigram,neuter,accusative,plural,tsari,1.1958000217932123,tsari,child
τέκνον,16,unigram,neuter,nominative,plural,apa,1.0940449309541926,apa,child
τέκνον,166,unigram,neuter,nominative,singular,tsa,1.1470693137240415,tsa,child
παιδίον,14,unigram,neuter,accusative,plural,küüru,1.3852353388901812,küüru,child
παιδίον,82,unigram,neuter,accusative,singular,zah,1.0937833775230998,zah,child
παιδίον,151,unigram,neuter,nominative,plural,kürünguori,1.7248890845577454,kürünguori,child
παιδίον,36,unigram,neuter,nominative,singular,atüvü,1.1499414148401137,atüvü,child
πόλις,159,unigram,feminine,accusative,plural,anyu,1.6476603186089207,anyu,city
πόλις,59,unigram,feminine,accusative,singular,nyuküji,1.0911288578255682,nyuküji,city
πύλη,179,unigram,feminine,nominative,singular,shieku,1.4048336407189466,shieku,city gate
χιτών,104,unigram,masculine,accusative,plural,satsaküüzhuvüh,1.5253662910068646,satsaküüzhuvüh,"clothing, undergarments"
χιτών,28,unigram,masculine,accusative,singular,satsaküüzhuvüh,1.6719429992084898,satsaküüzhuvüh,"clothing, undergarments"
ἱμάτιον,116,unigram,neuter,accusative,plural,thsümünyi,1.472240511280135,thsümünyi,coat
ἱμάτιον,115,unigram,neuter,accusative,singular,athsü,1.2553847593545966,athsü,coat
ἐντολή,74,unigram,feminine,accusative,plural,müzhe,1.4145200631911974,müzhe,commandment
ἐντολή,72,unigram,feminine,accusative,singular,wule,1.0501996791666903,wule,commandment
συνέδριον,277,unigram,neuter,accusative,plural,fe,1.2884998809911237,fe,council
συνέδριον,47,unigram,neuter,accusative,singular,sehzhu,1.480233081300744,sehzhu,council
χώρα,250,unigram,feminine,accusative,singular,anyu,2.967114532395677,anyu,"country, countryside"
ὄχλος,52,unigram,masculine,accusative,plural,riekhuowa,2.0453309114792417,riekhuowa,crowd
ὄχλος,9,unigram,masculine,accusative,singular,riekhuowa,2.1216769666934328,riekhuowa,crowd
ὄχλος,89,unigram,masculine,nominative,plural,riekhuowa,1.403553028908017,riekhuowa,crowd
ὄχλος,243,unigram,masculine,nominative,singular,anyi,1.5706575757197283,anyi,crowd
