lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1570_translation,english_translation
θεός,134,unigram,masculine,accusative,singular,Sunggigü,9.826916260472258,Sunggigü,God
θεός,28,unigram,masculine,nominative,plural,teronyu,1.769843558594424,teronyu,God
θεός,205,unigram,masculine,nominative,singular,Sunggigü,18.385953936938428,Sunggigü,God
κύριος,326,unigram,masculine,nominative,plural,npunyu,1.2586614461432903,npunyu,"Lord, lord, master"
κύριος,135,unigram,masculine,nominative,singular,Npugü,3.309143525133052,Npugü,"Lord, lord, master"
γραφή,130,unigram,feminine,accusative,plural,lesü,1.6458287292003513,lesü,Scripture
γραφή,259,unigram,feminine,nominative,plural,ketsinlesü,1.447701494099774,ketsinlesü,Scripture
γραφή,320,unigram,feminine,nominative,singular,ketsin,1.007884361978592,ketsin,Scripture
ἄγγελος,100,unigram,masculine,accusative,plural,nishüo,1.0926045803541968,nishüo,angel
ἄγγελος,87,unigram,masculine,accusative,singular,ntson,1.367955433538094,ntson,angel
ἄγγελος,48,unigram,masculine,nominative,plural,lokethyünyu,1.1842267957446972,lokethyünyu,angel
ἄγγελος,110,unigram,masculine,nominative,singular,lokethyü,1.812612765209788,lokethyü,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,apostel,1.8135473918801093,apostel,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,a-nikeshügü,1.096091603901298,a-nikeshügü,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,sogon,1.3100508591529971,sogon,authority
ἐξουσία,195,unigram,feminine,accusative,singular,kekvu,4.380361885651136,kekvu,authority
βρέφος,319,unigram,neuter,accusative,singular,methu,1.1609755087494011,methu,babies
φραγμός,232,unigram,masculine,accusative,plural,tsonba,1.106276804395426,tsonba,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,sogon,1.3095709699303295,sogon,beginning
ἀρχή,177,unigram,feminine,accusative,singular,a-kerika,1.2378395068231818,a-kerika,beginning
ζώνη,172,unigram,feminine,accusative,plural,suna,1.2357677585773923,suna,belt
βλασφημία,31,unigram,feminine,accusative,plural,nyutse,1.2378894137886032,nyutse,blasphemy
βλασφημία,99,unigram,feminine,accusative,singular,füsin-o,1.0960866985123228,füsin-o,blasphemy
πλοῖον,108,unigram,neuter,accusative,plural,run,1.6154288490069941,run,boat
πλοῖον,306,unigram,neuter,accusative,singular,run,4.650500835402098,run,boat
πλοῖον,238,unigram,neuter,nominative,plural,me-e,1.1840346611752928,me-e,boat
πλοῖον,223,unigram,neuter,nominative,singular,run,2.3526553483105217,run,boat
