lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_390_translation,version_391_translation,english_translation
θεός,265,unigram,masculine,accusative,plural,milungu,1.0965172048072145,milungu,,God
θεός,105,unigram,masculine,accusative,singular,Mulungu,8.29713239343195,Mulungu,,God
θεός,171,unigram,masculine,nominative,singular,Mulungu,6.0863371666585335,Mulungu,,God
κύριος,106,unigram,masculine,nominative,singular,Asikulu,2.3891435359181785,Asikulu,,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,Malembo,3.19110001554914,Malembo,,Scripture
γραφή,41,unigram,feminine,accusative,singular,Malembo,1.263199615240238,Malembo,,Scripture
γραφή,214,unigram,feminine,nominative,plural,Malembo,1.992055272483524,Malembo,,Scripture
γραφή,260,unigram,feminine,nominative,singular,Malembo,2.6242652685605496,Malembo,,Scripture
ἄγγελος,77,unigram,masculine,accusative,plural,angelo,2.4561075804989385,angelo,,angel
ἄγγελος,38,unigram,masculine,nominative,plural,angelo,4.0388461116045375,angelo,,angel
ἄγγελος,86,unigram,masculine,nominative,singular,mngelo,2.7754864485810216,mngelo,,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,Nthumi,1.3863478342233622,Nthumi,,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,wamutuma,1.1602056195070092,wamutuma,,apostle
ἐξουσία,164,unigram,feminine,accusative,singular,ulamulilo,5.868616640835597,ulamulilo,,authority
βρέφος,14,unigram,neuter,accusative,plural,aŵakumye,1.0954126531313877,aŵakumye,,babies
βρέφος,259,unigram,neuter,accusative,singular,lucece,1.0591090190634709,lucece,,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,cimphaka,1.1906981062307262,cimphaka,,barn
ἀρχή,147,unigram,feminine,accusative,singular,wenekuwuzyani,1.1054890991685846,wenekuwuzyani,,beginning
ζώνη,139,unigram,feminine,accusative,plural,mkuwa,1.1054596038005224,mkuwa,,belt
ζώνη,185,unigram,feminine,accusative,singular,enzomangila,1.095398876121712,enzomangila,,belt
βλασφημία,69,unigram,feminine,nominative,singular,mitafu,1.8883234779135436,mitafu,,blasphemy
πλοῖον,84,unigram,neuter,accusative,plural,mawato,2.8738226439578343,mawato,,boat
πλοῖον,248,unigram,neuter,accusative,singular,wato,3.4975431490418343,wato,,boat
πλοῖον,187,unigram,neuter,nominative,singular,wato,1.1031786425813002,wato,,boat
σῶμα,49,unigram,neuter,nominative,singular,muŵili,3.148550353579544,muŵili,,body
κλῆμα,45,unigram,neuter,nominative,plural,mungatweshelini,1.2535031234274072,mungatweshelini,,branch
κλῆμα,120,unigram,neuter,nominative,singular,msambo,1.9999518717384095,msambo,,branch
ἄρτος,252,unigram,masculine,accusative,plural,mikate,1.6874148432440594,mikate,,bread
ἄρτος,275,unigram,masculine,accusative,singular,mkate,1.0040584661014715,mkate,,bread
ἄρτος,125,unigram,masculine,nominative,plural,cakulya,1.156664653556742,cakulya,,bread
ἄρτος,31,unigram,masculine,nominative,singular,cakulya,1.088473342774582,cakulya,,bread
ἀδελφός,240,unigram,masculine,accusative,plural,enekwawo,1.4019968779128542,enekwawo,,brother
ἀδελφός,95,unigram,masculine,accusative,singular,mkwawo,1.8936010157319747,mkwawo,,brother
ἀδελφός,88,unigram,masculine,nominative,plural,enekwawo,2.0670193273421065,enekwawo,,brother
ἀδελφός,191,unigram,masculine,nominative,singular,mkwawo,1.858805894548137,mkwawo,,brother
στῆθος,229,unigram,neuter,accusative,singular,nganga,1.4179915763565798,nganga,,"chest, breast"
ἀρχιερεύς,199,unigram,masculine,accusative,plural,Akulu,1.01225840739855,Akulu,,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,Ansembe,1.0561921512599255,Ansembe,,chief priest
ἀρχιερεύς,94,unigram,masculine,nominative,plural,Ansembe,1.0305134945283332,Ansembe,,chief priest
ἀρχιερεύς,203,unigram,masculine,nominative,singular,Ansembe,1.0291001585252009,Ansembe,,chief priest
παῖς,194,unigram,masculine,accusative,plural,analume,1.488867618621144,analume,,child
τέκνον,268,unigram,neuter,accusative,plural,ŵana,4.469477686873123,ŵana,,child
τέκνον,145,unigram,neuter,accusative,singular,mkwawo,1.0864210863632862,mkwawo,,child
τέκνον,157,unigram,neuter,nominative,singular,wangu,1.6542118247446025,wangu,,child
παιδίον,74,unigram,neuter,accusative,singular,mwana,2.7014977246284757,mwana,,child
παιδίον,137,unigram,neuter,nominative,plural,ŵana,1.4958072074289708,ŵana,,child
παιδίον,33,unigram,neuter,nominative,singular,mwana,1.6247849293776506,mwana,,child
πόλις,148,unigram,feminine,accusative,plural,minzi,2.0705994969359383,minzi,,city
πόλις,54,unigram,feminine,accusative,singular,munzi,2.3044715186302067,munzi,,city
χιτών,91,unigram,masculine,accusative,plural,iŵili,1.4227061114268904,iŵili,,"clothing, undergarments"
χιτών,25,unigram,masculine,accusative,singular,mkhanjo,1.2418564932364553,mkhanjo,,"clothing, undergarments"
ἱμάτιον,103,unigram,neuter,accusative,plural,vovwala,2.6173065711993058,vovwala,,coat
ἱμάτιον,102,unigram,neuter,accusative,singular,mkhanjo,1.0272217442917748,mkhanjo,,coat
ἐντολή,67,unigram,feminine,accusative,plural,Matetulo,1.6557624678637417,Matetulo,,commandment
ἐντολή,65,unigram,feminine,accusative,singular,myambo,1.1569876617933572,myambo,,commandment
συνέδριον,255,unigram,neuter,accusative,plural,makacisi,1.5421399769380169,makacisi,,council
συνέδριον,42,unigram,neuter,accusative,singular,Akulu,1.0158656090576954,Akulu,,council
χώρα,231,unigram,feminine,accusative,singular,calo,1.3008186139435751,calo,,"country, countryside"
ὄχλος,46,unigram,masculine,accusative,plural,winji,2.5445442677639543,winji,,crowd
ὄχλος,9,unigram,masculine,accusative,singular,ŵanthu,1.0576292036228003,ŵanthu,,crowd
ὄχλος,78,unigram,masculine,nominative,plural,Winji,2.5801108902846366,Winji,,crowd
ὄχλος,225,unigram,masculine,nominative,singular,winji,1.1125366333305782,winji,,crowd
θυγάτηρ,251,unigram,feminine,nominative,singular,mwanakazi,1.0645455246907092,mwanakazi,,daughter
ἡμέρα,61,unigram,feminine,accusative,plural,masiku,5.169599768759667,masiku,,day
ἡμέρα,70,unigram,feminine,accusative,singular,nsiku,3.4913658803794374,nsiku,,day
ἡμέρα,2,unigram,feminine,nominative,plural,masiku,2.5689017861884724,masiku,,day
ἡμέρα,56,unigram,feminine,nominative,singular,nsiku,1.2056288965665007,nsiku,,day
δαιμόνιον,26,unigram,neuter,accusative,plural,viŵanda,3.5220738547559525,viŵanda,,demon
δαιμόνιον,263,unigram,neuter,accusative,singular,ciŵanda,1.7733753104115502,ciŵanda,,demon
δαιμόνιον,159,unigram,neuter,nominative,plural,viŵanda,3.6708777767350815,viŵanda,,demon
δαιμόνιον,136,unigram,neuter,nominative,singular,ciŵanda,1.8648691960082344,ciŵanda,,demon
δηνάριον,243,unigram,neuter,accusative,plural,ndalama,1.0039821503943294,ndalama,,denarius (about a day's wages)
μαθητής,142,unigram,masculine,accusative,plural,asambili,2.574545876272141,asambili,,disciple
μαθητής,269,unigram,masculine,accusative,singular,wenzotemwa,1.0664947651368146,wenzotemwa,,disciple
μαθητής,220,unigram,masculine,nominative,plural,asambili,1.4176940934902005,asambili,,disciple
μαθητής,267,unigram,masculine,nominative,singular,msambili,2.3742696295942967,msambili,,disciple
νόσος,3,unigram,feminine,accusative,plural,malwele,1.9999517950418368,malwele,,disease
περιστερά,43,unigram,feminine,accusative,singular,nkhunda,1.4884572405626502,nkhunda,,dove
οὖς,119,unigram,neuter,accusative,plural,matu,1.3020312562433858,matu,,ear
οὖς,224,unigram,neuter,accusative,singular,patuŵa,1.1645694378974905,patuŵa,,ear
σεισμός,165,unigram,masculine,nominative,plural,vivomezi,1.0437743476448686,vivomezi,,"earthquakes, storm"
σεισμός,52,unigram,masculine,nominative,singular,cikulu,1.3950644922171689,cikulu,,"earthquakes, storm"
τέλος,218,unigram,neuter,accusative,singular,kufwikila,1.0873907282102102,kufwikila,,end
αἰών,195,unigram,masculine,accusative,plural,uzesilelini,1.3819785469504895,uzesilelini,,eternity
αἰών,241,unigram,masculine,accusative,singular,wosasila,1.3606843601956709,wosasila,,eternity
ὀφθαλμός,19,unigram,masculine,accusative,plural,menso,1.3887225089008792,menso,,eye
ὀφθαλμός,53,unigram,masculine,nominative,plural,menso,1.6342877902815969,menso,,eye
ὀφθαλμός,238,unigram,masculine,nominative,singular,linso,1.0692409429310936,linso,,eye
πρόσωπον,154,unigram,neuter,accusative,singular,tuziŵa,1.159358808062008,tuziŵa,,face
λιμός,6,unigram,feminine,nominative,plural,vivomezi,1.0591090190634709,vivomezi,,famine
λιμός,107,unigram,masculine,nominative,singular,iliyolokwe,1.160164722821634,iliyolokwe,,famine
γεωργός,40,unigram,masculine,nominative,singular,mulimi,1.0954587100358997,mulimi,,"farmer, tenant"
πατήρ,242,unigram,masculine,accusative,singular,Atata,2.223888262075996,Atata,,father
πατήρ,250,unigram,masculine,nominative,plural,makolo,1.202266212264522,makolo,,father
πατήρ,149,unigram,masculine,nominative,singular,Atata,3.5567149924517483,Atata,,father
ἀγρός,262,unigram,masculine,accusative,plural,minda,2.568101484527841,minda,,field
ἀγρός,32,unigram,masculine,accusative,singular,munda,1.976131043498049,munda,,field
δάκτυλος,141,unigram,masculine,accusative,singular,maŵambo,1.0657606826130903,maŵambo,,finger
ἰχθύς,122,unigram,masculine,accusative,plural,mikate,1.221296859273356,mikate,,fish
ἰχθύς,153,unigram,masculine,accusative,singular,saŵi,1.7084493756451316,saŵi,,fish
δίκτυον,85,unigram,neuter,accusative,plural,makombe,2.342434900193365,makombe,,fishing net
δίκτυον,162,unigram,neuter,accusative,singular,kombe,1.2674055963861373,kombe,,fishing net
τροφή,258,unigram,feminine,accusative,singular,weciyika,1.2109641147174313,weciyika,,food
πούς,192,unigram,masculine,accusative,plural,mendo,7.19277889159217,mendo,,foot
καρπός,146,unigram,masculine,accusative,plural,vitwalo,2.5069937438821546,vitwalo,,"fruit, crop, harvest"
καρπός,190,unigram,masculine,accusative,singular,vitwalo,4.260424844770797,vitwalo,,"fruit, crop, harvest"
πλήρωμα,216,unigram,neuter,accusative,plural,vitundu,1.1836416581574734,vitundu,,fullness
γενεά,118,unigram,feminine,nominative,singular,luko,1.5374882800693936,luko,,generation
δῶρον,127,unigram,neuter,accusative,singular,guwa,1.1333742951873471,guwa,,gift
ἡγεμών,134,unigram,masculine,accusative,plural,akulu–akulu,1.0559768564647691,akulu–akulu,,"governor, ruler"
ἡγεμών,11,unigram,masculine,accusative,singular,aliyomuyasuke,1.1443650729716852,aliyomuyasuke,,"governor, ruler"
σταφυλή,271,unigram,feminine,accusative,singular,Otyolalini,1.095398876121712,Otyolalini,,grapes
ἀσπασμός,253,unigram,masculine,accusative,plural,misika,1.403251877694397,misika,,greeting
ἀσπασμός,135,unigram,masculine,accusative,singular,kulumpha–lumpha,1.09541724956689,kulumpha–lumpha,,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,acitangulila,1.0657457640667043,acitangulila,,guide
χείρ,245,unigram,feminine,accusative,plural,manja,6.566107468538983,manja,,hand
χείρ,179,unigram,feminine,accusative,singular,kwanja,3.0404658722318847,kwanja,,hand
κεφαλή,111,unigram,feminine,accusative,plural,mitu,2.8738882149936487,mitu,,head
κεφαλή,168,unigram,feminine,accusative,singular,mutu,3.4633847430619285,mutu,,head
στάχυς,169,unigram,masculine,accusative,plural,ngala–ngala,1.1906749611033962,ngala–ngala,,head of grain
καρδία,227,unigram,feminine,accusative,singular,mitima,1.4835064610382696,mitima,,heart
καρδία,155,unigram,feminine,nominative,singular,mitima,1.436450460596913,mitima,,heart
οὐρανός,7,unigram,masculine,accusative,plural,kwekezuka,1.0959745071681273,kwekezuka,,"heaven, sky"
οὐρανός,213,unigram,masculine,accusative,singular,Kululu,2.984902910176509,Kululu,,"heaven, sky"
οὐρανός,160,unigram,masculine,nominative,singular,Kululu,1.043810157579966,Kululu,,"heaven, sky"
ὥρα,22,unigram,feminine,nominative,singular,nsita,1.6549312447502766,nsita,,hour
οἰκία,256,unigram,feminine,accusative,singular,ngʼanda,7.235160781406237,ngʼanda,,house
οἶκος,18,unigram,masculine,accusative,singular,ngʼanda,1.5746483153672433,ngʼanda,,"house, home"
κριτής,129,unigram,masculine,nominative,singular,wopingula,1.9712800025860409,wopingula,,judge
βασιλεύς,83,unigram,masculine,accusative,plural,akulu–akulu,1.0296343228822051,akulu–akulu,,king
βασιλεύς,47,unigram,masculine,accusative,singular,mfumu,1.7415345810944685,mfumu,,king
βασιλεία,64,unigram,feminine,accusative,plural,vyalo,1.3086073721504206,vyalo,,kingdom
