lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1398_translation,english_translation
θεός,263,unigram,masculine,accusative,plural,ʌrdiuusi,1.2591437047102771,ʌrdiuusi,God
θεός,110,unigram,masculine,accusative,singular,Diuusi,1.9553984151675383,Diuusi,God
θεός,22,unigram,masculine,nominative,plural,ʌrdidiuusi,1.2154724280609577,ʌrdidiuusi,God
θεός,174,unigram,masculine,nominative,singular,Diuusi,2.6218870949984745,Diuusi,God
κύριος,111,unigram,masculine,nominative,singular,ʌaamudʌ,1.9912204616436244,ʌaamudʌ,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,―Maicʌʌga,1.260140248730257,―Maicʌʌga,Scripture
γραφή,39,unigram,feminine,accusative,singular,ñiooquidʌrʌ,1.1830876634300411,ñiooquidʌrʌ,Scripture
γραφή,213,unigram,feminine,nominative,plural,ñiooquidʌrʌ,1.1068924198817969,ñiooquidʌrʌ,Scripture
γραφή,258,unigram,feminine,nominative,singular,ñiooquidʌrʌ,1.311234978585807,ñiooquidʌrʌ,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,giñtʌtʌaañicaru,1.2033563655000166,giñtʌtʌaañicaru,angel
ἄγγελος,36,unigram,masculine,nominative,plural,tʌtʌaañicarudʌ,2.064476433702392,tʌtʌaañicarudʌ,angel
ἄγγελος,90,unigram,masculine,nominative,singular,tʌaañicarudʌ,2.193929239141598,tʌaañicarudʌ,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,ojootosadʌ,1.8135683651369567,ojootosadʌ,apostle
ἐξουσία,56,unigram,feminine,accusative,plural,gʌntuutusa,1.0962199599997684,gʌntuutusa,authority
ἐξουσία,168,unigram,feminine,accusative,singular,guvucadagai,1.0927965451285435,guvucadagai,authority
βρέφος,11,unigram,neuter,accusative,plural,vuapaimi,1.161328723715616,vuapaimi,babies
βρέφος,257,unigram,neuter,accusative,singular,ʌcaapayu,1.0595384180401852,ʌcaapayu,babies
ἀποθήκη,55,unigram,feminine,accusative,singular,ʌtʌligi,1.2023778869231578,ʌtʌligi,barn
ἀρχή,58,unigram,feminine,accusative,plural,gʌntuutusa,1.0961063339256685,gʌntuutusa,beginning
ζώνη,144,unigram,feminine,accusative,plural,vuucai,1.3042493918088551,vuucai,belt
βλασφημία,79,unigram,feminine,accusative,singular,isʌrDiuusi,1.0960768946513286,isʌrDiuusi,blasphemy
βλασφημία,70,unigram,feminine,nominative,singular,soimaascami,1.4414216936035464,soimaascami,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,vaarcu,1.1246925980845537,vaarcu,boat
πλοῖον,247,unigram,neuter,accusative,singular,vaarcuʌrʌ,1.7426283965350011,vaarcuʌrʌ,boat
πλοῖον,190,unigram,neuter,nominative,singular,caʌran,1.197649977537404,caʌran,boat
σῶμα,181,unigram,neuter,nominative,plural,ʌcoidadʌ,1.745733644199248,ʌcoidadʌ,body
σῶμα,47,unigram,neuter,nominative,singular,gamamagi,1.0745938263336248,gamamagi,body
κλῆμα,43,unigram,neuter,nominative,plural,giñviaagi,1.0960622061228922,giñviaagi,branch
κλῆμα,121,unigram,neuter,nominative,singular,ʌmaamaradʌ,1.1133081710155124,ʌmaamaradʌ,branch
ἄρτος,251,unigram,masculine,accusative,plural,paana,2.570731155919633,paana,bread
ἄρτος,271,unigram,masculine,accusative,singular,ʌpaana,2.11427501161031,ʌpaana,bread
ἄρτος,129,unigram,masculine,nominative,plural,paana,1.3621021348985152,paana,bread
ἄρτος,28,unigram,masculine,nominative,singular,ʌpaana,2.033465188144556,ʌpaana,bread
ἀδελφός,240,unigram,masculine,accusative,plural,gʌsusuuculi,1.3729697839888058,gʌsusuuculi,brother
ἀδελφός,100,unigram,masculine,accusative,singular,Jacovo,1.356960579117467,Jacovo,brother
ἀδελφός,92,unigram,masculine,nominative,plural,susuculidʌ,1.314495145159266,susuculidʌ,brother
στῆθος,127,unigram,neuter,accusative,plural,gʌvimi,1.212541630128925,gʌvimi,"chest, breast"
στῆθος,228,unigram,neuter,accusative,singular,aliʌsi,1.0944463120582928,aliʌsi,"chest, breast"
ἀρχιερεύς,200,unigram,masculine,accusative,plural,ʌbaitʌguucacamigadʌ,1.7698182705137142,ʌbaitʌguucacamigadʌ,chief priest
ἀρχιερεύς,48,unigram,masculine,accusative,singular,ʌpapaali,1.442216237694663,ʌpapaali,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,ʌpapaali,1.2327536156762375,ʌpapaali,chief priest
ἀρχιερεύς,204,unigram,masculine,nominative,singular,ʌpapaali,1.458881278420454,ʌpapaali,chief priest
τέκνον,266,unigram,neuter,accusative,plural,gʌmaamara,1.4933877601723886,gʌmaamara,child
τέκνον,150,unigram,neuter,accusative,singular,gatʌtʌgiada,1.0648494792904102,gatʌtʌgiada,child
τέκνον,12,unigram,neuter,nominative,plural,gatʌtʌgiada,1.068626691954887,gatʌtʌgiada,child
τέκνον,161,unigram,neuter,nominative,singular,Giñmara,2.0456086592693348,Giñmara,child
παιδίον,75,unigram,neuter,accusative,singular,siʌʌñi,1.096321437101669,siʌʌñi,child
παιδίον,142,unigram,neuter,nominative,plural,povʌrtʌtʌdai,1.0127070723956917,povʌrtʌtʌdai,child
πόλις,152,unigram,feminine,accusative,plural,quiiquiana,1.5811263744774555,quiiquiana,city
πόλις,51,unigram,feminine,accusative,singular,dʌvʌʌriʌrʌ,1.5056308520429988,dʌvʌʌriʌrʌ,city
χιτών,96,unigram,masculine,accusative,plural,vaapasaragai,1.8246607033929958,vaapasaragai,"clothing, undergarments"
ἱμάτιον,109,unigram,neuter,accusative,plural,yuucusidʌ,1.0487924685862142,yuucusidʌ,coat
ἱμάτιον,108,unigram,neuter,accusative,singular,gʌvaasaraga,1.4700961480891324,gʌvaasaraga,coat
ἐντολή,67,unigram,feminine,accusative,plural,ʌʌgiditai,1.140015715544413,ʌʌgiditai,commandment
ἐντολή,65,unigram,feminine,accusative,singular,ipʌlidi,1.2426663208723236,ipʌlidi,commandment
συνέδριον,40,unigram,neuter,accusative,singular,dudunucami,1.88754910485292,dudunucami,council
