lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_940_translation,english_translation
θεός,320,unigram,masculine,accusative,plural,gbasomẹ,1.0672605133866058,gbasomẹ,God
θεός,134,unigram,masculine,accusative,singular,Tamụnọ,4.286802193886683,Tamụnọ,God
θεός,31,unigram,masculine,nominative,plural,tamụnọ-ẹ,1.2154724280609577,tamụnọ-ẹ,God
θεός,205,unigram,masculine,nominative,singular,Tamụnọ,6.3410114906136315,Tamụnọ,God
κύριος,135,unigram,masculine,nominative,singular,Nyanaḅọ,1.5919346835200536,Nyanaḅọ,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,Fịafịa,1.9171811898758293,Fịafịa,Scripture
γραφή,53,unigram,feminine,accusative,singular,ḍiri,1.1904861021489392,ḍiri,Scripture
γραφή,251,unigram,feminine,nominative,plural,ḍiri,1.0468980012634723,ḍiri,Scripture
γραφή,315,unigram,feminine,nominative,singular,ḍiri,1.9349709855100297,ḍiri,Scripture
ἄγγελος,98,unigram,masculine,accusative,plural,enjẹlapụma,1.487126115304709,enjẹlapụma,angel
ἄγγελος,85,unigram,masculine,accusative,singular,okunwẹngịḅọ,1.4506953190705605,okunwẹngịḅọ,angel
ἄγγελος,49,unigram,masculine,nominative,plural,enjẹlapụma,2.402491588763557,enjẹlapụma,angel
ἄγγελος,108,unigram,masculine,nominative,singular,enjẹlḅọ,3.2628713351876177,enjẹlḅọ,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,Okunwẹngịapụma,1.8420448972537196,Okunwẹngịapụma,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,ḍụḅa,1.0258582490850463,ḍụḅa,apostle
ἐξουσία,195,unigram,feminine,accusative,singular,kụrọ,4.604637949305489,kụrọ,authority
βρέφος,18,unigram,neuter,accusative,plural,ḍọkọḍọkọ,1.1189146761750244,ḍọkọḍọkọ,babies
βρέφος,314,unigram,neuter,accusative,singular,nama-yefịfịye,1.2555924019945583,nama-yefịfịye,babies
ἀποθήκη,257,unigram,feminine,accusative,plural,koko,1.4397501207214642,koko,barn
ἀποθήκη,72,unigram,feminine,accusative,singular,dọkịmaḅịa,1.4675800420888785,dọkịmaḅịa,barn
φραγμός,112,unigram,masculine,accusative,singular,koruḅịa,1.2377843840690108,koruḅịa,"barrier, wall"
ἀρχή,180,unigram,feminine,accusative,singular,Sakị,1.1062845238338443,Sakị,beginning
ζώνη,172,unigram,feminine,accusative,plural,akpama,1.2100689697095979,akpama,belt
βλασφημία,35,unigram,feminine,accusative,plural,fiesima-ao,1.161346151680032,fiesima-ao,blasphemy
βλασφημία,203,unigram,feminine,nominative,plural,sima,1.191148462182024,sima,blasphemy
βλασφημία,86,unigram,feminine,nominative,singular,siye,1.4605463878099645,siye,blasphemy
