lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1444_translation,english_translation
θεός,341,unigram,masculine,accusative,plural,əmnyin,1.3313132475017198,əmnyin,God
θεός,139,unigram,masculine,accusative,singular,Feyin,1.9400267453743432,Feyin,God
θεός,29,unigram,masculine,nominative,plural,əmnyin,1.604012823605096,əmnyin,God
θεός,216,unigram,masculine,nominative,singular,Feyine,1.648711832009083,Feyine,God
κύριος,140,unigram,masculine,nominative,singular,Báàba,3.5136635255639037,Báàba,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,ŋwaale-Feyin,2.3185709597452004,ŋwaale-Feyin,Scripture
γραφή,51,unigram,feminine,accusative,singular,bɛɛy,1.0544527702043391,bɛɛy,Scripture
γραφή,276,unigram,feminine,nominative,plural,ŋwaale-Feyin,1.3428629302523667,ŋwaale-Feyin,Scripture
γραφή,337,unigram,feminine,nominative,singular,ŋwaale-Feyin,1.5866447189578488,ŋwaale-Feyin,Scripture
ἄγγελος,100,unigram,masculine,accusative,plural,nchiyse-ndaa,2.567706890105512,nchiyse-ndaa,angel
ἄγγελος,85,unigram,masculine,accusative,singular,siyse,1.1182522758694122,siyse,angel
ἄγγελος,47,unigram,masculine,nominative,plural,nchiyse-ndaa,3.2207169577705987,nchiyse-ndaa,angel
ἄγγελος,111,unigram,masculine,nominative,singular,Nchiy-ndaa-Feyin,1.5632257454314689,Nchiy-ndaa-Feyin,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,nɛy,1.4213455045191097,nɛy,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,kekose,1.211362637961196,kekose,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,sɛn-a,1.096239847813496,sɛn-a,authority
ἐξουσία,206,unigram,feminine,accusative,singular,əbtaawe,5.071116997973681,əbtaawe,authority
βρέφος,15,unigram,neuter,accusative,plural,nzəətee,1.0595545022300916,nzəətee,babies
βρέφος,335,unigram,neuter,accusative,singular,nyamse,1.5274562584317928,nyamse,babies
ἀποθήκη,284,unigram,feminine,accusative,plural,techia,1.9326761608438168,techia,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,nyok,1.05780201206754,nyok,barn
φραγμός,245,unigram,masculine,accusative,plural,əbfiaŋe,1.2125775833869603,əbfiaŋe,"barrier, wall"
φραγμός,115,unigram,masculine,accusative,singular,kebaŋ,1.1454757276999707,kebaŋ,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,sɛn-a,1.09612600636564,sɛn-a,beginning
ἀρχή,188,unigram,feminine,accusative,singular,kenkɛɛte,2.475675718493973,kenkɛɛte,beginning
ζώνη,180,unigram,feminine,accusative,plural,əbkaa,1.0814659912871516,əbkaa,belt
ζώνη,234,unigram,feminine,accusative,singular,Ndəy,1.096071996175396,Ndəy,belt
βλασφημία,33,unigram,feminine,accusative,plural,Biɛ,1.04412379902838,Biɛ,blasphemy
βλασφημία,214,unigram,feminine,nominative,plural,ndiy,1.179588339590396,ndiy,blasphemy
πλοῖον,109,unigram,neuter,accusative,plural,əbnək,1.0663277416424082,əbnək,boat
πλοῖον,322,unigram,neuter,accusative,singular,kenək,1.691733498011845,kenək,boat
πλοῖον,252,unigram,neuter,nominative,plural,jumtee,1.0962597735187187,jumtee,boat
πλοῖον,236,unigram,neuter,nominative,singular,kenəke,1.5819684383635704,kenəke,boat
σῶμα,60,unigram,neuter,nominative,singular,əbghun,2.2092686388658342,əbghun,body
κλῆμα,156,unigram,neuter,nominative,singular,balen,1.4764338349629156,balen,branch
ἄρτος,326,unigram,masculine,accusative,plural,keban,1.6213415232151094,keban,bread
ἄρτος,351,unigram,masculine,accusative,singular,əbfua-əbyíɛ́ne,1.0182536911137603,əbfua-əbyíɛ́ne,bread
ἄρτος,165,unigram,masculine,nominative,plural,keban,1.4010195059583264,keban,bread
ἄρτος,40,unigram,masculine,nominative,singular,əbfua-əbyíɛ́ne,1.709725772713169,əbfua-əbyíɛ́ne,bread
ἀδελφός,314,unigram,masculine,accusative,plural,ghone-no,2.2433882737459303,ghone-no,brother
ἀδελφός,124,unigram,masculine,accusative,singular,wan-no,1.3631021515850081,wan-no,brother
ἀδελφός,114,unigram,masculine,nominative,plural,ghone-no,2.396189292224071,ghone-no,brother
ἀδελφός,243,unigram,masculine,nominative,singular,wan-no,2.0261788966375454,wan-no,brother
στῆθος,161,unigram,neuter,accusative,plural,əmwɛm,1.3264197692010056,əmwɛm,"chest, breast"
στῆθος,300,unigram,neuter,accusative,singular,baksen,1.2411707445027138,baksen,"chest, breast"
