lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1894_translation,english_translation
θεός,119,unigram,masculine,accusative,singular,Jiosh,2.0515152236173706,Jiosh,God
θεός,180,unigram,masculine,nominative,singular,Jiosh,4.303105722648359,Jiosh,God
κύριος,284,unigram,masculine,nominative,plural,wupulꞌok,1.2181490101201706,wupulꞌok,"Lord, lord, master"
κύριος,120,unigram,masculine,nominative,singular,ahmoj,1.7735911093593038,ahmoj,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,oꞌohana,1.0274998041893728,oꞌohana,Scripture
γραφή,42,unigram,feminine,accusative,singular,oꞌohana,1.143366579441969,oꞌohana,Scripture
γραφή,279,unigram,feminine,nominative,singular,oꞌohana,1.1847883568671909,oꞌohana,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,chuhcha,1.061639355347975,chuhcha,angel
ἄγγελος,74,unigram,masculine,accusative,singular,Malachi,1.4944840299407876,Malachi,angel
ἄγγελος,40,unigram,masculine,nominative,plural,anghil,3.4084342643077896,anghil,angel
ἄγγελος,95,unigram,masculine,nominative,singular,anghil,5.101084762534201,anghil,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,chuhchai,1.8472114701233653,chuhchai,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ni‑pionag,1.0607150859568102,ni‑pionag,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,chechopi,1.0824439310870573,chechopi,authority
ἐξουσία,173,unigram,feminine,accusative,singular,gewkdag,2.3797665261435705,gewkdag,authority
βρέφος,14,unigram,neuter,accusative,plural,kehꞌid,1.0587582261689517,kehꞌid,babies
βρέφος,278,unigram,neuter,accusative,singular,doakam,1.1389392163906698,doakam,babies
ἀποθήκη,228,unigram,feminine,accusative,plural,bahidag,1.6915472236402789,bahidag,barn
ἀποθήκη,58,unigram,feminine,accusative,singular,mehid,1.170918268922459,mehid,barn
φραγμός,201,unigram,masculine,accusative,plural,wopog,1.1634883997426122,wopog,"barrier, wall"
φραγμός,97,unigram,masculine,accusative,singular,kolhaidad,1.0603350930100597,kolhaidad,"barrier, wall"
ἀρχή,62,unigram,feminine,accusative,plural,chechopi,1.082314635211037,chechopi,beginning
ἀρχή,159,unigram,feminine,accusative,singular,wehpeg,1.2395397254924545,wehpeg,beginning
βλασφημία,27,unigram,feminine,accusative,plural,wepogidch,1.1554675374638508,wepogidch,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,wapalko,1.957060549587676,wapalko,boat
πλοῖον,264,unigram,neuter,accusative,singular,wahlko,3.634057098795736,wahlko,boat
πλοῖον,205,unigram,neuter,nominative,plural,wapalko,1.3632850973942623,wapalko,boat
πλοῖον,194,unigram,neuter,nominative,singular,cheka,1.1601616211656385,cheka,boat
κλῆμα,133,unigram,neuter,nominative,singular,iꞌibhonig,1.1454574798373447,iꞌibhonig,branch
ἄρτος,268,unigram,masculine,accusative,plural,sismito,1.3449108769422553,sismito,bread
ἄρτος,294,unigram,masculine,accusative,singular,hugi,1.1686601103404537,hugi,bread
ἄρτος,140,unigram,masculine,nominative,plural,pahn,1.172196847073408,pahn,bread
ἄρτος,33,unigram,masculine,nominative,singular,doakag,1.1077304445903566,doakag,bread
ἀδελφός,255,unigram,masculine,accusative,plural,e‑wepnag,1.6971423290477845,e‑wepnag,brother
ἀδελφός,105,unigram,masculine,accusative,singular,James,1.5750441390707457,James,brother
ἀδελφός,199,unigram,masculine,nominative,singular,wehngaj,1.1748415589241628,wehngaj,brother
στῆθος,137,unigram,neuter,accusative,plural,tatat,1.097285442957695,tatat,"chest, breast"
στῆθος,240,unigram,neuter,accusative,singular,nea,1.6740095117480824,nea,"chest, breast"
ἀρχιερεύς,208,unigram,masculine,accusative,plural,uꞌugchu,1.1236774468335136,uꞌugchu,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,Caiaphas,1.039603232369101,Caiaphas,chief priest
ἀρχιερεύς,104,unigram,masculine,nominative,plural,uꞌugchu,1.0511902446613337,uꞌugchu,chief priest
ἀρχιερεύς,212,unigram,masculine,nominative,singular,uhgchu,1.3360077458839843,uhgchu,chief priest
παῖς,203,unigram,masculine,accusative,plural,aꞌal,1.2576789606948453,aꞌal,child
τέκνον,286,unigram,neuter,accusative,plural,e‑aꞌaliga,1.3097606284043737,e‑aꞌaliga,child
τέκνον,167,unigram,neuter,nominative,singular,m‑chuꞌijig,1.4861643777946751,m‑chuꞌijig,child
παιδίον,81,unigram,neuter,accusative,singular,ali,3.3798039414361205,ali,child
παιδίον,35,unigram,neuter,nominative,singular,s-gegokim,1.1147980240428772,s-gegokim,child
πόλις,160,unigram,feminine,accusative,plural,kihhim,1.732656841828152,kihhim,city
πόλις,54,unigram,feminine,accusative,singular,kihhim,2.964214711033463,kihhim,city
χιτών,100,unigram,masculine,accusative,plural,e‑eniga,1.3806693460829649,e‑eniga,"clothing, undergarments"
ἱμάτιον,117,unigram,neuter,accusative,plural,e‑liliwa,1.243662200660982,e‑liliwa,coat
ἐντολή,71,unigram,feminine,accusative,singular,hejel,1.1944733822173073,hejel,commandment
συνέδριον,273,unigram,neuter,accusative,plural,em‑lodait,1.107790128393128,em‑lodait,council
συνέδριον,43,unigram,neuter,accusative,singular,jehnigiddam,1.7861970474654003,jehnigiddam,council
χώρα,244,unigram,feminine,accusative,singular,miabidch,1.2085210224291831,miabidch,"country, countryside"
ὄχλος,48,unigram,masculine,accusative,plural,hemajkam,2.9410211583864,hemajkam,crowd
ὄχλος,9,unigram,masculine,accusative,singular,hemajkam,3.649927860859601,hemajkam,crowd
