lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1443_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,armi,1.0227402061548143,armi,God
θεός,181,unigram,masculine,nominative,singular,Got,2.7934326976102093,Got,God
κύριος,116,unigram,masculine,nominative,singular,Hanipyah,3.9778497954798464,Hanipyah,"Lord, lord, master"
γραφή,112,unigram,feminine,accusative,plural,datip,1.0176158420776948,datip,Scripture
γραφή,45,unigram,feminine,accusative,singular,matpa,1.0866330342027422,matpa,Scripture
γραφή,232,unigram,feminine,nominative,plural,matpa,1.0866330342027422,matpa,Scripture
γραφή,286,unigram,feminine,nominative,singular,brak,1.4424034600110465,brak,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,enser,2.1540467826812915,enser,angel
ἄγγελος,76,unigram,masculine,accusative,singular,namanhem,1.0507754768666029,namanhem,angel
ἄγγελος,43,unigram,masculine,nominative,plural,enser,3.6040887721657207,enser,angel
ἄγγελος,95,unigram,masculine,nominative,singular,enser,6.287253865048561,enser,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,potpari,1.0178970912802436,potpari,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,Mengsi,1.0971056442339615,Mengsi,apostle
ἐξουσία,174,unigram,feminine,accusative,singular,go,1.0353602215439663,go,authority
βρέφος,284,unigram,neuter,accusative,singular,burmakau,1.1253290452029994,burmakau,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,wit,1.060520900642543,wit,barn
φραγμός,97,unigram,masculine,accusative,singular,paham,1.1398532568352593,paham,"barrier, wall"
ζώνη,197,unigram,feminine,accusative,singular,ihasuhri,1.0970732776164167,ihasuhri,belt
βλασφημία,29,unigram,feminine,accusative,plural,amdatiproh,1.1472620248120118,amdatiproh,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,irair,1.1014055217753913,irair,boat
πλοῖον,271,unigram,neuter,accusative,singular,bot,1.7690778861616114,bot,boat
