lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1859_translation,english_translation
θεός,118,unigram,masculine,accusative,singular,Oja̱,3.1259394035018837,Oja̱,God
θεός,27,unigram,masculine,nominative,plural,―I̱,1.1078307138972014,―I̱,God
θεός,188,unigram,masculine,nominative,singular,Oja̱,3.4315897146209253,Oja̱,God
κύριος,119,unigram,masculine,nominative,singular,Hmu̱,1.1090642269933828,Hmu̱,"Lord, lord, master"
ἄγγελος,86,unigram,masculine,accusative,plural,anxɛ,2.1248593016609925,anxɛ,angel
ἄγγελος,76,unigram,masculine,accusative,singular,ɛt,1.0509761440307326,ɛt,angel
ἄγγελος,44,unigram,masculine,nominative,plural,anxɛ,5.235371400011684,anxɛ,angel
ἄγγελος,95,unigram,masculine,nominative,singular,anxɛ,4.639393372615673,anxɛ,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,pengyø,1.2472192880442428,pengyø,apostle
ἐξουσία,63,unigram,feminine,accusative,plural,tha̱hmʉ,1.0962997391267022,tha̱hmʉ,authority
ἐξουσία,177,unigram,feminine,accusative,singular,ts'ɛdi,2.6561290782041707,ts'ɛdi,authority
βρέφος,14,unigram,neuter,accusative,plural,nnepyø,1.035458731166402,nnepyø,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,trigo,1.1553530450525504,trigo,barn
φραγμός,214,unigram,masculine,accusative,plural,yu̱hma̱,1.21272191667847,yu̱hma̱,"barrier, wall"
ἀρχή,65,unigram,feminine,accusative,plural,tha̱hmʉ,1.096185247111637,tha̱hmʉ,beginning
βλασφημία,84,unigram,feminine,accusative,singular,'yøsɛhʉ,1.0961555847270184,'yøsɛhʉ,blasphemy
βλασφημία,186,unigram,feminine,nominative,plural,ts'ate,1.1063446289765493,ts'ate,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,barco,2.2084616415259917,barco,boat
πλοῖον,284,unigram,neuter,accusative,singular,barco,3.5672170238892456,barco,boat
πλοῖον,219,unigram,neuter,nominative,plural,'yɛ̱hyø,1.1124363093081406,'yɛ̱hyø,boat
πλοῖον,207,unigram,neuter,nominative,singular,barco,1.6181559440897524,barco,boat
σῶμα,195,unigram,neuter,nominative,plural,ánima,1.1898187137584475,ánima,body
κλῆμα,51,unigram,neuter,nominative,plural,da̱'yʉ,1.0961407850703089,da̱'yʉ,branch
κλῆμα,136,unigram,neuter,nominative,singular,'yɛt,1.4601876360167712,'yɛt,branch
ἄρτος,288,unigram,masculine,accusative,plural,thu̱hmɛ̱,3.0292573922662136,thu̱hmɛ̱,bread
ἄρτος,311,unigram,masculine,accusative,singular,thu̱hmɛ̱,1.16675235151572,thu̱hmɛ̱,bread
ἄρτος,142,unigram,masculine,nominative,plural,zi,1.1115495737989582,zi,bread
