lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1455_translation,english_translation
θεός,315,unigram,masculine,accusative,plural,jö,1.097258004808277,jö,God
θεός,126,unigram,masculine,accusative,singular,Jö,4.044370540066168,Jö,God
θεός,28,unigram,masculine,nominative,plural,jöhu̱,1.1634492944761523,jöhu̱,God
θεός,201,unigram,masculine,nominative,singular,Jö,6.755325336988712,Jö,God
κύριος,317,unigram,masculine,nominative,plural,xotꞌa,1.1075294207691853,xotꞌa,"Lord, lord, master"
κύριος,127,unigram,masculine,nominative,singular,Hmu,1.2592500190789984,Hmu,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,Tꞌofo,2.016176273203869,Tꞌofo,Scripture
γραφή,251,unigram,feminine,nominative,plural,mönga,1.0629886831875472,mönga,Scripture
γραφή,309,unigram,feminine,nominative,singular,Tꞌofo,4.23079306943304,Tꞌofo,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,e̱nxe̱,1.9438835330442792,e̱nxe̱,angel
ἄγγελος,83,unigram,masculine,accusative,singular,hyokꞌa,1.4926282066748913,hyokꞌa,angel
ἄγγελος,46,unigram,masculine,nominative,plural,e̱nxe̱,4.87873922809475,e̱nxe̱,angel
ἄγγελος,105,unigram,masculine,nominative,singular,e̱nxe̱,6.557282075760837,e̱nxe̱,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,ma̱xte,1.4350269939925584,ma̱xte,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,me̱hni,1.2951172131669302,me̱hni,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,tsꞌixꞌahu̱,1.035490102867098,tsꞌixꞌahu̱,authority
ἐξουσία,192,unigram,feminine,accusative,singular,tsꞌe̱di,4.970980992594906,tsꞌe̱di,authority
βρέφος,15,unigram,neuter,accusative,plural,jöpabiꞌu̱,1.0595416318177246,jöpabiꞌu̱,babies
ἀποθήκη,258,unigram,feminine,accusative,plural,tꞌu,1.999949042375989,tꞌu,barn
ἀποθήκη,68,unigram,feminine,accusative,singular,tꞌu,1.2147585393228764,tꞌu,barn
φραγμός,223,unigram,masculine,accusative,plural,pongi,1.212529657217808,pongi,"barrier, wall"
φραγμός,108,unigram,masculine,accusative,singular,moto,1.1062588450262767,moto,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,tsꞌixꞌahu̱,1.0354420932147959,tsꞌixꞌahu̱,beginning
βλασφημία,32,unigram,feminine,accusative,plural,Teme,1.0595480639608463,Teme,blasphemy
βλασφημία,93,unigram,feminine,accusative,singular,ꞌyo̱se̱hu̱,1.0595480639608463,ꞌyo̱se̱hu̱,blasphemy
βλασφημία,199,unigram,feminine,nominative,plural,tsꞌate,1.999949021035427,tsꞌate,blasphemy
πλοῖον,103,unigram,neuter,accusative,plural,motsa,2.3200217513992536,motsa,boat
πλοῖον,296,unigram,neuter,accusative,singular,motsa,2.5089313659140773,motsa,boat
πλοῖον,230,unigram,neuter,nominative,plural,ku̱ꞌu̱,1.4592723716584075,ku̱ꞌu̱,boat
πλοῖον,216,unigram,neuter,nominative,singular,motsa,1.8112898700831732,motsa,boat
σῶμα,60,unigram,neuter,nominative,singular,ndoꞌyohu̱,2.441365012150181,ndoꞌyohu̱,body
κλῆμα,56,unigram,neuter,nominative,plural,ꞌba̱iꞌobxi,1.0662850125332284,ꞌba̱iꞌobxi,branch
κλῆμα,143,unigram,neuter,nominative,singular,ꞌye̱za,1.7098483347650115,ꞌye̱za,branch
ἄρτος,300,unigram,masculine,accusative,plural,thuhme,3.0238823186166037,thuhme,bread
ἄρτος,326,unigram,masculine,accusative,singular,thuhme,3.7455458612796764,thuhme,bread
ἄρτος,152,unigram,masculine,nominative,plural,thuhme,2.3198498962689724,thuhme,bread
ἄρτος,37,unigram,masculine,nominative,singular,thuhme,2.307082512166909,thuhme,bread
ἀδελφός,288,unigram,masculine,accusative,plural,ku,1.1563865374928584,ku,brother
ἀδελφός,114,unigram,masculine,accusative,singular,Hakobo,1.2744385749839369,Hakobo,brother
ἀδελφός,107,unigram,masculine,nominative,plural,jödö,1.9674242159619213,jödö,brother
ἀδελφός,221,unigram,masculine,nominative,singular,jödö,3.0676206441284752,jödö,brother
στῆθος,148,unigram,neuter,accusative,plural,mfontꞌi,1.1634432758492033,mfontꞌi,"chest, breast"
ἀρχιερεύς,235,unigram,masculine,accusative,plural,ndömöjö,5.0827456557589485,ndömöjö,chief priest
ἀρχιερεύς,61,unigram,masculine,accusative,singular,döngamöjö,1.532442279851575,döngamöjö,chief priest
ἀρχιερεύς,113,unigram,masculine,nominative,plural,ndömöjö,3.3521710716618904,ndömöjö,chief priest
ἀρχιερεύς,239,unigram,masculine,nominative,singular,döngamöjö,3.5836718464409536,döngamöjö,chief priest
παῖς,226,unigram,masculine,accusative,plural,mbo̱,1.0307882010186429,mbo̱,child
παῖς,48,unigram,masculine,accusative,singular,bötsiꞌö,1.0961210847775034,bötsiꞌö,child
τέκνον,319,unigram,neuter,accusative,plural,bötsi,3.1406757417697,bötsi,child
τέκνον,173,unigram,neuter,accusative,singular,jödö,1.0885570195337195,jödö,child
τέκνον,185,unigram,neuter,nominative,singular,tꞌu̱ꞌi,1.2993589790382771,tꞌu̱ꞌi,child
παιδίον,14,unigram,neuter,accusative,plural,—Hye̱hu̱,1.1228023056554892,—Hye̱hu̱,child
παιδίον,88,unigram,neuter,accusative,singular,bötsi,2.3411883917104137,bötsi,child
παιδίον,167,unigram,neuter,nominative,plural,bötsi,1.4515625447521798,bötsi,child
παιδίον,39,unigram,neuter,nominative,singular,bötsi,1.8397474694653373,bötsi,child
πόλις,175,unigram,feminine,accusative,plural,hnini,1.4860249783745003,hnini,city
πόλις,64,unigram,feminine,accusative,singular,hnini,6.2691758889306115,hnini,city
πύλη,254,unigram,feminine,nominative,plural,ndo̱donu̱,1.1613200159490844,ndo̱donu̱,city gate
πύλη,198,unigram,feminine,nominative,singular,maxtꞌi,1.0595352057902494,maxtꞌi,city gate
χιτών,111,unigram,masculine,accusative,plural,dutu,1.001584184993377,dutu,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,hñöxa,1.129115589164652,hñöxa,"clothing, undergarments"
ἱμάτιον,124,unigram,neuter,accusative,plural,pa̱tꞌi,1.2599677974892407,pa̱tꞌi,coat
ἱμάτιον,123,unigram,neuter,accusative,singular,pa̱tꞌihu̱,1.09991352288005,pa̱tꞌihu̱,coat
ἐντολή,81,unigram,feminine,accusative,plural,ꞌbe̱pate,1.140015715544413,ꞌbe̱pate,commandment
ἐντολή,79,unigram,feminine,accusative,singular,ꞌbe̱pate,2.278557609504935,ꞌbe̱pate,commandment
συνέδριον,305,unigram,neuter,accusative,plural,nijö,1.0223986651218455,nijö,council
συνέδριον,51,unigram,neuter,accusative,singular,ndömöjö,1.076221090692894,ndömöjö,council
χώρα,277,unigram,feminine,accusative,singular,Gadara,1.0367610673395116,Gadara,"country, countryside"
ὄχλος,57,unigram,masculine,accusative,plural,jöꞌi,1.9836571902652544,jöꞌi,crowd
ὄχλος,10,unigram,masculine,accusative,singular,jöꞌi,2.368322680698341,jöꞌi,crowd
ὄχλος,97,unigram,masculine,nominative,plural,jöꞌi,2.361616781407448,jöꞌi,crowd
ὄχλος,268,unigram,masculine,nominative,singular,jöꞌi,1.647369603167667,jöꞌi,crowd
θυγάτηρ,299,unigram,feminine,nominative,singular,tꞌinxu,4.7348345161035414,tꞌinxu,daughter
ἡμέρα,75,unigram,feminine,accusative,plural,hñupa,1.1212240577296548,hñupa,day
ἡμέρα,84,unigram,feminine,accusative,singular,Hyaxꞌmu̱,1.4077807476659965,Hyaxꞌmu̱,day
ἡμέρα,2,unigram,feminine,nominative,plural,pa,1.5964211774586858,pa,day
ἡμέρα,66,unigram,feminine,nominative,singular,nde,1.4680822845020278,nde,day
