lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_975_translation,version_976_translation,english_translation
θεός,360,unigram,masculine,accusative,plural,edimle,1.107736214030479,,edimle,God
θεός,152,unigram,masculine,accusative,singular,,,Nzyɛ̌m,Zyɛm,God
θεός,32,unigram,masculine,nominative,plural,,,onzyɛ̌m,ozyɛm,God
θεός,231,unigram,masculine,nominative,singular,,,Nzyɛ̌m,Zyɛm,God
κύριος,362,unigram,masculine,nominative,plural,etii,1.0358580297207087,,etii,"Lord, lord, master"
κύριος,153,unigram,masculine,nominative,singular,,,Tî,Da,"Lord, lord, master"
γραφή,147,unigram,feminine,accusative,plural,,,Mékaná,Kalara,Scripture
γραφή,57,unigram,feminine,accusative,singular,pàha,1.1063446289765493,,pàha,Scripture
γραφή,290,unigram,feminine,nominative,plural,,,díraa,Kalara,Scripture
γραφή,355,unigram,feminine,nominative,singular,,,díraa,Kalara,Scripture
ἄγγελος,113,unigram,masculine,accusative,plural,,,bééngeles,beengles,angel
ἄγγελος,97,unigram,masculine,accusative,singular,mwa,1.1153446602367822,,mwa,angel
ἄγγελος,53,unigram,masculine,nominative,plural,,,bééngeles,beengles,angel
ἄγγελος,124,unigram,masculine,nominative,singular,,,éngeles,engles,angel
ἀπόστολος,50,unigram,masculine,nominative,plural,,,mílʉ́mlʉ́,Mɨlʉmlʉ,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,,,Lʉ́mla,álaa,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,ódaʼre,1.0962199599997684,,ódaʼre,authority
ἐξουσία,223,unigram,feminine,accusative,singular,,,nkul,mojwɨ̀ʼa,authority
βρέφος,17,unigram,neuter,accusative,plural,bɨcyee,1.1133217870504262,,bɨcyee,babies
βρέφος,353,unigram,neuter,accusative,singular,,,ndyéʼá,njyɛʼa,babies
ἀποθήκη,295,unigram,feminine,accusative,plural,monkuna,1.999949042375989,,monkuna,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,nkuna,1.5323096753179035,nkuna,,barn
φραγμός,258,unigram,masculine,accusative,plural,etine,1.096057314542422,,etine,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,ódaʼre,1.0961063339256685,,ódaʼre,beginning
ἀρχή,204,unigram,feminine,accusative,singular,menyɛ̌l,1.1062845238338443,menyɛ̌l,,beginning
ζώνη,196,unigram,feminine,accusative,plural,nkoho,1.1454417825320882,,nkoho,belt
βλασφημία,36,unigram,feminine,accusative,plural,Njɨ,1.2125775833869603,Njɨ,,blasphemy
βλασφημία,111,unigram,feminine,accusative,singular,,,nya,Bananaʼ,blasphemy
βλασφημία,229,unigram,feminine,nominative,plural,mpyoo,1.1062485993005018,,mpyoo,blasphemy
βλασφημία,98,unigram,feminine,nominative,singular,pyeh,1.5032766663136683,,pyeh,blasphemy
πλοῖον,122,unigram,neuter,accusative,plural,,,mɛ̂l,mɛl,boat
πλοῖον,338,unigram,neuter,accusative,singular,,,byɛ̂l,byɛl,boat
πλοῖον,264,unigram,neuter,nominative,plural,mɛl,1.0441966219365324,,mɛl,boat
πλοῖον,250,unigram,neuter,nominative,singular,,,byɛ̂l,l'ebʉm,boat
σῶμα,239,unigram,neuter,nominative,plural,diba,1.1063506554444371,,diba,body
σῶμα,68,unigram,neuter,nominative,singular,,,nyǒ,nyʉl,body
κλῆμα,64,unigram,neuter,nominative,plural,ǃme,1.0441063733306788,,ǃme,branch
κλῆμα,170,unigram,neuter,nominative,singular,,,raisin,rezɛŋ,branch
ἄρτος,343,unigram,masculine,accusative,plural,,,biblêr,bɨbler,bread
ἄρτος,370,unigram,masculine,accusative,singular,,,blêr,bler,bread
ἄρτος,179,unigram,masculine,nominative,plural,,,mede,bɨbler,bread
ἄρτος,43,unigram,masculine,nominative,singular,,,mede,mode,bread
ἀδελφός,328,unigram,masculine,accusative,plural,,,bɨ́ɔɔ́,obɨɔ,brother
ἀδελφός,138,unigram,masculine,accusative,singular,,,mɨ́ɔɔ́,ncyom,brother
ἀδελφός,128,unigram,masculine,nominative,plural,,,bɨ́ɔɔ́,l'obɨɔ,brother
ἀδελφός,256,unigram,masculine,nominative,singular,,,mɨ́ɔɔ́,mɨɔ,brother
στῆθος,175,unigram,neuter,accusative,plural,,,méntumo,Mbea,"chest, breast"
στῆθος,312,unigram,neuter,accusative,singular,,,lʉ̂,lʉ,"chest, breast"
ἀρχιερεύς,269,unigram,masculine,accusative,plural,,,mpáh,ojwɨɨ,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,opara,1.5145720888359697,opara,opara,chief priest
