lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1488_translation,english_translation
θεός,98,unigram,masculine,accusative,singular,Deus,1.558035059191103,Deus,God
θεός,148,unigram,masculine,nominative,singular,Deus,2.64733937977359,Deus,God
κύριος,99,unigram,masculine,nominative,singular,honai,1.24305239751675,honai,"Lord, lord, master"
γραφή,94,unigram,feminine,accusative,plural,hoja'iki,1.3361166844188932,hoja'iki,Scripture
γραφή,240,unigram,feminine,nominative,singular,kapapirania,2.5932689586471747,kapapirania,Scripture
ἄγγελος,71,unigram,masculine,accusative,plural,kaija'arini,1.2583117060892586,kaija'arini,angel
ἄγγελος,61,unigram,masculine,accusative,singular,nava'isohiki,1.1698723971991978,nava'isohiki,angel
ἄγγελος,33,unigram,masculine,nominative,plural,ibavi,1.6173958481275057,ibavi,angel
ἄγγελος,81,unigram,masculine,nominative,singular,ibavi,1.6919020117769286,ibavi,angel
ἀπόστολος,5,unigram,masculine,nominative,singular,Ni-bihonariaki,1.1626090550840569,Ni-bihonariaki,apostle
ἐξουσία,140,unigram,feminine,accusative,singular,kadabadani-ra,1.0725379747742152,kadabadani-ra,authority
βρέφος,11,unigram,neuter,accusative,plural,vakaabani'aha,1.0817830438936802,vakaabani'aha,babies
βρέφος,239,unigram,neuter,accusative,singular,tanaki,1.1199945125151958,tanaki,babies
ἀποθήκη,196,unigram,feminine,accusative,plural,bononi,1.3569983797524854,bononi,barn
ἀποθήκη,49,unigram,feminine,accusative,singular,siho,1.113929925573493,siho,barn
βλασφημία,24,unigram,feminine,accusative,plural,na'birani,1.08179319904657,na'birani,blasphemy
βλασφημία,69,unigram,feminine,accusative,singular,vani'ava,1.0967863397810542,vani'ava,blasphemy
βλασφημία,146,unigram,feminine,nominative,plural,jaharikia,1.0313374544076266,jaharikia,blasphemy
βλασφημία,62,unigram,feminine,nominative,singular,jahariki,1.0561753184776383,jahariki,blasphemy
πλοῖον,79,unigram,neuter,accusative,plural,ko'bamiki,1.1995230865847737,ko'bamiki,boat
πλοῖον,228,unigram,neuter,accusative,singular,vaki'dama'aha,1.2519695767413679,vaki'dama'aha,boat
σῶμα,42,unigram,neuter,nominative,singular,Pãoa,1.0635983107333904,Pãoa,body
κλῆμα,108,unigram,neuter,nominative,singular,onahonariahihivini,1.693215187701304,onahonariahihivini,branch
ἄρτος,231,unigram,masculine,accusative,plural,pão,2.214275622963977,pão,bread
ἄρτος,249,unigram,masculine,accusative,singular,pão,1.1885382318164517,pão,bread
ἄρτος,112,unigram,masculine,nominative,plural,—Pão,1.2415434631744249,—Pão,bread
ἄρτος,27,unigram,masculine,nominative,singular,'bai,1.11835776055864,'bai,bread
ἀδελφός,220,unigram,masculine,accusative,plural,binahojaha'iki,1.011809833406287,binahojaha'iki,brother
ἀδελφός,83,unigram,masculine,nominative,plural,o,1.0993556818871792,o,brother
ἀδελφός,168,unigram,masculine,nominative,singular,kodiamia,1.250048780931904,kodiamia,brother
στῆθος,208,unigram,neuter,accusative,singular,'dihana,1.4798079002578006,'dihana,"chest, breast"
ἀρχιερεύς,178,unigram,masculine,accusative,plural,vavaka'da'diva,1.0643845129986715,vavaka'da'diva,chief priest
ἀρχιερεύς,43,unigram,masculine,accusative,singular,sasidotxi,1.2431091519958894,sasidotxi,chief priest
ἀρχιερεύς,88,unigram,masculine,nominative,plural,vavaka'da'diva,1.2673928294814545,vavaka'da'diva,chief priest
ἀρχιερεύς,180,unigram,masculine,nominative,singular,sasidotxi,1.8031013294687868,sasidotxi,chief priest
παῖς,172,unigram,masculine,accusative,plural,Abono-ra,1.0971741116930338,Abono-ra,child
τέκνον,245,unigram,neuter,accusative,plural,binahojaha'iki,1.0072615330649213,binahojaha'iki,child
τέκνον,125,unigram,neuter,accusative,singular,vaabinina.Jesus,1.161053168489948,vaabinina.Jesus,child
τέκνον,12,unigram,neuter,nominative,plural,vaabinina.Jesus,1.1713981890383678,vaabinina.Jesus,child
τέκνον,133,unigram,neuter,nominative,singular,—Kodisai,1.3459402784993209,—Kodisai,child
παιδίον,10,unigram,neuter,accusative,plural,va'oani,1.1981698486249972,va'oani,child
παιδίον,66,unigram,neuter,accusative,singular,isai,1.761040127729942,isai,child
παιδίον,29,unigram,neuter,nominative,singular,Isai,1.349669416284957,Isai,child
πόλις,127,unigram,feminine,accusative,plural,sidaji,1.2453182243319054,sidaji,city
