lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1475_translation,version_1476_translation,english_translation
θεός,111,unigram,masculine,accusative,singular,Dios,9.555920288085789,,Dios,God
θεός,25,unigram,masculine,nominative,plural,diriyos,1.3624121334211765,,diriyos,God
θεός,179,unigram,masculine,nominative,singular,Dios,11.163891607195682,,Dios,God
κύριος,292,unigram,masculine,nominative,plural,ookbaran,1.0971435303055477,,ookbaran,"Lord, lord, master"
κύριος,112,unigram,masculine,nominative,singular,Katawan,2.7934882884687884,,Katawan,"Lord, lord, master"
γραφή,106,unigram,feminine,accusative,plural,Sulat,1.0227929335736687,,Sulat,Scripture
γραφή,43,unigram,feminine,accusative,singular,Sulat,1.0248190009050293,,Sulat,Scripture
γραφή,227,unigram,feminine,nominative,plural,nasumpal,1.0609630802128929,,nasumpal,Scripture
γραφή,286,unigram,feminine,nominative,singular,Sulat,1.0201515123054,,Sulat,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,anghil,1.6196648548845591,,anghil,angel
ἄγγελος,39,unigram,masculine,nominative,plural,anghil,5.804996228282692,,anghil,angel
ἄγγελος,90,unigram,masculine,nominative,singular,anghil,4.688624036318528,,anghil,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,apostol,2.924990080887874,,apostol,apostle
ἐξουσία,170,unigram,feminine,accusative,singular,pakaoley,1.3631369511127167,,pakaoley,authority
βρέφος,285,unigram,neuter,accusative,singular,atotung,1.1133832240298571,,atotung,babies
ἀποθήκη,232,unigram,feminine,accusative,plural,kamalir,1.9999488282063584,,kamalir,barn
ἀποθήκη,59,unigram,feminine,accusative,singular,kamalir,1.168364457204031,,kamalir,barn
ζώνη,196,unigram,feminine,accusative,singular,impambilay,1.0961014216060068,,impambilay,belt
βλασφημία,28,unigram,feminine,accusative,plural,makapirdona,1.2102637297779772,,makapirdona,blasphemy
βλασφημία,177,unigram,feminine,nominative,plural,maoges,1.0520774263717632,,maoges,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,baloto,1.7381876022686282,,baloto,boat
πλοῖον,272,unigram,neuter,accusative,singular,baloto,3.6498877157249376,,baloto,boat
πλοῖον,198,unigram,neuter,nominative,singular,baloto,1.6880043893653365,,baloto,boat
σῶμα,52,unigram,neuter,nominative,singular,laman,2.265231760588266,,laman,body
κλῆμα,48,unigram,neuter,nominative,plural,sanga,1.2126616763541331,,sanga,branch
κλῆμα,125,unigram,neuter,nominative,singular,sanga,1.1455352903531095,,sanga,branch
ἄρτος,276,unigram,masculine,accusative,plural,tinapay,3.4700327416132253,,tinapay,bread
