lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1860_translation,english_translation
θεός,96,unigram,masculine,accusative,singular,Tupana'ga,1.585180811043252,Tupana'ga,God
θεός,155,unigram,masculine,nominative,singular,Tupana'ga,2.159786993389885,Tupana'ga,God
κύριος,97,unigram,masculine,nominative,singular,nhandepojykaharete'ga,2.0902680277819377,nhandepojykaharete'ga,"Lord, lord, master"
γραφή,94,unigram,feminine,accusative,plural,rembikwatijarukara,1.4321112234886209,rembikwatijarukara,Scripture
γραφή,36,unigram,feminine,accusative,singular,rembikwatijarukara,1.5506421191287307,rembikwatijarukara,Scripture
γραφή,239,unigram,feminine,nominative,singular,rembikwatijarukara,1.225248190501702,rembikwatijarukara,Scripture
ἄγγελος,70,unigram,masculine,accusative,plural,jipyrive,1.3633682250212027,jipyrive,angel
ἄγγελος,60,unigram,masculine,accusative,singular,imombe'uuka,1.4945270766318226,imombe'uuka,angel
ἄγγελος,34,unigram,masculine,nominative,plural,Tupana'gapyrive,1.2100428929317422,Tupana'gapyrive,angel
ἄγγελος,78,unigram,masculine,nominative,singular,Tupana'gapyrive'ga,2.9076465463598664,Tupana'gapyrive'ga,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,gamoirũhara,1.2491741944938126,gamoirũhara,apostle
ἐξουσία,149,unigram,feminine,accusative,singular,avo,1.098401210823045,avo,authority
βρέφος,10,unigram,neuter,accusative,plural,—Taperuri,1.1070298750828227,—Taperuri,babies
βρέφος,237,unigram,neuter,accusative,singular,poitava,1.6108010630668987,poitava,babies
φραγμός,173,unigram,masculine,accusative,plural,pehe'ia,1.0966716351602783,pehe'ia,"barrier, wall"
φραγμός,81,unigram,masculine,accusative,singular,mu'umu'ũhava,1.059935369108712,mu'umu'ũhava,"barrier, wall"
ἀρχή,133,unigram,feminine,accusative,singular,ypy,1.3573802449669976,ypy,beginning
ζώνη,128,unigram,feminine,accusative,plural,—Taperohoi,1.059935369108712,—Taperohoi,belt
πλοῖον,76,unigram,neuter,accusative,plural,yharuhua,1.918159027236063,yharuhua,boat
πλοῖον,225,unigram,neuter,accusative,singular,yharuhua,1.3619913916365491,yharuhua,boat
πλοῖον,178,unigram,neuter,nominative,plural,oyhara,1.2957697242228852,oyhara,boat
πλοῖον,168,unigram,neuter,nominative,singular,yhara,1.1484225985820948,yhara,boat
σῶμα,44,unigram,neuter,nominative,singular,hepiakatui,1.067218721129381,hepiakatui,body
κλῆμα,109,unigram,neuter,nominative,singular,Hakã,1.999946354861741,Hakã,branch
ἄρτος,229,unigram,masculine,accusative,plural,pães,1.55926143435843,pães,bread
ἄρτος,250,unigram,masculine,accusative,singular,pão,2.975331029219129,pão,bread
ἄρτος,115,unigram,masculine,nominative,plural,he'yjuhuva'ea,1.0575746826012051,he'yjuhuva'ea,bread
