lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1480_translation,version_1481_translation,english_translation
θεός,337,unigram,masculine,accusative,plural,dios,1.5494132733141122,,dios,God
θεός,137,unigram,masculine,accusative,singular,Dios,4.7469173701295935,,Dios,God
θεός,29,unigram,masculine,nominative,plural,dios,1.4294906379654508,,dios,God
θεός,213,unigram,masculine,nominative,singular,Dios,14.245714297923666,,Dios,God
κύριος,339,unigram,masculine,nominative,plural,Doñonan,1.215204831474365,,Doñonan,"Lord, lord, master"
κύριος,138,unigram,masculine,nominative,singular,Señor,2.10421283823282,,Señor,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,Skritura,1.4005995401314606,,Skritura,Scripture
γραφή,49,unigram,feminine,accusative,singular,Skritura,1.3101830925767564,,Skritura,Scripture
γραφή,264,unigram,feminine,nominative,plural,Skritura,1.611464088003943,,Skritura,Scripture
γραφή,332,unigram,feminine,nominative,singular,Skritura,2.067825703733729,,Skritura,Scripture
ἄγγελος,100,unigram,masculine,accusative,plural,angelnan,1.41332087638724,,angelnan,angel
ἄγγελος,83,unigram,masculine,accusative,singular,dilantipa,1.092614459223072,,dilantipa,angel
ἄγγελος,45,unigram,masculine,nominative,plural,angelnan,3.117699723660704,,angelnan,angel
ἄγγελος,111,unigram,masculine,nominative,singular,angel,4.014751995340326,,angel,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,apòstelnan,4.538322778742481,,apòstelnan,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,mensahero,1.1279265824511924,,mensahero,apostle
ἐξουσία,203,unigram,feminine,accusative,singular,outoridat,2.0985112131559287,,outoridat,authority
βρέφος,16,unigram,neuter,accusative,plural,chikínan,1.5211512432833123,,chikínan,babies
βρέφος,330,unigram,neuter,accusative,singular,pesebre,1.2925462270013086,,pesebre,babies
ἀποθήκη,67,unigram,feminine,accusative,singular,mangasina,1.1237294678535756,,mangasina,barn
φραγμός,237,unigram,masculine,accusative,plural,Subi,1.2556434622596662,,Subi,"barrier, wall"
ἀρχή,187,unigram,feminine,accusative,singular,Asin'akí,1.1189715530345403,,Asin'akí,beginning
ζώνη,178,unigram,feminine,accusative,plural,bròns,1.1796973176479804,,bròns,belt
βλασφημία,98,unigram,feminine,accusative,singular,konsternashon,1.1063549284911025,,konsternashon,blasphemy
βλασφημία,211,unigram,feminine,nominative,plural,malu,1.176092680594778,,malu,blasphemy
πλοῖον,109,unigram,neuter,accusative,plural,botonan,1.21331536278291,,botonan,boat
πλοῖον,315,unigram,neuter,accusative,singular,boto,2.5711869442532014,,boto,boat
πλοῖον,242,unigram,neuter,nominative,plural,kompañá,1.1192636601974222,,kompañá,boat
πλοῖον,229,unigram,neuter,nominative,singular,boto,1.9353315932600008,,boto,boat
σῶμα,58,unigram,neuter,nominative,singular,kurpa,3.011177657843324,,kurpa,body
κλῆμα,54,unigram,neuter,nominative,plural,takinan,1.0493852558169725,,takinan,branch
κλῆμα,153,unigram,neuter,nominative,singular,taki,1.8754947488259612,,taki,branch
ἄρτος,320,unigram,masculine,accusative,plural,pan,2.360040595424469,,pan,bread
ἄρτος,346,unigram,masculine,accusative,singular,pan,2.8603243001192267,,pan,bread
ἄρτος,160,unigram,masculine,nominative,plural,pan,2.561858361268184,,pan,bread
ἄρτος,37,unigram,masculine,nominative,singular,pan,2.4733886870947552,,pan,bread
ἀδελφός,305,unigram,masculine,accusative,plural,ruman,1.9211555515839152,,ruman,brother
ἀδελφός,124,unigram,masculine,accusative,singular,ruman,1.9621759026852787,,ruman,brother
ἀδελφός,114,unigram,masculine,nominative,plural,rumannan,1.7124767847501066,,rumannan,brother
ἀδελφός,235,unigram,masculine,nominative,singular,ruman,7.878446697925183,,ruman,brother
στῆθος,288,unigram,neuter,accusative,singular,lèn,1.231404125971957,,lèn,"chest, breast"
ἀρχιερεύς,246,unigram,masculine,accusative,plural,saserdotenan,1.1999716653093693,,saserdotenan,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,gransaserdote,1.6321763763184989,,gransaserdote,chief priest
ἀρχιερεύς,123,unigram,masculine,nominative,plural,saserdotenan,1.0820386760825478,,saserdotenan,chief priest
παῖς,47,unigram,masculine,accusative,singular,bent,1.142298827340119,,bent,child
τέκνον,341,unigram,neuter,accusative,plural,yunan,1.327980209811931,,yunan,child
τέκνον,184,unigram,neuter,accusative,singular,rebeldiá,1.1055152043919632,,rebeldiá,child
τέκνον,17,unigram,neuter,nominative,plural,rebeldiá,1.2558839769170649,,rebeldiá,child
τέκνον,197,unigram,neuter,nominative,singular,yu,2.5358799433280623,,yu,child
παιδίον,15,unigram,neuter,accusative,plural,muchanan,1.127114696867249,,muchanan,child
παιδίον,92,unigram,neuter,accusative,singular,yu,1.7534824037862116,,yu,child
παιδίον,176,unigram,neuter,nominative,plural,yunan,1.0882343681199111,,yunan,child
παιδίον,39,unigram,neuter,nominative,singular,mucha,2.6372327683119763,,mucha,child
πόλις,188,unigram,feminine,accusative,plural,siudatnan,1.9148239095354689,,siudatnan,city
πόλις,63,unigram,feminine,accusative,singular,siudat,3.1042039145898537,,siudat,city
πύλη,268,unigram,feminine,nominative,plural,triunfá,1.0961161655094454,,triunfá,city gate
πύλη,210,unigram,feminine,nominative,singular,smal,1.2148996761176492,,smal,city gate
χιτών,119,unigram,masculine,accusative,plural,paña,1.7147349829508751,,paña,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,kamisa,1.9576932243866645,,kamisa,"clothing, undergarments"
ἱμάτιον,135,unigram,neuter,accusative,plural,paña,1.6939194247575609,,paña,coat
ἱμάτιον,134,unigram,neuter,accusative,singular,mantel,1.2219910920913142,,mantel,coat
ἐντολή,80,unigram,feminine,accusative,plural,mandamentunan,3.7806376662176175,,mandamentunan,commandment
ἐντολή,78,unigram,feminine,accusative,singular,mandamentu,1.5995062742164563,,mandamentu,commandment
συνέδριον,325,unigram,neuter,accusative,plural,kuidou,1.01499307009637,,kuidou,council
χώρα,74,unigram,feminine,accusative,plural,kosecha.,1.1615301529284847,,kosecha.,"country, countryside"
χώρα,293,unigram,feminine,accusative,singular,teritorio,1.5080066701949653,,teritorio,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,multitut,4.403572274913708,,multitut,crowd
ὄχλος,8,unigram,masculine,accusative,singular,multitut,4.568363096596025,,multitut,crowd
ὄχλος,102,unigram,masculine,nominative,plural,multitut,5.412974032665801,,multitut,crowd
ὄχλος,283,unigram,masculine,nominative,singular,multitut,2.1735499972283274,,multitut,crowd
θυγάτηρ,117,unigram,feminine,nominative,plural,Muhénan,1.3854228796441068,,Muhénan,daughter
θυγάτηρ,319,unigram,feminine,nominative,singular,yu,2.003503728585954,,yu,daughter
ἡμέρα,72,unigram,feminine,accusative,plural,dia,3.5093889830592344,,dia,day
ἡμέρα,84,unigram,feminine,accusative,singular,dia,3.230104236422985,,dia,day
ἡμέρα,2,unigram,feminine,nominative,plural,dia,1.5377177462671554,,dia,day
ἡμέρα,65,unigram,feminine,nominative,singular,dia,3.271254874199142,,dia,day
ὀφειλέτης,251,unigram,masculine,nominative,plural,habitante,1.0961063339256685,,habitante,debtor
ὀφειλέτης,126,unigram,masculine,nominative,singular,mion,1.212649645711236,,mion,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,demoño,1.3276293326975015,,demoño,demon
δαιμόνιον,335,unigram,neuter,accusative,singular,demoño,1.8735661406294384,,demoño,demon
δαιμόνιον,198,unigram,neuter,nominative,plural,demoñonan,1.095305376335365,,demoñonan,demon
δαιμόνιον,174,unigram,neuter,nominative,singular,demoño,1.6075814632833865,,demoño,demon
δηνάριον,310,unigram,neuter,accusative,plural,plata,1.1102500887385405,,plata,denarius (about a day's wages)
