lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1484_translation,english_translation
θεός,120,unigram,masculine,accusative,singular,پاک,1.18276689762773,پاک,God
θεός,22,unigram,masculine,nominative,plural,خُدايان,1.2154724280609577,خُدايان,God
θεός,186,unigram,masculine,nominative,singular,پاک,1.1598694541321306,پاک,God
κύριος,121,unigram,masculine,nominative,singular,مالِک,15.546409266314008,مالِک,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,صحيفو,1.1968666950879778,صحيفو,Scripture
γραφή,43,unigram,feminine,accusative,singular,لوستى؟,1.1063446289765493,لوستى؟,Scripture
γραφή,237,unigram,feminine,nominative,plural,وشول,1.1290853375101817,وشول,Scripture
γραφή,297,unigram,feminine,nominative,singular,صحيفې,2.1075481721724607,صحيفې,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,فرښتې,1.9180530580519863,فرښتې,angel
ἄγγελος,74,unigram,masculine,accusative,singular,لېږم,1.0404223368358003,لېږم,angel
ἄγγελος,40,unigram,masculine,nominative,plural,فرښتې,1.8043409474710423,فرښتې,angel
ἄγγελος,99,unigram,masculine,nominative,singular,فرښته,1.1337482838604178,فرښته,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,رسولان,1.7254333150751942,رسولان,apostle
ἐξουσία,61,unigram,feminine,accusative,plural,ودرولے,1.0962199599997684,ودرولے,authority
ἐξουσία,177,unigram,feminine,accusative,singular,اختيار,5.026900588416815,اختيار,authority
βρέφος,11,unigram,neuter,accusative,plural,رټل,1.3263593546298147,رټل,babies
βρέφος,295,unigram,neuter,accusative,singular,اخور,1.4782626891791406,اخور,babies
ἀρχή,64,unigram,feminine,accusative,plural,ودرولے,1.0961063339256685,ودرولے,beginning
ἀρχή,160,unigram,feminine,accusative,singular,وړومبۍ,1.0662807816552895,وړومبۍ,beginning
βλασφημία,26,unigram,feminine,accusative,plural,وائى؟,1.2125775833869603,وائى؟,blasphemy
πλοῖον,97,unigram,neuter,accusative,plural,کِشتۍ,2.625914622932972,کِشتۍ,boat
πλοῖον,203,unigram,neuter,nominative,singular,کِشتۍ,1.474547116500699,کِشتۍ,boat
σῶμα,53,unigram,neuter,nominative,singular,بدن,2.433666822587348,بدن,body
κλῆμα,49,unigram,neuter,nominative,plural,انګور,1.0441063733306788,انګور,branch
κλῆμα,134,unigram,neuter,nominative,singular,لکه,1.030871850716743,لکه,branch
ἄρτος,284,unigram,masculine,accusative,plural,روټۍ,3.980378714332304,روټۍ,bread
ἄρτος,308,unigram,masculine,accusative,singular,روټۍ,4.25844224205392,روټۍ,bread
ἄρτος,140,unigram,masculine,nominative,plural,روټۍ,2.0421355036929185,روټۍ,bread
ἄρτος,31,unigram,masculine,nominative,singular,روټۍ,2.1821587447400077,روټۍ,bread
ἀδελφός,270,unigram,masculine,accusative,plural,وروڼه,1.2446605635197576,وروڼه,brother
ἀδελφός,110,unigram,masculine,accusative,singular,ورور,3.534025537022392,ورور,brother
ἀδελφός,102,unigram,masculine,nominative,plural,وروڼه,2.324820626719912,وروڼه,brother
ἀδελφός,209,unigram,masculine,nominative,singular,ورور,5.576352816200929,ورور,brother
στῆθος,137,unigram,neuter,accusative,plural,ماتم,1.1062708150644622,ماتم,"chest, breast"
στῆθος,255,unigram,neuter,accusative,singular,مريد,1.1837537916263146,مريد,"chest, breast"
ἀρχιερεύς,218,unigram,masculine,accusative,plural,اِمامانو,1.0195158116117853,اِمامانو,chief priest
ἀρχιερεύς,54,unigram,masculine,accusative,singular,اِمام,1.1995345844101606,اِمام,chief priest
ἀρχιερεύς,109,unigram,masculine,nominative,plural,مشرانو,1.095673636627157,مشرانو,chief priest
ἀρχιερεύς,223,unigram,masculine,nominative,singular,اِمام,1.1371279866712405,اِمام,chief priest
τέκνον,303,unigram,neuter,accusative,plural,اولاد,1.6493591939913264,اولاد,child
τέκνον,157,unigram,neuter,accusative,singular,جاسوس,1.0129186010631923,جاسوس,child
τέκνον,12,unigram,neuter,nominative,plural,اولاد,1.33113249252467,اولاد,child
τέκνον,170,unigram,neuter,nominative,singular,زويه،,1.6424076873570541,زويه،,child
παιδίον,10,unigram,neuter,accusative,plural,ماشومان,1.2240967816767792,ماشومان,child
παιδίον,83,unigram,neuter,accusative,singular,ماشوم,4.124199962221518,ماشوم,child
παιδίον,33,unigram,neuter,nominative,singular,ماشوم,3.090738985894459,ماشوم,child
πόλις,161,unigram,feminine,accusative,plural,ښارونو,1.7948081962979907,ښارونو,city
πόλις,57,unigram,feminine,accusative,singular,ښار,5.009744570205576,ښار,city
πύλη,184,unigram,feminine,nominative,singular,تنګه,1.1923375320205476,تنګه,city gate
χιτών,105,unigram,masculine,accusative,plural,دوېم,1.132390430048548,دوېم,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,قميص,1.3259841911280073,قميص,"clothing, undergarments"
ἱμάτιον,118,unigram,neuter,accusative,plural,جامې,1.8049318456026051,جامې,coat
ἱμάτιον,117,unigram,neuter,accusative,singular,چُوغه,1.835722598789346,چُوغه,coat
ἐντολή,73,unigram,feminine,accusative,plural,عمل,1.061532560475276,عمل,commandment
ἐντολή,71,unigram,feminine,accusative,singular,حُکم,1.7976559368959688,حُکم,commandment
συνέδριον,289,unigram,neuter,accusative,plural,عدالتونو,1.2101337302053303,عدالتونو,council
συνέδριον,44,unigram,neuter,accusative,singular,راوبلله,1.1062545795375238,راوبلله,council
χώρα,260,unigram,feminine,accusative,singular,مُلک,1.279487712415242,مُلک,"country, countryside"
ὄχλος,50,unigram,masculine,accusative,plural,رُخصت,1.2879112979134917,رُخصت,crowd
ὄχλος,5,unigram,masculine,accusative,singular,ګڼه,1.7149191745361159,ګڼه,crowd
ὄχλος,90,unigram,masculine,nominative,plural,خلق,3.7439552638135685,خلق,crowd
ὄχλος,250,unigram,masculine,nominative,singular,خلق,1.3323129937497111,خلق,crowd
θυγάτηρ,103,unigram,feminine,nominative,plural,لوڼو,1.2557635230273705,لوڼو,daughter
θυγάτηρ,283,unigram,feminine,nominative,singular,لور,3.585661784605529,لور,daughter
ἡμέρα,68,unigram,feminine,accusative,plural,ورځې,2.9950047651002265,ورځې,day
ἡμέρα,75,unigram,feminine,accusative,singular,ورځ,1.469559606615655,ورځ,day
ἡμέρα,2,unigram,feminine,nominative,plural,ورځې,2.045625533655227,ورځې,day
ἡμέρα,59,unigram,feminine,nominative,singular,ورځ,1.737251987739863,ورځ,day
δαιμόνιον,24,unigram,neuter,accusative,plural,پيريان,2.9217196757974877,پيريان,demon
δαιμόνιον,299,unigram,neuter,accusative,singular,پيريان,1.1018162133415146,پيريان,demon
δαιμόνιον,171,unigram,neuter,nominative,plural,پيريان,3.743332463806286,پيريان,demon
δαιμόνιον,150,unigram,neuter,nominative,singular,پيرے,2.0212902610536223,پيرے,demon
δηνάριον,275,unigram,neuter,accusative,plural,ديناره,2.0586441057669416,ديناره,denarius (about a day's wages)
δηνάριον,142,unigram,neuter,accusative,singular,سپينو,1.1742389591781273,سپينو,denarius (about a day's wages)
μαθητής,154,unigram,masculine,accusative,plural,مريدانو,2.059282123175868,مريدانو,disciple
μαθητής,304,unigram,masculine,accusative,singular,مريد,2.483447797346368,مريد,disciple
μαθητής,244,unigram,masculine,nominative,plural,مريدان,1.0178882452568176,مريدان,disciple
μαθητής,302,unigram,masculine,nominative,singular,مريد,5.958540224517621,مريد,disciple
νόσος,66,unigram,feminine,accusative,singular,روغوله,1.1160216734460893,روغوله,disease
περιστερά,89,unigram,feminine,accusative,plural,کونترو,1.3699141926133136,کونترو,dove
περιστερά,46,unigram,feminine,accusative,singular,کونترې,1.5377804006071532,کونترې,dove
οὖς,133,unigram,neuter,accusative,plural,غوږونه,1.3255929924987624,غوږونه,ear
οὖς,249,unigram,neuter,accusative,singular,غوږ,1.375215700774109,غوږ,ear
σεισμός,178,unigram,masculine,nominative,plural,زلزلې,1.5323096753179035,زلزلې,"earthquakes, storm"
τέλος,242,unigram,neuter,accusative,singular,آخره,1.276994348880979,آخره,end
αἰών,213,unigram,masculine,accusative,plural,ختميږى.,1.4114007562093251,ختميږى.,eternity
αἰών,271,unigram,masculine,accusative,singular,هيڅکله,1.107526662911924,هيڅکله,eternity
ὀφθαλμός,17,unigram,masculine,accusative,plural,سترګې,1.7942853340733584,سترګې,eye
ὀφθαλμός,56,unigram,masculine,nominative,plural,سترګې,3.207498626540865,سترګې,eye
ὀφθαλμός,268,unigram,masculine,nominative,singular,سترګې,1.5309943053930233,سترګې,eye
πρόσωπον,168,unigram,neuter,accusative,singular,ورکوې,1.2614860870957056,ورکوې,face
