lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1496_translation,english_translation
θεός,365,unigram,masculine,accusative,plural,gods,1.3907696052298486,gods,God
θεός,151,unigram,masculine,accusative,singular,God,1.7466679701774592,God,God
θεός,33,unigram,masculine,nominative,plural,gods,2.1807549928023238,gods,God
θεός,234,unigram,masculine,nominative,singular,God,9.835517716652678,God,God
κύριος,367,unigram,masculine,nominative,plural,owner,1.1043065177281293,owner,"Lord, lord, master"
κύριος,152,unigram,masculine,nominative,singular,oga,1.2480694148345195,oga,"Lord, lord, master"
γραφή,147,unigram,feminine,accusative,plural,Una,1.0784580998120423,Una,Scripture
γραφή,59,unigram,feminine,accusative,singular,builders,1.0663207006211544,builders,Scripture
γραφή,293,unigram,feminine,nominative,plural,rite,1.1402542862262492,rite,Scripture
γραφή,359,unigram,feminine,nominative,singular,word,2.0064616673437903,word,Scripture
ἄγγελος,113,unigram,masculine,accusative,plural,angels,2.2922213409469694,angels,angel
ἄγγελος,97,unigram,masculine,accusative,singular,prepare,1.0984182719144857,prepare,angel
ἄγγελος,55,unigram,masculine,nominative,plural,angels,2.7424211008965456,angels,angel
ἄγγελος,124,unigram,masculine,nominative,singular,angel,5.478157688583575,angel,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,evritin,1.0201383680113003,evritin,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,messenja,1.5645156610800304,messenja,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,defend,1.0596420238117508,defend,authority
ἐξουσία,223,unigram,feminine,accusative,singular,pawa,2.4171319863883003,pawa,authority
βρέφος,19,unigram,neuter,accusative,plural,Some,1.107598628319462,Some,babies
βρέφος,357,unigram,neuter,accusative,singular,animal,2.160982652476706,animal,babies
ἀποθήκη,77,unigram,feminine,accusative,singular,store,1.2555924019945586,store,barn
φραγμός,262,unigram,masculine,accusative,plural,main,1.4395289576446848,main,"barrier, wall"
φραγμός,128,unigram,masculine,accusative,singular,fence,1.0595319950666118,fence,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,defend,1.0595673971889907,defend,beginning
ἀρχή,203,unigram,feminine,accusative,singular,biginnin,1.2378094987613537,biginnin,beginning
ζώνη,194,unigram,feminine,accusative,plural,any,1.1649302971071291,any,belt
βλασφημία,37,unigram,feminine,accusative,plural,diasef,1.0960768946513286,diasef,blasphemy
βλασφημία,111,unigram,feminine,accusative,singular,tear,1.0312677138356052,tear,blasphemy
βλασφημία,232,unigram,feminine,nominative,plural,bad-bad,1.1188440400351527,bad-bad,blasphemy
πλοῖον,122,unigram,neuter,accusative,plural,kenu,1.6957948117888668,kenu,boat
πλοῖον,342,unigram,neuter,accusative,singular,boat,1.3192238567474892,boat,boat
πλοῖον,269,unigram,neuter,nominative,plural,boat,1.5118689957314744,boat,boat
πλοῖον,253,unigram,neuter,nominative,singular,boat,1.19720593601659,boat,boat
σῶμα,68,unigram,neuter,nominative,singular,body,3.6252248698546703,body,body
κλῆμα,168,unigram,neuter,nominative,singular,branches,1.9057739965042508,branches,branch
ἄρτος,346,unigram,masculine,accusative,plural,bread,4.7107354628811695,bread,bread
ἄρτος,378,unigram,masculine,accusative,singular,bread,1.5982482804708646,bread,bread
ἄρτος,177,unigram,masculine,nominative,plural,bread,1.953768253459526,bread,bread
ἄρτος,45,unigram,masculine,nominative,singular,bread,2.9430973469351667,bread,bread
ἀδελφός,332,unigram,masculine,accusative,plural,brodas,3.378117003931203,brodas,brother
ἀδελφός,137,unigram,masculine,accusative,singular,broda,2.2778397966531982,broda,brother
ἀδελφός,127,unigram,masculine,nominative,plural,brodas,2.314577748995536,brodas,brother
ἀδελφός,260,unigram,masculine,nominative,singular,broda,8.213166003527432,broda,brother
στῆθος,173,unigram,neuter,accusative,plural,kry,1.2211177200820296,kry,"chest, breast"
στῆθος,316,unigram,neuter,accusative,singular,chest,1.776331088698836,chest,"chest, breast"
ἀρχιερεύς,275,unigram,masculine,accusative,plural,priest,1.5903643948229302,priest,chief priest
ἀρχιερεύς,136,unigram,masculine,nominative,plural,priest,1.3293776033648628,priest,chief priest
παῖς,265,unigram,masculine,accusative,plural,vex,1.2948114235347234,vex,child
παῖς,57,unigram,masculine,accusative,singular,foam,1.2701408699387642,foam,child
τέκνον,369,unigram,neuter,accusative,plural,shidren,2.485602023824572,shidren,child
τέκνον,200,unigram,neuter,accusative,singular,Shidren,1.0604031659527111,Shidren,child
τέκνον,20,unigram,neuter,nominative,plural,Shidren,1.068626691954887,Shidren,child
τέκνον,215,unigram,neuter,nominative,singular,My,1.1301902677182982,My,child
παιδίον,18,unigram,neuter,accusative,plural,shidren,1.184711036639185,shidren,child
παιδίον,105,unigram,neuter,accusative,singular,pikin,2.7970464155610766,pikin,child
παιδίον,192,unigram,neuter,nominative,plural,shidren,1.6455342808451536,shidren,child
παιδίον,47,unigram,neuter,nominative,singular,pikin,3.369780906347156,pikin,child
πόλις,204,unigram,feminine,accusative,plural,town,2.1294403176204844,town,city
πόλις,72,unigram,feminine,accusative,singular,town,8.155028670268853,town,city
πύλη,297,unigram,feminine,nominative,plural,hell,1.0960622061228922,hell,city gate
πύλη,231,unigram,feminine,nominative,singular,gate,1.7320365234566146,gate,city gate
χιτών,133,unigram,masculine,accusative,plural,estra,1.6069387979718182,estra,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,koat,1.2950725626541255,koat,"clothing, undergarments"
ἱμάτιον,149,unigram,neuter,accusative,plural,klot,3.7758996995491927,klot,coat
ἱμάτιον,148,unigram,neuter,accusative,singular,klot,3.3023854474537075,klot,coat
ἐντολή,94,unigram,feminine,accusative,plural,kommandment,1.2205544388112517,kommandment,commandment
ἐντολή,92,unigram,feminine,accusative,singular,kommandment,1.6003734286466011,kommandment,commandment
συνέδριον,351,unigram,neuter,accusative,plural,kourt,1.4375245975475737,kourt,council
συνέδριον,60,unigram,neuter,accusative,singular,priest,1.3000448828605802,priest,council
χώρα,87,unigram,feminine,accusative,plural,ripe,1.255688430271222,ripe,"country, countryside"
χώρα,321,unigram,feminine,accusative,singular,kountry,1.1809949560999151,kountry,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,pipol,1.6440748532205691,pipol,crowd
ὄχλος,11,unigram,masculine,accusative,singular,pipol,2.3518327119055105,pipol,crowd
ὄχλος,115,unigram,masculine,nominative,plural,pipol,1.95790623966946,pipol,crowd
ὄχλος,311,unigram,masculine,nominative,singular,pipol,2.5214758594459674,pipol,crowd
θυγάτηρ,131,unigram,feminine,nominative,plural,unasef,1.1586719436514268,unasef,daughter
θυγάτηρ,345,unigram,feminine,nominative,singular,dota,3.2603027705779097,dota,daughter
ἡμέρα,85,unigram,feminine,accusative,plural,days,5.124286892541552,days,day
ἡμέρα,98,unigram,feminine,accusative,singular,evriday,1.6240995038825774,evriday,day
ἡμέρα,2,unigram,feminine,nominative,plural,days,1.0938725236574565,days,day
ἡμέρα,74,unigram,feminine,nominative,singular,day,3.2171940359911235,day,day
ὀφειλέτης,139,unigram,masculine,nominative,singular,akkount,1.0960524252565438,akkount,debtor
δαιμόνιον,35,unigram,neuter,accusative,plural,drive,1.3476989893943114,drive,demon
δαιμόνιον,362,unigram,neuter,accusative,singular,demon,3.2677381999317316,demon,demon
δαιμόνιον,217,unigram,neuter,nominative,plural,body,1.1305318339489308,body,demon
δαιμόνιον,190,unigram,neuter,nominative,singular,demon,2.4226673449327465,demon,demon
δηνάριον,337,unigram,neuter,accusative,plural,money,1.0098658849816728,money,denarius (about a day's wages)
δηνάριον,179,unigram,neuter,accusative,singular,hire,1.3047081357169703,hire,denarius (about a day's wages)
μαθητής,197,unigram,masculine,accusative,plural,disciples,3.404375362403304,disciples,disciple
μαθητής,370,unigram,masculine,accusative,singular,disciple,1.1805247354375568,disciple,disciple
μαθητής,303,unigram,masculine,nominative,plural,disciples,10.843385665679712,disciples,disciple
μαθητής,368,unigram,masculine,nominative,singular,disciple,3.7612021888364673,disciple,disciple
νόσος,83,unigram,feminine,accusative,singular,diziz,1.5847513459707985,diziz,disease
περιστερά,114,unigram,feminine,accusative,plural,dove,1.1670509994499627,dove,dove
περιστερά,62,unigram,feminine,accusative,singular,dove,1.6402521880843106,dove,dove
οὖς,167,unigram,neuter,accusative,plural,ear,2.54659999775161,ear,ear
οὖς,310,unigram,neuter,accusative,singular,ear,1.0546726796261952,ear,ear
σεισμός,224,unigram,masculine,nominative,plural,eartkweke,1.1972051079352464,eartkweke,"earthquakes, storm"
σεισμός,70,unigram,masculine,nominative,singular,At,1.0421565577225378,At,"earthquakes, storm"
τέλος,38,unigram,neuter,accusative,plural,Yes.,1.1614072804579731,Yes.,end
τέλος,300,unigram,neuter,accusative,singular,end,1.0671540049728123,end,end
αἰών,266,unigram,masculine,accusative,plural,Na-im,1.0441688789667969,Na-im,eternity
αἰών,333,unigram,masculine,accusative,singular,forever,1.172732736900748,forever,eternity
ὀφθαλμός,27,unigram,masculine,accusative,plural,eye,1.5148051146062451,eye,eye
ὀφθαλμός,12,unigram,masculine,accusative,singular,Anytin,2.303896278124272,Anytin,eye
ὀφθαλμός,71,unigram,masculine,nominative,plural,eye,1.1664726856912715,eye,eye
ὀφθαλμός,330,unigram,masculine,nominative,singular,eye,1.4351062009845954,eye,eye
