lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1495_translation,english_translation
θεός,110,unigram,masculine,accusative,singular,Dios,1.9335911437737883,Dios,God
θεός,170,unigram,masculine,nominative,singular,Dios,2.5204629070176385,Dios,God
κύριος,111,unigram,masculine,nominative,singular,íiwacali,1.025131811978672,íiwacali,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,íimáaná,1.088115633956389,íimáaná,Scripture
γραφή,42,unigram,feminine,accusative,singular,Itànàacaté,1.1063446289765493,Itànàacaté,Scripture
γραφή,215,unigram,feminine,nominative,plural,nuináwaná,1.1339329582671895,nuináwaná,Scripture
γραφή,264,unigram,feminine,nominative,singular,bàaluité,1.2195852071418558,bàaluité,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,ángelnáiwa,1.5185791853151684,ángelnáiwa,angel
ἄγγελος,38,unigram,masculine,nominative,plural,ángelnái,1.6479109795884652,ángelnái,angel
ἄγγελος,90,unigram,masculine,nominative,singular,ángel,4.595213190895784,ángel,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,apóstolnái,2.524822388756229,apóstolnái,apostle
ἐξουσία,163,unigram,feminine,accusative,singular,numàacáanápiná,1.1811694791152094,numàacáanápiná,authority
βρέφος,12,unigram,neuter,accusative,plural,nasàiwicasa,1.1421050108759827,nasàiwicasa,babies
βρέφος,263,unigram,neuter,accusative,singular,iyáacàalu,1.1614109987944146,iyáacàalu,babies
ζώνη,184,unigram,feminine,accusative,singular,Idacùacaté,1.0960524252565438,Idacùacaté,belt
βλασφημία,24,unigram,feminine,accusative,plural,canácáináta,1.0960768946513286,canácáináta,blasphemy
βλασφημία,78,unigram,feminine,accusative,singular,—‍¡Yái,1.0960768946513286,—‍¡Yái,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,barcawa,1.140693669023097,barcawa,boat
πλοῖον,250,unigram,neuter,accusative,singular,barca,2.1309718228325703,barca,boat
πλοῖον,186,unigram,neuter,nominative,singular,barca,2.2091141486840566,barca,boat
σῶμα,52,unigram,neuter,nominative,singular,pituí,1.1678161581134054,pituí,body
κλῆμα,48,unigram,neuter,nominative,plural,abéya,1.0960622061228922,abéya,branch
κλῆμα,121,unigram,neuter,nominative,singular,yàana,1.174230137540669,yàana,branch
ἄρτος,254,unigram,masculine,accusative,plural,pan,2.8286592840697358,pan,bread
ἄρτος,274,unigram,masculine,accusative,singular,pan,2.141011983218569,pan,bread
ἄρτος,126,unigram,masculine,nominative,plural,wáalimá,1.1590218863967816,wáalimá,bread
ἄρτος,29,unigram,masculine,nominative,singular,iricuèricawa,1.1295668665005794,iricuèricawa,bread
ἀδελφός,243,unigram,masculine,accusative,plural,nàanápináwa,1.1270734665991402,nàanápináwa,brother
ἀδελφός,101,unigram,masculine,accusative,singular,Santiago,1.3232935044327112,Santiago,brother
ἀδελφός,93,unigram,masculine,nominative,plural,yéenánái,1.93595063521696,yéenánái,brother
στῆθος,124,unigram,neuter,accusative,plural,nèepùacawa,1.0263623592187985,nèepùacawa,"chest, breast"
ἀρχιερεύς,197,unigram,masculine,accusative,plural,sacerdote,1.2115351384975417,sacerdote,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,sacerdote,1.2448097560592222,sacerdote,chief priest
ἀρχιερεύς,100,unigram,masculine,nominative,plural,sacerdote,1.0336480139721698,sacerdote,chief priest
ἀρχιερεύς,202,unigram,masculine,nominative,singular,sacerdote,1.1735526339140896,sacerdote,chief priest
παῖς,194,unigram,masculine,accusative,plural,calúaca,1.15373254202314,calúaca,child
παῖς,40,unigram,masculine,accusative,singular,itatáidacani,1.0595770845675438,itatáidacani,child
τέκνον,155,unigram,neuter,nominative,singular,ichùnìanápináni,1.1068114540821057,ichùnìanápináni,child
παιδίον,11,unigram,neuter,accusative,plural,sùmanái,1.0917930386919976,sùmanái,child
παιδίον,75,unigram,neuter,accusative,singular,sùmàica,1.4137457590879088,sùmàica,child
παιδίον,140,unigram,neuter,nominative,plural,wáimaca,1.107833498450165,wáimaca,child
παιδίον,31,unigram,neuter,nominative,singular,yeebáidáaná,1.0327936102687738,yeebáidáaná,child
πόλις,147,unigram,feminine,accusative,plural,yàcalé,1.1251652472208016,yàcalé,city
πόλις,56,unigram,feminine,accusative,singular,yàcalé,1.3388848145642025,yàcalé,city
πύλη,168,unigram,feminine,nominative,singular,máucuíri,1.0441038887271343,máucuíri,city gate
χιτών,97,unigram,masculine,accusative,plural,bàlesi,1.080003639242864,bàlesi,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,pimàaca,1.032495149046568,pimàaca,"clothing, undergarments"
ἱμάτιον,109,unigram,neuter,accusative,plural,ruana,1.4062490388560522,ruana,coat
ἱμάτιον,108,unigram,neuter,accusative,singular,ruana,1.7556307374628142,ruana,coat
ἐντολή,67,unigram,feminine,accusative,singular,píichawa,1.5472254782275314,píichawa,commandment
συνέδριον,259,unigram,neuter,accusative,plural,áibanáicáiná,1.1421225439094842,áibanáicáiná,council
συνέδριον,44,unigram,neuter,accusative,singular,Suprema,1.0595480639608463,Suprema,council
χώρα,234,unigram,feminine,accusative,singular,cáli,1.07930709109613,cáli,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,manùbéeyéi,1.1334537085680931,manùbéeyéi,crowd
ὄχλος,7,unigram,masculine,accusative,singular,wenàiwicanái,1.0228078598725625,wenàiwicanái,crowd
ὄχλος,83,unigram,masculine,nominative,plural,wenàiwica,1.37820807498851,wenàiwica,crowd
ὄχλος,228,unigram,masculine,nominative,singular,madécaná,1.0828208604361629,madécaná,crowd
θυγάτηρ,96,unigram,feminine,nominative,plural,pìwaliwata,1.0961506491767987,pìwaliwata,daughter
θυγάτηρ,253,unigram,feminine,nominative,singular,Jairo,1.1172426347789357,Jairo,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,máisiba,1.104845119081049,máisiba,day
ἡμέρα,70,unigram,feminine,accusative,singular,imanùbaca,1.064800971515684,imanùbaca,day
ἡμέρα,2,unigram,feminine,nominative,plural,èeri,1.1817812873914528,èeri,day
ἡμέρα,58,unigram,feminine,nominative,singular,èerica,1.1309572314248773,èerica,day
δαιμόνιον,22,unigram,neuter,accusative,plural,demonio,2.7412135472997567,demonio,demon
δαιμόνιον,267,unigram,neuter,accusative,singular,demonio,1.3484447953896486,demonio,demon
δαιμόνιον,157,unigram,neuter,nominative,plural,demonio,2.2387996262234826,demonio,demon
δαιμόνιον,139,unigram,neuter,nominative,singular,yàalàaca,1.0688418825213406,yàalàaca,demon
δηνάριον,128,unigram,neuter,accusative,singular,abé,1.205492582930068,abé,denarius (about a day's wages)
μαθητής,143,unigram,masculine,accusative,plural,yéewáidacalénái,1.6943046285237138,yéewáidacalénái,disciple
μαθητής,271,unigram,masculine,accusative,singular,cáininéerica,1.1851995368090191,cáininéerica,disciple
μαθητής,222,unigram,masculine,nominative,plural,yéewáidacaléca,1.5000002098510286,yéewáidacaléca,disciple
μαθητής,270,unigram,masculine,nominative,singular,Pedro,1.0919065200845637,Pedro,disciple
νόσος,3,unigram,feminine,accusative,plural,uláicái,1.481009527290137,uláicái,disease
νόσος,62,unigram,feminine,accusative,singular,íiwitáaná,1.2896546926896704,íiwitáaná,disease
περιστερά,82,unigram,feminine,accusative,plural,unùcu,1.0938678392943737,unùcu,dove
