lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1512_translation,english_translation
θεός,106,unigram,masculine,accusative,singular,Muungu,3.4316801746282586,Muungu,God
θεός,20,unigram,masculine,nominative,plural,miungu,1.097258004808277,miungu,God
θεός,167,unigram,masculine,nominative,singular,Muungu,10.82774046497134,Muungu,God
κύριος,107,unigram,masculine,nominative,singular,Ḅwana,2.104182924397186,Ḅwana,"Lord, lord, master"
γραφή,102,unigram,feminine,accusative,plural,matsoro,1.4413928147102637,matsoro,Scripture
γραφή,38,unigram,feminine,accusative,singular,matsoro,1.3476183725584896,matsoro,Scripture
γραφή,211,unigram,feminine,nominative,plural,yakuhendekani,1.3905025619114164,yakuhendekani,Scripture
γραφή,259,unigram,feminine,nominative,singular,matsoro,1.9583753554220549,matsoro,Scripture
ἄγγελος,74,unigram,masculine,accusative,plural,malaika,1.2358152231045714,malaika,angel
ἄγγελος,35,unigram,masculine,nominative,plural,malaika,4.7569378306961125,malaika,angel
ἄγγελος,84,unigram,masculine,nominative,singular,malaika,4.696976554279128,malaika,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,*ntumi,2.0161789792751432,*ntumi,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,amuhumiye,1.0441163236891542,amuhumiye,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,mamulaka,1.6012457896504722,mamulaka,authority
βρέφος,9,unigram,neuter,accusative,plural,awavodhye,1.0595416318177246,awavodhye,babies
βρέφος,258,unigram,neuter,accusative,singular,t̯orani,1.1682581154670333,t̯orani,babies
ἀποθήκη,52,unigram,feminine,accusative,singular,chihaani,1.2743994146790487,chihaani,barn
ζώνη,182,unigram,feminine,accusative,singular,ḍyelekanyijweḍyo,1.0960524252565438,ḍyelekanyijweḍyo,belt
πλοῖον,82,unigram,neuter,accusative,plural,vyombo,1.7537889780774258,vyombo,boat
πλοῖον,246,unigram,neuter,accusative,singular,chomboni,4.171763503963549,chomboni,boat
πλοῖον,184,unigram,neuter,nominative,singular,chombo,1.5892558767138063,chombo,boat
σῶμα,45,unigram,neuter,nominative,singular,mwii,2.4578672191257023,mwii,body
κλῆμα,119,unigram,neuter,nominative,singular,hambi,1.3303260090214764,hambi,branch
ἄρτος,251,unigram,masculine,accusative,plural,mikahe,3.0084191816448493,mikahe,bread
ἄρτος,271,unigram,masculine,accusative,singular,chakuḍya,1.3956994393755924,chakuḍya,bread
ἄρτος,126,unigram,masculine,nominative,plural,mikahe,2.363808494531937,mikahe,bread
ἄρτος,27,unigram,masculine,nominative,singular,chakuḍya,1.4770774722296385,chakuḍya,bread
ἀδελφός,238,unigram,masculine,accusative,plural,wanduguzwe,1.493343786732089,wanduguzwe,brother
ἀδελφός,94,unigram,masculine,accusative,singular,ndugujwe,1.4174500980031297,ndugujwe,brother
ἀδελφός,87,unigram,masculine,nominative,plural,wanduguzwe,1.5967303407206548,wanduguzwe,brother
ἀδελφός,188,unigram,masculine,nominative,singular,ndugujwe,1.4644962998357152,ndugujwe,brother
στῆθος,123,unigram,neuter,accusative,plural,weot̯ut̯aa,1.1613200159490844,weot̯ut̯aa,"chest, breast"
στῆθος,226,unigram,neuter,accusative,singular,mwanafund̯i,1.2208052129572864,mwanafund̯i,"chest, breast"
ἀρχιερεύς,197,unigram,masculine,accusative,plural,wakohani,1.43992105534421,wakohani,chief priest
ἀρχιερεύς,93,unigram,masculine,nominative,plural,wakuu,1.0663850211888355,wakuu,chief priest
ἀρχιερεύς,201,unigram,masculine,nominative,singular,Mukuu,1.1856180517190895,Mukuu,chief priest
παῖς,192,unigram,masculine,accusative,plural,kiyume,1.957700143567837,kiyume,child
τέκνον,266,unigram,neuter,accusative,plural,wanawe,1.2047939445667857,wanawe,child
τέκνον,154,unigram,neuter,nominative,singular,Mwanangu,2.552064436245323,Mwanangu,child
παιδίον,68,unigram,neuter,accusative,singular,mwana,2.0063699253830696,mwana,child
παιδίον,138,unigram,neuter,nominative,plural,vichuchu,1.553185322372602,vichuchu,child
παιδίον,29,unigram,neuter,nominative,singular,mwana,1.901275766047409,mwana,child
πόλις,147,unigram,feminine,accusative,plural,midzi,1.0955160653555631,midzi,city
πόλις,48,unigram,feminine,accusative,singular,mudzi,1.9971236280891784,mudzi,city
πύλη,165,unigram,feminine,nominative,singular,mutseke,1.2147444643551368,mutseke,city gate
χιτών,89,unigram,masculine,accusative,plural,kuperuya,1.3823744033506615,kuperuya,"clothing, undergarments"
ἱμάτιον,104,unigram,neuter,accusative,plural,nkanzu,1.1742886941440431,nkanzu,coat
ἱμάτιον,103,unigram,neuter,accusative,singular,nguo,1.049714038990695,nguo,coat
ἐντολή,63,unigram,feminine,accusative,plural,amuri,1.7356031008013422,amuri,commandment
ἐντολή,61,unigram,feminine,accusative,singular,amuri,1.6394814627477674,amuri,commandment
συνέδριον,39,unigram,neuter,accusative,singular,gasa,1.4569177571467835,gasa,council
χώρα,229,unigram,feminine,accusative,singular,nsi,1.8333612524333949,nsi,"country, countryside"
ὄχλος,43,unigram,masculine,accusative,plural,t̯ut̯a,1.5822838194634354,t̯ut̯a,crowd
ὄχλος,7,unigram,masculine,accusative,singular,t̯ut̯a,1.7299640936467369,t̯ut̯a,crowd
ὄχλος,76,unigram,masculine,nominative,plural,t̯ut̯a,2.0528832348583776,t̯ut̯a,crowd
ὄχλος,221,unigram,masculine,nominative,singular,t̯ut̯a,1.8999684898589224,t̯ut̯a,crowd
θυγάτηρ,250,unigram,feminine,nominative,singular,mwanamuke,2.2137742888416594,mwanamuke,daughter
ἡμέρα,56,unigram,feminine,accusative,plural,nsiku,4.4480488415534385,nsiku,day
ἡμέρα,65,unigram,feminine,accusative,singular,nsiku,2.2911726406405317,nsiku,day
ἡμέρα,2,unigram,feminine,nominative,plural,nsiku,2.090104023921862,nsiku,day
ἡμέρα,50,unigram,feminine,nominative,singular,ipfocha,1.0903826326402282,ipfocha,day
δαιμόνιον,21,unigram,neuter,accusative,plural,nzuka,1.071380049410988,nzuka,demon
δαιμόνιον,262,unigram,neuter,accusative,singular,mashaat̯ani,1.7288092470557943,mashaat̯ani,demon
δαιμόνιον,155,unigram,neuter,nominative,plural,mpepfo,1.015534716212918,mpepfo,demon
δαιμόνιον,137,unigram,neuter,nominative,singular,kaibusa,1.1602931184570198,kaibusa,demon
δηνάριον,242,unigram,neuter,accusative,plural,rando,1.5295748435021763,rando,denarius (about a day's wages)
δηνάριον,128,unigram,neuter,accusative,singular,kuruḅembe,1.323231713907822,kuruḅembe,denarius (about a day's wages)
μαθητής,142,unigram,masculine,accusative,plural,wanafund̯iwe,3.4742741058682616,wanafund̯iwe,disciple
μαθητής,267,unigram,masculine,accusative,singular,mwanafund̯i,2.871565023830733,mwanafund̯i,disciple
μαθητής,216,unigram,masculine,nominative,plural,wanafund̯i,1.4469518797801209,wanafund̯i,disciple
μαθητής,265,unigram,masculine,nominative,singular,mwanafund̯i,4.822786716515441,mwanafund̯i,disciple
νόσος,3,unigram,feminine,accusative,plural,majwazi,1.887537595001228,majwazi,disease
νόσος,55,unigram,feminine,accusative,singular,majwazi,1.0938736335939256,majwazi,disease
περιστερά,75,unigram,feminine,accusative,plural,weowakiguza,1.0662969685843078,weowakiguza,dove
περιστερά,41,unigram,feminine,accusative,singular,ndiwa,1.5458194192722814,ndiwa,dove
οὖς,118,unigram,neuter,accusative,plural,nasikiye,1.026662780422797,nasikiye,ear
οὖς,220,unigram,neuter,accusative,singular,wekeani,1.0889973975654783,wekeani,ear
αἰών,193,unigram,masculine,accusative,plural,ntaukudzasia,1.21284283489344,ntaukudzasia,eternity
αἰών,239,unigram,masculine,accusative,singular,maishi,2.095366889635607,maishi,eternity
ὀφθαλμός,15,unigram,masculine,accusative,plural,matso,2.2025365641454275,matso,eye
ὀφθαλμός,47,unigram,masculine,nominative,plural,matso,1.0587606747828633,matso,eye
ὀφθαλμός,236,unigram,masculine,nominative,singular,matso,1.026268834812922,matso,eye
λιμός,108,unigram,masculine,nominative,singular,kwipfokuwa,1.0595448471241755,kwipfokuwa,famine
γεωργός,37,unigram,masculine,nominative,singular,muzabibu,1.4003476940268171,muzabibu,"farmer, tenant"
πατήρ,241,unigram,masculine,accusative,singular,Baba,4.332537320081663,Baba,father
πατήρ,249,unigram,masculine,nominative,plural,Wabibi,1.1799592866856985,Wabibi,father
πατήρ,148,unigram,masculine,nominative,singular,Baba,6.620760512977929,Baba,father
ἀγρός,261,unigram,masculine,accusative,plural,makondeni,1.453184430333916,makondeni,field
ἀγρός,28,unigram,masculine,accusative,singular,nkondeni,1.1171440872540033,nkondeni,field
δάκτυλος,141,unigram,masculine,accusative,singular,mbavuni,1.210120765384945,mbavuni,finger
ἰχθύς,122,unigram,masculine,accusative,plural,nswi,1.320814893260149,nswi,fish
ἰχθύς,152,unigram,masculine,accusative,singular,akamumpa,1.1160716799575845,akamumpa,fish
δίκτυον,83,unigram,neuter,accusative,plural,nyavu,2.2852798952547357,nyavu,fishing net
δίκτυον,158,unigram,neuter,accusative,singular,nyavu,1.0258598459562864,nyavu,fishing net
πούς,189,unigram,masculine,accusative,plural,maguu,1.3207185501095504,maguu,foot
καρπός,146,unigram,masculine,accusative,plural,matunda,1.1926569887873162,matunda,"fruit, crop, harvest"
καρπός,187,unigram,masculine,accusative,singular,matunda,2.3637469274670266,matunda,"fruit, crop, harvest"
πλήρωμα,213,unigram,neuter,accusative,plural,vikapfu,1.4580597404652642,vikapfu,fullness
γενεά,247,unigram,feminine,nominative,plural,vivyazi,1.8933984990076904,vivyazi,generation
