lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1138_translation,version_1139_translation,version_1140_translation,version_1141_translation,version_1142_translation,version_1143_translation,english_translation
θεός,142,unigram,masculine,accusative,singular,Andriamanitra,98.37291112959706,Andriamanitra,Andriamanitra,Andriamanitra,Andriamanitra,Andriamanitra,an'Andriamanitra,God
θεός,32,unigram,masculine,nominative,plural,voalaza,1.4264044796104765,Lalànareo,,voalaza,voalaza,,82,God
θεός,222,unigram,masculine,nominative,singular,Andriamanitra,1027586.4179688266,Andriamanitra,Andriamanitra,Andriamanitra,Andriamanitra,Andriamanitra,Andriamanitra,God
κύριος,348,unigram,masculine,nominative,plural,namaha,1.3204626290778847,,namaha,,,namaha,namaha,"Lord, lord, master"
κύριος,143,unigram,masculine,nominative,singular,Tompo,50.897764865241236,Tompo,Tompo,Tompo,Tompo,Tompo,Tompo,"Lord, lord, master"
γραφή,138,unigram,feminine,accusative,plural,Soratra,6.044662851194609,Soratra,Soratra,Soratra,Soratra,Soratra,Soratra,Scripture
γραφή,56,unigram,feminine,accusative,singular,Soratra,9.725477337379205,Soratra,Soratra,Soratra,Soratra,Soratra,Soratra,Scripture
γραφή,278,unigram,feminine,nominative,plural,,,Soratra,hahatanteraka,Soratra,Soratra,hahatanteraka,hahatanteraka,Scripture
γραφή,342,unigram,feminine,nominative,singular,Soratra,5.372257648204978,Soratra,Soratra,Soratra,Soratra,Soratra,Soratra,Scripture
ἄγγελος,106,unigram,masculine,accusative,plural,haniraka,2.727825748077744,hanangona,haniraka,anjeliny,anjeliny,haniraka,haniraka,angel
ἄγγελος,91,unigram,masculine,accusative,singular,irako,1.1936559197740049,Anjeliko,,irako,irako,,,angel
ἄγγελος,52,unigram,masculine,nominative,plural,anjely,568.3507654645041,Anjely,anjely,anjely,anjely,anjely,anjely,angel
ἄγγελος,117,unigram,masculine,nominative,singular,anjely,2.5275855126455946,Anjely,anjely,anjely,anjely,anjely,anjely,angel
